negatives
"('P43628', 'P29350')"
"('P04141', 'Q969J5')"
"('P78347', 'P11831')"
"('P55769', 'Q13573')"
"('Q8NFD5', 'P55854')"
"('Q96BY6', 'Q9H4E5')"
"('P62424', 'P35268')"
"('P42229', 'P62879')"
"('O75367', 'O15379')"
"('P23025', 'Q13535')"
"('P61978', 'P07910')"
"('O00144', 'Q92997')"
"('Q13416', 'Q9UBD5')"
"('Q5T5P2', 'O60504')"
"('Q01201', 'Q13309')"
"('Q9Y4K3', 'O95757')"
"('P31947', 'Q9H2C0')"
"('P35269', 'P10914')"
"('P62820', 'Q969G6')"
"('P36873', 'Q9Y6K9')"
"('Q9NR30', 'Q04206')"
"('Q9NUG4', 'P62993')"
"('O00562', 'P06493')"
"('O14807', 'Q92569')"
"('Q12851', 'Q13162')"
"('O75899', 'O14775')"
"('Q15154', 'P54257')"
"('A4FU01', 'O15198')"
"('P61289', 'P43686')"
"('Q14151', 'O95197')"
"('P61587', 'O75116')"
"('Q9Y230', 'Q9H981')"
"('Q9Y3A3', 'Q9Y4G8')"
"('Q06787', 'P63279')"
"('Q9NRR5', 'Q56P03')"
"('P01241', 'P07741')"
"('Q14240', 'Q9BW92')"
"('P61604', 'Q5UIP0')"
"('Q9H1D9', 'Q5UIP0')"
"('Q8NFD5', 'Q01201')"
"('Q86V81', 'Q13242')"
"('Q6UN15', 'Q9NZC7')"
"('Q07889', 'P48736')"
"('P42858', 'P12270')"
"('O14733', 'Q9UPT6')"
"('Q9NYQ7', 'O60318')"
"('Q92620', 'P07910')"
"('P32121', 'P43250')"
"('P52294', 'P12956')"
"('P27986', 'P29376')"
"('P31751', 'Q15047')"
"('Q9GZT8', 'Q9BQD3')"
"('P84022', 'O14964')"
"('Q13233', 'Q92598')"
"('Q9BS40', 'P35813')"
"('Q96L91', 'P25440')"
"('Q9BTM1', 'Q5QNW6')"
"('P62979', 'P28562')"
"('P28472', 'P60520')"
"('Q9UHY1', 'P58340')"
"('Q9Y3R0', 'Q14653')"
"('P05121', 'P35555')"
"('Q9BPX5', 'O15144')"
"('P31994', 'O75019')"
"('P61586', 'O60610')"
"('P32248', 'P04899')"
"('Q969U7', 'P98095')"
"('P35626', 'Q8NGE0')"
"('P21333', 'Q16539')"
"('P29460', 'P32927')"
"('Q12788', 'Q7L2E3')"
"('Q9P283', 'P20073')"
"('P56817', 'Q9NQX7')"
"('P05161', 'P78545')"
"('Q9Y4K3', 'Q4G148')"
"('P34820', 'Q16671')"
"('P20674', 'P08246')"
"('O95388', 'P22309')"
"('O76071', 'Q96T76')"
"('P40227', 'Q00005')"
"('Q9ULA0', 'Q9UM07')"
"('P62993', 'Q13838')"
"('O95819', 'Q9UNE7')"
"('P08754', 'Q9UBI6')"
"('Q9BQD3', 'O75558')"
"('P24821', 'P18564')"
"('Q9BX70', 'Q96ID5')"
"('P35222', 'P11142')"
"('P01106', 'O00116')"
"('Q13009', 'Q9HBH0')"
"('P01857', 'P49327')"
"('P55735', 'Q8WUM0')"
"('O43157', 'P60763')"
"('P22626', 'Q92620')"
"('P02787', 'P07711')"
"('P26010', 'P23229')"
"('P42336', 'O00459')"
"('P62280', 'Q9Y230')"
"('Q96FA3', 'Q99836')"
"('Q70Z53', 'Q13435')"
"('P63261', 'P63104')"
"('P55157', 'P31273')"
"('Q9UBV4', 'Q13467')"
"('O15162', 'Q9NZV1')"
"('Q5RL73', 'P15927')"
"('O15197', 'P55196')"
"('P62993', 'Q9BZM3')"
"('P52333', 'P09327')"
"('Q8TEW0', 'P41743')"
"('P61626', 'O14920')"
"('P62937', 'O00267')"
"('O95166', 'Q9BQ83')"
"('P18146', 'Q9Y5W3')"
"('O43353', 'Q9BVA1')"
"('Q8N1F7', 'P62330')"
"('O95696', 'P33992')"
"('Q9UNH5', 'P30260')"
"('Q8IUQ4', 'O75553')"
"('Q8WVB3', 'Q9NX46')"
"('Q12824', 'Q9NRR5')"
"('Q02078', 'Q96RT1')"
"('P98164', 'Q99767')"
"('P49674', 'P16220')"
"('O14965', 'P49450')"
"('P62269', 'P62081')"
"('P35680', 'Q9HBJ8')"
"('Q15653', 'P18124')"
"('Q52LW3', 'Q12923')"
"('P40424', 'P22301')"
"('Q6WCQ1', 'Q9GZR1')"
"('Q8IVF5', 'Q7L0Q8')"
"('Q15052', 'Q9Y2X7')"
"('Q8IWV7', 'P36405')"
"('Q9H7D0', 'P61586')"
"('Q99459', 'P28702')"
"('Q9NRX1', 'Q92765')"
"('Q96EZ8', 'P51116')"
"('P19784', 'P51610')"
"('O95297', 'P12931')"
"('P60604', 'Q05086')"
"('P18146', 'P17483')"
"('P58012', 'Q8IU54')"
"('P63244', 'Q8IWX8')"
"('P03372', 'O94776')"
"('Q9NVU0', 'Q9NW08')"
"('P21796', 'Q8N9P6')"
"('P19174', 'P11678')"
"('Q7L5N1', 'P42574')"
"('Q08188', 'Q8IY92')"
"('P62249', 'P62753')"
"('Q13151', 'P26368')"
"('O15144', 'P42768')"
"('574033', 'P40763')"
"('P25054', 'P49841')"
"('P38646', 'P16104')"
"('P54253', 'Q9UKD1')"
"('Q7L523', 'P42345')"
"('Q6ZSG1', 'P61088')"
"('Q96KQ7', 'O60568')"
"('P04637', 'Q9C0J8')"
"('P04150', 'P19838')"
"('P49796', 'Q13568')"
"('P19876', 'P51684')"
"('O95470', 'Q86WV6')"
"('P22695', 'P31930')"
"('Q00653', 'P25788')"
"('Q9UBC1', 'P78539')"
"('P49768', 'Q07817')"
"('A5PKW4', 'P0CG48')"
"('P02452', 'P07237')"
"('P25445', 'Q00613')"
"('Q02241', 'P61204')"
"('P62807', 'P01241')"
