negatives
"('P61964', 'P01106')"
"('P26371', 'Q8IY34')"
"('P31946', 'P55851')"
"('Q9NXX6', 'Q9BTL4')"
"('Q9ULU8', 'Q8IZU0')"
"('Q9UK80', 'Q13107')"
"('O75182', 'Q00987')"
"('Q6ICG6', 'Q9UBV8')"
"('Q6UX06', 'O14788')"
"('P15311', 'P25815')"
"('P17676', 'O95402')"
"('O14757', 'Q12789')"
"('Q96KC9', 'Q9Y5R8')"
"('P31946', 'Q14739')"
"('Q08379', 'Q14240')"
"('O00212', 'P57721')"
"('P62140', 'Q8N726')"
"('P78371', 'Q9NXB0')"
"('Q96PK6', 'Q14683')"
"('P17844', 'P07437')"
"('O15353', 'P31276')"
"('O14497', 'Q9H2P0')"
"('Q13753', 'P18084')"
"('O75031', 'Q7Z3K3')"
"('Q14722', 'P22460')"
"('P49754', 'Q9H8T0')"
"('Q9Y3Y2', 'O14744')"
"('P05023', 'P05412')"
"('Q03164', 'P35548')"
"('Q9UL18', 'Q00325')"
"('Q05655', 'P58753')"
"('Q15459', 'O00213')"
"('O75391', 'Q01844')"
"('Q86SQ0', 'Q96QF0')"
"('Q96HR3', 'O75177')"
"('P31939', 'O00410')"
"('P62256', 'P14373')"
"('P20815', 'Q96SQ7')"
"('Q02539', 'P78396')"
"('Q5PRF9', 'Q9H9S0')"
"('A5A3E0', 'O15264')"
"('Q86TI0', 'P31946')"
"('O75461', 'P35227')"
"('A8MYJ7', 'P60510')"
"('Q9NV96', 'O94910')"
"('O15027', 'Q9NRC8')"
"('Q9H9B4', 'P19838')"
"('Q5T3J3', 'P02774')"
"('Q16695', 'Q16594')"
"('Q9BZZ5', 'Q99848')"
"('O75582', 'Q9NV58')"
"('Q9P1Z2', 'Q09472')"
"('Q9NTX7', 'P19338')"
"('Q6ZVM7', 'P46934')"
"('P42768', 'O60861')"
"('Q9H269', 'Q9BVS4')"
"('O00305', 'P48023')"
"('P49757', 'Q00610')"
"('P04629', 'Q9NZC9')"
"('P04632', 'P36575')"
"('P86478', 'P86496')"
"('P33527', 'O00330')"
"('Q02241', 'Q16537')"
"('Q3V6T2', 'Q8TCY9')"
"('Q6IQ23', 'O15294')"
"('P49841', 'O43427')"
"('Q9UPT9', 'P06865')"
"('O95363', 'Q13618')"
"('Q5T5P2', 'Q14192')"
"('P60370', 'P0C7H8')"
"('O60934', 'Q9H816')"
"('Q9Y6I7', 'P13569')"
"('P06241', 'P14784')"
"('Q00839', 'Q03468')"
"('Q8WWI1', 'P62993')"
"('P18206', 'O95425')"
"('P55209', 'Q9UNF1')"
"('P30050', 'P42766')"
"('Q9HBY8', 'P50990')"
"('P02538', 'P22681')"
"('Q15717', 'Q7Z2W4')"
"('Q13618', 'Q7Z6Z7')"
"('P05362', 'A8MQ03')"
"('Q9NRR5', 'Q5VZL5')"
"('Q6PKG0', 'Q07817')"
"('Q9Y4W2', 'P14921')"
"('P01889', 'P20700')"
"('Q9ULJ3', 'O14757')"
"('O43809', 'Q99584')"
"('Q9BRK4', 'Q13115')"
"('Q9NX63', 'Q08379')"
"('P49959', 'Q9Y4A5')"
"('P12814', 'O15265')"
"('Q96A37', 'Q969T4')"
"('P47710', 'Q9UHD9')"
"('P08238', 'P08651')"
"('Q92830', 'Q15185')"
"('P27694', 'Q6PJG2')"
"('Q8N1B4', 'Q9HBZ2')"
