recall,precision
0.4090909090909091,0.13170731707317074
0.3939393939393939,0.13903743315508021
0.36363636363636365,0.192
0.3787878787878788,0.1953125
0.3181818181818182,0.19811320754716982
0.3484848484848485,0.20175438596491227
0.3333333333333333,0.205607476635514
0.30303030303030304,0.20618556701030927
0.18181818181818182,0.20689655172413793
0.2727272727272727,0.21428571428571427
0.22727272727272727,0.21739130434782608
0.19696969696969696,0.22033898305084745
0.24242424242424243,0.2222222222222222
0.2878787878787879,0.2235294117647059
0.25757575757575757,0.2328767123287671
0.21212121212121213,0.23333333333333334
0.16666666666666666,0.24444444444444444
0.15151515151515152,0.25
0.13636363636363635,0.5
0.12121212121212122,0.6153846153846154
0.10606060606060606,0.7
0.015151515151515152,1.0
0.030303030303030304,1.0
0.045454545454545456,1.0
0.06060606060606061,1.0
0.07575757575757576,1.0
0.09090909090909091,1.0
