negatives
"('P63162', 'P49703')"
"('P78543', 'Q9UKB1')"
"('Q9Y5I7', 'C9JDP6')"
"('P27824', 'P00451')"
"('Q15370', 'Q96EL3')"
"('Q16514', 'Q16695')"
"('O75323', 'O60341')"
"('O75351', 'Q9NP79')"
"('Q07065', 'P35637')"
"('P17980', 'P54578')"
"('P62324', 'P12956')"
"('P36873', 'Q9P2X7')"
"('Q9UK41', 'Q9H257')"
"('Q9NW13', 'Q96HE9')"
"('Q8WW35', 'P13984')"
"('P00403', 'P29353')"
"('Q9H1I8', 'Q9Y3C7')"
"('Q9NS69', 'O94826')"
"('Q2TAL6', 'Q3SY46')"
"('Q96SW2', 'Q00839')"
"('P17844', 'O94921')"
"('P31483', 'Q15366')"
"('P08247', 'O43255')"
"('P51659', 'Q96KN7')"
"('P04629', 'P78344')"
"('Q12906', 'Q9NRX2')"
"('Q7L190', 'P31483')"
"('O14980', 'Q8IV48')"
"('Q8IWL3', 'Q9BQ52')"
"('Q9UK80', 'P62987')"
"('Q7L5D6', 'P04792')"
"('Q9UPT9', 'P01106')"
"('O95786', 'Q92985')"
"('P08238', 'Q8N239')"
"('P78344', 'O15372')"
"('Q96CN9', 'Q9BYG5')"
"('Q8IYS5', 'P43405')"
"('P46940', 'P58107')"
"('Q15036', 'P12931')"
"('Q8N3X1', 'Q15811')"
"('Q14525', 'P78386')"
"('P38398', 'P52294')"
"('P30793', 'Q8TD86')"
"('Q96RL1', 'P47756')"
"('P07948', 'Q9ULV8')"
"('Q6UVJ0', 'Q96JN8')"
"('Q8IWL3', 'Q12907')"
"('P54725', 'P0DMV8')"
"('P54253', 'Q9NTM9')"
"('P07900', 'P62158')"
"('Q6NUS6', 'Q00765')"
"('P26599', 'Q86VP6')"
"('Q8WW35', 'P67870')"
"('Q9Y4K3', 'P43686')"
"('P10599', 'Q9GZT8')"
"('P51608', 'Q6K0P9')"
"('O95793', 'P48651')"
"('Q9NQP4', 'Q96JK2')"
"('Q9Y285', 'Q5VYK3')"
"('Q14697', 'P49736')"
"('P31040', 'Q9HC38')"
