negatives
"('Q92558', 'P63261')"
"('P52943', 'P54257')"
"('P62993', 'O14638')"
"('P54253', 'Q9H2G2')"
"('P68366', 'P53350')"
"('O43390', 'O95400')"
"('P42858', 'P20936')"
"('P67809', 'Q2TAY7')"
"('O43251', 'Q15038')"
"('P61244', 'P43246')"
"('Q16777', 'Q9UKV0')"
"('Q99418', 'P62993')"
"('P46778', 'Q9UNX3')"
"('Q13557', 'Q13555')"
"('Q15102', 'P68371')"
"('P20333', 'Q02978')"
"('Q96EY1', 'P38484')"
"('Q9UQC2', 'Q06124')"
"('Q9NP95', 'P22607')"
"('Q9HBI0', 'P17301')"
"('Q6WCQ1', 'Q15149')"
"('Q9P0K7', 'Q99759')"
"('Q92633', 'Q9UK08')"
"('Q29983', 'P62979')"
"('P51693', 'Q15714')"
"('P30480', 'Q08211')"
"('P05091', 'Q8TCE6')"
"('O00505', 'P49407')"
"('P51668', 'Q8IUQ4')"
"('Q92673', 'P13569')"
"('Q5T4S7', 'P49459')"
"('O95096', 'P78426')"
"('P63261', 'Q9Y4K3')"
"('Q13158', 'P48729')"
"('Q15027', 'P05556')"
"('O95639', 'Q10570')"
"('Q7L5N1', 'P17858')"
"('Q13153', 'P35222')"
"('O60381', 'Q9Y5K6')"
"('Q00005', 'P49368')"
"('Q13409', 'P04350')"
"('Q9H1Y0', 'P62191')"
"('Q9H2G2', 'O43493')"
"('P30480', 'O43169')"
"('P16581', 'P45984')"
"('Q9H1I8', 'P55789')"
"('P19793', 'Q92830')"
"('P23470', 'P04629')"
"('Q99873', 'P10275')"
"('O95433', 'P80404')"
"('Q13332', 'Q9P2H0')"
"('Q96CV9', 'P19438')"
"('P08107', 'P11021')"
"('P03372', 'Q12873')"
"('Q15654', 'P01100')"
"('Q9NRH3', 'O76071')"
"('P35626', 'Q8NGK4')"
"('P22607', 'P02008')"
"('P62158', 'Q9BYC9')"
"('Q96EF6', 'P62877')"
"('P51617', 'Q13114')"
"('O75376', 'Q13547')"
"('Q9NPI1', 'P63279')"
"('Q9H7D0', 'P17987')"
"('P46108', 'Q9H9L3')"
"('P25391', 'P23229')"
"('P21333', 'P29728')"
"('P13805', 'P42356')"
"('P56545', 'Q9NQB0')"
"('P05067', 'P02766')"
"('Q13535', 'Q8N4S0')"
"('O00329', 'P40763')"
"('Q9H5K3', 'P36897')"
"('Q9BX46', 'Q92879')"
"('P53618', 'Q9H013')"
"('Q99459', 'Q13616')"
"('Q9NY65', 'Q96NA2')"
"('P62917', 'P46779')"
"('P61978', 'P52756')"
"('Q96B97', 'Q07889')"
"('P32121', 'Q6IF82')"
"('P27986', 'P49418')"
"('O43299', 'Q99750')"
"('Q13573', 'Q92878')"
"('P55884', 'P41091')"
"('P16333', 'Q9Y2D5')"
"('P27986', 'P34903')"
"('Q8WXI9', 'Q15796')"
"('P16871', 'O00299')"
"('Q15717', 'P60709')"
"('P41235', 'Q16594')"
"('Q13535', 'Q9NRL2')"
"('P30101', 'P27824')"
"('P19438', 'Q13077')"
"('Q8TD86', 'P29973')"
"('Q8N5C8', 'Q16539')"
"('P52434', 'Q9GZS3')"
"('P07948', 'P20273')"
"('Q96BK5', 'P61254')"
"('Q06187', 'P16885')"
"('Q9NR30', 'Q15005')"
"('Q92905', 'P10599')"
"('Q13131', 'Q8IZP0')"
"('P08047', 'P46108')"
"('P19525', 'Q99848')"
"('P20823', 'Q13761')"
"('Q14191', 'P12956')"
"('P59768', 'P48549')"
"('P22314', 'P16455')"
"('Q9Y2B9', 'P63167')"
"('Q07866', 'Q16659')"
"('O00442', 'P62750')"
"('P0C0S5', 'Q5QNW6')"
"('Q13115', 'P53778')"
"('Q9UBI6', 'O43306')"
"('O75528', 'Q16594')"
"('P27816', 'Q96L34')"
"('P39019', 'P62847')"
"('P35637', 'Q9UBW7')"
"('Q9BVJ6', 'O43504')"
"('Q92766', 'P07942')"
"('Q92838', 'Q9HAV5')"
"('Q8WUM0', 'Q12769')"
"('Q96PU5', 'Q9H0E2')"
"('Q16401', 'P43686')"
"('P35626', 'Q8NGT0')"
"('Q08043', 'P18084')"
"('O95433', 'Q9H5I1')"
"('Q9UKS6', 'P62750')"
