negatives
"('P05019', 'Q9Y5S1')"
"('Q06323', 'P18206')"
"('O15511', 'P61160')"
"('P62937', 'P05067')"
"('P40933', 'Q6UXL0')"
"('Q9UHQ1', 'Q9Y2X8')"
"('Q9NWK9', 'Q15796')"
"('P60953', 'Q9GZM8')"
"('P40763', 'Q05655')"
"('O75385', 'Q01094')"
"('Q9Y4K3', 'P62495')"
"('407040', 'Q04721')"
"('P12755', 'Q96ST3')"
"('O00232', 'P62191')"
"('P62829', 'Q12933')"
"('P13804', 'P29372')"
"('C9JDP6', 'Q96AP7')"
"('P24468', 'Q96IP4')"
"('P16220', 'Q53ET0')"
"('Q01130', 'Q13242')"
"('O95985', 'P54132')"
"('Q9Y2S0', 'Q15653')"
"('P42771', 'Q96CS2')"
"('Q5XUX0', 'P63208')"
"('P55201', 'O95696')"
"('P51572', 'Q14790')"
"('P61244', 'P50539')"
"('Q9UKK9', 'P30480')"
"('P08571', 'Q9NYK1')"
"('Q69YH5', 'P18146')"
"('Q92796', 'P78386')"
"('Q9BY41', 'Q96A08')"
"('O60296', 'P18505')"
"('O75694', 'P23508')"
"('P07766', 'P43405')"
"('P67775', 'P28482')"
"('P08631', 'P42684')"
"('P56279', 'P17275')"
"('Q13352', 'Q96HD1')"
"('Q01844', 'P25445')"
"('Q13485', 'P08047')"
"('Q92901', 'P46778')"
"('Q9UJY4', 'Q9UJ41')"
"('Q7Z699', 'P38936')"
"('Q13263', 'P30480')"
"('Q9BY41', 'P23527')"
"('P41236', 'P62136')"
"('P16403', 'P45973')"
"('Q86XL3', 'P30153')"
"('P56537', 'P19525')"
"('P11362', 'Q6S5L8')"
"('P98170', 'Q13490')"
"('P04637', 'P17643')"
"('O15105', 'Q96PU5')"
"('P28288', 'P40855')"
"('P50616', 'Q99717')"
"('Q7Z2E3', 'P18887')"
"('Q8TE23', 'P63092')"
"('P01588', 'P01589')"
"('Q92974', 'P01106')"
"('Q96B36', 'P23443')"
"('P45983', 'P98177')"
"('Q05655', 'Q07021')"
"('Q9Y3C5', 'P51668')"
"('574032', 'Q4LE39')"
"('P18615', 'P19387')"
"('Q8TDB6', 'P62837')"
"('P62070', 'Q9NS23')"
"('Q9NRD5', 'P35249')"
"('P40225', 'P31785')"
"('O95049', 'O15551')"
"('Q8IU54', 'P42701')"
"('Q96L91', 'O60343')"
"('Q9UBD5', 'O43913')"
"('O60506', 'P61978')"
"('Q96DH6', 'Q5JQF8')"
"('Q9UGL9', 'Q5T3J3')"
"('P52952', 'Q92833')"
"('O75843', 'Q9H832')"
"('P01889', 'P17812')"
"('Q9UN19', 'P16885')"
"('P50542', 'Q8IY92')"
"('Q9H7E9', 'Q99689')"
"('Q07889', 'O00212')"
"('P07196', 'Q13614')"
"('P18077', 'P27635')"
"('Q16236', 'Q92793')"
"('P53350', 'O96017')"
"('Q9NWA0', 'P49336')"
"('P98175', 'P24864')"
"('Q8IYB3', 'P07910')"
"('Q9UBN7', 'Q96DB2')"
"('Q14765', 'P30279')"
"('Q9UBS5', 'P61952')"
"('P19438', 'Q13490')"
"('Q9UQL6', 'Q6FI13')"
"('P25054', 'P52948')"
"('Q15714', 'P57678')"
"('Q9Y2S0', '100008588')"
"('P22455', 'Q07889')"
"('Q14031', 'O00339')"
"('Q8IZP0', 'P14598')"
"('Q13242', 'O60508')"
"('Q9UHD0', 'P42701')"
"('Q99962', 'Q9Y2H0')"
"('P63165', 'Q9HCK8')"
"('Q13077', 'O00571')"
"('P35626', 'Q8NHB1')"
"('Q07869', 'Q12778')"
"('Q8TAF3', 'P30480')"
"('Q15788', 'Q9ULH1')"
"('P07384', 'P41222')"
"('O43242', 'P51587')"
"('Q9ULG1', 'P62805')"
"('P63104', 'P22626')"
"('P62745', 'Q9UHV2')"
"('P01106', 'P19484')"
"('Q9P1W9', 'Q15306')"
"('P78413', 'P10276')"
"('P01889', 'Q9BXR0')"
"('O95782', 'P58107')"
"('O43921', 'P22607')"
"('P05106', 'Q9BRC7')"
"('P52735', 'Q8WV28')"
"('P32121', 'Q99835')"
"('Q13573', 'Q15291')"
"('P49674', 'O43524')"
"('P34947', 'P46092')"
"('P68104', 'P78527')"
"('Q96AC6', 'Q7L5D6')"
"('Q8TEL6', 'Q13546')"
"('P14136', 'Q8NEV4')"
"('Q8TD86', 'Q13557')"
"('Q07020', 'P60709')"
"('P19022', 'P23467')"
"('Q13573', 'O43242')"
"('Q9Y4X3', 'O00574')"
"('P20701', 'Q96S59')"
"('Q16537', 'P30153')"
"('O95996', 'O14641')"
"('O60551', 'Q16637')"
"('P82980', 'Q92796')"
"('Q8NEB9', 'Q9P2Y5')"
"('P62805', 'Q9UER7')"
"('P13236', 'P07339')"
"('P02679', 'P05154')"
"('O95777', 'Q01780')"
"('P47992', 'P25024')"
"('P23528', 'Q9NXV2')"
"('P25788', 'P49642')"
"('Q13315', 'P52926')"
"('Q13469', 'P08670')"
"('P05060', 'Q16635')"
"('P20073', 'Q12766')"
"('Q76N89', 'Q9H469')"
"('P07900', 'P51617')"
"('P06213', 'O00459')"
"('Q15582', 'P35555')"
"('Q9UHB6', 'P62993')"
"('P15880', 'Q9UL18')"
"('P10827', 'Q9Y2X0')"
"('P46783', 'P62841')"
"('P53618', 'P49798')"
"('P01106', 'Q99684')"
"('Q03113', 'Q3MJ16')"
"('Q9BWU1', 'Q8TBZ2')"
"('P09874', 'Q16665')"
"('Q99750', 'Q24JQ0')"
"('Q9H6J7', 'P62917')"
"('O43707', 'Q96QZ7')"
"('P08047', 'Q15306')"
"('P60520', 'Q8WXX0')"
"('P35680', 'P27487')"
"('P29353', 'Q99704')"
"('Q8IZL8', 'P84243')"
"('O00311', 'P25205')"
"('P00533', 'O00329')"
"('Q9UBD5', 'Q13573')"
"('P61158', 'P62993')"
"('Q9UL18', 'Q5D862')"
"('P48357', 'P52333')"
"('Q71U36', 'Q99595')"
"('P28472', 'Q9NQX3')"
"('P06239', 'Q96B97')"
"('O43927', 'P32246')"
"('Q9BRP4', 'P62191')"
"('Q13155', 'Q9P2H0')"
"('Q9HCS4', 'P35222')"
"('P31994', 'P29460')"
"('P40337', 'P39019')"
"('Q9Y2K2', 'P62258')"
"('P48039', 'P63096')"
"('P35222', 'Q8TEQ6')"
"('P54868', 'P63104')"
"('Q13573', 'Q9GZZ9')"
"('P06213', 'P17706')"
"('O43927', 'P61073')"
"('O00257', 'P29590')"
"('P18146', 'Q96QK1')"
"('Q52LR7', 'Q15906')"
"('Q9Y5Z7', 'Q9UKI9')"
"('Q16531', 'Q5T6F0')"
"('Q9Y3B3', 'P04000')"
"('P35580', 'Q14164')"
"('Q08AM6', 'Q92562')"
"('O60739', 'P26583')"
"('Q02543', 'P46776')"
"('Q9Y5B9', 'Q93079')"
"('Q01968', 'Q9UKG1')"
"('P61981', 'Q00536')"
"('O00459', 'P31749')"
"('Q15796', 'Q9NP97')"
"('Q68E01', 'Q9NRY2')"
"('P02452', 'P23229')"
"('Q01780', 'Q96CU9')"
"('P41227', 'Q14194')"
"('P08047', 'Q12772')"
"('P46531', 'Q9Y6K9')"
"('Q6P4R8', 'P62805')"
"('Q9H0H5', 'Q7L0Q8')"
"('P35637', 'P19793')"
"('P56192', 'Q99759')"
"('P0CG48', 'Q07820')"
"('P28472', 'Q9H0R8')"
"('P01589', 'O60674')"
"('P41182', 'P56524')"
"('P52597', 'P63104')"
"('P83731', 'Q00005')"
"('Q7RTX0', 'Q8TE23')"
"('Q96B97', 'P17948')"
"('Q9Y2U8', 'P84022')"
"('O95229', 'O60566')"
"('P61254', 'P62633')"
"('Q9NRR5', 'Q8N806')"
"('O43597', 'P35555')"
"('P09382', 'P57678')"
"('P18124', 'P84098')"
"('Q5UIP0', 'Q13765')"
"('Q8NB91', 'O15360')"
"('P54259', 'O60462')"
"('O14981', 'Q10586')"
"('O15519', 'Q9Y572')"
"('Q9NXR7', 'Q06609')"
"('Q8NCM8', 'Q13885')"
"('Q9UGN5', 'Q9BX73')"
"('Q96G75', 'P04278')"
"('Q9Y4G8', 'Q96PU5')"
"('P04406', 'P37840')"
"('Q14164', 'P15170')"
"('Q15437', 'O94979')"
"('P63098', 'O95644')"
"('Q99496', 'P61077')"
"('Q86U86', 'Q9UPN9')"
"('P53667', 'P63104')"
"('Q14197', 'Q9H0U6')"
"('Q9C0D9', 'Q01844')"
"('O14610', 'P42338')"
"('P18146', 'P35573')"
"('P22105', 'P05556')"
"('P35916', 'Q6S5L8')"
"('P28325', 'Q02556')"
"('P12270', 'Q99459')"
"('Q9Y5B9', 'P23508')"
"('Q7L5N1', 'Q9BX70')"
"('O75038', 'Q02156')"
"('P51003', 'Q04864')"
"('Q06187', 'Q9NR97')"
"('Q96I25', 'Q13573')"
"('P19793', 'Q9UHV7')"
"('P08172', 'P62879')"
"('Q9UIC8', 'Q15750')"
"('Q16236', 'Q9UJX0')"
"('O76021', 'Q9NV56')"
"('P43320', 'P53673')"
"('Q9BQY4', 'Q96PV6')"
"('Q15102', 'Q5T3J3')"
"('Q9Y4A9', 'P38405')"
"('P51668', 'Q96BQ3')"
"('P78396', 'Q15008')"
"('Q96P48', 'Q13573')"
"('Q9HCS7', 'P52434')"
"('P17947', 'Q92793')"
"('P32121', 'Q8NGS9')"
"('P01871', 'Q8IY92')"
"('Q96AG4', 'Q9H1Y0')"
"('P22681', 'Q16827')"
"('Q9Y241', 'Q8IXH7')"
"('P22392', 'Q9NPH2')"
"('P45985', 'P46108')"
"('P29460', 'P31785')"
"('P17538', 'P01009')"
"('P41279', 'P07437')"
"('Q13177', 'P62993')"
"('Q8NHC5', 'P38405')"
"('P63104', 'Q14764')"
"('Q8NHW4', 'P46092')"
"('A8K6C2', 'Q08334')"
"('Q7L5N1', 'Q16644')"
"('P13569', 'P25685')"
"('P57678', 'Q9UHI6')"
"('Q13547', 'P28749')"
"('P24385', 'O43463')"
"('P01243', 'P35998')"
"('Q9HBW0', 'Q9UK08')"
"('P25963', 'Q9UBC9')"
"('P30480', 'O15144')"
"('Q9H7J1', 'P13807')"
"('Q8N257', 'P04908')"
"('P16144', 'P05771')"
"('P04278', 'P68104')"
