negatives
"('Q93008', 'P00533')"
"('O15350', 'O60563')"
"('P01106', 'P49281')"
"('P61326', 'O76075')"
"('P04844', 'O95292')"
"('O14958', 'O43395')"
"('O95751', 'Q9BVJ6')"
"('P55265', 'P27694')"
"('Q9Y285', 'P60891')"
"('Q00610', 'Q15154')"
"('P61457', 'Q63HM1')"
"('Q15399', 'P10809')"
"('Q6RW13', 'Q9P2R7')"
"('O95990', 'P81605')"
"('P05067', 'Q9NRH1')"
"('O75896', 'Q99750')"
"('Q5BKU9', 'P54098')"
"('Q96RQ1', 'P27361')"
"('Q9HCE7', 'O14757')"
"('P01106', 'Q75NE6')"
"('Q5S007', 'Q13637')"
"('P78527', 'O43439')"
"('O43323', 'Q4KMG0')"
"('Q9Y6I3', 'Q8N5I2')"
"('Q13309', 'Q9UBK9')"
"('P25786', 'Q9UHJ3')"
"('P0CG21', 'P32242')"
"('P35244', 'Q15714')"
"('P05154', 'P00734')"
"('P31751', 'Q00987')"
"('Q8TD19', 'P05814')"
"('Q14974', 'O75940')"
"('O75528', 'P52294')"
"('Q8NEG0', 'Q8WUD1')"
"('Q8ND90', 'Q96G25')"
"('P14854', 'O95299')"
"('Q9HCE7', 'Q8IZ07')"
"('Q9BTY2', 'Q6L8H2')"
"('P15880', 'P04183')"
"('Q7Z6Z7', 'P53396')"
"('Q96IV0', 'Q96NT3')"
"('O60573', 'P60370')"
"('P19174', 'O95817')"
"('Q86YP4', 'Q99459')"
"('P82675', 'Q10471')"
"('P33992', 'P16104')"
"('Q9UMY4', 'P06241')"
"('P63104', 'P53667')"
"('Q6A162', 'Q4G176')"
"('P10145', 'Q9UBY5')"
"('Q6P995', 'Q86X19')"
"('Q5JST6', 'P62699')"
"('Q5TA81', 'A8MQ03')"
"('Q96L12', 'P53708')"
"('Q8WV28', 'Q92918')"
"('P18848', 'Q92805')"
"('P43364', 'Q99757')"
"('Q6W2J9', 'Q86SE9')"
"('Q8WXU2', 'Q9H0R8')"
"('P61247', 'P09874')"
"('Q15118', 'Q86UR5')"
"('P35626', 'A6NKK0')"
"('Q96L14', 'O15460')"
"('P63279', 'Q12962')"
"('P08651', 'Q9BRT6')"
"('Q7Z6M4', 'Q14197')"
"('Q7Z412', 'O43933')"
"('Q9UNH6', 'P16333')"
"('O15360', 'Q02224')"
"('P49721', 'P0DMN0')"
"('P05981', 'O00526')"
"('Q16665', 'P11166')"
"('Q04912', 'P07900')"
"('P55081', 'Q99728')"
"('Q9UET6', 'P49321')"
"('Q9HCH0', 'P25054')"
"('Q13009', 'O75420')"
"('P28749', 'O75884')"
"('Q9UKY1', 'Q13148')"
"('Q99598', 'P46937')"
"('O43670', 'P61088')"
"('P20020', 'P29474')"
"('Q9NYF3', 'O75420')"
"('P02545', 'O15541')"
"('Q9Y575', 'P20333')"
"('P18615', 'P25786')"
"('Q4V328', 'Q8TBA6')"
"('P13612', 'P84243')"
"('Q9Y6H1', 'P20674')"
"('P17980', 'Q9P0K7')"
"('O75771', 'Q9BVG8')"
"('Q5RKV6', 'P51858')"
"('P05412', 'Q71U36')"
"('P35637', 'Q06830')"
"('Q07065', 'P17931')"
"('P40938', 'P27635')"
"('P05386', 'Q8NHW5')"
"('P12318', 'O94903')"
"('P22694', 'Q14643')"
"('P55265', 'Q14999')"
"('P08754', 'O00329')"
"('Q8WTV0', 'Q9BT22')"
"('Q4KMZ1', 'Q2NL68')"
"('P13797', 'P00441')"
"('P61978', 'P07948')"
"('Q9UQR0', 'Q9P2P5')"
"('P62906', 'P60709')"
"('Q9BX10', 'P27635')"
"('Q96QV6', 'Q9BY41')"
"('O94985', 'P01106')"
"('Q96RT1', 'Q9NPJ6')"
"('Q14974', 'Q96MU7')"
"('P51946', 'Q14697')"
"('P09497', 'P61160')"
"('Q13490', 'Q9Y572')"
"('Q16352', 'Q969X5')"
"('P42566', 'O76013')"
"('Q9BQY4', 'P86480')"
"('Q96PU4', 'P06400')"
"('O95071', 'Q96L12')"
"('P62314', 'P08238')"
"('Q96SN8', 'Q9HC62')"
"('O75400', 'P04406')"
"('A6NMZ7', 'P18084')"
"('Q504Q3', 'P68032')"
"('Q16539', 'P49841')"
"('P62750', 'P26373')"
"('Q9H492', 'P04264')"
"('Q6NT76', 'Q86XK3')"
"('P51159', 'Q8IYJ3')"
"('Q07817', 'Q8NEY8')"
"('P13646', 'Q13618')"
"('Q13227', 'Q8WUN7')"
"('Q92993', 'Q9UPV0')"
"('Q96CP7', 'Q96BA8')"
"('P10600', 'Q15717')"
"('P23284', 'O75147')"
"('P62841', 'P27635')"
"('Q5JSJ4', 'Q8N201')"
"('P01241', 'P50395')"
"('Q13098', 'Q93034')"
"('O00716', 'Q8TAT6')"
"('P68431', 'P10809')"
"('P22626', 'Q9NRH1')"
"('Q96SB4', 'Q16539')"
"('P25116', 'P07384')"
"('Q9H9A7', 'Q9NPI8')"
"('P25685', 'Q92598')"
"('Q9NZI8', 'Q12906')"
"('Q13085', 'Q96EB6')"
"('P04629', 'Q9BZE1')"
"('Q07955', 'O43143')"
"('P62491', 'P62820')"
"('Q15788', 'P15036')"
"('Q9UL03', 'Q92900')"
"('P11831', 'P17947')"
"('P55081', 'Q96BR9')"
"('P47914', 'P36578')"
"('Q9UBI6', 'O43306')"
"('Q9HC77', 'Q5SW79')"
"('O75380', 'Q13387')"
"('O14980', 'Q9NP77')"
"('Q99496', 'Q8WU90')"
"('Q9P286', 'Q32MK0')"
"('O43676', 'Q16795')"
"('P11233', 'Q9Y333')"
"('Q13547', 'P08240')"
"('P49407', 'Q9Y6M1')"
"('P49716', 'P20292')"
"('O43597', 'Q8TAA9')"
"('Q15831', 'Q8NFZ5')"
"('P49418', 'O14964')"
"('P99999', 'Q9ULK4')"
