negatives
"('Q13618', 'Q13263')"
"('O14744', 'P49674')"
"('Q8TBB1', 'Q9NZ81')"
"('P0DP24', 'P63027')"
"('O60296', 'P33176')"
"('O75691', 'O00567')"
"('P22061', 'Q9P2K6')"
"('P02686', 'P05067')"
"('P14174', 'P04637')"
"('Q8TDM6', 'Q6ZU80')"
"('Q02833', 'A2RTX5')"
"('Q13873', 'Q9UK05')"
"('Q9P0U4', 'Q99880')"
"('Q9NP81', 'P08238')"
"('Q9BV73', 'P08709')"
"('Q04917', 'P06454')"
"('P11597', 'O15145')"
"('O14764', 'Q7Z3S9')"
"('O43924', 'P63096')"
"('P04792', 'Q99547')"
"('P50914', 'P35637')"
"('Q92574', 'Q02535')"
"('P56385', 'P62249')"
"('Q9NRF8', 'P56545')"
"('Q15008', 'Q9UQL6')"
"('P78318', 'Q13555')"
"('P07306', 'O75569')"
"('P54259', 'Q9Y219')"
"('P39023', 'P62913')"
"('P18031', 'Q8WW12')"
"('Q8NE01', 'P59991')"
"('P05362', 'P62310')"
"('Q93008', 'Q15554')"
"('O15264', 'P61204')"
"('P35268', 'P61513')"
"('Q5JTD0', 'Q9P253')"
"('Q8N960', 'Q8NFU5')"
"('Q96T58', 'Q04721')"
"('O43559', 'Q8IWL8')"
"('P29353', 'O15162')"
"('O14964', 'Q8IUR7')"
"('O95872', 'O75342')"
"('Q93009', 'Q9HCG8')"
"('P08779', 'Q9C0C4')"
"('P63279', 'Q92621')"
"('Q13362', 'P38398')"
"('P19876', 'P49238')"
"('Q63HR2', 'P48023')"
"('Q16659', 'Q96S59')"
"('P02751', 'A5YKK6')"
"('P61962', 'A2A3K4')"
"('Q04323', 'P55072')"
"('P23528', 'P05023')"
"('Q96DC9', 'Q96CS7')"
"('Q01844', 'P46926')"
"('P98155', 'O75553')"
"('Q0VG06', 'Q13472')"
"('Q9H0W5', 'P20700')"
"('Q99613', 'Q9Y3D7')"
"('O75914', 'Q02750')"
"('Q05066', 'Q09472')"
"('P17612', 'Q8NGD5')"
"('Q8N0Z3', 'Q96CS2')"
"('Q07954', 'Q15036')"
"('Q92841', 'Q15149')"
"('O15360', 'P00492')"
"('P05162', 'Q9Y6K9')"
"('P11474', 'Q8WXB4')"
"('P07900', 'Q9NQ86')"
"('P25098', 'Q8N752')"
"('Q00535', 'Q05397')"
"('P53350', 'Q9NQZ8')"
"('Q9NVS2', 'Q9UKB1')"
"('P04439', 'P63092')"
"('Q10471', 'Q00765')"
"('Q16543', 'Q8IYT8')"
"('Q14192', 'Q06547')"
"('Q9Y5B0', 'P19784')"
"('Q9NRD1', 'Q9BZQ6')"
"('O14746', 'Q9UNE7')"
"('O00124', 'Q92890')"
"('Q9BXW4', 'Q15459')"
"('P51617', 'Q13618')"
"('Q9Y6H1', 'Q12933')"
"('P28482', 'P06756')"
"('Q7Z3S9', 'Q969U7')"
"('P46778', 'P62424')"
"('Q13616', 'Q06330')"
"('Q16643', 'P23677')"
"('Q9BYV6', 'Q6P2Q9')"
"('Q01130', 'Q93034')"
"('P25705', 'O43847')"
"('P19320', 'Q92616')"
"('O75752', 'P04745')"
"('Q6P1W5', 'P52597')"
"('P58335', 'O75581')"
"('P62857', 'P05141')"
"('Q9UGU0', 'O14862')"
"('Q15738', 'Q96S94')"
"('O00159', 'O00716')"
"('P50148', 'Q9UGN5')"
"('O43765', 'P10451')"
"('O60341', 'O75626')"
"('P15884', 'O60341')"
"('P33908', 'Q03405')"
"('O43309', 'Q9UJV3')"
"('P26715', 'Q06124')"
"('Q9NSY1', 'P42566')"
"('P30307', 'P12004')"
"('Q99549', 'Q969M3')"
"('Q13616', 'O75155')"
"('Q8IVT5', 'Q8WXX5')"
"('P41182', 'P0CW20')"
"('P06576', 'P07237')"
"('Q8IUQ4', 'P40763')"
"('O76011', 'P24390')"
"('P22087', 'Q04206')"
"('P26715', 'O95393')"
"('Q16659', 'Q14147')"
"('Q9NQT4', 'O75475')"
"('Q9UGP8', 'Q00987')"
"('P12035', 'Q8IX90')"
"('Q03405', 'Q9NT22')"
"('Q9HCE1', 'O94973')"
"('Q8TEP8', 'Q9UBU9')"
"('Q9NSU2', 'Q01105')"
"('O43399', 'Q93034')"
"('P18084', 'P23229')"
"('O43719', 'P23246')"
"('Q7Z3G6', 'P05067')"
"('P80303', 'P24522')"
"('P10415', 'Q9C0C7')"
"('Q8N1L9', 'P30508')"
"('Q5VVJ2', 'Q9UPY3')"
"('P42695', 'O15020')"
"('Q04721', 'Q07157')"
"('Q99732', 'Q9NZC7')"
"('Q9BYG5', 'Q8IWV8')"
"('P29144', 'P01889')"
"('Q9Y3A3', 'P00533')"
"('Q13501', 'Q16620')"
"('Q5VTR2', 'P49459')"
"('Q8IVT5', 'Q9BQ89')"
"('Q15370', 'Q96A44')"
"('Q92685', 'Q9NY35')"
"('P21246', 'O14594')"
"('Q9UJX4', 'Q9UM11')"
"('Q14571', 'Q9H0W5')"
"('Q86VP6', 'Q9NUD5')"
"('Q9Y2M5', 'P22061')"
"('P19338', 'Q7RTV0')"
"('Q96EQ0', 'Q15848')"
"('P0DP23', 'Q9Y572')"
"('P17252', 'P62873')"
"('P62993', 'Q02543')"
"('Q9NRC8', 'O75683')"
"('Q9UIK4', 'Q9H0H5')"
"('O00463', 'O43353')"
"('Q9BVI4', 'P62081')"
"('Q8NB16', 'Q9NS91')"
"('O95999', 'P45984')"
"('P19174', 'Q9UPX8')"
"('Q09472', 'Q07817')"
"('Q96FW1', 'P04843')"
"('Q96A65', 'Q13573')"
"('P49407', 'O95218')"
"('P63151', 'Q86XL3')"
"('O00743', 'Q8NHG8')"
"('P20393', 'Q8WYA1')"
"('Q9UBY0', 'P02549')"
"('P35226', 'O14508')"
"('P61086', 'Q8TDB6')"
"('Q00653', 'P19338')"
"('Q6Y7W6', 'Q9Y2W2')"
"('P21579', 'O00305')"
"('Q49AN0', 'Q07666')"
"('Q8WXH5', 'P23458')"
"('Q9Y5B8', 'Q9Y2I6')"
"('Q969Q1', 'P45378')"
"('P29992', 'Q9BX93')"
"('O95819', 'P46087')"
"('P35520', 'P49589')"
"('Q9Y5K5', 'P29508')"
"('P04085', 'P08138')"
"('O95163', 'P53041')"
"('Q8TAM2', 'Q8IWZ6')"
"('P23443', 'P49841')"
"('Q96BA8', 'Q96HH6')"
"('Q9Y250', 'O60341')"
"('Q9H1Y0', 'P30049')"
"('O60674', 'P08238')"
"('Q14687', 'Q5RKV6')"
"('P49736', 'P61254')"
"('Q93008', 'Q9BYN0')"
"('Q9NPJ6', 'Q7RTP6')"
"('Q9H1Y0', 'P30085')"
"('P43246', 'Q99638')"
"('Q9H9G7', 'O14980')"
"('O95342', 'Q9Y618')"
"('Q13454', 'Q8N205')"
"('P27816', 'P05161')"
