recall,precision
0.13872832369942195,0.8571428571428571
0.14450867052023122,0.8620689655172413
0.15028901734104047,0.8666666666666667
0.1907514450867052,0.868421052631579
0.15606936416184972,0.8709677419354839
0.16184971098265896,0.875
0.1676300578034682,0.8787878787878788
0.12716763005780346,0.88
0.17341040462427745,0.8823529411764706
0.1329479768786127,0.8846153846153846
0.1791907514450867,0.8857142857142857
0.18497109826589594,0.8888888888888888
0.12138728323699421,0.9130434782608695
0.10404624277456648,0.9473684210526315
0.10982658959537572,0.95
0.11560693641618497,0.9523809523809523
0.005780346820809248,1.0
0.011560693641618497,1.0
0.017341040462427744,1.0
0.023121387283236993,1.0
0.028901734104046242,1.0
0.03468208092485549,1.0
0.04046242774566474,1.0
0.046242774566473986,1.0
0.05202312138728324,1.0
0.057803468208092484,1.0
0.06358381502890173,1.0
0.06936416184971098,1.0
0.07514450867052024,1.0
0.08092485549132948,1.0
0.08670520231213873,1.0
0.09248554913294797,1.0
0.09826589595375723,1.0
