negatives
"('P01889', 'O00303')"
"('P22670', 'O15198')"
"('O00463', 'P26842')"
"('P40337', 'P47914')"
"('O43149', 'P29074')"
"('P12830', 'O60315')"
"('P46940', 'P16070')"
"('Q96B18', 'P17252')"
"('Q13011', 'P01033')"
"('P60763', 'Q04206')"
"('O43639', 'Q13153')"
"('O95777', 'Q15029')"
"('Q9H201', 'Q15303')"
"('Q9NRI5', 'O75044')"
"('P56545', 'Q9UIF8')"
"('Q9GZQ8', 'Q12824')"
"('P17612', 'Q9Y478')"
"('Q9UQF2', 'P00533')"
"('P22694', 'P51828')"
"('Q00610', 'Q92844')"
"('P78371', 'Q9UHD2')"
"('O60603', 'P11142')"
"('Q7L5N1', 'P42574')"
"('Q99459', 'O43684')"
"('Q8WXG6', 'Q16849')"
"('P67870', 'P21796')"
"('P04629', 'P42338')"
"('P15170', 'Q13588')"
"('P27361', 'Q15418')"
"('P28328', 'O60683')"
"('P18621', 'P46776')"
"('O95251', 'P49736')"
"('Q13115', 'P27361')"
"('Q96CN9', 'Q8TES7')"
"('P51946', 'P30408')"
"('P27797', 'P48454')"
"('P34932', 'O15379')"
"('P18848', 'O75807')"
"('B1A4H9', 'Q9HBE5')"
"('Q16254', 'Q5TKA1')"
"('Q96KG7', 'Q8TCU4')"
"('P10147', 'P41597')"
"('Q13683', 'P13612')"
"('P08700', 'Q07812')"
"('P62837', 'O15344')"
"('P51114', 'Q14194')"
"('Q13285', 'P16333')"
"('Q9H583', 'Q9BRX2')"
"('P00533', 'P04083')"
"('P13631', 'Q9UKP3')"
"('Q9NRD5', 'P61204')"
"('Q13485', 'Q12931')"
"('P54753', 'P55196')"
"('Q16718', 'O75306')"
"('Q9BY11', 'P03928')"
"('Q9H3N1', 'P16104')"
"('Q0VAM2', 'Q07890')"
"('P61160', 'P01889')"
"('P01889', 'O60641')"
"('P13569', 'P50402')"
"('Q9P1W8', 'O43914')"
"('P42574', 'P43146')"
"('Q2TAY7', 'Q06124')"
"('Q15118', 'P10515')"
"('O43914', 'Q9NZC2')"
"('B1A4H9', 'P52333')"
"('Q9UJ41', 'Q9UJY4')"
"('P15018', 'P16471')"
"('P49792', 'P61956')"
"('Q16665', 'P17858')"
"('Q9NQ29', 'O14776')"
"('Q9Y5N6', 'O00311')"
"('P16234', 'P12931')"
"('Q9Y4K3', 'P07910')"
"('P15927', 'Q13432')"
"('P51813', 'P40763')"
"('O43570', 'P39880')"
"('P28566', 'P50150')"
"('Q2M1K9', 'Q13485')"
"('Q9BUA6', 'Q7Z406')"
"('Q8IV36', 'O15357')"
"('Q9NXG2', 'P25786')"
"('Q2VWA4', 'Q13485')"
"('Q01081', 'Q8IWX8')"
"('P25054', 'Q9UM11')"
"('Q13263', 'O14709')"
"('O14610', 'O43306')"
"('Q5T9A4', 'Q15796')"
"('P62158', 'P11233')"
"('Q13315', 'P34932')"
"('O43561', 'P12318')"
"('P00519', 'P54274')"
"('Q15910', 'P07550')"
"('Q13535', 'Q9Y2D5')"
"('Q9ULK5', 'Q92997')"
"('Q99717', 'Q9NXD2')"
"('P60709', 'P0C1Z6')"
"('Q92985', 'Q86WV6')"
"('Q9Y6A5', 'Q9UNY4')"
"('P63261', 'O43491')"
"('Q9BQY4', 'Q9BRG1')"
"('P04637', 'Q9NS56')"
"('P83369', 'P62318')"
"('P63211', 'O00555')"
"('P83881', 'P05386')"
"('Q9HCM9', 'P51965')"
"('Q9UNF0', 'Q9ULH1')"
"('P12004', 'P30480')"
"('P48729', 'P10071')"
"('Q9UKY1', 'P08670')"
"('P36873', 'Q14957')"
"('P20073', 'P05452')"
"('P01303', 'Q8TDS4')"
"('Q92608', 'O15117')"
"('P13612', 'Q13477')"
"('Q96R67', 'P38405')"
"('P19174', 'Q9NP31')"
"('P00167', 'P99999')"
"('Q0VG06', 'Q9NVI1')"
"('Q01094', 'Q92543')"
"('P14866', 'P52272')"
"('P78324', 'O60674')"
"('P50542', 'P08107')"
"('Q9BQG0', 'Q7L2E3')"
"('Q9H361', 'Q9UFF9')"
"('P45983', 'P19838')"
"('Q09472', 'Q15788')"
"('P04629', 'P48736')"
"('P01243', 'P61326')"
"('P22694', 'P25963')"
"('A6NHL2', 'Q96AH8')"
"('P15498', 'P12956')"
"('P09525', 'P55259')"
"('P00403', 'P29353')"
"('Q8IZC4', 'P01857')"
"('P60520', 'Q14145')"
"('Q96FW1', 'Q00987')"
"('P61956', 'Q96HD1')"
"('Q06187', 'P19174')"
"('P60228', 'Q9UBQ5')"
"('Q9UI95', 'P53779')"
"('Q05086', 'P53804')"
"('Q9HCE9', 'O75208')"
"('P06400', 'P05120')"
"('P84022', 'P57729')"
"('O00744', 'Q9ULV1')"
"('P29692', 'P40337')"
"('P01106', 'Q5JSL3')"
"('O75376', 'P10827')"
"('Q9UKX5', 'Q13683')"
"('P35609', 'P18206')"
"('Q9UER7', 'P63165')"
"('P05129', 'O14775')"
"('P48454', 'Q9UIK4')"
"('Q9H1D0', 'P05937')"
"('Q92769', 'Q9H160')"
"('P46379', 'Q99570')"
"('O75909', 'Q9BQY4')"
"('Q04864', 'Q8NFZ5')"
"('P04626', 'Q13671')"
"('P61513', 'P61313')"
"('Q9BT49', 'Q9GZQ8')"
"('O95487', 'Q9NQW1')"
"('P49841', 'P19838')"
"('P54253', 'Q06330')"
"('P63151', 'P23443')"
"('Q7Z3T8', 'P36896')"
"('Q9NVD7', 'P26012')"
"('Q9Y5P8', 'Q8WXS5')"
"('Q15102', 'Q5T3J3')"
"('P18206', 'O00401')"
"('O14508', 'Q05397')"
"('Q15303', 'Q13425')"
"('P20226', 'Q03014')"
"('O95985', 'Q9UKJ5')"
"('Q9NSA1', 'P35916')"
"('Q99459', 'P30153')"
"('Q9Y4K3', 'Q8N2H9')"
"('P18146', 'O75298')"
"('Q13315', 'O14639')"
"('O75400', 'Q8TAD8')"
"('Q15369', 'Q14241')"
"('Q14789', 'P11169')"
"('Q92793', 'Q9Y5Q3')"
"('P36873', 'Q99941')"
"('Q13155', 'P35968')"
"('Q8N302', 'O43508')"
"('Q13490', 'Q05195')"
"('P06239', 'P27986')"
"('Q7Z4K8', 'P04183')"
"('Q6IBW4', 'O95347')"
"('P0CG48', 'Q9UHD2')"
"('P51817', 'Q03060')"
"('Q14161', 'Q12802')"
"('P62993', 'P54762')"
"('Q14152', 'P63104')"
"('P55211', 'Q9C000')"
"('Q9NRG9', 'P49790')"
"('P08243', 'P29083')"
"('P38936', 'P55084')"
"('Q8N163', 'Q00653')"
"('P31151', 'Q96S59')"
"('Q15012', 'Q13509')"
"('P31269', 'P16581')"
"('Q9NPB6', 'Q9Y2Z0')"
"('P15260', 'P19838')"
"('Q7LDG7', 'P0C869')"
"('P06239', 'P52333')"
"('O94927', 'Q96CS2')"
"('P26373', 'P62945')"
"('P48552', 'Q13363')"
"('Q14833', 'Q9UBI6')"
"('P05106', 'O14924')"
"('Q13105', 'Q99684')"
"('Q13616', 'Q9UKT5')"
"('P52943', 'O43597')"
"('P43243', 'Q13155')"
"('Q00722', 'P52564')"
"('P51813', 'P00533')"
"('O43318', 'P62805')"
"('Q9NQB0', 'P05412')"
"('O15304', 'Q07817')"
"('Q13535', 'Q9ULM3')"
"('P30480', 'P12532')"
"('Q14164', 'Q6YN16')"
"('Q06330', 'P02741')"
"('Q9H4E7', 'P61586')"
"('P01236', 'P23284')"
"('Q9UK08', 'P63092')"
"('P29590', 'P08047')"
"('Q00005', 'Q9NY47')"
"('O15335', 'P18564')"
"('Q92569', 'Q06323')"
"('P27361', 'P05412')"
"('P54253', 'Q53G59')"
"('P62993', 'P05783')"
"('P12004', 'Q9H211')"
"('P29317', 'Q15147')"
"('P17812', 'P61981')"
"('P35544', 'P62263')"
"('P49247', 'Q9NP79')"
"('P60228', 'Q59EK9')"
"('Q15173', 'P46695')"
"('Q9HAZ1', 'P18146')"
"('O00410', 'O95166')"
"('P63215', 'Q5JWF2')"
"('O95674', 'P54259')"
"('Q15389', 'P35916')"
"('P04626', 'Q13882')"
"('P62753', 'Q99558')"
"('P08865', 'P46782')"
"('Q14498', 'A0JLT2')"
"('O15530', 'P23443')"
"('P78314', 'P16885')"
"('P56537', 'P37837')"
"('P62910', 'P18621')"
"('Q13202', 'Q16539')"
"('P61981', 'O60825')"
"('O00401', 'Q9BY11')"
"('P62258', 'Q6R327')"
"('O15524', 'P17181')"
"('P24864', 'P24941')"
"('P68371', 'Q9UI14')"
"('Q9UM54', 'Q99759')"
"('Q96C55', 'P16220')"
"('P50991', 'Q99459')"
"('P0C0S5', 'O60814')"
"('Q96GM5', 'Q8TAQ2')"
"('P41227', 'P11245')"
"('Q13976', 'O96001')"
"('Q04771', 'Q9H082')"
"('P12830', 'Q9BPW8')"
"('Q9H4K1', 'P63010')"
"('O75508', 'O95484')"
"('Q13247', 'Q15366')"
"('P30622', 'P68366')"
"('Q16637', 'Q04724')"
"('P16471', 'O60674')"
"('O43915', 'P17948')"
"('Q05655', 'Q9NYF0')"
"('O76081', 'P40222')"
"('O75791', 'Q9UQC2')"
"('P10721', 'Q9P212')"
"('Q92890', 'Q9UJX6')"
"('Q5JPE7', 'Q01780')"
"('P63165', 'Q9UBC3')"
"('Q01344', 'P32927')"
"('P02649', 'P26441')"
"('O95199', 'Q9BT78')"
"('P37235', 'P11177')"
"('O14640', 'Q8IW93')"
"('P01106', 'P49790')"
"('P61981', 'Q13523')"
"('P08865', 'P04156')"
"('Q13573', 'Q9UMS4')"
"('P61978', 'P84103')"
"('O14653', 'O75396')"
"('O95786', 'Q99558')"
"('Q8NFZ0', 'P40429')"
"('Q9BRT9', 'Q14691')"
"('A6NM45', 'Q9UDY2')"
"('Q04771', 'P62987')"
"('Q96BK5', 'Q9Y2Q5')"
"('P19174', 'Q13393')"
"('Q99816', 'Q7Z4K8')"
"('P19438', 'Q15628')"
"('Q12933', 'P27695')"
"('Q7L5N1', 'P51948')"
"('P08754', 'Q99759')"
"('P22736', 'O60806')"
"('Q68CP9', 'P38398')"
"('Q16186', 'P62258')"
"('P0CG47', 'P27448')"
"('P05556', 'Q12929')"
"('P25098', 'P12931')"
"('Q9GZN1', 'Q15906')"
"('P62316', 'P62318')"
"('Q13627', 'Q12778')"
"('O43921', 'Q15375')"
"('P11473', 'P49715')"
"('P15311', 'O00141')"
"('P18206', 'Q08380')"
"('O00141', 'O43524')"
"('P62993', 'O43597')"
"('Q96AP7', 'O14493')"
"('P35626', 'Q8NGK1')"
"('Q15714', 'Q13432')"
"('P62987', 'P62910')"
"('Q13315', 'P36954')"
"('Q15797', 'Q15771')"
"('P42336', 'P35790')"
"('P61328', 'P06213')"
"('Q9Y4K3', 'Q16543')"
"('P43405', 'Q05397')"
"('Q13242', 'Q08170')"
"('O75928', 'P51610')"
"('Q13315', 'Q07955')"
"('Q15306', 'Q14534')"
"('P51991', 'Q08211')"
"('P25791', 'P42224')"
"('P49736', 'P11802')"
"('O15264', 'Q9Y266')"
"('O00744', 'Q9NPG1')"
"('Q16777', 'P23527')"
"('P30086', 'P28482')"
"('Q96QV6', 'Q96A08')"
"('Q04721', 'Q8IZL2')"
"('P01106', 'Q9BSJ2')"
"('Q9Y5B9', 'P68400')"
"('Q06124', 'Q13191')"
"('P55040', 'P31946')"
"('Q14344', 'O14641')"
"('P24928', 'Q8N163')"
"('P22681', 'P10721')"
"('P62070', 'O00329')"
"('Q53ET0', 'P16220')"
"('P78536', 'P10586')"
"('P30101', 'Q8N8Z6')"
"('Q9HCK4', 'O43295')"
"('Q6MZQ0', 'P42345')"
"('Q12955', 'P84022')"
"('O94915', 'Q9NRI5')"
"('Q9H814', 'P62826')"
"('Q6VMQ6', 'Q16651')"
"('P12830', 'P11362')"
"('Q5EB52', 'Q92845')"
"('P27695', 'P78527')"
"('Q8TB24', 'O00499')"
"('Q9GZY6', 'P62993')"
"('O14904', 'P56704')"
"('Q8TEY5', 'Q53ET0')"
"('P30480', 'P40939')"
"('Q9H8S9', 'Q9BQD3')"
"('P31751', 'O43524')"
"('Q9UKV8', 'P12956')"
"('P51948', 'Q86YV9')"
"('P08670', 'P19838')"
"('Q15427', 'Q13435')"
"('Q00987', 'P26447')"
"('Q9BPX1', 'Q6ZVK8')"
"('Q8NGR2', 'P38405')"
"('P31947', 'Q9Y2U9')"
"('P62310', 'P51681')"
"('P34810', 'Q01543')"
"('P37802', 'P30480')"
"('P35442', 'P13612')"
"('O95484', 'O95832')"
"('Q6P0Q8', 'P04183')"
"('Q8TAD8', 'Q8N2W9')"
"('P53355', 'P62753')"
"('Q9H0E9', 'Q15014')"
"('P38936', 'O14576')"
"('Q9GZR7', 'Q15102')"
"('114614', 'P61586')"
"('P36507', 'Q13573')"
"('P21333', 'P62993')"
"('P04049', 'Q07890')"
"('Q9Y3U8', 'Q96JB5')"
"('Q12834', 'Q9NS23')"
"('Q92905', 'Q9BXR0')"
"('P35222', 'Q96QZ7')"
"('Q8HWS3', 'P48380')"
"('P61981', 'Q9P0L2')"
"('P63098', 'O95644')"
"('Q99714', 'Q8WZA2')"
"('P63104', 'P54253')"
"('O15524', 'P06241')"
"('Q13315', 'Q14562')"
"('Q8IY63', 'Q86UL8')"
"('Q9P2K6', 'Q9UMX0')"
"('P61981', 'P10398')"
"('P63104', 'Q96RK0')"
"('P16220', 'P35680')"
"('P46379', 'Q15388')"
"('Q96B97', 'Q13153')"
"('P43686', 'Q15008')"
"('P15248', 'Q8N6P7')"
"('P04222', 'P25205')"
"('P49674', 'Q9BZL6')"
"('P01106', 'Q9Y2R4')"
"('Q99460', 'Q9UMX0')"
"('Q3ZCQ8', 'Q13233')"
"('Q8IXH7', 'Q9Y4R7')"
"('Q10570', 'P62140')"
"('Q08209', 'O94916')"
"('Q13547', 'Q06330')"
"('P23786', 'P61421')"
"('Q9BUE0', 'Q9NWA0')"
"('P43364', 'Q05516')"
"('Q6P1K2', 'Q16236')"
"('P78536', 'P26045')"
"('Q96GD3', 'P19367')"
"('P18146', 'Q9H845')"
"('Q99962', 'P04629')"
"('P17301', 'Q14192')"
"('Q15759', 'P15407')"
"('Q9H4P4', 'Q99816')"
"('P35222', 'P49840')"
"('Q9NYB0', 'P16104')"
"('P10828', 'Q92569')"
"('P02647', 'P06576')"
"('P32121', 'Q8NGK2')"
"('P62993', 'Q13905')"
"('P25445', 'Q9NXR7')"
"('P60953', 'Q9UQB8')"
"('P0CG48', 'O00303')"
"('P21283', 'P62330')"
"('P12931', 'Q9H5V8')"
"('Q7Z2W4', 'P42224')"
"('O14737', 'P26641')"
"('P55011', 'O60266')"
"('P43626', 'O95425')"
"('P84103', 'P52272')"
"('P01111', 'Q9NZL6')"
"('P35544', 'P08708')"
"('P30305', 'P31946')"
"('O43147', 'P02771')"
"('Q9UNN5', 'Q9UBS4')"
"('Q96R06', 'Q7Z460')"
"('P08700', 'Q99665')"
"('Q92956', 'Q9Y230')"
"('P01106', 'P18669')"
"('P30307', 'Q16539')"
"('Q9ULU4', 'P54259')"
"('P01135', 'Q86UL8')"
"('P06239', 'Q9H204')"
"('Q8IZT6', 'P56537')"
"('Q6PD62', 'O15514')"
"('O14640', 'Q9NYF0')"
"('P29474', 'Q8TD86')"
"('Q13315', 'Q16822')"
"('O60671', 'Q9UJX2')"
"('P36873', 'P61244')"
"('P22670', 'P08651')"
"('P58753', 'Q9NWZ3')"
"('P03901', 'Q16795')"
"('P01563', 'Q969J5')"
"('Q9Y286', 'O75815')"
"('Q9BQ04', 'P25054')"
"('Q9NR61', 'Q9UM47')"
"('P13010', 'P16104')"
"('O00487', 'P35998')"
"('Q9UPN9', 'Q8IY57')"
"('Q99689', 'Q9H5J8')"
"('O00422', 'Q86V81')"
"('P68366', 'P16871')"
"('P05109', 'Q00005')"
"('Q99558', 'P19338')"
"('Q8N5W9', 'Q05516')"
"('O14727', 'P99999')"
"('P20073', 'O60551')"
"('P98082', 'Q13526')"
"('P02778', 'P51686')"
"('Q6DT37', 'P60953')"
"('Q9UNA4', 'Q15038')"
"('Q15109', 'P50281')"
"('P10145', 'P61073')"
"('Q01081', 'P52756')"
"('P31946', 'P21580')"
"('Q16795', 'O95182')"
"('Q02447', 'Q92819')"
"('P18146', 'Q9Y314')"
"('P62851', 'P62847')"
"('P08581', 'P19174')"
"('Q92620', 'Q8IWZ8')"
"('P68400', 'P62805')"
"('Q9UBN7', 'P06400')"
"('O00175', 'P51679')"
"('P98175', 'P61978')"
"('P26010', 'Q7Z6G8')"
"('Q8TD86', 'Q14028')"
"('Q15139', 'O60602')"
"('O75448', 'P49336')"
"('O60318', 'Q9NYQ7')"
"('P34932', 'P25963')"
"('Q9NY93', 'Q8IY81')"
"('P08246', 'Q96KQ7')"
"('P61964', 'P16220')"
"('P01106', 'Q8TE02')"
"('Q08999', 'P24864')"
"('P15884', 'O15105')"
"('Q9HC62', 'P49790')"
"('Q9NW08', 'P52434')"
"('O00241', 'O43914')"
"('O95208', 'P07949')"
"('O00410', 'Q9H0R8')"
"('P19174', 'Q96LZ3')"
"('Q9NRG4', 'Q15459')"
"('O15533', 'P30466')"
"('Q99832', 'P36542')"
"('Q01081', 'P67809')"
"('O14686', 'Q13573')"
"('Q13404', 'Q13177')"
"('Q8N2H9', 'O43318')"
"('P62829', 'P25963')"
"('Q8IUC6', 'Q8N2W9')"
"('Q12824', 'Q92925')"
"('P04183', 'P46013')"
"('Q00005', 'Q06432')"
"('Q14691', 'Q9BRX5')"
"('P10124', 'Q6PGN9')"
"('P07996', 'P18564')"
"('Q9P1U1', 'Q8N163')"
"('Q13573', 'O60443')"
"('P26378', 'Q9NZI8')"
"('P09429', 'P27695')"
"('Q07889', 'P05783')"
"('P11171', 'O14936')"
"('P05014', 'P10912')"
"('Q86WN2', 'P14784')"
"('O75410', 'Q8NHU6')"
"('Q13237', 'P26678')"
"('Q93062', 'P61978')"
"('O15111', 'P04792')"
"('P06241', 'O43900')"
"('P62316', 'Q2TAY7')"
"('P04439', 'P43632')"
"('P62714', 'Q9Y6E0')"
"('O00193', 'P23508')"
"('P09619', 'Q15256')"
"('O60346', 'P31751')"
"('P33076', 'P04233')"
"('P62993', 'Q9BRR0')"
"('Q14296', 'Q13137')"
"('Q96S38', 'P30048')"
"('O96019', 'P62805')"
"('P01571', 'Q08334')"
"('O95185', 'P43146')"
"('P01570', 'Q14626')"
"('Q13535', 'Q8ND82')"
"('P19838', 'P29460')"
"('Q00653', 'P07437')"
"('P00533', 'P42338')"
"('P18077', 'P83731')"
"('Q9H334', 'Q8IVH2')"
"('O14544', 'P23458')"
"('O14879', 'Q7Z434')"
"('Q9UI95', 'Q6ZVL6')"
"('P61163', 'Q99459')"
"('O60675', 'Q16665')"
"('P38936', 'P06493')"
"('Q13227', 'P57077')"
"('Q9UKW4', 'Q9H0H5')"
"('Q9HAU5', 'O95057')"
"('Q9Y6W8', 'O00459')"
"('P63279', 'Q9Y620')"
"('Q93100', 'P06737')"
"('P05013', 'P08887')"
"('P23434', 'Q05516')"
"('P12931', 'P24385')"
"('P56537', 'Q9BX66')"
"('Q9UPQ4', 'Q5VVX9')"
"('P37173', 'P49716')"
"('O60675', 'O14867')"
"('P61457', 'Q6ZVK8')"
"('P42224', 'P52294')"
"('P62158', 'O14827')"
"('Q96BK5', 'Q08211')"
"('Q8IZL8', 'Q9Y4W2')"
"('Q8NDV3', 'O95072')"
"('Q13526', 'Q9Y6H5')"
"('P84022', 'P21980')"
"('P28482', 'P10828')"
"('Q15700', 'Q9GZV5')"
"('P01568', 'P32927')"
"('Q03060', 'Q6UUV9')"
"('Q99459', 'P52701')"
"('P08670', 'Q9UGL9')"
"('O15111', 'P60660')"
"('P10600', 'P37023')"
"('Q9BWU1', 'Q96HR3')"
"('Q14790', 'Q02818')"
"('P46776', 'Q02878')"
"('Q9Y478', 'Q9UL03')"
"('Q16637', 'Q9BUJ2')"
"('P27348', 'P38919')"
"('P27348', 'P40818')"
"('Q14192', 'Q01196')"
"('Q96QV6', 'Q96DB2')"
"('Q9UPN7', 'O15084')"
"('Q00975', 'Q02410')"
"('Q8IY57', 'P35226')"
"('P54727', 'O95967')"
"('P04141', 'P26992')"
"('P20248', 'Q13616')"
"('P16104', 'Q8NCW5')"
"('Q9Y3P9', 'P05106')"
"('P09471', 'Q16539')"
"('Q15811', 'Q8TAQ2')"
"('P49736', 'Q13368')"
"('P30480', 'O15372')"
"('Q99558', 'P62917')"
"('O14640', 'Q9NPI1')"
"('Q96D15', 'Q8WUY3')"
"('Q9Y6N5', 'P84022')"
"('P04183', 'Q13596')"
"('P04637', 'Q13794')"
"('Q9UKL0', 'P17542')"
"('P25208', 'Q15011')"
"('Q15714', 'Q14194')"
"('Q07812', 'Q9Y371')"
"('O95295', 'Q92993')"
"('Q16627', 'P46092')"
"('Q9UQM7', 'P27361')"
"('P01130', 'P17948')"
"('Q9GZQ8', 'Q9H492')"
"('P59901', 'P31995')"
"('P0CG47', 'Q8IYW5')"
"('Q9UQM7', 'P15336')"
"('P04908', 'P56524')"
"('Q96EP0', 'Q9Y6K9')"
"('Q9Y6K1', 'O75530')"
"('Q13432', 'Q8TDN6')"
"('Q6P1J9', 'O00512')"
"('Q16777', 'Q96A08')"
"('Q05516', 'Q96ST3')"
"('O60814', 'Q96RL1')"
"('Q86US8', 'P67775')"
"('Q96BK5', 'Q96QV1')"
"('O75643', 'Q9Y333')"
"('Q13315', 'P05814')"
"('Q9H4A3', 'Q02750')"
"('P33981', 'Q6WCQ1')"
"('Q92529', 'Q13480')"
"('Q9NRR5', 'O14764')"
"('Q9UKK9', 'Q16659')"
"('Q9UJY4', 'P36406')"
"('Q99941', 'P15336')"
"('Q13635', 'P06493')"
"('P60953', 'Q5VT25')"
"('P31947', 'Q8WUI4')"
"('Q9NRN7', 'Q99750')"
"('Q14469', 'Q9NPD8')"
"('O76011', 'Q92796')"
"('Q5VZM2', 'Q9HB90')"
"('Q9Y6I3', 'P00533')"
"('Q99933', 'P08107')"
"('P23528', 'Q15750')"
"('O00221', 'P08238')"
"('P30466', 'P43628')"
"('Q13137', 'Q8N2W9')"
"('Q15036', 'Q15788')"
"('Q969T4', 'P25963')"
"('Q12986', 'Q13242')"
"('Q9NVZ3', 'O15162')"
"('Q9HAV0', 'O60840')"
"('Q14781', 'P51784')"
"('Q9GZT8', 'P32321')"
"('Q9BQ89', 'P55157')"
"('P08651', 'P22670')"
"('P62266', 'P62273')"
"('O75822', 'O75528')"
"('Q9HCK5', 'P36542')"
"('Q16512', 'Q96B18')"
"('P62136', 'Q12879')"
"('P84085', 'P53365')"
"('Q53ET0', 'P15336')"
"('Q01094', 'P09382')"
"('Q92993', 'P17028')"
"('Q04206', 'Q99684')"
"('O00159', 'Q9H251')"
"('Q6UUV7', 'P61981')"
"('Q5JWF2', 'Q99614')"
"('P08123', 'Q13797')"
"('P07900', 'Q9UNE7')"
"('P42858', 'Q02779')"
"('Q4KWH8', 'Q05655')"
"('Q9Y230', 'Q9UKE5')"
"('Q9UPU5', 'Q99459')"
"('O94875', 'P62258')"
"('Q03001', 'Q9NRI5')"
"('P52630', 'Q01628')"
"('O15371', 'P55884')"
"('Q15746', 'Q01449')"
"('O75396', 'P40337')"
"('O95718', 'P62195')"
"('P09917', 'Q16873')"
"('P11940', 'Q92900')"
"('O14939', 'P04406')"
"('O14495', 'P08648')"
"('Q08881', 'Q09472')"
"('O94916', 'O60343')"
"('P17302', 'P04350')"
"('P26373', 'P40429')"
"('Q9P2I0', 'Q9UKF6')"
"('O15360', 'O15111')"
"('O75461', 'Q15054')"
"('P46109', 'P04626')"
"('Q9NPF7', 'Q13568')"
"('P02766', 'Q9BT40')"
"('Q8TB24', 'P62993')"
"('P18206', 'P06576')"
"('Q9Y4X3', 'P32246')"
"('Q13568', 'P49796')"
"('Q99459', 'P48382')"
"('Q99569', 'Q9NPF4')"
"('P01106', 'Q9NRZ9')"
"('P98160', 'Q14118')"
"('P61964', 'Q9ULM3')"
"('Q13315', 'Q15291')"
"('Q16288', 'P62993')"
"('P16871', 'P04350')"
"('P20073', 'P08670')"
"('P29353', 'O15162')"
"('Q15303', 'Q16665')"
"('O15111', 'Q9H467')"
"('P35579', 'P08238')"
"('P15170', 'P24863')"
"('O95500', 'P78369')"
"('Q9UIC8', 'Q15750')"
"('P07288', 'P02768')"
"('Q13616', 'Q99618')"
"('P14550', 'Q9Y4K3')"
"('O15264', 'P31946')"
"('P12034', 'P08069')"
"('P61026', 'P14672')"
"('Q13114', 'Q99558')"
"('Q6ZU52', 'Q9BUH8')"
"('Q8TF72', 'Q99459')"
"('Q2M1K9', 'O95197')"
"('Q16586', 'Q16585')"
"('Q14790', 'Q9BXL7')"
"('Q96BK5', 'P18146')"
"('Q15047', 'Q9H9J2')"
"('P18084', 'Q14315')"
"('Q16665', 'P52789')"
"('Q9NXU5', 'P32969')"
"('P09211', 'Q16539')"
"('Q96L34', 'P62258')"
"('P05976', 'P16871')"
"('Q9GZR7', 'Q13813')"
"('Q8N6Y0', 'Q96GM5')"
"('P84996', 'P47712')"
"('O00422', 'O75446')"
"('P49459', 'Q14194')"
"('Q08211', 'P11387')"
"('P0CG48', 'P31749')"
"('Q99608', 'Q96G23')"
"('Q13094', 'P12931')"
"('P32881', 'P52333')"
"('Q15173', 'Q9Y698')"
"('406933', 'Q96JJ3')"
"('P12956', 'P55769')"
"('P34820', 'Q96NZ8')"
"('Q14164', 'P54577')"
"('Q9UMZ2', 'O75843')"
"('P83916', 'Q13315')"
"('P35243', 'Q15835')"
"('O60739', 'P67870')"
"('Q5JVS0', 'Q01130')"
"('O76013', 'Q9NX58')"
"('Q96NA2', 'P68371')"
"('Q5T5P2', 'O43639')"
"('Q5SRE5', 'P35658')"
"('P57739', 'Q9BQ66')"
"('Q12933', 'O15015')"
"('Q9UGM3', 'Q96JB5')"
"('Q16795', 'O00483')"
"('Q9UKV8', 'P47914')"
"('P28562', 'Q12906')"
"('P22612', 'Q9UK08')"
"('P18146', 'Q9Y222')"
"('Q14315', 'P16144')"
"('Q9UHX1', 'Q05519')"
"('Q9UNN5', 'P61224')"
"('Q9NX58', 'Q9UKE5')"
"('P84243', 'Q09472')"
"('P05386', 'O43809')"
"('Q7L5N1', 'P04150')"
"('P27986', 'Q15366')"
"('Q96RI0', 'Q5JWF2')"
"('Q99962', 'P35968')"
"('Q96AT9', 'Q01780')"
"('Q9P2X0', 'O94777')"
"('P05091', 'Q13352')"
"('Q9Y5W5', 'Q93097')"
"('P68032', 'P07384')"
"('P30480', 'Q16658')"
"('P33076', 'O43242')"
"('P62993', 'Q9P0K7')"
"('Q96BY6', 'P15153')"
"('Q9HCU9', 'P07900')"
"('Q15370', 'Q14241')"
"('Q8IWB4', 'P02768')"
"('Q9Y478', 'P11940')"
"('Q14012', 'P29474')"
"('O95568', 'Q9NRH1')"
"('P12830', 'P00533')"
"('P24941', 'P24864')"
"('Q5C9Z4', 'Q96T60')"
"('Q99062', 'P40763')"
"('Q53TQ3', 'Q9C086')"
"('Q9Y463', 'P20823')"
"('Q07020', 'P18621')"
"('P09629', 'P13010')"
"('P78396', 'Q9HAV4')"
"('Q9NPH3', 'Q15628')"
"('Q16875', 'P31749')"
"('P01857', 'P35542')"
"('P48454', 'Q13936')"
"('Q9Y490', 'P05556')"
"('O94806', 'Q9ULK5')"
"('Q9ULK4', 'P41235')"
"('P57739', 'O75970')"
"('Q08345', 'P41220')"
"('P62081', 'P62753')"
"('Q9UNS2', 'Q13098')"
"('Q9GZS3', 'O75150')"
"('O75159', 'P42229')"
"('Q15744', 'O75925')"
"('P05386', 'P61313')"
"('Q92900', 'Q6P2E9')"
"('P17655', 'P18031')"
"('P35626', 'Q8NGK2')"
"('Q93009', 'Q96JH8')"
"('Q5HYC2', 'P60953')"
"('P18031', 'P12931')"
