negatives
"('P99999', 'P01889')"
"('P07900', 'Q9H7B4')"
"('O00471', 'Q8TAG9')"
"('Q92769', 'Q7L7L0')"
"('P51965', 'O00762')"
"('Q969H0', 'Q9H3D4')"
"('Q6ZVN8', 'P22004')"
"('P17275', 'P24385')"
"('Q99750', 'Q9NQX5')"
"('Q15796', 'P12757')"
"('P22612', 'Q9UBI6')"
"('O60496', 'O60232')"
"('P00167', 'P41235')"
"('P23467', 'P09382')"
"('P18627', 'Q9HC77')"
"('Q12933', 'Q5D1E8')"
"('P04637', 'O14920')"
"('Q13315', 'O60506')"
"('Q14164', 'P55209')"
"('Q969Y2', 'Q92597')"
"('Q92985', 'Q13568')"
"('P35240', 'Q9Y4J8')"
"('Q3ZCQ8', 'P25963')"
"('P20226', 'P51784')"
"('Q15233', 'Q01201')"
"('O15259', 'Q9Y283')"
"('P01106', 'P08575')"
"('P49902', 'Q9BVI4')"
"('O96014', 'Q9H1J7')"
"('P68371', 'P16871')"
"('P20337', 'Q13485')"
"('P11532', 'P05787')"
"('O43639', 'Q14185')"
"('P62263', 'P62244')"
"('Q96CN9', 'Q9Y2J4')"
"('O43741', 'P04637')"
"('O75400', 'P18583')"
"('P15260', 'O60674')"
"('Q00005', 'Q562F6')"
"('Q12959', 'P36507')"
"('O75367', 'P06899')"
"('P61978', 'Q05519')"
"('Q9BQA1', 'Q9HCK5')"
"('Q9BQ83', 'P49720')"
"('Q15811', 'P61086')"
"('P04085', 'P08069')"
"('Q16539', 'O95644')"
"('Q75N90', 'P38936')"
"('P32121', 'Q9Y585')"
"('Q96E22', 'Q9H7T3')"
"('406961', 'Q9UQ03')"
"('P35680', 'P20823')"
"('Q02556', 'O00206')"
"('P62979', 'P25963')"
"('P46777', 'Q92901')"
"('Q9GZV5', 'P28347')"
"('P61927', 'P62424')"
"('Q9H1Y0', 'P30084')"
"('Q92597', 'P31943')"
"('O15511', 'Q07889')"
"('Q01804', 'O94817')"
"('Q99759', 'P62829')"
"('Q00987', 'Q8N9B5')"
"('Q9H0E9', 'Q9Y230')"
"('P22736', 'Q9NQX6')"
"('O75970', 'O14493')"
"('P01241', 'Q5VWK5')"
"('P63261', 'P62328')"
"('O75578', 'P46108')"
"('Q10586', 'Q92769')"
"('Q07817', 'Q99933')"
"('Q9NRQ2', 'Q9NV56')"
"('P17676', 'P10914')"
"('P46109', 'Q9UQC2')"
"('O75925', 'P08151')"
"('P11511', 'P49716')"
"('Q15428', 'P49756')"
"('Q14164', 'O75716')"
"('P20749', 'Q04864')"
"('O60880', 'O43699')"
"('Q9HCE7', 'P17480')"
"('Q8NGJ4', 'P38405')"
"('P59768', 'Q99677')"
"('P10301', 'P10398')"
"('O60814', 'P0C5Z0')"
"('O94817', 'Q96QR1')"
"('Q13616', 'Q9NQR1')"
"('P49841', 'Q92837')"
"('Q9Y6R4', 'P0CG48')"
"('O15297', 'Q13315')"
"('Q6UB35', 'Q15008')"
"('P22694', 'Q14571')"
"('Q96KS0', 'Q99814')"
"('P09871', 'P02747')"
"('Q99623', 'O15379')"
"('Q14209', 'Q9H211')"
"('P36578', 'P62424')"
"('P60568', 'P17181')"
"('Q9Y2X8', 'P98170')"
"('Q9BY44', 'P41091')"
"('Q92643', 'P05187')"
"('O15287', 'Q14469')"
"('Q9H2U1', 'Q6R327')"
"('Q9Y5V3', 'P56178')"
"('Q9Y316', 'P04626')"
"('Q14653', 'O95786')"
"('Q3ZCM7', 'Q13233')"
"('P05783', 'P27348')"
"('P01889', 'P22309')"
"('Q9UJY4', 'Q9NZD8')"
"('P0C1Z6', 'Q9H9F9')"
"('P31751', 'P25963')"
"('P49411', 'Q00005')"
"('Q12933', 'Q9Y230')"
"('Q99459', 'Q8NE71')"
"('P46821', 'Q9H492')"
"('Q68DC2', 'Q96CW1')"
"('P60660', 'P16871')"
"('P51531', 'O14497')"
"('Q96BY6', 'P61587')"
"('P19438', 'P62829')"
"('P01374', 'Q92956')"
"('O15198', 'Q8IZL8')"
"('Q13153', 'O75369')"
"('Q02543', 'P62987')"
"('O95685', 'P06241')"
"('Q8NCM8', 'Q9BQE3')"
"('Q9UN86', 'Q04206')"
"('Q9HBU9', 'P78543')"
"('Q14627', 'P29597')"
"('O14497', 'P51532')"
"('Q8TEX9', 'Q9NVP2')"
"('O75400', 'Q15911')"
"('Q8TCG1', 'Q9Y4K3')"
"('Q6DKK2', 'Q7Z699')"
"('Q9Y4G6', 'Q13797')"
"('P08246', 'P10809')"
"('O15264', 'P30101')"
"('Q9Y478', 'Q13797')"
"('Q9UK32', 'Q9UKR5')"
"('P20333', 'P48594')"
"('Q13546', 'P63000')"
"('P08246', 'P49913')"
"('P35249', 'P35251')"
"('Q9UJM3', 'P01133')"
"('Q9Y265', 'Q96AV8')"
"('P51693', 'P38936')"
"('P62993', 'P06241')"
"('P63000', 'Q15628')"
"('P84090', 'P11142')"
"('P62140', 'P46019')"
"('Q13555', 'Q9UKV0')"
"('P16104', 'Q9Y5B9')"
"('P62487', 'P53803')"
"('Q9BS18', 'P30260')"
"('O96033', 'P32969')"
"('P28482', 'Q13233')"
"('442917', 'O95980')"
"('O15467', 'P51677')"
"('O60296', 'P47870')"
