negatives
"('P36894', 'Q13873')"
"('P01100', 'P10826')"
"('O43678', 'P03897')"
"('P51817', 'P13807')"
"('O75695', 'Q13432')"
"('O15516', 'O00327')"
"('Q9UF33', 'Q8N5V2')"
"('Q92574', 'Q8TDY2')"
"('Q13796', 'P12931')"
"('P22460', 'Q13424')"
"('P10276', 'P55317')"
"('Q01105', 'P63104')"
"('P42681', 'Q9UKW4')"
"('Q99750', 'Q8WV24')"
"('P62993', 'O75832')"
"('O95782', 'P08729')"
"('Q15797', 'Q9H160')"
"('O43747', 'Q9Y6Q5')"
"('P24666', 'P56537')"
"('P51116', 'Q8N5I3')"
"('P54646', 'Q13131')"
"('O14576', 'Q13509')"
"('Q9UKY1', 'P21673')"
"('Q13557', 'Q09472')"
"('Q8N257', 'Q8WUI4')"
"('Q02556', 'Q13098')"
"('P54646', 'Q15654')"
"('Q16630', 'P52298')"
"('Q92625', 'P00533')"
"('Q9UBI6', 'O00555')"
"('P18621', 'P63173')"
"('Q6P1J9', 'P02774')"
"('Q8TBB1', 'Q12933')"
"('Q6UXN9', 'Q96A08')"
"('P04637', 'Q15672')"
"('Q09013', 'P04049')"
"('P46109', 'P56945')"
"('Q05516', 'Q9Y2Z9')"
"('Q9NYJ8', 'O15379')"
"('Q9NX70', 'Q9P086')"
"('Q9Y259', 'P02768')"
"('Q9Y508', 'O14933')"
"('P0CG48', 'O00303')"
"('Q03468', 'P04637')"
"('Q8IZC6', 'P08514')"
"('Q9Y219', 'Q04721')"
"('P62829', 'P61513')"
"('Q8IZT6', 'Q9NRG4')"
"('P47985', 'Q9H8Y8')"
"('Q7L2E3', 'P55854')"
"('Q15750', 'P38646')"
"('P46379', 'A6NHT5')"
"('O15197', 'P41182')"
"('P09661', 'Q14164')"
"('Q04206', 'P23246')"
"('P20618', 'P49662')"
"('Q13404', 'Q96P09')"
"('Q6VN20', 'Q9C0A0')"
"('P05771', 'O14807')"
"('Q15717', 'P61026')"
"('Q9H4L4', 'P62280')"
"('Q9UKV8', 'P54105')"
"('Q92583', 'P46092')"
"('P05556', 'O15230')"
"('Q96T58', 'P35548')"
"('Q96BR9', 'P15622')"
"('Q8IUE6', 'Q8N257')"
"('P10244', 'P47712')"
"('P18146', 'P33151')"
"('Q8IYD8', 'P49760')"
"('Q9Y4K3', 'P51148')"
"('P09769', 'Q92608')"
"('P46777', 'P83881')"
"('O43561', 'P22681')"
"('P12236', 'Q12873')"
"('P00441', 'P16871')"
"('Q5VVX9', 'Q9NYG5')"
"('P0CG48', 'Q15303')"
"('406884', 'P01111')"
"('P18206', 'P60673')"
"('Q9NPJ3', 'P23508')"
"('P25787', 'P40306')"
"('P51571', 'Q13233')"
"('Q96R06', 'Q9H816')"
"('Q9NTI5', 'Q14683')"
"('Q9Y4K3', 'Q15631')"
"('Q96EB6', 'O15350')"
"('Q15796', 'P27708')"
"('P07199', 'P49841')"
"('P11362', 'P10144')"
"('Q92561', 'P51681')"
"('P25025', 'P04899')"
"('P07900', 'Q12809')"
"('O94868', 'P55072')"
"('Q9H1A4', 'Q9UJX4')"
"('P62917', 'P84098')"
"('P61353', 'P62913')"
"('Q92956', 'Q8WWC4')"
"('P08238', 'P31749')"
"('Q9BQG0', 'P10275')"
"('O15379', 'P29374')"
"('Q9Y572', 'P19105')"
"('P41159', 'Q9HBE5')"
"('Q71UI9', 'Q96DB2')"
"('Q13105', 'P62256')"
"('O75175', 'Q9UFF9')"
"('P30511', 'Q8N109')"
"('Q99466', 'Q9UBG7')"
"('Q14974', 'P20333')"
"('Q00653', 'P0CG48')"
"('Q13404', 'O94941')"
"('Q15369', 'Q96S21')"
"('Q14188', 'O43463')"
"('P62945', 'P61927')"
"('P46109', 'P42768')"
"('Q92793', 'P53779')"
"('P04908', 'P06899')"
"('P05771', 'P01111')"
"('P13693', 'P11171')"
"('O95817', 'Q13501')"
"('P32320', 'O15131')"
"('Q9NP79', 'P49841')"
"('Q03001', 'Q96EV8')"
"('P22626', 'Q15365')"
"('P18146', 'Q9ULZ2')"
"('P32121', 'Q96R48')"
"('P04637', 'P61289')"
"('Q5JY77', 'Q6RW13')"
"('O15371', 'P30480')"
"('P11684', 'P98164')"
"('O15287', 'Q8N2Z9')"
"('P62140', 'Q02641')"
"('Q13404', 'Q9C035')"
"('P55210', 'O15392')"
"('Q9Y6K9', 'P46783')"
"('Q9NYY1', 'P38484')"
"('P51617', 'Q03135')"
"('P26641', 'Q92597')"
"('P14406', 'P16220')"
"('P52790', 'P28799')"
"('Q15303', 'P0CG47')"
"('Q8WVM8', 'Q9P2Y5')"
"('P01106', 'P55273')"
"('Q8IYB3', 'P09651')"
"('P23458', 'P35568')"
"('O75438', 'O00217')"
"('O14639', 'Q9BUH8')"
"('P22694', 'P14415')"
"('Q9BY41', 'P58876')"
"('P10412', 'Q9UGN5')"
"('Q9UL18', 'P61247')"
"('Q03167', 'P37023')"
"('P63096', 'P47712')"
"('P26441', 'P19235')"
"('Q92900', 'Q9BZI7')"
"('P50150', 'P40145')"
"('P63165', 'P49792')"
"('Q9H1D9', 'P53803')"
"('P22234', 'Q9UET6')"
"('407040', 'P01106')"
"('P32121', 'Q6IEV9')"
"('P78352', 'Q15334')"
"('Q14134', 'Q96JP2')"
"('O14495', 'P41182')"
"('Q14683', 'Q14676')"
"('O95169', 'Q9Y6M9')"
"('O43586', 'Q9Y6E2')"
"('Q13315', 'Q9H4Z2')"
"('Q9BVJ7', 'Q9BYC9')"
"('Q16514', 'Q86TJ2')"
"('Q96M61', 'Q8TBB1')"
"('O75381', 'Q8TAQ2')"
"('P01308', 'P08069')"
"('P50150', 'Q9HBW0')"
"('Q13485', 'Q02078')"
"('Q96FA3', 'Q9Y4K3')"
"('O94806', 'Q8TAA9')"
"('O00459', 'O00329')"
"('P46459', 'Q9Y383')"
"('P04183', 'Q5R3I4')"
"('Q99741', 'P25205')"
"('Q9UNS2', 'Q9Y239')"
"('P00533', 'Q7Z7G1')"
"('Q13467', 'P35222')"
"('P51532', 'P45973')"
"('P09919', 'Q13651')"
"('Q3ZCM7', 'Q13409')"
"('P00505', 'P30504')"
"('Q5RL73', 'P38936')"
"('Q16663', 'P51679')"
"('Q7KZI7', 'Q04917')"
"('Q15653', 'P07437')"
"('Q8IUC6', 'Q6SZW1')"
"('P63104', 'Q07889')"
"('Q7L5A8', 'Q9NRR5')"
"('Q8NI60', 'Q14197')"
"('P27361', 'P01112')"
"('P63000', 'Q9Y3L3')"
"('P61218', 'Q8N7H5')"
"('Q9Y6K9', 'Q8TEL6')"
"('P11309', 'P34896')"
"('P08727', 'O15287')"
"('Q8IWX8', 'P63244')"
"('Q7RTN6', 'Q9UGI9')"
"('Q92574', 'Q16539')"
"('Q9BPY3', 'P62879')"
"('Q7LG56', 'O60934')"
"('Q96BK5', 'P46783')"
"('Q9H5J8', 'Q15910')"
"('P54762', 'Q14451')"
"('Q9Y478', 'P56192')"
"('P35268', 'P61254')"
"('P21673', 'Q9BQ70')"
"('Q9H339', 'P38405')"
"('P46063', 'P27694')"
"('O60504', 'Q6UY14')"
"('Q15714', 'Q96S59')"
"('Q9UBB5', 'Q92769')"
"('O15020', 'P25054')"
"('Q16363', 'P68104')"
"('P04156', 'Q07812')"
"('Q9BQC6', 'P11171')"
"('Q9UI95', 'O43684')"
"('Q9BTP7', 'Q9HB96')"
"('P56748', 'O00501')"
"('Q7Z434', 'Q96EQ8')"
"('O15169', 'P31749')"
"('Q96G01', 'P53350')"
"('P53597', 'Q96I99')"
