negatives
"('Q9BQE3', 'Q92947')"
"('Q9NZC7', 'Q96G27')"
"('O94913', 'Q53EL6')"
"('Q9ULC4', 'Q9ULV4')"
"('O60763', 'Q9Y6K9')"
"('P46379', 'Q9UKV5')"
"('Q02750', 'Q9H8W4')"
"('Q6IQ55', 'O95229')"
"('Q9BXL5', 'Q96EK4')"
"('Q7Z4G4', 'Q03405')"
"('Q13432', 'Q15811')"
"('Q9ULD6', 'Q15370')"
"('Q13424', 'P28335')"
"('Q9NW38', 'Q12800')"
"('Q9NX04', 'P50221')"
"('Q9H1B7', 'P38117')"
"('Q5VWX1', 'Q8TF66')"
"('O95801', 'Q13428')"
"('Q9Y6W3', 'P14373')"
"('P62714', 'P13612')"
"('O43524', 'P53350')"
"('Q8NF37', 'Q9Y679')"
"('Q6P2Q9', 'P62314')"
"('P25685', 'Q96CS3')"
"('P05412', 'P04181')"
"('Q6ZU80', 'A7E2V4')"
"('P46777', 'P83731')"
"('P63173', 'P43146')"
"('O00232', 'P28070')"
"('Q9NRR5', 'P58417')"
"('Q9H7H0', 'Q8IWL3')"
"('P43657', 'Q9UBI6')"
"('Q13588', 'Q93062')"
"('P04075', 'Q8N335')"
"('Q02880', 'P09874')"
"('P49450', 'Q9HC52')"
"('P00540', 'P19012')"
"('P43403', 'Q15466')"
"('P50591', 'Q92851')"
"('P13726', 'P21333')"
"('P00738', 'Q9H3D4')"
"('Q9NRD1', 'Q6P2Q9')"
"('Q9NRG7', 'O75208')"
"('P62266', 'P13639')"
"('Q99853', 'P60369')"
"('Q15118', 'Q9BQB6')"
"('Q9Y275', 'O43508')"
"('O75899', 'P18848')"
"('P09471', 'P51828')"
"('P0DMN0', 'Q96C45')"
"('Q8IXI2', 'O94905')"
"('Q96JS3', 'P57086')"
"('Q15155', 'Q9BXJ8')"
"('P62136', 'P18583')"
"('Q6ICB0', 'P62987')"
"('P53350', 'P68366')"
"('Q9H2M9', 'Q5T8P6')"
"('Q13546', 'Q9ULZ3')"
"('P35637', 'P48643')"
"('Q92597', 'P21397')"
"('Q9Y265', 'Q7L2J0')"
"('P25490', 'P17544')"
"('Q13573', 'Q99848')"
"('Q08050', 'Q00403')"
"('Q8N0Z3', 'P41250')"
"('Q13309', 'P20248')"
"('P62136', 'Q96H55')"
"('Q8IWL3', 'Q15067')"
"('Q8N6L0', 'P11836')"
"('P10515', 'P34931')"
"('Q13561', 'Q99460')"
"('O95678', 'Q7L5N1')"
"('Q16643', 'P35716')"
"('P25054', 'Q8TB52')"
"('P62910', 'O60739')"
"('Q8NC51', 'P60866')"
"('Q96QU8', 'P60709')"
"('Q9H2H0', 'Q9P2E3')"
"('P29692', 'P62191')"
"('Q9UHP3', 'P04406')"
"('Q9UBU9', 'Q9BUJ2')"
"('O43175', 'P62993')"
"('P01106', 'O60238')"
"('P82930', 'P05141')"
"('Q9UMY1', 'Q9H7E9')"
"('Q86VP6', 'P08238')"
"('Q92922', 'Q12824')"
"('O43252', 'Q9NVI1')"
"('P40189', 'O00329')"
"('O14776', 'Q15233')"
"('Q00535', 'P31948')"
"('Q9Y4K3', 'Q05D60')"
"('P51531', 'Q9NRC8')"
"('Q96GD3', 'P35227')"
"('P36406', 'Q8N6T3')"
"('Q2KHM9', 'Q5BJF6')"
"('P00533', 'P42685')"
"('P20591', 'Q9HCX4')"
"('Q99879', 'Q9C005')"
"('Q96NM4', 'P05067')"
"('P07900', 'Q13049')"
"('Q8WXF0', 'Q5TCX8')"
"('P25963', 'O75376')"
"('Q9NQG5', 'P13716')"
"('Q9H7P6', 'Q9NQX7')"
"('P06576', 'Q13423')"
"('P40937', 'Q86VP6')"
"('P46108', 'Q8IZD9')"
"('P35527', 'Q93034')"
"('Q9H6W3', 'O00567')"
"('P08473', 'Q86U38')"
"('Q9Y266', 'P00540')"
"('Q8WWC4', 'Q13509')"
"('Q9Y572', 'P78371')"
"('P28222', 'P08754')"
"('Q13555', 'O60266')"
"('Q93008', 'Q9HCE7')"
"('P24928', 'P12931')"
"('P0DMV8', 'P04637')"
"('Q99871', 'Q15468')"
"('P04629', 'Q8IZH2')"
"('Q6ZVD8', 'Q15599')"
"('Q9UPR3', 'Q9BY41')"
"('P61266', 'O00161')"
"('O43865', 'P49903')"
"('Q93034', 'P0C0E4')"
"('P04629', 'Q92945')"
"('P30443', 'Q86TM6')"
"('Q15293', 'O14654')"
"('Q68CZ1', 'Q9H0H5')"
"('Q8TES7', 'Q9BT25')"
"('P07900', 'P26640')"
"('P07949', 'P00533')"
"('Q58EX7', 'Q9NQ94')"
"('P31749', 'Q5VV52')"
"('Q495M9', 'Q13895')"
"('P12111', 'P05556')"
"('P17181', 'P52333')"
"('Q15717', 'P07737')"
"('Q96EP5', 'P37837')"
"('O43524', 'Q8IXJ6')"
"('Q9H492', 'Q9NS87')"
"('O00159', 'Q9UPN6')"
"('Q8IY17', 'Q9HCE1')"
"('P60411', 'O96014')"
"('P35226', 'Q93074')"
"('Q6ZQN5', 'Q9NXE4')"
"('Q16778', 'Q9NV56')"
"('P57078', 'Q13077')"
"('P10276', 'Q92844')"
"('O75643', 'Q9BUQ8')"
"('Q9Y6I4', 'O95786')"
