negatives
"('P60896', 'Q8NDT2')"
"('P25205', 'Q6IE81')"
"('P55345', 'Q9NTZ6')"
"('Q16531', 'Q6NUN9')"
"('Q15154', 'Q9GZQ8')"
"('P98175', 'P19784')"
"('Q96BA8', 'Q9NRZ7')"
"('P55209', 'Q96A08')"
"('P35222', 'Q8WYP5')"
"('Q9H444', 'O60447')"
"('A6NM03', 'P38405')"
"('P35226', 'P05455')"
"('P19174', 'P49916')"
"('O15260', 'P55769')"
"('Q5T447', 'Q8NBX0')"
"('O43707', 'P13612')"
"('Q9NX18', 'Q9NTZ6')"
"('Q07869', 'Q12802')"
"('Q13573', 'Q68DK7')"
"('Q9Y6I3', 'Q9P2H0')"
"('P04406', 'O75344')"
"('P17540', 'P04075')"
"('P68104', 'P62277')"
"('P00533', 'P02533')"
"('P55072', 'P35637')"
"('P15153', 'P61586')"
"('O75293', 'O95067')"
"('P55072', 'P08709')"
"('P54105', 'Q15181')"
"('O15155', 'Q6NUS6')"
"('P13073', 'P10809')"
"('Q8NHZ7', 'O76011')"
"('P37802', 'P02545')"
"('Q13469', 'P61962')"
"('Q6NT76', 'Q9NX24')"
"('Q9UHD0', 'Q14627')"
"('P50539', 'O75182')"
"('O75478', 'O15265')"
"('Q15397', 'O95478')"
"('P01106', 'Q9NYJ1')"
"('Q92769', 'Q9UM07')"
"('Q13148', 'P05455')"
"('Q9UKA1', 'P62324')"
"('Q08211', 'P16989')"
"('Q02543', 'P63220')"
"('Q96D03', 'Q96HD9')"
"('Q92614', 'P14649')"
"('O15297', 'P53778')"
"('Q99460', 'P31040')"
"('P43403', 'P16471')"
"('Q96HS1', 'P19320')"
"('P60880', 'P54920')"
"('P12956', 'P22102')"
"('P78385', 'P55040')"
"('Q14657', 'Q8NFH3')"
"('Q9NSG2', 'Q6PIW4')"
"('Q9H361', 'Q96EP5')"
"('Q8NEY8', 'P34897')"
"('P30876', 'Q14203')"
"('P00505', 'Q9UKE5')"
"('Q13363', 'Q9H8V3')"
"('Q6P1J9', 'P35222')"
"('O00303', 'Q92905')"
"('Q13426', 'Q9H8G2')"
"('Q8TAP6', 'P54284')"
"('P19320', 'Q99623')"
"('P17021', 'Q96EG3')"
"('O14980', 'Q92747')"
"('Q96ES7', 'Q9ULM3')"
"('P01106', 'Q01629')"
"('P04629', 'Q9BWM7')"
"('P04792', 'Q99547')"
"('Q9GZU7', 'P62699')"
"('Q14191', 'P42167')"
"('Q14980', 'Q9HCE1')"
"('P23511', 'Q13547')"
"('Q6Y7W6', 'P56524')"
"('P11308', 'P10809')"
"('P43365', 'Q6P444')"
"('Q969P0', 'Q93079')"
"('O75643', 'P01106')"
"('Q9UJX4', 'Q9UJX5')"
"('O14975', 'P62079')"
"('P13612', 'Q15029')"
"('O76011', 'Q6PEX3')"
"('P51955', 'O14777')"
"('Q9P286', 'Q14155')"
"('P50747', 'Q5T0L3')"
"('Q15599', 'O00592')"
"('Q16204', 'P50222')"
"('Q8NGN1', 'P62873')"
"('Q99259', 'P06241')"
"('O43741', 'Q8N6F8')"
"('Q15283', 'P01112')"
"('Q8IYE0', 'Q96QF0')"
"('Q9Y6K9', 'P46531')"
"('P41223', 'Q9Y5U2')"
"('O76071', 'Q96A35')"
"('Q96SB4', 'P04553')"
"('P27348', 'P68363')"
"('P25054', 'O43251')"
"('O75380', 'O75489')"
"('Q00839', 'Q13283')"
"('Q99459', 'Q9H8V3')"
"('O94763', 'P46934')"
"('O15160', 'Q13829')"
"('Q9BXN2', 'P11049')"
"('P05106', 'P09619')"
"('P54274', 'Q96CM4')"
"('Q71U36', 'P31689')"
"('Q96BZ8', 'Q15742')"
"('O43157', 'Q14103')"
"('Q9Y698', 'Q12959')"
"('Q9NTG7', 'P14625')"
"('Q14914', 'P23528')"
"('P36873', 'O75925')"
"('P51679', 'P15408')"
"('Q6IQ23', 'O15372')"
"('Q14563', 'Q9UK17')"
"('Q16539', 'P19634')"
"('A5YKK6', 'Q5U5Q3')"
"('O43312', 'O94762')"
"('Q13643', 'Q2KHR3')"
"('P27348', 'O15553')"
"('P07332', 'P40763')"
"('P17252', 'P40145')"
"('Q9UQL6', 'Q96KK5')"
"('P19338', 'O60841')"
"('Q99459', 'P20073')"
"('Q13356', 'Q6P597')"
"('Q92949', 'Q96NH3')"
"('A8MYU2', 'Q13698')"
"('P07437', 'P07900')"
"('O95470', 'Q9Y277')"
"('Q13618', 'P51114')"
"('Q02447', 'O43186')"
"('Q86Y07', 'Q9UQF2')"
"('Q5VV17', 'O75369')"
"('P04839', 'Q9UQM7')"
"('O76071', 'O76031')"
"('Q6V9R5', 'P01042')"
"('O95817', 'Q9H5J0')"
"('Q9NZ81', 'Q9NQC3')"
"('Q969M3', 'Q8N5G2')"
"('P62195', 'O60260')"
"('Q9P2R7', 'P22557')"
"('Q9HAN9', 'P49585')"
"('P30307', 'Q8WXF0')"
"('O95433', 'O95801')"
"('P45983', 'Q12800')"
"('O95182', 'P03905')"
"('Q92917', 'Q9BRX9')"
"('Q5TGZ0', 'Q96DB5')"
"('P15976', 'Q13503')"
"('Q9HCE1', 'Q6NX49')"
"('Q9BYV6', 'Q15459')"
"('Q8IWL3', 'Q9Y2L1')"
"('Q9NSD9', 'P51858')"
"('O00165', 'P27694')"
"('Q5HYC2', 'Q9HAC8')"
"('Q96EB6', 'Q01201')"
"('Q9NTI5', 'Q96FF9')"
"('P28070', 'P62333')"
"('P07737', 'Q8N8S7')"
"('Q9UID3', 'O75379')"
"('Q96DR7', 'Q9NTG7')"
"('Q15717', 'Q96S65')"
"('P49757', 'P42566')"
"('P14927', 'P05026')"
"('P32929', 'P06454')"
"('Q13627', 'Q07955')"
"('Q96FW1', 'P56270')"
"('P05412', 'Q9H089')"
"('P24539', 'Q15006')"
"('Q15717', 'Q02575')"
"('Q04864', 'O14965')"
"('P25788', 'O43251')"
"('Q9UJV3', 'Q96SQ5')"
"('Q16787', 'P06756')"
"('A8MYZ6', 'P98177')"
"('P09651', 'O15264')"
"('Q8N137', 'Q8WWQ0')"
"('O15379', 'P14618')"
"('O60603', 'Q9H2X3')"
"('Q9NRM7', 'Q9H8S9')"
"('P67870', 'P05412')"
"('P54819', 'P04629')"
"('P63000', 'Q8IVI9')"
"('Q06609', 'Q8IUH5')"
"('Q9BXK1', 'Q6PD62')"
"('Q8NGC7', 'Q9P2W3')"
"('Q99459', 'P09874')"
"('Q07157', 'O75380')"
"('Q9H7B4', 'Q92529')"
"('Q8NBQ5', 'P40855')"
"('P49917', 'P04075')"
"('P17252', 'P17096')"
"('Q9ULV0', 'P47756')"
"('P34931', 'P60484')"
"('Q8TEH3', 'Q00536')"
"('P54253', 'O94842')"
"('Q9BZ23', 'O14827')"
"('O14777', 'P33981')"
"('Q96A08', 'Q9UBU8')"
"('Q96K17', 'Q9H009')"
"('Q9UGP4', 'Q6ZWI9')"
"('Q9BSI4', 'Q9NUX5')"
"('P60370', 'Q7Z417')"
"('P53355', 'P42771')"
"('Q09472', 'Q14872')"
"('F7VJQ1', 'Q96L34')"
"('Q8NHW3', 'Q13562')"
"('Q96GG9', 'P61313')"
"('Q9HD67', 'P41743')"
"('O43396', 'Q9Y5K5')"
"('O15260', 'Q6NUS6')"
"('P30483', 'P61769')"
"('Q8WXF1', 'Q9H9G7')"
"('Q7Z624', 'Q9UK73')"
"('Q8N573', 'P83731')"
"('Q15717', 'O43829')"
"('Q8TF42', 'Q9H9H4')"
"('P12980', 'O95391')"
"('Q8N3V7', 'Q15149')"
"('Q13740', 'O00214')"
"('Q9BSM1', 'O75530')"
"('P49419', 'Q9BW61')"
"('P61221', 'P27816')"
"('P04004', 'Q16181')"
