negatives
"('Q9NRD1', 'O15230')"
"('Q8NFH5', 'P49792')"
"('P05112', 'Q5VWK5')"
"('O75915', 'Q86VR2')"
"('Q02539', 'Q8IUE6')"
"('Q3LI70', 'Q9NW38')"
"('P25445', 'Q9H4M9')"
"('Q15555', 'Q14203')"
"('P49711', 'O75800')"
"('Q12778', 'Q9UNE7')"
"('Q13191', 'O75791')"
"('P15336', 'P07737')"
"('O14610', 'P35414')"
"('P13569', 'P31151')"
"('P15336', 'P15407')"
"('O14950', 'P27348')"
"('Q05519', 'Q01081')"
"('P04843', 'Q5TC82')"
"('P35240', 'Q15633')"
"('Q9Y4A5', 'Q9HBJ0')"
"('P26368', 'P67809')"
"('Q9UI15', 'P61960')"
"('P11441', 'P49207')"
"('Q9H2F5', 'Q15014')"
"('Q9UPM6', 'Q9Y467')"
"('Q99698', 'P63104')"
"('Q13509', 'Q6S8J3')"
"('Q8TDS5', 'P31943')"
"('P0DJD1', 'P55854')"
"('Q99942', 'P49447')"
"('Q13601', 'Q8TED0')"
"('P51116', 'Q8NC51')"
"('P21941', 'P56199')"
"('Q9H8M7', 'Q9H582')"
"('Q6R327', 'P0DMV9')"
"('Q13332', 'A8MVW5')"
"('P35626', 'Q8NGJ5')"
"('Q6UY14', 'Q6PF18')"
"('Q9BUL9', 'O95707')"
"('P57740', 'P23588')"
"('Q9BPX7', 'P54257')"
"('P36578', 'Q9H2C0')"
"('Q15022', 'P09012')"
"('Q9H160', 'P29374')"
"('P62834', 'P27986')"
"('Q86X19', 'Q8TEV9')"
"('O14763', 'Q16739')"
"('P30559', 'P50148')"
"('Q13131', 'O75925')"
"('P62424', 'P62841')"
"('P14866', 'O75530')"
"('Q99624', 'Q96S38')"
"('P60709', 'Q9Y3Z3')"
"('P03372', 'P16104')"
"('Q9NRM7', 'O95816')"
"('P35240', 'Q9UI12')"
"('Q8NFG4', 'Q9NR45')"
"('Q9Y6A5', 'O95359')"
"('P49715', 'Q9HB58')"
"('Q96RE7', 'Q13033')"
"('Q9NWB6', 'Q5JU00')"
"('Q6PKG0', 'Q9NX02')"
"('O94763', 'Q9NVU0')"
"('P31749', 'Q92831')"
"('P30049', 'Q99750')"
"('P41279', 'Q9NYJ8')"
"('Q9ULR3', 'Q9BPZ7')"
"('Q08752', 'P57723')"
"('Q8NHS3', 'P01909')"
"('P15036', 'P14921')"
"('Q13523', 'P32121')"
"('Q9Y399', 'Q9Y291')"
"('O75955', 'P05141')"
"('Q9H6R4', 'Q13283')"
"('Q9NPJ6', 'Q9NV70')"
"('Q5BKZ1', 'Q9BSM1')"
"('P30304', 'Q8WWL7')"
"('Q9BYD3', 'Q8TCC3')"
"('P54687', 'P07093')"
"('Q86TJ5', 'Q15717')"
"('Q5T3F8', 'Q03518')"
"('P0DMV8', 'P04150')"
"('Q6NUS6', 'Q9H1C4')"
"('O43561', 'P18031')"
"('P62993', 'P00813')"
"('P62701', 'P23396')"
"('Q9BYJ9', 'P78508')"
"('P51991', 'P05387')"
"('P50402', 'Q13813')"
"('Q04917', 'Q5TB80')"
"('P35659', 'Q5VWX1')"
"('Q9HBA0', 'P19793')"
"('Q01831', 'Q13535')"
"('P35052', 'O94813')"
"('P36405', 'Q04724')"
"('Q14232', 'P27635')"
"('P0C5Z0', 'Q7Z2G1')"
"('P22455', 'Q8IZY5')"
"('Q9H4F1', 'Q9UBU9')"
"('Q15014', 'O95292')"
"('P83881', 'P18124')"
"('P31947', 'Q00987')"
"('P63104', 'P56945')"
"('Q13748', 'P61981')"
"('Q9HCE1', 'Q9NP66')"
"('Q7L5Y6', 'P08238')"
"('P00966', 'P07954')"
"('Q53R41', 'O95238')"
"('Q9NVI7', 'P54278')"
"('Q8IZ69', 'Q16637')"
"('Q14031', 'P40337')"
"('Q8NEC5', 'Q9P286')"
"('P68133', 'P63000')"
"('P31689', 'O75147')"
"('P15018', 'Q9HBE5')"
"('Q14520', 'P41235')"
"('Q9UBU9', 'P78406')"
"('P61956', 'O75925')"
"('Q9BQY4', 'Q9BTL3')"
"('Q8NF50', 'Q13895')"
"('Q7L2Z9', 'Q96H22')"
"('P08648', 'P19320')"
"('Q86WN2', 'Q6UXL0')"
"('P63244', 'P62851')"
"('P01889', 'Q9NZI8')"
"('O75503', 'O43852')"
"('Q9BY41', 'Q9Y4B6')"
"('P60409', 'Q2WGJ6')"
"('Q9UBW8', 'Q96EZ8')"
"('Q6PJI9', 'Q96EE3')"
"('Q8TBB1', 'P62306')"
"('Q10571', 'Q09472')"
"('Q8TC05', 'P43358')"
"('P58012', 'Q49A26')"
"('P35557', 'Q16584')"
"('O75953', 'Q01484')"
"('O14744', 'P51532')"
"('Q96NL6', 'Q8N668')"
"('P62906', 'P62244')"
"('Q07627', 'Q9BYQ0')"
"('P05067', 'O95249')"
"('P36578', 'Q8IWS0')"
"('P07195', 'P07954')"
"('O15355', 'Q8IY92')"
"('Q93009', 'Q2YD98')"
"('P67775', 'Q9Y6E0')"
"('P26641', 'P31749')"
"('P62847', 'Q9NWT6')"
"('Q8TAD8', 'Q6PJT7')"
"('P19784', 'Q13501')"
"('Q9NS87', 'O75886')"
"('Q12802', 'P61981')"
"('Q9C0C4', 'Q96PM5')"
"('Q9NPJ6', 'P30566')"
"('O75586', 'Q12772')"
"('Q9NZD8', 'Q9H0N5')"
"('P42345', 'Q9H063')"
"('Q8TAP4', 'Q86U70')"
"('Q9NTG7', 'O95299')"
"('Q99496', 'Q96LR5')"
"('Q9H5Z1', 'Q9Y2I6')"
"('O60716', 'P12931')"
"('P50402', 'Q8NEC5')"
"('Q9HBH1', 'P08240')"
"('P36873', 'Q5S007')"
"('Q9HC29', 'P49662')"
"('P04908', 'Q9UBN7')"
"('Q8N3U4', 'Q5FBB7')"
"('P78545', 'P14314')"
"('P06401', 'Q05086')"
"('P10451', 'Q9UBQ5')"
"('P15336', 'P06733')"
"('Q5TB80', 'Q6PGP7')"
"('Q07866', 'Q12982')"
"('Q15369', 'Q96A44')"
"('P08134', 'O75914')"
"('P51813', 'P56945')"
"('Q6BDS2', 'Q8TAP6')"
"('Q9P0S9', 'Q16623')"
"('Q9P127', 'Q9NR12')"
"('Q06323', 'O95817')"
"('Q9UBN7', 'P33778')"
"('P61006', 'P11171')"
"('Q9H0W5', 'P54289')"
"('Q8IUH5', 'Q5TGY3')"
"('P12814', 'Q8NC69')"
"('Q9HBV2', 'Q9Y3D7')"
"('P42694', 'Q58A45')"
"('Q9UNF1', 'P04629')"
"('O95294', 'P01112')"
"('P62312', 'Q16513')"
"('Q9ULW0', 'P16333')"
"('P12931', 'P05062')"
"('P62266', 'P23396')"
"('Q8TAP6', 'Q96IZ5')"
"('Q14964', 'O60259')"
"('P31947', 'Q96F86')"
"('Q9HCE1', 'P08574')"
"('P62987', 'O75581')"
"('Q6ZMI0', 'Q9NP31')"
"('Q9UBL3', 'P37231')"
"('Q04206', 'P11021')"
"('Q8N3V7', 'O95467')"
"('Q8NFD5', 'P38936')"
"('P50221', 'Q9BT43')"
"('P46940', 'Q05823')"
"('Q96EB1', 'Q02363')"
"('P61088', 'O75390')"
"('P21580', 'Q15628')"
"('Q9UHD9', 'P57081')"
"('Q04323', 'Q9BWD1')"
"('Q9NXA8', 'Q14103')"
"('Q96A23', 'P49736')"
"('O14641', 'P11021')"
"('Q13555', 'Q05586')"
"('Q9UBU9', 'P04920')"
"('Q9NRM7', 'A6NKD9')"
"('Q8TD31', 'Q96BD8')"
"('Q9NQT4', 'Q9Y4Y9')"
"('P49639', 'Q96SF7')"
"('Q9UIG0', 'Q9BQG0')"
"('Q13485', 'P28749')"
"('Q92617', 'Q00987')"
"('Q9TNN7', 'Q14954')"
"('Q9BT78', 'Q9H9Q2')"
"('P0DP24', 'Q12824')"
"('P07900', 'Q06418')"
"('Q8ND56', 'Q00839')"
"('P62857', 'Q7Z3S9')"
"('Q13315', 'A4D1P6')"
"('P62829', 'Q17R55')"
"('Q96A72', 'Q9BT49')"
"('P22694', 'Q96S94')"
"('Q14680', 'Q9BQ89')"
"('P51671', 'P51685')"
"('Q01082', 'P19022')"
"('Q08209', 'P62942')"
"('Q14657', 'Q70CQ2')"
"('Q9UHI6', 'P62304')"
"('O14508', 'Q9Y4H2')"
"('Q92754', 'Q96CG8')"
"('Q9NQX4', 'Q27J81')"
"('Q9P2R3', 'P34947')"
"('O14980', 'Q49AN0')"
"('O15067', 'O75323')"
"('P27824', 'P00533')"
"('P19320', 'Q14697')"
"('Q15327', 'P50222')"
"('P34897', 'O75462')"
"('Q2TAL6', 'Q9BYE3')"
"('Q8WTU0', 'Q9H9B4')"
"('P46934', 'Q9NSI8')"
"('Q92558', 'P61158')"
"('Q00577', 'P62633')"
"('Q9NVV9', 'P51116')"
"('P36873', 'Q6ZW49')"
"('Q9H867', 'Q13885')"
"('P40939', 'P18146')"
"('Q9Y3M2', 'O75044')"
"('P02768', 'P02775')"
"('P00533', 'Q99700')"
"('O15197', 'P15884')"
"('O95210', 'O95278')"
"('P05106', 'Q13683')"
"('O00189', 'Q9UQ88')"
"('Q99814', 'Q9NRR4')"
"('O15344', 'P62837')"
"('P05067', 'Q86TB9')"
"('P61313', 'P15927')"
"('P48047', 'Q8N6Y0')"
"('Q99426', 'Q96CN7')"
"('Q66GS9', 'O00444')"
"('Q9NR55', 'P17275')"
"('P35579', 'P33992')"
"('Q96PV4', 'Q96T60')"
"('O43399', 'P55036')"
"('P29074', 'P62258')"
"('O95273', 'P05388')"
"('Q9H2S9', 'P42681')"
"('Q9GZT8', 'O75716')"
"('Q53TS8', 'Q6IC98')"
"('Q8WXA8', 'Q96CP6')"
"('P78417', 'Q9UI15')"
"('Q6P2P2', 'Q9Y6A5')"
"('O60508', 'Q9UMS4')"
"('P46934', 'P19388')"
"('Q9BYV9', 'P49407')"
"('Q15417', 'O95166')"
"('Q96PZ0', 'P62487')"
"('Q92903', 'Q9Y385')"
"('Q9NZJ5', 'P01903')"
"('Q9HCE1', 'O15440')"
"('Q68D86', 'O60504')"
"('P13804', 'Q14999')"
"('P19013', 'Q7Z3Z0')"
"('Q14204', 'P49736')"
"('Q15813', 'Q3B7T1')"
"('Q9NYJ8', 'P08670')"
"('Q92542', 'O00472')"
"('P11473', 'P15923')"
"('Q71U36', 'Q14160')"
"('Q8IZJ4', 'P11233')"
"('P51451', 'O43281')"
"('Q9H2G2', 'P31946')"
"('P30405', 'Q9Y2Q3')"
"('Q9HD26', 'O43424')"
"('P12931', 'Q9UN19')"
"('Q16513', 'Q8TAA9')"
"('P29401', 'P15311')"
"('P07900', 'Q5H9R7')"
"('P04629', 'O60256')"
"('Q13454', 'Q8TCJ2')"
"('Q99880', 'Q969S8')"
"('Q9Y297', 'O60285')"
"('Q9ULK4', 'Q9P253')"
"('P63092', 'Q6IQ23')"
"('P31946', 'P05107')"
"('Q13526', 'O60493')"
"('Q99741', 'Q9ULX6')"
"('P62820', 'P04632')"
"('Q9NRW7', 'Q9NSN8')"
"('Q96AX1', 'Q9H269')"
"('Q07021', 'Q13247')"
"('P43246', 'P49959')"
"('P37231', 'P61964')"
"('Q99541', 'Q7Z3K3')"
"('O75165', 'Q5T3J3')"
"('P46109', 'Q5SW79')"
"('Q14562', 'Q86VP6')"
"('Q8IYX3', 'Q13077')"
"('P61978', 'P67936')"
"('Q14103', 'Q93034')"
"('Q96EB6', 'Q13303')"
"('P62906', 'P62891')"
"('B2RXF5', 'Q6AZZ1')"
"('Q12933', 'Q9NRA0')"
"('P50570', 'P47897')"
"('Q6P2D0', 'O95751')"
"('P15622', 'P02788')"
"('P05067', 'Q8N841')"
"('O60381', 'Q9H871')"
"('Q9UNE7', 'Q9UER7')"
"('Q6IPU0', 'Q9BYN7')"
"('Q96SB4', 'Q6PKG0')"
"('P02647', 'P02768')"
"('Q9P2M7', 'P31946')"
"('Q6ZWI9', 'Q9NWS9')"
"('Q7Z7A3', 'Q9Y3D0')"
"('P25205', 'Q13415')"
"('P50222', 'Q06455')"
"('Q96JJ7', 'P05067')"
"('Q9Y6N6', 'P19784')"
"('Q9BV68', 'Q92878')"
"('P22694', 'O95047')"
"('O43561', 'Q8N0X4')"
"('P05412', 'P53618')"
"('Q68D86', 'Q9NPJ8')"
"('P30041', 'P14618')"
"('Q9H832', 'O00237')"
"('Q9UBB6', 'P04424')"
"('Q3SYB3', 'Q8IUH5')"
"('P78536', 'P05067')"
"('Q9UN86', 'Q92901')"
"('Q969F0', 'Q9BTE1')"
"('O60684', 'O00410')"
"('P12004', 'O43143')"
"('Q76N32', 'P40337')"
"('P0C1H6', 'Q92769')"
"('P49759', 'Q9P2R3')"
"('P17812', 'P14618')"
"('P01903', 'Q9BTN0')"
"('Q9H944', 'Q7Z6Z7')"
"('Q9P2M7', 'O75420')"
"('Q9UBY5', 'O14775')"
"('P36578', 'Q86VP6')"
"('Q9H1K1', 'P00492')"
"('Q14590', 'Q9BPY3')"
"('Q96EW2', 'P04183')"
"('Q8TAB5', 'Q1A5X7')"
"('O00257', 'O75530')"
"('Q8IVT5', 'Q8WXF0')"
"('Q9UGJ1', 'Q9NZI8')"
"('P50281', 'Q07021')"
"('P54578', 'Q96RU2')"
"('Q68EM7', 'P84095')"
"('Q9NVF7', 'Q9Y240')"
"('P31946', 'Q96JH8')"
"('Q8TES7', 'P40222')"
"('Q14568', 'Q14164')"
"('P09874', 'P62807')"
"('Q12931', 'Q13618')"
"('P04049', 'O14980')"
"('Q8N6Q1', 'O15155')"
"('O14530', 'Q9BYU1')"
"('Q9Y2J2', 'P67870')"
"('Q9Y6W5', 'O00401')"
"('P25205', 'P54278')"
"('Q9UHR5', 'Q14203')"
"('O75554', 'Q00839')"
"('P67870', 'P13807')"
"('P62826', 'Q9Y570')"
"('P61106', 'Q92887')"
"('O95394', 'Q9H2C0')"
"('Q53EL6', 'P42695')"
"('Q7Z417', 'Q5T749')"
"('O75376', 'Q14802')"
"('Q9HAV4', 'Q9Y570')"
"('Q9HCK4', 'Q13153')"
"('P04637', 'Q8WYH8')"
"('O60524', 'Q13769')"
"('P38398', 'Q9UHW5')"
"('Q96GG9', 'Q7L5N1')"
"('P46781', 'P23258')"
"('Q8TA86', 'O00560')"
"('Q96RS6', 'Q9UBF2')"
"('P60369', 'Q9BT49')"
"('Q13535', 'O60341')"
"('Q99836', 'Q15654')"
"('Q00987', 'O00463')"
"('O43167', 'O00505')"
"('Q9GZM5', 'P59991')"
"('P46777', 'P46783')"
"('O75293', 'Q8WWL7')"
"('O75376', 'Q9UGL1')"
"('Q8N2W9', 'O00255')"
"('O15260', 'Q07955')"
"('O75489', 'Q86Y39')"
"('O95865', 'P19320')"
"('P0DMM9', 'O75628')"
"('Q9UKG1', 'O75153')"
"('Q01995', 'P13797')"
"('Q3T906', 'P60006')"
"('Q8N5Y8', 'Q96IK5')"
"('Q9C0K7', 'Q13131')"
"('Q92831', 'P10828')"
"('O75688', 'P05783')"
"('P37840', 'O60716')"
"('A2RU14', 'Q96BA8')"
"('Q8WU90', 'Q92558')"
"('P33992', 'Q16643')"
"('Q9NW97', 'O43301')"
"('O14744', 'P08621')"
"('P51149', 'P35610')"
"('O60216', 'Q92506')"
"('P63027', 'P20648')"
"('Q9ULW0', 'Q8N556')"
"('Q13363', 'Q9H2S9')"
"('Q9H8H0', 'P62873')"
"('Q04118', 'P02768')"
"('Q8N1K5', 'Q9NPA3')"
"('P36406', 'Q9UGP5')"
"('Q16666', 'Q8TED0')"
"('Q9H9Y4', 'P30876')"
"('P08865', 'Q9UHB6')"
"('O14929', 'Q16777')"
"('P07307', 'Q9BUN8')"
"('Q96NJ5', 'Q99932')"
"('P12830', 'Q8TEW0')"
"('O00159', 'Q53F19')"
"('Q14697', 'O75147')"
"('Q5VZL5', 'Q9UMX0')"
"('Q9P2H0', 'Q9H8T0')"
"('Q00532', 'Q58FG0')"
"('Q13618', 'P51116')"
"('Q969U7', 'P49720')"
"('Q63HR2', 'P60370')"
"('Q92769', 'O00410')"
"('Q7L0Y3', 'Q01860')"
"('P14921', 'Q96NC0')"
"('Q6W2J9', 'O00567')"
"('P59022', 'Q01974')"
"('Q8WYQ5', 'Q13618')"
"('Q9HBZ2', 'Q93009')"
"('Q9BUV8', 'P04844')"
"('Q9H0U9', 'Q8IY92')"
"('P04004', 'Q13349')"
"('O43390', 'Q16540')"
"('O75190', 'P63172')"
"('P06748', 'P61289')"
"('Q15831', 'Q7KZI7')"
"('Q5T0W9', 'Q9H0W5')"
"('P60953', 'Q5HYK7')"
"('Q8WUI4', 'P0C5Z0')"
"('Q13325', 'Q9BQ95')"
"('O75489', 'A1L188')"
"('Q13573', 'Q86X95')"
"('O43303', 'Q86WV1')"
"('P39019', 'P62913')"
"('Q9UBU9', 'Q6I9Y2')"
"('Q13867', 'Q9NR46')"
"('O75386', 'O14730')"
"('O95166', 'P26641')"
"('Q15468', 'Q8NFD5')"
"('P29350', 'Q05655')"
"('Q9UPG8', 'Q9UN19')"
"('O95182', 'Q9P0L0')"
"('P46087', 'Q9UGY1')"
"('O00206', 'P51617')"
"('Q9NQW5', 'Q13077')"
"('Q6A162', 'Q9H7H0')"
"('Q9H1I8', 'Q9BQ52')"
"('Q7Z4W3', 'O14558')"
"('Q9NVH2', 'P48431')"
"('Q8TCT0', 'O43172')"
"('Q9UMR2', 'P01009')"
"('O15027', 'P15924')"
"('P51617', 'Q9Y6K9')"
"('Q14576', 'P78362')"
"('Q6ICL3', 'P46926')"
"('Q9Y2L1', 'O95467')"
"('O75530', 'Q16695')"
"('P38398', 'O43679')"
"('Q93062', 'Q5TAQ9')"
"('P00451', 'O14832')"
"('P82970', 'O43818')"
"('P62191', 'O75832')"
"('P60896', 'O14818')"
"('Q13643', 'Q7L190')"
"('Q00536', 'Q04917')"
"('P48449', 'Q6UN15')"
"('P26367', 'P14653')"
"('P28062', 'P35609')"
"('P35579', 'P60660')"
"('Q02779', 'P42858')"
"('Q6ZWI9', 'Q9Y2Y1')"
"('Q9Y295', 'Q13573')"
"('Q9Y2R2', 'Q9Y478')"
"('Q08J23', 'Q14166')"
"('P17612', 'O15551')"
"('P21980', 'P18848')"
"('P26373', 'P61313')"
"('O60610', 'O75400')"
"('Q9UEU0', 'Q8IWR1')"
"('P52824', 'Q9UGL1')"
"('P22694', 'Q13698')"
"('P51668', 'Q9NP87')"
"('Q9NUU7', 'Q9H4L7')"
"('Q9Y2A7', 'P61981')"
"('Q15834', 'O75909')"
"('P51148', 'Q9UHA4')"
"('Q8TCT6', 'Q8NFH3')"
"('P50914', 'Q13118')"
"('P41250', 'Q93034')"
"('Q969Z0', 'Q96D09')"
"('P29401', 'P36969')"
"('Q8IVT5', 'P13693')"
"('P25205', 'Q8IVT5')"
"('Q14012', 'O95813')"
"('Q9H5Z1', 'Q66GS9')"
"('P14373', 'Q14449')"
"('Q16827', 'P13667')"
"('P23975', 'Q9NRD5')"
"('P56696', 'P58743')"
"('P61204', 'Q9NZ52')"
"('O00213', 'Q9C0F1')"
"('Q13315', 'P54289')"
"('Q7Z3Y9', 'P12035')"
"('Q9Y572', 'P14649')"
"('P62269', 'P62829')"
"('Q13200', 'O15151')"
"('P05412', 'O15355')"
"('P50914', 'P62945')"
"('O75083', 'P67870')"
"('P51531', 'P48431')"
"('Q92622', 'Q7Z6L1')"
"('Q9UL19', 'Q9NQC7')"
"('Q9BSH5', 'Q9NRQ2')"
"('P50613', 'P35244')"
"('P61221', 'Q96BW5')"
"('P05161', 'P19838')"
"('Q6ZN04', 'P61981')"
"('Q9NQL9', 'Q6L8G8')"
"('Q04864', 'Q96Q77')"
"('Q6ZNH5', 'P60410')"
"('P34932', 'P98170')"
"('Q76I76', 'Q9UHB6')"
"('P43243', 'P35244')"
"('Q05397', 'Q00987')"
"('Q08380', 'Q13617')"
"('P0C0S5', 'P33992')"
"('Q9Y6I9', 'Q13393')"
"('O95947', 'Q15038')"
"('P16615', 'Q9C0B0')"
"('Q9BYR9', 'Q15077')"
"('Q6ULP2', 'O14980')"
"('Q04864', 'Q9Y5B8')"
"('O60832', 'P49321')"
"('Q8NBX0', 'Q9UBS4')"
"('O00744', 'Q96S16')"
"('P00519', 'Q06830')"
"('Q05639', 'P11940')"
"('A7KAX9', 'Q9UQC2')"
"('O14744', 'P15173')"
"('P12268', 'Q9H444')"
"('Q03111', 'O95070')"
"('P01889', 'P13797')"
"('Q13352', 'Q96B36')"
"('Q13573', 'P19793')"
"('Q9UHR5', 'Q96I25')"
"('Q15366', 'P02751')"
"('O14639', 'Q6ZVZ8')"
"('P31323', 'Q76N32')"
"('Q32P28', 'Q6UWE0')"
"('O95900', 'Q9BRT2')"
"('P31025', 'Q9UHD9')"
"('Q9NRY2', 'Q8N490')"
"('P22694', 'O14775')"
"('Q9UPQ9', 'Q58A45')"
"('Q9P0J0', 'P28331')"
"('P04406', 'Q16637')"
"('Q96QZ7', 'O15075')"
"('Q15078', 'Q14790')"
"('O75147', 'Q07065')"
"('Q8N9I5', 'A8MQ03')"
"('O14795', 'Q14183')"
"('P46937', 'O15105')"
"('Q9NY59', 'Q15047')"
"('O60885', 'Q15773')"
"('Q8WUK0', 'P53985')"
"('Q96IQ9', 'Q9NSC5')"
"('Q6IQ23', 'Q8NDV7')"
"('Q13224', 'Q05209')"
"('P12830', 'P15151')"
"('P10275', 'Q8NFT2')"
"('O75792', 'O60869')"
"('Q5JY77', 'O15265')"
"('Q16352', 'O95793')"
"('P17987', 'Q9Y228')"
"('A8MQ03', 'Q5W150')"
"('Q15717', 'Q13185')"
"('Q01814', 'P52799')"
"('O60841', 'Q96T76')"
"('P31749', 'P09936')"
"('O60831', 'Q9NQC3')"
"('P03901', 'O95872')"
"('Q96HE9', 'Q9UNX3')"
"('P17936', 'P02452')"
"('Q8N163', 'P33993')"
"('Q04206', 'Q13098')"
"('P35579', 'Q96ST8')"
"('Q00341', 'P45973')"
"('Q9UPN3', 'Q92823')"
"('Q9Y5B8', 'Q96HR3')"
"('Q9H2C0', 'P08865')"
"('P20339', 'Q9C0B0')"
"('P62993', 'Q9Y295')"
"('P60903', 'P20073')"
"('P57078', 'Q9C0C7')"
"('Q96QD5', 'O14980')"
"('Q9P2P5', 'Q99755')"
"('Q92930', 'P19022')"
"('Q5C9Z4', 'P62917')"
"('Q96LJ8', 'Q9H7X7')"
"('P09486', 'P01127')"
"('P32121', 'Q8NGV6')"
"('Q9BYD1', 'Q8WVM8')"
"('Q9Y6W3', 'Q13099')"
"('Q9C0B0', 'P10599')"
"('Q92963', 'P62993')"
"('Q00597', 'Q6P2I7')"
"('Q8N6L0', 'Q9BRI3')"
"('P49207', 'P62888')"
"('Q9GZY0', 'P52948')"
"('O43918', 'P17844')"
"('Q9P2P5', 'P23528')"
"('O15020', 'P46940')"
"('Q9UBE8', 'Q5U5X8')"
"('P35610', 'P40855')"
"('Q16401', 'O14818')"
"('P13804', 'P61019')"
"('P07550', 'P43121')"
"('Q8ND90', 'Q9BZL3')"
"('Q96K76', 'Q9UI12')"
"('Q01543', 'P15976')"
"('P43686', 'Q9Y468')"
"('Q15560', 'P09874')"
"('Q07021', 'P82650')"
"('Q6PKG0', 'Q8TAD8')"
"('Q9NZJ4', 'P25788')"
"('Q14444', 'P51116')"
"('P30480', 'Q9BZK3')"
"('Q9NUQ6', 'P41218')"
"('Q8IYS8', 'P31321')"
"('P31948', 'P60174')"
"('P09544', 'Q9UP38')"
"('Q99439', 'P55795')"
"('O95257', 'Q9H814')"
"('Q9UMX0', 'P47869')"
"('P82673', 'A1L188')"
"('P48995', 'Q14643')"
"('Q13064', 'Q9NYA3')"
"('Q9H0F6', 'Q9UM82')"
"('Q9UHW5', 'Q9NVU0')"
"('P16333', 'Q92698')"
"('P84077', 'Q6ZMR3')"
"('Q8IX12', 'P51991')"
"('Q8N0X7', 'P33176')"
"('P35520', 'P14618')"
"('P01106', 'P16070')"
"('O14980', 'Q9Y265')"
"('B2RTY4', 'Q86WV1')"
"('Q9P0N5', 'Q9UGP8')"
"('P48556', 'P04629')"
"('Q9NZC7', 'Q15678')"
"('Q8NB78', 'Q76L83')"
"('Q9Y5A6', 'Q9NX65')"
"('Q9H4B4', 'O14965')"
"('P08754', 'P28482')"
"('Q15973', 'Q8TF50')"
"('P84022', 'P49790')"
"('P98082', 'P37173')"
"('P62979', 'P31749')"
"('Q9UN36', 'Q9UBY8')"
"('O75925', 'Q9UKL3')"
"('Q9Y383', 'P50222')"
"('P51149', 'P21281')"
"('Q7Z3S9', 'Q96S52')"
"('Q9Y3D9', 'P82650')"
"('Q07954', 'Q7Z6G8')"
"('Q8IWL3', 'Q9UH62')"
"('Q7L5Y6', 'Q13619')"
"('Q9UNQ2', 'P20036')"
"('P11441', 'P83731')"
"('O14771', 'Q8NF99')"
"('Q58WW2', 'P61201')"
"('Q7Z3Y8', 'Q9UK33')"
"('Q6NUS6', 'Q5JU00')"
"('Q8NHP8', 'Q9UHD1')"
"('P60709', 'P19838')"
"('Q8N205', 'Q6PL45')"
"('P62136', 'O15151')"
"('Q53F19', 'Q9Y383')"
"('P63279', 'Q99598')"
"('Q8IWL3', 'Q8IUF8')"
"('P07306', 'Q86TM6')"
"('P19320', 'Q96AE4')"
"('Q96AY2', 'P22415')"
"('P52895', 'P22061')"
"('Q96FF9', 'O15119')"
"('Q92466', 'P05161')"
"('Q96S53', 'Q7Z401')"
"('Q9BZE0', 'O43186')"
"('Q8WVJ2', 'Q9Y6Y8')"
"('P16520', 'P54619')"
"('Q14697', 'Q7Z5L9')"
"('Q9Y2J2', 'O43143')"
"('Q494V2', 'O43463')"
"('O95573', 'P07947')"
"('Q9UKA1', 'P21399')"
"('P62993', 'P10644')"
"('P32241', 'P07737')"
"('P62316', 'Q07889')"
"('O14746', 'Q9NQB0')"
"('Q9Y6K9', 'O95477')"
"('P29590', 'Q6K0P9')"
"('Q92633', 'Q99442')"
"('Q8TDR0', 'Q9P2H3')"
"('Q92830', 'O75478')"
"('O75935', 'P49841')"
"('Q92979', 'O75147')"
"('Q6Y7W6', 'Q15717')"
"('Q969R5', 'P06400')"
"('P15336', 'P51149')"
"('Q9ULK5', 'P45983')"
"('Q86V24', 'P55061')"
"('Q8WZ42', 'O75147')"
"('Q5T124', 'P25786')"
"('O75190', 'Q9ULH1')"
"('P18206', 'O95425')"
"('Q12765', 'P31150')"
"('Q15323', 'Q7Z417')"
"('Q8IUC1', 'Q9BYQ6')"
"('P45983', 'Q12904')"
"('A7KAX9', 'P12931')"
"('O00635', 'Q9NYJ8')"
"('Q06141', 'Q99750')"
"('Q8NFA2', 'Q13546')"
"('P28065', 'P19388')"
"('Q8IZT6', 'P40855')"
"('P04626', 'P15498')"
"('P10826', 'P08047')"
"('Q15170', 'Q16659')"
"('Q9NYP9', 'Q86TG1')"
"('Q9BW66', 'Q9NX04')"
"('P34897', 'Q96AJ1')"
"('P35222', 'P0DMV9')"
"('Q9H814', 'Q13595')"
"('Q14566', 'Q12905')"
"('Q9HCE1', 'Q5VSL9')"
"('Q14999', 'P51148')"
"('P49450', 'O00571')"
"('O95714', 'P31689')"
"('Q96B97', 'O75676')"
"('Q8IWL3', 'O75131')"
"('P36873', 'Q8N5T2')"
"('Q8TCT0', 'O95273')"
"('Q92858', 'O00764')"
"('Q01094', 'P51610')"
"('Q969W0', 'P04350')"
"('Q99549', 'Q15047')"
"('P24941', 'P28749')"
"('Q06787', 'Q13153')"
"('Q9Y2J0', 'O14936')"
"('Q9BUV8', 'P40616')"
"('Q13435', 'Q96DB2')"
"('P0CAP2', 'Q9H9Y4')"
"('Q9UHB9', 'P37108')"
"('O60763', 'Q9UIA9')"
"('O94776', 'Q86YP4')"
"('P36551', 'P54577')"
"('Q66PJ3', 'P01100')"
"('P33992', 'Q8IVT5')"
"('P23246', 'O75489')"
