negatives
"('O95429', 'Q6PL18')"
"('P35626', 'Q8NGK6')"
"('P0C5Y9', 'Q9UQL6')"
"('O95198', 'O00762')"
"('P36957', 'Q8N2Y8')"
"('Q8IW00', 'P60328')"
"('P31431', 'O14640')"
"('P05113', 'Q99650')"
"('Q7Z408', 'P00519')"
"('Q9Y297', 'Q14693')"
"('Q9UK32', 'Q16543')"
"('P49411', 'P60866')"
"('P40227', 'Q8NEV4')"
"('P09622', 'P05026')"
"('Q15276', 'P17677')"
"('Q9BYG3', 'O15226')"
"('Q8TD31', 'Q9Y3C0')"
"('O60739', 'O14737')"
"('P06239', 'P15311')"
"('Q9P031', 'P62807')"
"('Q13418', 'Q8NE01')"
"('Q8TCT0', 'P05813')"
"('O15160', 'Q9NVP1')"
"('P00533', 'P51681')"
"('P08047', 'P15311')"
"('Q8NFJ9', 'P68104')"
"('O75937', 'Q15428')"
"('O14980', 'Q13247')"
"('P42695', 'O95347')"
"('O14543', 'Q13480')"
"('P49790', 'P33240')"
"('Q7RTY1', 'Q9Y3B7')"
"('P49639', 'Q5TD97')"
"('P49639', 'P17482')"
"('O95232', 'Q07955')"
"('O14965', 'P11021')"
"('Q96QK1', 'P06733')"
"('P04792', 'Q9Y2K1')"
"('Q15819', 'Q04323')"
"('P34897', 'Q8WUU5')"
"('Q5VWG9', 'P62805')"
"('O60341', 'P15923')"
"('O14543', 'P07947')"
"('Q86XK2', 'Q92734')"
"('Q7L591', 'Q86TI2')"
"('P06400', 'Q13107')"
"('Q9NZN5', 'O95292')"
"('P67775', 'Q75QN2')"
"('Q16549', 'Q15717')"
"('Q9UHD2', 'Q9BRV8')"
"('Q504Q3', 'P09651')"
"('P18669', 'P32119')"
"('Q7Z465', 'Q7L0Q8')"
"('Q13156', 'Q13472')"
"('P33552', 'P33316')"
"('Q9HAQ2', 'O95678')"
"('Q7RTY0', 'Q96BA8')"
"('P10276', 'Q12796')"
"('Q96S66', 'Q9NV96')"
"('Q9NYV4', 'Q9H6Z9')"
"('P18859', 'Q8N5M1')"
"('Q9UM22', 'P16104')"
"('Q14004', 'Q8N5M4')"
"('Q68CZ1', 'O95613')"
"('Q8N3Z6', 'Q9H257')"
"('O60504', 'P02768')"
"('Q96EZ8', 'Q8IXK0')"
"('P20929', 'Q13424')"
"('P60409', 'Q08ER8')"
"('Q14164', 'Q13137')"
"('P52732', 'Q9UMY1')"
"('Q9H2U1', 'Q9UKV8')"
"('P16070', 'Q15717')"
"('P12830', 'Q16236')"
"('Q7Z7A1', 'Q9UNL2')"
"('Q96NL6', 'P30450')"
"('Q9NPL8', 'O14548')"
"('P06748', 'P32121')"
"('O15131', 'P30793')"
"('Q01860', 'Q9P032')"
"('Q14683', 'Q9UBC2')"
"('P24539', 'Q9P2K2')"
"('Q14232', 'P12268')"
"('Q6VAB6', 'Q9Y230')"
"('Q9C0B0', 'O15144')"
"('Q3KQV3', 'Q9H9D4')"
"('Q7Z2G1', 'Q9BY41')"
"('Q9UKM9', 'Q14103')"
"('P06396', 'Q6NYC8')"
"('P52797', 'Q5TA81')"
"('Q16576', 'Q2M1K9')"
"('O43623', 'P56545')"
"('Q9NX58', 'Q00839')"
"('P19388', 'P0DPB6')"
"('Q8N443', 'Q9Y6C2')"
"('P06702', 'Q92542')"
"('A4GXA9', 'Q96NY9')"
"('Q9Y237', 'Q15910')"
"('P26358', 'P05412')"
"('Q9Y5N5', 'O75792')"
"('P0CJ68', 'P07900')"
"('P27695', 'Q13547')"
"('Q9NP87', 'O00762')"
"('O75781', 'Q16643')"
"('O00214', 'O60503')"
"('P11441', 'P25398')"
"('P43351', 'P26641')"
"('P12956', 'P11308')"
"('Q9UHF4', 'P40692')"
"('Q9H074', 'O95757')"
"('O60814', 'O15379')"
"('P35626', 'Q8NGF1')"
"('Q09666', 'Q9HAV7')"
"('Q9UQL6', 'Q16777')"
"('Q7L5Y9', 'Q9H7D7')"
"('Q96JC1', 'Q13485')"
"('Q8NE86', 'Q8TF50')"
"('Q6ZVZ8', 'P05141')"
"('Q9UIM3', 'Q7L576')"
"('O60256', 'P08579')"
"('Q13620', 'O43524')"
"('Q13546', 'Q13233')"
"('Q9UBZ4', 'Q13137')"
"('P49841', 'P15880')"
"('Q5HYI8', 'O75787')"
"('P06748', 'Q92613')"
"('O75368', 'Q96EP5')"
"('Q6P5W5', 'Q13948')"
"('P07737', 'P27361')"
"('P68366', 'P07437')"
"('Q9UNL2', 'P45880')"
"('P08238', 'Q8TDR0')"
"('O75841', 'O75631')"
"('O14775', 'Q9Y266')"
"('O94888', 'Q13619')"
"('P42336', 'P19827')"
"('Q03154', 'Q9NUX5')"
"('Q96EV8', 'P51587')"
"('Q9NY33', 'P60981')"
"('P49736', 'Q5T4S7')"
"('P56693', 'P63165')"
"('O60603', 'Q13200')"
"('Q6K0P9', 'Q15424')"
"('Q6NUS6', 'P62820')"
"('Q9Y5J5', 'Q96EY1')"
"('P00519', 'P08047')"
"('P22612', 'Q15620')"
"('P0C7T3', 'Q9P2W3')"
"('P60709', 'P21796')"
"('P17020', 'Q5T7V8')"
"('Q12982', 'Q8IUY3')"
"('Q15257', 'Q16589')"
"('Q9BQ90', 'Q9Y279')"
"('Q9Y4C1', 'P68431')"
"('Q01780', 'Q9HCE1')"
"('P48061', 'P13611')"
"('Q9UGM1', 'Q8NC56')"
"('P02671', 'P04196')"
"('Q13200', 'P19320')"
"('P05362', 'Q12905')"
"('O95182', 'O95167')"
"('Q9H501', 'Q9NVP1')"
"('Q8N9Q2', 'Q2KHN1')"
"('Q9NZD1', 'Q9UGP8')"
"('Q9Y4C2', 'Q9UKT9')"
"('Q9UKV8', 'O43242')"
"('Q96RU7', 'P25788')"
"('O00560', 'Q68D86')"
"('P60369', 'Q14554')"
"('Q9NRD1', 'P07237')"
"('Q6UVJ0', 'Q96M89')"
"('Q9NPC4', 'P55899')"
"('P18754', 'P17542')"
"('Q96HR9', 'Q63HR2')"
"('Q9P0J7', 'O00232')"
"('Q92598', 'Q9HAV7')"
"('P51116', 'P25963')"
"('Q14192', 'P16220')"
"('P15311', 'P36969')"
"('Q8TC71', 'Q5BJF6')"
"('Q8N6R1', 'Q5BKT4')"
"('P00533', 'Q9UNQ2')"
"('O60343', 'P85037')"
"('Q13114', 'O95551')"
"('P48729', 'Q9NRF8')"
"('Q9UKV8', 'O75306')"
"('Q9UM00', 'P24539')"
"('P56524', 'Q8IVT5')"
"('Q96EK4', 'P62195')"
"('Q9NV70', 'Q13049')"
"('Q96DB2', 'Q16777')"
"('P61927', 'P61353')"
"('Q9HC36', 'Q9UHX1')"
"('Q9Y2W1', 'O43395')"
"('Q99496', 'Q96NB2')"
"('P58012', 'P03971')"
"('O43633', 'O94818')"
"('P05412', 'Q58FG0')"
"('Q8TAI1', 'Q9BYR3')"
"('P04040', 'P61158')"
"('Q9UQE7', 'Q9Y5V3')"
"('P23284', 'O43819')"
"('Q8WVE6', 'Q7Z589')"
"('Q05329', 'O60664')"
"('P56524', 'Q14814')"
"('Q15853', 'P61073')"
"('Q8IZ40', 'Q96DB2')"
"('Q9UBU9', 'P15559')"
"('P62807', 'Q13618')"
"('P34931', 'Q9Y6K9')"
"('O96017', 'O60934')"
"('Q16864', 'P15313')"
"('O14618', 'Q9H2H8')"
"('P47755', 'Q9C0C2')"
"('Q9Y3I1', 'Q9Y251')"
"('Q9UHW5', 'O00308')"
"('Q96T17', 'Q13643')"
"('O43567', 'O14617')"
"('Q15369', 'Q7L190')"
"('P0DP23', 'O43353')"
"('P17987', 'Q9Y2I8')"
"('P31939', 'Q9Y4K3')"
"('P01106', 'Q8NI38')"
"('Q14764', 'O95817')"
"('Q86X02', 'O43482')"
"('Q9H0W9', 'Q7Z4W1')"
"('Q7Z3B3', 'P84022')"
"('P20648', 'P63096')"
"('O00268', 'P62380')"
"('Q13617', 'P62877')"
"('P11940', 'P61313')"
"('O95831', 'Q96KK5')"
"('P54259', 'Q9ULD9')"
"('Q9NZZ3', 'P51149')"
"('Q63HR2', 'P21860')"
"('P12004', 'P23508')"
"('P25788', 'P60709')"
"('Q8TAA3', 'O75157')"
"('Q99873', 'Q8TCT0')"
"('P63098', 'Q9UIK4')"
"('Q53ET0', 'P18846')"
"('Q15020', 'Q5T4S7')"
"('Q9NZP0', 'P62873')"
"('P13646', 'Q9H492')"
"('Q4ZG55', 'P42773')"
"('P49674', 'Q00987')"
"('Q86VQ0', 'Q5SW79')"
"('Q9NYQ7', 'O60318')"
"('Q13595', 'Q9Y383')"
"('P23396', 'P62249')"
"('Q7L5A3', 'A8MQ03')"
"('Q5VTD9', 'Q7Z406')"
"('Q9H5I1', 'Q8N5Z5')"
"('Q9H2G2', 'O00294')"
"('Q9NQX4', 'Q15717')"
"('O75157', 'Q14145')"
"('O00585', 'P25024')"
"('Q99633', 'Q92764')"
"('Q9HC98', 'O00159')"
"('P46060', 'Q9UBE0')"
"('O60496', 'P46109')"
"('P01241', 'Q99650')"
"('Q93073', 'Q9H871')"
"('Q9GZM8', 'P62258')"
"('P49903', 'O00299')"
"('Q9UKJ5', 'Q5TA76')"
"('Q14498', 'P61326')"
"('Q9H2G9', 'Q9Y3Q8')"
"('Q07955', 'Q15029')"
"('Q9H0W5', 'Q12906')"
"('Q92905', 'Q8N1G4')"
"('P17947', 'Q9H3N1')"
"('P09234', 'Q8IUC1')"
"('P01732', 'Q8TBB1')"
"('O43189', 'Q09028')"
"('Q0D2H9', 'P43365')"
"('P62906', 'Q8N3Z6')"
"('Q9Y3T9', 'Q49A26')"
"('Q96AH0', 'Q8N302')"
"('Q14164', 'Q02543')"
"('Q9Y2D8', 'O43542')"
"('Q9Y468', 'P22087')"
"('P34947', 'Q8WVP5')"
"('Q9P2K5', 'Q96NL6')"
"('Q13098', 'Q8IVT5')"
"('P20226', 'Q16594')"
"('Q9NYK5', 'Q9BYC8')"
"('P63279', 'P54198')"
