negatives
"('O95429', 'Q6PL18')"
"('Q9NRC8', 'Q6UB35')"
"('Q8NDZ0', 'Q15428')"
"('P49757', 'Q8N448')"
"('O15160', 'P02751')"
"('Q9HCE1', 'Q9HAP6')"
"('P78368', 'O14640')"
"('Q93034', 'P62805')"
"('Q8WVT3', 'Q53EZ4')"
"('P01833', 'Q659A1')"
"('P17676', 'P02768')"
"('P24941', 'P19367')"
"('Q9UMX2', 'Q96A70')"
"('Q8IZJ0', 'P01589')"
"('Q13618', 'Q9NRH1')"
"('P36578', 'P47914')"
"('Q96RB7', 'O60262')"
"('Q8IXW5', 'O95402')"
"('P08754', 'Q9H0R3')"
"('P34947', 'Q13427')"
"('Q9UM82', 'Q08379')"
"('Q13595', 'P49761')"
"('Q15800', 'P56937')"
"('Q8NFH4', 'Q12769')"
"('Q15323', 'Q9BQ24')"
"('Q68CQ4', 'Q5H9R7')"
"('Q32P28', 'O15294')"
"('O43593', 'Q3LI76')"
"('Q9H6Y5', 'Q9UJX6')"
"('Q9C0B0', 'P63104')"
"('Q8N4C6', 'Q96G01')"
"('P60410', 'Q8IWZ5')"
"('P09038', 'P98160')"
"('Q8NGI2', 'P62873')"
"('Q96EU7', 'Q9H4P4')"
"('O00308', 'A8MYP8')"
"('P62158', 'P43220')"
"('Q13112', 'P62805')"
"('Q6ZUS6', 'P04156')"
"('P25445', 'Q9UNN5')"
"('O14730', 'Q9UHD2')"
"('O95684', 'Q9P209')"
"('P26640', 'P49368')"
"('O95379', 'Q8NBF2')"
"('Q12768', 'P55769')"
"('Q6K0P9', 'Q96T23')"
"('P27105', 'P49368')"
"('Q6P1J9', 'P05198')"
"('O95376', 'Q15843')"
"('O00159', 'P46940')"
"('Q99816', 'Q96JZ2')"
"('P08047', 'P14859')"
"('Q9BYR8', 'Q9BYQ3')"
"('P21333', 'P63261')"
"('P22626', 'P05161')"
"('P14373', 'P35226')"
"('P10635', 'P16435')"
"('P42696', 'Q13610')"
"('P49746', 'P23229')"
"('Q6NUS6', 'Q53EU6')"
"('P31153', 'O00400')"
"('P00533', 'Q99470')"
"('O75643', 'P62304')"
"('Q96HP0', 'Q07889')"
"('P38117', 'Q9Y3E0')"
"('P04637', 'Q86X55')"
"('Q99590', 'Q6W2J9')"
"('P78527', 'O60264')"
"('Q9NX40', 'Q9Y4W6')"
"('Q13888', 'P50613')"
"('O43439', 'Q9P2R3')"
"('P84022', 'Q9NY61')"
"('P24941', 'Q9Y3U8')"
"('P35916', 'Q92569')"
"('P40425', 'Q504Y3')"
"('P09104', 'P61956')"
"('P13500', 'O43929')"
"('O43678', 'Q8IVT5')"
"('Q9BUF5', 'O14576')"
"('Q16643', 'P84996')"
"('P53778', 'P02686')"
"('Q9UHA4', 'Q8N122')"
"('Q99590', 'Q07955')"
"('Q9H3D4', 'Q14457')"
"('Q9UKB1', 'Q9Y4L5')"
"('Q96SI9', 'P35226')"
"('P26378', 'Q9UBU9')"
"('Q15286', 'P27694')"
"('P07199', 'Q9BRG2')"
"('Q9P2N6', 'Q01167')"
"('Q13148', 'O00471')"
"('Q15717', 'Q96DE5')"
"('P62258', 'Q9UL19')"
"('Q9NRC8', 'A7E2V4')"
"('Q13285', 'Q9H2G2')"
"('Q13561', 'Q8IX12')"
"('Q16543', 'Q15365')"
"('Q13509', 'Q13409')"
"('Q93074', 'O75478')"
"('Q9NS73', 'P48059')"
"('Q96DV4', 'Q8IVT5')"
"('P62857', 'O75530')"
"('Q07666', 'Q92542')"
"('P55081', 'P38432')"
"('Q9NVD7', 'Q14194')"
"('P22694', 'P08151')"
"('Q12906', 'Q04695')"
"('Q9Y5K5', 'Q7Z4K8')"
"('Q9GZT9', 'P01116')"
"('Q99437', 'Q9BZJ8')"
"('P10767', 'P09619')"
"('P06899', 'O43711')"
"('P28222', 'P08754')"
"('P34932', 'P25490')"
"('Q99570', 'P62258')"
"('Q9Y2X3', 'Q13601')"
"('Q99571', 'Q14232')"
"('P10276', 'P02656')"
"('Q8TCT0', 'Q13123')"
"('O15075', 'Q9UHK0')"
"('P46060', 'Q5W0Q7')"
"('Q5VTR2', 'P04637')"
"('Q9UHD9', 'P55957')"
"('Q9UBU9', 'Q13162')"
"('O76071', 'P49643')"
"('P17844', 'O15357')"
"('Q92731', 'Q9Y623')"
"('O75582', 'Q6PKC3')"
"('Q6IE81', 'P33992')"
"('Q9NSY1', 'Q92614')"
"('Q9NZR1', 'Q15424')"
"('P00533', 'Q13905')"
"('P01116', 'Q15717')"
"('P61247', 'P61221')"
"('P55795', 'P11441')"
"('Q9BTP6', 'Q9UBU9')"
"('Q96J02', 'Q8N684')"
"('Q9UM54', 'Q9Y572')"
"('Q9Y3U8', 'P46782')"
"('O75534', 'Q15717')"
"('Q8TAP6', 'O14654')"
"('P49756', 'Q08379')"
"('Q9BRK4', 'O14980')"
"('O14576', 'Q96NL0')"
"('P04629', 'Q99714')"
"('Q02539', 'P50613')"
"('Q9Y496', 'P62993')"
"('O75665', 'Q9BY89')"
"('Q15717', 'Q15386')"
"('Q93062', 'O14503')"
"('Q96AC1', 'Q6ZW61')"
"('O43464', 'P68133')"
"('P23528', 'Q15642')"
"('P04053', 'Q8N961')"
"('Q6Y1H2', 'Q15717')"
"('P46821', 'Q01167')"
"('P08238', 'Q8NFZ0')"
"('O14964', 'A1E959')"
"('Q7L2J0', 'Q9UN81')"
"('P30679', 'P25098')"
"('Q9NRM7', 'O95202')"
"('P13569', 'P21333')"
"('Q8TCT6', 'Q14CS0')"
"('P62263', 'P62273')"
"('P32242', 'O43609')"
"('Q86WN2', 'P40189')"
"('Q9P2P5', 'A6NHR9')"
"('O43610', 'Q9Y4H4')"
"('Q96PU5', 'Q8N4C8')"
"('P55735', 'O95817')"
"('Q8NCA5', 'Q92905')"
"('P62249', 'P62263')"
"('Q7Z3S9', 'O95363')"
"('Q96EP0', 'P09234')"
"('Q8TD10', 'Q99909')"
"('Q5SSJ5', 'Q93034')"
"('P00338', 'O95793')"
"('Q99460', 'P01889')"
"('P60033', 'Q14240')"
"('P21333', 'Q9NZV8')"
"('Q99986', 'P38432')"
"('P60409', 'Q8N7K0')"
"('Q9H4L7', 'Q9NRL2')"
"('P49790', 'Q9HAV4')"
"('P24941', 'P19474')"
"('Q6NZ67', 'Q9UGJ1')"
"('P62993', 'Q96RT1')"
"('Q9NPF4', 'P46060')"
"('P33981', 'Q96E14')"
"('P22694', 'O43889')"
"('Q3MHD2', 'Q6NVY1')"
"('O75909', 'O95967')"
"('Q9P2P5', 'Q9H1A4')"
"('P35579', 'Q9NQ11')"
"('P06454', 'P05412')"
"('Q9Y6I9', 'Q6NUM6')"
"('P18564', 'P26006')"
"('Q5D0E6', 'P67870')"
"('P60369', 'Q8N370')"
"('Q8TBB1', 'Q9NWX6')"
"('P25208', 'P29350')"
"('Q9BYG5', 'Q16825')"
"('Q5JTH9', 'Q9NZM5')"
"('Q9NPJ8', 'Q9H4D5')"
"('Q96EE3', 'Q53GS7')"
"('P53708', 'P17301')"
"('Q8WV44', 'Q86UD4')"
"('Q09472', 'Q8N9N2')"
"('P52895', 'P42330')"
"('P19320', 'P11717')"
"('O75934', 'Q96MT4')"
"('Q8IWI9', 'O75530')"
"('P05067', 'Q8IXP5')"
"('Q07864', 'Q13310')"
"('Q13363', 'O60341')"
"('P49638', 'P59991')"
"('P27448', 'O75478')"
"('Q71RC2', 'Q92667')"
"('P50991', 'Q9BXA6')"
"('Q9Y6D5', 'P10644')"
"('P18031', 'Q9C0H5')"
"('Q96L14', 'O60814')"
"('Q6ZU80', 'Q96NB1')"
"('Q9P003', 'Q9Y478')"
"('Q9BUB5', 'P78527')"
"('Q6IQ23', 'P56524')"
"('Q9UJX2', 'Q9H8Y8')"
"('Q99714', 'P40925')"
"('P04629', 'P08621')"
"('P38398', 'P26358')"
"('Q9HCE1', 'Q86U44')"
"('P62424', 'O95819')"
"('Q9UHX1', 'Q92905')"
"('P48426', 'P67870')"
"('P50552', 'Q13435')"
"('Q9Y296', 'Q9Y5R8')"
"('O15442', 'P20073')"
"('Q9UKB1', 'Q9BVJ6')"
"('Q9HAV7', 'P07902')"
"('P14770', 'P46108')"
"('P52907', 'P27694')"
"('Q9UHL9', 'P52292')"
"('P08572', 'Q9BXJ5')"
"('Q13200', 'P30480')"
"('Q9UBI6', 'P53779')"
"('Q9NTJ3', 'Q8N6T7')"
"('P60903', 'Q7KZ85')"
"('O95267', 'P61224')"
"('Q12967', 'Q969H4')"
"('Q9ULJ3', 'O60333')"
"('O60216', 'Q5XPI4')"
"('Q8WW59', 'Q9HCE1')"
"('P49407', 'Q8NGJ9')"
"('O95816', 'Q99615')"
"('Q9C0C2', 'Q14204')"
"('Q9UHD9', 'P05408')"
"('Q4G0N4', 'Q96AC1')"
"('Q9H2H8', 'O60506')"
"('Q15274', 'Q9BZK7')"
"('P35613', 'Q9Y576')"
"('Q9Y6E7', 'P05141')"
"('Q9UNN5', 'Q8WVZ9')"
"('P82909', 'P08621')"
"('P02458', 'P26006')"
"('Q9UHK0', 'P63104')"
"('Q96EX3', 'P50222')"
"('O15055', 'O15516')"
"('Q9HAU4', 'P62979')"
"('P07196', 'Q00887')"
"('Q13435', 'Q15637')"
"('O75771', 'P50222')"
"('P07900', 'Q13705')"
"('P27694', 'P15924')"
"('Q9BSJ8', 'P27694')"
"('P02768', 'Q9H5V8')"
"('Q9UMN6', 'P05026')"
"('Q14197', 'Q9BUE6')"
"('Q13557', 'O15084')"
"('P15170', 'O60231')"
"('P10275', 'O14595')"
"('A2RUC4', 'Q5T0L3')"
"('Q9H0R4', 'Q9H008')"
"('Q9C0C9', 'Q8IVT5')"
"('P19838', 'Q8NC74')"
"('Q08117', 'Q9UJX0')"
"('Q16763', 'Q9Y237')"
"('P19544', 'Q15022')"
"('O75398', 'P42771')"
"('P36873', 'Q02045')"
"('P33991', 'Q9UJA3')"
"('P04626', 'P42224')"
"('Q5T749', 'Q9BYS1')"
"('P48507', 'P0DP24')"
"('P34931', 'Q9Y230')"
"('Q92564', 'Q9UBF6')"
"('P0DI82', 'O43617')"
"('Q9BY41', 'P07900')"
"('P04198', 'Q9P2D1')"
"('Q3LI72', 'O14503')"
"('Q9H0U4', 'P51149')"
"('Q9BRQ6', 'Q9P035')"
"('Q6A162', 'Q5T5B0')"
"('Q96HB5', 'Q96L14')"
"('Q13573', 'Q7KZF4')"
"('P84022', 'Q99081')"
"('Q86SE9', 'Q8N488')"
"('P54274', 'P80297')"
"('P17028', 'Q99442')"
"('Q8IVT5', 'Q9BV20')"
"('O43474', 'P13807')"
"('P07919', 'O14668')"
"('P14678', 'Q9GZQ8')"
"('Q99853', 'P29692')"
"('Q12769', 'Q14999')"
"('O14867', 'Q92547')"
"('Q9UJV3', 'Q9BY27')"
"('Q9BQG2', 'Q5T1M5')"
"('P18146', 'Q9NQA5')"
"('P50222', 'Q9BX67')"
"('Q5T5B0', 'P60369')"
"('Q9Y272', 'P50151')"
"('P10145', 'P01023')"
"('O14786', 'P17948')"
"('P16066', 'P01160')"
"('P86481', 'Q15038')"
"('Q9UPM6', 'Q9BWG4')"
"('Q9Y5V3', 'Q93008')"
"('Q9UHD8', 'O75530')"
"('P62714', 'P56537')"
"('O95817', 'Q15691')"
"('Q9BV73', 'P10644')"
"('P39656', 'P22695')"
"('P41236', 'O14965')"
"('Q6P1J9', 'Q8N7H5')"
"('O60934', 'Q13185')"
"('Q15843', 'Q15436')"
"('P13805', 'P42356')"
"('Q5VST9', 'Q9UPP5')"
"('P04629', 'Q9BXW9')"
"('P22087', 'Q96GQ7')"
"('P35869', 'P35222')"
"('Q96S65', 'Q96EZ8')"
"('P09874', 'P14921')"
"('Q9Y597', 'Q96FV2')"
"('O43823', 'Q86VP6')"
"('P01889', 'Q9Y617')"
"('P29400', 'Q05397')"
"('Q13572', 'P18146')"
"('P62241', 'Q9BYC8')"
"('Q04637', 'Q9H0W5')"
"('Q15042', 'O15259')"
"('O14544', 'P51692')"
"('Q8IVT5', 'O00767')"
"('Q96P09', 'P61086')"
"('A9YTQ3', 'P27540')"
"('P49674', 'O94776')"
"('Q9BXS6', 'Q5VWX1')"
"('Q86U70', 'P55317')"
"('Q9BUY5', 'Q08043')"
"('Q96K17', 'Q9Y4X5')"
"('Q14137', 'Q96BN8')"
"('P49588', 'P51692')"
"('Q5JUX0', 'Q15717')"
"('Q9UM11', 'Q99502')"
"('P47897', 'Q9Y6H6')"
"('Q86X55', 'Q14814')"
"('P84098', 'P61313')"
"('Q9Y3A3', 'P67775')"
"('P05107', 'P55036')"
"('P02730', 'P69905')"
"('Q9HAV0', 'Q01970')"
"('Q9NRH3', 'Q9NRD1')"
"('Q9BQD3', 'Q8N8X9')"
"('Q92838', 'Q9BZF1')"
"('P52948', 'P02545')"
"('Q13107', 'Q96RU2')"
"('P31689', 'Q14249')"
"('Q9HCE7', 'Q13761')"
"('Q8IYR0', 'Q6PEX3')"
"('O43172', 'Q01081')"
"('Q16531', 'Q9UL18')"
"('Q00987', 'Q96J02')"
"('P54253', 'O43809')"
"('Q9BTV5', 'Q8WUX2')"
"('Q13576', 'P0DP24')"
"('P48431', 'P31323')"
"('P68366', 'Q13619')"
"('Q00653', 'Q07817')"
"('Q7Z4V5', 'O76039')"
"('Q99496', 'Q8TEX9')"
"('Q9HCI7', 'O75150')"
"('P40227', 'Q9BXA6')"
"('Q8N9I0', 'O60506')"
"('Q8IWZ5', 'O14633')"
"('P0C2W1', 'P03372')"
"('Q8TD86', 'Q15746')"
"('P78527', 'P10276')"
"('O43309', 'Q9UJV3')"
"('Q96BN8', 'O14641')"
"('Q6PL18', 'Q9UBU9')"
"('P05106', 'O75369')"
"('Q9NW68', 'P60520')"
"('P49848', 'O95983')"
"('Q12905', 'O95273')"
"('P20618', 'P01106')"
"('P62277', 'Q9H492')"
"('Q9NYV4', 'Q13526')"
"('P05067', 'Q6NUI1')"
"('P23760', 'O94829')"
"('Q8WVM7', 'P32249')"
"('Q13616', 'Q9UK96')"
"('Q9HAT0', 'P25786')"
"('P41231', 'O14745')"
"('O95785', 'Q01664')"
"('Q9Y3S2', 'Q8IZ20')"
"('Q8NFG4', 'Q9NR45')"
"('O60936', 'Q9UHD9')"
"('Q9H9B4', 'Q8WUK0')"
"('P51784', 'Q93009')"
"('O76003', 'Q9Y3D0')"
"('Q969H0', 'Q9Y4A8')"
"('Q8ND30', 'O60941')"
"('P30480', 'P33993')"
"('Q9UI12', 'P36543')"
"('Q9GZM5', 'Q9Y2T5')"
"('Q9Y5K5', 'P0C1Z6')"
"('Q13535', 'Q13435')"
"('P00533', 'Q9UBV2')"
"('P84022', 'O15151')"
"('Q96B86', 'Q9BYT9')"
"('Q96GX1', 'Q6UX41')"
"('P05113', 'P16234')"
"('O95996', 'Q9NR80')"
"('Q13330', 'Q9UBC3')"
"('P42677', 'P62841')"
"('Q9Y6H1', 'Q96D53')"
"('P61978', 'P27986')"
"('P33176', 'Q9H3R5')"
"('Q13619', 'P62318')"
"('P08151', 'P35222')"
"('P35222', 'Q92519')"
"('Q9BW85', 'Q9ULR0')"
"('P50222', 'Q8NDW4')"
"('Q15800', 'Q14152')"
"('Q8WU10', 'Q9Y333')"
"('Q96TA2', 'P25705')"
"('P17980', 'P28065')"
"('P17612', 'P35222')"
"('Q5SQN1', 'Q9Y6D6')"
"('P47755', 'Q9Y4I1')"
"('O14828', 'Q9NVX0')"
"('O76070', 'Q96AE4')"
"('P82987', 'A8MQ03')"
"('P09651', 'Q8IWV7')"
"('Q8NHZ7', 'Q13547')"
"('Q15811', 'O14490')"
"('Q05639', 'P33992')"
"('Q9UHX1', 'P08670')"
"('P62277', 'Q9BY44')"
"('P13805', 'P17844')"
"('Q13573', 'Q8WVM7')"
"('P12757', 'P46934')"
"('O43318', 'Q13490')"
"('O00339', 'P08572')"
"('O60313', 'Q16795')"
"('P27797', 'P04275')"
"('P38484', 'P23458')"
"('P49748', 'O75964')"
"('Q53FT3', 'P11142')"
"('Q9BYN0', 'P63146')"
"('Q969U7', 'Q9Y244')"
"('Q96S21', 'Q96GM8')"
"('Q86XU0', 'Q9HBI0')"
"('P48729', 'Q04917')"
"('Q9UL63', 'P13385')"
"('Q9UNE7', 'Q96M98')"
"('Q14164', 'Q15046')"
"('P0C869', 'P55210')"
"('Q9NUX5', 'P09525')"
"('Q9UBX2', 'P27635')"
"('Q96FQ7', 'Q8N6Y0')"
"('Q15717', 'Q92540')"
"('Q9Y4E8', 'P33993')"
"('P62195', 'P51665')"
"('P51571', 'Q13286')"
"('Q96GF1', 'O94905')"
"('P55157', 'Q9H5I1')"
"('Q8NHW5', 'P61353')"
"('P12755', 'Q9H2X6')"
"('Q9HCL0', 'Q9H1Y0')"
"('P34741', 'Q03167')"
"('O43823', 'P13861')"
"('P09601', 'Q8N6L0')"
"('Q99572', 'A8MQ03')"
"('P14866', 'O75937')"
"('Q9UP95', 'Q86Y78')"
"('Q9Y6E7', 'Q96EY7')"
"('Q8NHW5', 'P62081')"
"('Q15717', 'Q9GZU8')"
"('Q8IYD8', 'O95985')"
"('Q9NUM3', 'Q96BA8')"
"('P18031', 'O75955')"
"('P30419', 'P49959')"
"('P48556', 'Q7Z6Z7')"
"('P02768', 'O00482')"
"('O60911', 'P98170')"
"('Q9H2U1', 'P49773')"
"('Q5VWN6', 'P84090')"
"('P20618', 'Q6IN85')"
"('P17612', 'O95371')"
"('Q8IX18', 'Q8NBL1')"
"('Q9BRD0', 'Q92917')"
"('O14787', 'P02511')"
"('Q9H6Z9', 'Q14318')"
"('Q9UBU9', 'Q14554')"
"('P67775', 'P22830')"
"('P13805', 'Q9Y328')"
"('Q5FWF5', 'O95684')"
"('Q9HBV2', 'O94829')"
"('Q8WYA6', 'Q13573')"
"('O95817', 'P78417')"
"('O95835', 'A1L4K1')"
"('O75937', 'Q9Y6K9')"
