negatives
"('P51693', 'Q99547')"
"('O95670', 'P36543')"
"('P62877', 'P38936')"
"('Q9BX67', 'Q96QZ7')"
"('Q08117', 'Q04206')"
"('P19438', 'P62987')"
"('Q8NFH3', 'Q8TCT6')"
"('Q15334', 'Q9H0R8')"
"('Q71F56', 'Q93074')"
"('P01876', 'P35527')"
"('P68133', 'P06396')"
"('Q9UI14', 'P63027')"
"('P20618', 'Q96RG2')"
"('Q13535', 'Q9UPV0')"
"('Q8N257', 'Q9BTM1')"
"('P40424', 'P14653')"
"('Q9NS23', 'Q9Y6H6')"
"('Q92608', 'P17081')"
"('Q99759', 'P04406')"
"('P27482', 'Q9UQM7')"
"('Q969H0', 'Q6ZRQ5')"
"('P50148', 'Q00722')"
"('Q07157', 'P62736')"
"('O43427', 'P56537')"
"('O95433', 'Q96T58')"
"('P68104', 'P78527')"
"('O14576', 'P63172')"
"('Q13315', 'Q9BVJ6')"
"('P49736', 'P11802')"
"('Q09028', 'Q96T58')"
"('O95801', 'Q5W0B1')"
"('P40939', 'O75815')"
"('P62993', 'Q13557')"
"('Q9UI14', 'P51149')"
"('O43741', 'Q86TI0')"
"('Q9Y5J5', 'Q8N1F7')"
"('P47992', 'P46092')"
"('Q3ZCQ8', 'P63104')"
"('P42766', 'P83731')"
"('P01889', 'Q9NR31')"
"('O43242', 'P01106')"
"('P29350', 'Q13651')"
"('Q7Z2V1', 'P51116')"
"('Q9NP79', 'Q7Z6G3')"
"('P60709', 'P62701')"
"('Q9UBD9', 'P24394')"
"('P68363', 'Q13509')"
"('P40337', 'Q15369')"
"('O15371', 'Q14164')"
"('Q13315', 'Q9UPZ3')"
"('Q15628', 'O00463')"
"('Q16576', 'O75376')"
"('P16104', 'P62937')"
"('O43707', 'Q07157')"
"('O75056', 'P34741')"
"('Q01094', 'Q14680')"
"('Q00978', 'P55265')"
"('P62256', 'Q9NTX7')"
"('Q13887', 'Q92793')"
"('O00161', 'P32856')"
"('P35968', 'Q9Y6I3')"
"('Q9GZS3', 'P49459')"
"('Q9UQC2', 'P43403')"
"('Q05516', 'Q14451')"
"('P00533', 'Q4KWH8')"
"('Q9HCU9', 'Q16576')"
"('Q9Y2X8', 'Q969V5')"
"('P68366', 'P62993')"
"('P11182', 'Q9BV57')"
"('P26441', 'Q05084')"
"('Q6UXH1', 'Q13526')"
"('O95243', 'Q69YH5')"
"('O43293', 'P04150')"
"('P0CG48', 'P25098')"
"('O43639', 'P21860')"
"('O43915', 'P21802')"
"('Q9Y5X2', 'P62993')"
"('Q9NPH9', 'P15260')"
"('O95049', 'Q9P2M7')"
"('Q9ULM3', 'Q9NR33')"
"('Q92793', 'Q8TAD8')"
"('Q00987', 'Q16665')"
"('O94819', 'P12980')"
"('P35268', 'P62913')"
"('Q8TB52', 'Q9HCE7')"
"('O15264', 'P11021')"
"('Q92616', 'P02768')"
"('P46459', 'Q9P2H0')"
"('P27986', 'P13637')"
"('Q14164', 'P62879')"
"('P52333', 'P42226')"
"('Q86W26', 'Q9UNN5')"
"('P16298', 'P51617')"
"('Q92793', 'Q9UER7')"
"('P62877', 'Q9NRD1')"
"('P15056', 'O43482')"
"('Q9H270', 'Q7L1V2')"
"('P60520', 'Q96QV1')"
"('Q6PI98', 'Q8NBZ0')"
"('P20908', 'P26006')"
"('Q13547', 'Q96A08')"
"('Q13237', 'P04049')"
"('Q16514', 'Q86TJ2')"
"('P10144', 'P09874')"
"('O14964', 'O95405')"
"('O75694', 'Q99567')"
"('P02768', 'P10720')"
"('P30414', 'Q15287')"
"('P18206', 'P35637')"
"('Q07889', 'O95267')"
"('P12956', 'O14678')"
"('P50151', 'Q15759')"
"('P51681', 'Q15102')"
"('P08123', 'P08253')"
"('O75663', 'P60510')"
"('Q92914', 'P17948')"
"('P32121', 'Q8NGI3')"
"('O00221', 'O14980')"
"('Q96D71', 'Q8WXE9')"
"('P17028', 'P26641')"
"('Q13547', 'Q15910')"
"('P25391', 'P07942')"
"('Q9Y3U8', 'P62913')"
"('Q92685', 'P22314')"
"('Q9Y375', 'P68363')"
"('P35626', 'P25025')"
"('Q5SW96', 'Q13573')"
"('P55010', 'O15371')"
"('P60568', 'P31785')"
"('P51681', 'Q15583')"
"('Q8N264', 'P08134')"
"('Q8TAS1', 'P55157')"
"('Q6STE5', 'Q12824')"
"('Q96F07', 'Q92558')"
"('P09038', 'P08581')"
"('P49841', 'P24385')"
"('P62805', 'P38398')"
"('Q7Z434', 'O94826')"
"('Q9UI10', 'Q99459')"
"('Q9HBM6', 'O75486')"
"('P31371', 'P06213')"
"('P62318', 'P62304')"
"('Q9Y3C7', 'O43261')"
"('Q9NXD2', 'O15198')"
"('Q9Y2Q3', 'Q9UM00')"
"('P16333', 'Q8IWN7')"
"('Q04725', 'Q13620')"
"('P16220', 'Q9C099')"
"('P51668', 'O94941')"
"('Q9HC24', 'Q9Y262')"
"('P28370', 'Q10586')"
"('P25774', 'P55957')"
"('P19793', 'P37231')"
"('Q03014', 'P35968')"
"('P45984', 'Q9P2H0')"
"('Q96GW7', 'P03956')"
"('P12004', 'Q9UBZ9')"
"('P07996', 'P10600')"
"('P30260', 'P06241')"
"('Q9Y3U8', 'P35268')"
"('Q96P20', 'Q9HC29')"
"('O14936', 'Q9UHC6')"
"('Q15303', 'Q14451')"
"('Q15834', 'Q9BT49')"
"('Q02763', 'P62993')"
"('Q16566', 'Q99941')"
"('Q9NRI5', 'Q96D09')"
"('P68133', 'P53814')"
"('Q04206', 'P14598')"
"('P23229', 'P12814')"
"('Q13315', 'Q99569')"
"('Q92633', 'P61952')"
"('P26368', 'Q07955')"
"('Q99873', 'Q96ID5')"
"('Q13191', 'Q99665')"
"('P35680', 'P61457')"
"('P07333', 'P51532')"
"('Q15653', 'P62979')"
"('P28702', 'Q15596')"
"('P56199', 'P23229')"
"('P25800', 'Q96RT1')"
"('P25963', 'Q9UBC9')"
"('Q9NZ42', 'P49810')"
"('P32969', 'P05387')"
"('O60934', 'Q13185')"
"('Q8N4C8', 'P10114')"
"('Q9H910', 'O43772')"
"('Q13557', 'Q9BXT2')"
"('P32121', 'Q96RD1')"
"('P08651', 'P18146')"
"('P28702', 'Q9NPJ6')"
"('Q9BVP2', 'Q9P2S5')"
"('P09914', 'O14879')"
"('P22612', 'P25963')"
"('P02743', 'P24071')"
"('P27348', 'Q92731')"
"('P63167', 'Q96FJ2')"
"('O15160', 'Q14191')"
"('Q13315', 'O94966')"
"('P40763', 'Q13131')"
"('Q13287', 'Q14765')"
"('Q969Q6', 'Q9UF02')"
"('P56537', 'Q13347')"
"('P16220', 'O43252')"
"('O76071', 'Q9Y5Q9')"
"('Q9P0L1', 'Q9NX65')"
"('Q9UET6', 'P31150')"
"('P54274', 'Q9Y2X7')"
"('Q08345', 'Q7L4P6')"
"('Q9H8W4', 'Q99576')"
"('P07225', 'P00734')"
"('Q9ULK4', 'P10914')"
"('Q9UNS2', 'P04049')"
"('Q99459', 'Q9UI10')"
"('Q9UKR5', 'Q92561')"
"('Q9NPF4', 'Q96BZ8')"
"('O43809', 'Q9BXF9')"
"('O00233', 'Q06323')"
"('P46783', 'P62847')"
"('P05771', 'Q12879')"
"('P61956', 'Q9UJU2')"
"('P58400', 'Q9NZ94')"
"('Q7RTX1', 'Q7RTX0')"
"('Q16633', 'O43255')"
"('O00212', 'Q13177')"
"('P49207', 'P26373')"
"('P05161', 'Q92793')"
"('P00519', 'P34820')"
"('P61981', 'Q9UMS6')"
"('P53803', 'P19387')"
"('Q8N752', 'P10070')"
"('Q99567', 'Q8NFH5')"
"('O60269', 'O43597')"
"('O43617', 'P27708')"
"('Q9H3S1', 'O15031')"
"('Q86XK2', 'P60900')"
"('Q13200', 'P01889')"
"('A8K6C2', 'Q13651')"
"('Q01974', 'O43318')"
"('Q9NRR5', 'A9UHW6')"
"('Q9BYC9', 'P51398')"
"('Q09472', 'Q13569')"
"('P52333', 'P07332')"
"('Q9BYM8', 'P48200')"
"('O95714', 'P60953')"
"('P00519', 'P21333')"
"('P48023', 'Q15642')"
"('O75438', 'O00217')"
"('O75478', 'P41235')"
"('P63104', 'Q96RK0')"
"('Q96AE4', 'Q92879')"
"('Q8TER5', 'O76061')"
"('P62945', 'P46778')"
"('Q15796', 'Q13501')"
"('P51532', 'P10914')"
"('Q9Y6G9', 'P07437')"
"('Q9Y6H5', 'P37840')"
"('Q9BVI4', 'Q9Y3Q8')"
"('O00231', 'Q9BRP4')"
"('O75964', 'P18859')"
"('Q93070', 'P18146')"
"('Q9Y4K3', 'P42704')"
"('P01589', 'P29597')"
"('Q9Y2I6', 'Q02040')"
"('P68371', 'P56182')"
"('Q92830', 'P10828')"
"('Q14457', 'P05412')"
"('Q9GZS1', 'Q9UHI6')"
"('P10275', 'Q9Y265')"
"('Q96F46', 'Q9Y4K3')"
"('P14316', 'Q03001')"
"('O14764', 'P60520')"
"('Q13151', 'Q13573')"
"('Q5VVJ2', 'P31943')"
