negatives
"('P38484', 'P50591')"
"('Q9NYY1', 'Q969J5')"
"('O43187', 'Q15796')"
"('O43242', 'Q9P1U1')"
"('Q8IYD8', 'P49760')"
"('P02766', 'Q9P2H0')"
"('Q86YV9', 'Q15397')"
"('P01138', 'Q01973')"
"('P43307', 'O60832')"
"('Q13432', 'P09429')"
"('Q13242', 'Q8IWZ8')"
"('P36873', 'P62158')"
"('O75899', 'P63218')"
"('Q9NTK1', 'Q96PU8')"
"('Q5UIP0', 'Q99547')"
"('Q04917', 'O60565')"
"('Q9UJU2', 'Q15796')"
"('Q03113', 'Q15283')"
"('Q8IYF3', 'Q7Z6G3')"
"('P26367', 'P40424')"
"('P01889', 'Q96AH8')"
"('P23458', 'Q8NEB9')"
"('P46459', 'O00591')"
"('P33240', 'Q9P2H0')"
"('P62249', 'O15479')"
"('O00221', 'Q07021')"
"('Q14241', 'Q93034')"
"('Q9UPW0', 'Q9ULK4')"
"('Q9Y4K3', 'P25787')"
"('P84098', 'P42766')"
"('Q8IY57', 'Q9UPN9')"
"('Q9GZR7', 'P08238')"
"('P50502', 'P60953')"
"('A8TX70', 'P18827')"
"('Q14644', 'Q15628')"
"('P20908', 'P26006')"
"('P13349', 'Q02535')"
"('P46783', 'P62851')"
"('P29459', 'P31785')"
"('Q14204', 'P62330')"
"('Q9BWJ5', 'Q7RTV0')"
"('Q9UER7', 'Q13547')"
"('P01106', 'Q9UNL2')"
"('O14640', 'Q9H2H0')"
"('P49715', 'P17480')"
"('P49189', 'P30480')"
"('P51571', 'O14730')"
"('P10398', 'P31327')"
"('P20290', 'P01889')"
"('P42224', 'Q92985')"
"('Q9UM73', 'O75159')"
"('P26651', 'Q15834')"
"('O43242', 'Q9HAW0')"
"('Q9BQA1', 'Q9UHR5')"
"('Q12933', 'Q9GZT8')"
"('Q15797', 'Q14511')"
"('P42345', 'O43156')"
"('Q15831', 'Q14232')"
"('P55774', 'P51685')"
"('P29992', 'Q9UP65')"
"('Q9NSE2', 'Q14765')"
"('Q9NYL2', 'P31947')"
"('Q9BVA1', 'P17302')"
"('P13164', 'P51532')"
"('P15248', 'Q8N6P7')"
"('Q8WYK2', 'P15336')"
"('P51817', 'Q04206')"
"('P02647', 'Q92484')"
"('P51636', 'P26012')"
"('P34741', 'P31431')"
"('Q8TAQ2', 'Q92538')"
"('P43403', 'P20936')"
"('Q5T4F7', 'P09544')"
"('P24043', 'P55268')"
"('Q9NZ42', 'Q9Y219')"
"('Q92769', 'Q9P0M6')"
"('Q8N8S7', 'Q13573')"
"('O00161', 'P32856')"
"('O14715', 'P63165')"
"('Q99570', 'Q9P2Y5')"
"('Q15369', 'Q96BD6')"
"('P62906', 'P46778')"
"('P60484', 'P08047')"
"('Q01201', 'Q96GM5')"
"('P12236', 'Q9Y6K9')"
"('A0JLT2', 'Q71F56')"
"('P01889', 'P61077')"
"('P15248', 'Q14627')"
"('P42226', 'P14921')"
"('O00571', 'Q14240')"
"('O95819', 'P11021')"
"('P67870', 'O75083')"
"('Q53HC9', 'P24941')"
"('P55157', 'O94856')"
"('O15455', 'Q99836')"
"('P53816', 'Q9UMX0')"
"('Q9NPJ4', 'Q92753')"
"('P02452', 'P23229')"
"('P08238', 'P49642')"
"('Q99700', 'P00533')"
"('Q15796', 'Q9H0M0')"
"('P83916', 'Q14739')"
"('P62891', 'P62987')"
"('P08246', 'P53396')"
"('Q9BSJ2', 'Q13573')"
"('Q14416', 'P50150')"
"('Q15750', 'P46734')"
"('P41743', 'P62993')"
"('P53350', 'P30622')"
"('Q8NCM8', 'Q9BUF5')"
"('Q8WUM4', 'Q99961')"
"('Q96CG3', 'Q6ZVK8')"
"('Q9BTE0', 'Q14194')"
"('Q13315', 'P38935')"
"('P37231', 'Q9H0E9')"
"('P08670', 'P25067')"
"('Q96EV8', 'Q9NX95')"
"('P05019', 'Q92569')"
"('P46777', 'P49207')"
"('Q96Q15', 'Q14738')"
"('Q99683', 'O15264')"
"('Q08345', 'O43639')"
"('Q9NXR7', 'Q99728')"
"('Q13315', 'Q5FWF5')"
"('P35579', 'P62993')"
"('Q15532', 'P18146')"
"('Q9Y3M8', 'P15153')"
"('P49336', 'O60244')"
"('O15056', 'P16333')"
"('Q9Y6D5', 'P80303')"
"('Q15287', 'P09651')"
"('Q8TDM6', 'P36957')"
"('O60285', 'P06702')"
"('P04439', 'O43908')"
"('Q16619', 'Q13261')"
"('P16333', 'Q9H222')"
"('Q9NXX6', 'Q96MG7')"
"('Q99814', 'Q07812')"
"('Q9NSC5', 'Q96FJ2')"
"('P28482', 'P10415')"
"('Q6P4R8', 'Q9ULG1')"
"('Q13233', 'P57678')"
"('Q04864', 'P51003')"
"('Q7Z5H3', 'Q96L33')"
"('Q9NZZ3', 'Q9UN37')"
"('Q04864', 'Q8NFZ5')"
"('P50453', 'Q5UIP0')"
"('P43631', 'Q06124')"
"('Q9Y4G8', 'Q9Y3A3')"
"('P55735', 'O94979')"
"('P0C5Y9', 'O60814')"
"('P04637', 'Q92466')"
"('Q05516', 'Q14192')"
"('P05412', 'O15297')"
"('P83881', 'P36578')"
"('P63010', 'O94973')"
"('P00533', 'P27986')"
"('P63092', 'O14610')"
"('P63211', 'Q9H1C0')"
"('Q13573', 'Q9UHX1')"
"('Q13753', 'Q7L0J3')"
"('P26441', 'P48551')"
"('P11274', 'O14924')"
"('Q13177', 'O75534')"
"('O14924', 'Q8WZA2')"
"('P25786', 'Q7Z6G3')"
"('O95900', 'Q14197')"
"('P35998', 'P0CG47')"
"('P84022', 'Q05516')"
"('P50991', 'Q9GZX7')"
"('Q07955', 'P52272')"
"('P62330', 'P53365')"
"('Q9H6E5', 'Q9UKF6')"
"('Q6UY11', 'Q9BQ66')"
"('P04637', 'P21675')"
"('P39023', 'P46776')"
"('P07910', 'P98170')"
"('Q15777', 'P10588')"
"('Q9H9Q2', 'P60228')"
"('Q15181', 'P31314')"
"('Q13547', 'P28702')"
"('Q9Y2Q3', 'Q14203')"
"('P46782', 'P62269')"
"('Q15628', 'O95831')"
"('Q8IXJ6', 'O43791')"
"('Q14145', 'Q13501')"
"('P35626', 'Q8NG81')"
"('P32121', 'Q8NGX0')"
"('P09467', 'Q07817')"
"('P51149', 'Q13748')"
"('P11802', 'O43463')"
"('P30480', 'P09661')"
"('P83731', 'Q07020')"
"('P35606', 'P53618')"
"('P67870', 'Q6IQ26')"
"('P32321', 'Q9GZT8')"
"('P24593', 'P05121')"
"('Q16394', 'Q92882')"
"('P33176', 'Q9Y4G8')"
"('O14686', 'Q01201')"
"('P60033', 'P01889')"
"('O15360', 'P46108')"
"('P23471', 'P04626')"
"('Q13315', 'Q9UFC0')"
"('Q9HB71', 'P01889')"
"('P52756', 'O15042')"
"('Q9Y6J8', 'P20929')"
"('Q9C019', 'Q5VVX9')"
"('Q9BUH8', 'Q9H4E7')"
"('P16152', 'P56537')"
"('Q15366', 'Q01081')"
"('P08107', 'P78527')"
"('P46199', 'Q14197')"
"('O00165', 'Q15714')"
"('Q9BZI7', 'Q9HAU5')"
"('P10275', 'P21333')"
"('P60228', 'Q14164')"
"('P23508', 'P54819')"
"('P35222', 'O95405')"
"('P08581', 'P27986')"
"('Q9Y371', 'Q14457')"
"('Q96AQ6', 'Q15834')"
"('O15397', 'Q99684')"
"('P08246', 'P06132')"
"('P04181', 'Q9NRR5')"
"('Q13233', 'O75369')"
"('P46782', 'P46781')"
"('P78364', 'O95503')"
"('O75478', 'Q9ULM3')"
"('Q96R48', 'P38405')"
"('P18031', 'P35568')"
"('Q9Y2L1', 'Q9NPD3')"
"('Q09472', 'Q00987')"
"('Q13480', 'Q9H706')"
"('P62879', 'Q13972')"
"('O00487', 'P35609')"
"('P25788', 'P53350')"
"('Q13490', 'Q9H0E2')"
"('Q14164', 'Q8WUM4')"
"('Q9UQF2', 'Q07866')"
"('P61247', 'O75352')"
"('P02458', 'P08514')"
"('P46778', 'P62829')"
"('P12931', 'P63244')"
"('Q13535', 'P49760')"
"('P63316', 'P19429')"
"('O00141', 'P48048')"
"('P62081', 'P62851')"
