negatives
"('P31749', 'Q7Z6J0')"
"('Q13573', 'P62495')"
"('Q9Y2X8', 'O60291')"
"('Q15554', 'O96017')"
"('Q13151', 'Q12986')"
"('O14512', 'O60674')"
"('Q9UI14', 'P20338')"
"('P52797', 'P54756')"
"('Q401N2', 'O00410')"
"('O75529', 'P20073')"
"('P54753', 'P06241')"
"('Q9UK32', 'P22736')"
"('P00734', 'Q8TEW0')"
"('P14174', 'O15519')"
"('P18146', 'Q8IZD2')"
"('Q16665', 'P35228')"
"('O75343', 'P33402')"
"('Q9UPR3', 'Q06190')"
"('Q9GZP0', 'P14616')"
"('Q16695', 'P00533')"
"('O94817', 'Q9NSB4')"
"('Q05209', 'P10721')"
"('Q8IUC1', 'P78545')"
"('Q96EZ8', 'Q5T4S7')"
"('P00519', 'Q92664')"
"('Q9UKT4', 'Q13042')"
"('P61758', 'Q92569')"
"('Q96LR5', 'O15344')"
"('Q13315', 'P78559')"
"('Q9NPF7', 'Q99650')"
"('Q86UA6', 'P11021')"
"('P37802', 'Q9Y4K3')"
"('P29317', 'Q92529')"
"('Q13233', 'P50990')"
"('P49763', 'O60462')"
"('Q96H86', 'Q15834')"
"('P05107', 'Q14192')"
"('P03372', 'P29353')"
"('P15735', 'Q8N806')"
"('P01570', 'P48357')"
"('P54105', 'P62316')"
"('P78383', 'Q92609')"
"('Q9NPJ3', 'P23508')"
"('Q01780', 'Q9UPM9')"
"('O14818', 'Q5VTR2')"
"('Q9H3D4', 'Q9UPW6')"
"('Q13573', 'O95983')"
"('Q99684', 'Q8WZ42')"
"('Q6ZVK8', 'Q9BQ66')"
"('P17480', 'Q15572')"
"('P12277', 'Q8N6R1')"
"('P40429', 'P62750')"
"('Q9UI30', 'Q9Y478')"
"('P60709', 'Q14240')"
"('P61764', 'P32856')"
"('Q92979', 'P17844')"
"('P25490', 'P0C1Z6')"
"('Q9BY41', 'Q99880')"
"('P26196', 'Q00005')"
"('P62837', 'Q96GF1')"
"('O15164', 'P10275')"
"('P43628', 'Q31610')"
"('O14965', 'P04198')"
"('Q9UQ16', 'Q9H2G2')"
"('O43683', 'Q8NG31')"
"('P17676', 'P05112')"
"('O76071', 'O60762')"
"('Q96NY8', 'P12931')"
"('Q9H0X6', 'Q15038')"
"('P49768', 'Q96BI3')"
"('Q08211', 'Q08170')"
"('P84022', 'P15822')"
"('Q9Y624', 'Q96QZ7')"
"('O75534', 'P16333')"
"('P30281', 'Q96EV8')"
"('Q03164', 'A6NK59')"
"('Q13616', 'P15153')"
"('P29084', 'Q08050')"
"('P46060', 'P63165')"
"('Q14197', 'Q9H0U6')"
"('Q8IY92', 'Q92665')"
"('P84022', 'Q9UJU2')"
"('P60953', 'A7KAX9')"
"('P19438', 'P01375')"
"('P23771', 'Q13562')"
"('P05451', 'P40763')"
"('P30040', 'P01889')"
"('Q9NSC5', 'P48736')"
"('O00255', 'P27694')"
