recall,precision
0.2682926829268293,0.19298245614035087
0.23170731707317074,0.20652173913043478
0.25609756097560976,0.2079207920792079
0.24390243902439024,0.2127659574468085
0.17073170731707318,0.24561403508771928
0.14634146341463414,0.2553191489361702
0.21951219512195122,0.2571428571428571
0.18292682926829268,0.25862068965517243
0.1951219512195122,0.26666666666666666
0.2073170731707317,0.2698412698412698
0.15853658536585366,0.2708333333333333
0.13414634146341464,0.3548387096774194
0.10975609756097561,0.391304347826087
0.07317073170731707,0.4
0.12195121951219512,0.4166666666666667
0.08536585365853659,0.4375
0.0975609756097561,0.47058823529411764
0.012195121951219513,0.5
0.06097560975609756,0.625
0.024390243902439025,0.6666666666666666
0.036585365853658534,0.75
0.04878048780487805,0.8
0.0,1.0
