negatives
"('Q01094', 'Q9Y6Q9')"
"('P35269', 'P11831')"
"('O00401', 'P17301')"
"('O75586', 'Q9ULK4')"
"('Q16659', 'P01100')"
"('Q99459', 'O43809')"
"('406976', 'P08581')"
"('Q13043', 'Q5VYV7')"
"('P62913', 'Q99558')"
"('Q15173', 'P62955')"
"('Q99816', 'Q9H3S7')"
"('P10145', 'Q04864')"
"('Q16627', 'P25025')"
"('Q13409', 'Q96AH8')"
"('Q16665', 'P14618')"
"('O60610', 'Q8NHR9')"
"('P23527', 'P04908')"
"('P0DJD1', 'Q6EEV6')"
"('P04070', 'P05121')"
"('Q9UQE7', 'O60216')"
"('P55157', 'Q8WX92')"
"('P51681', 'P62310')"
"('P35658', 'Q96HA1')"
"('O60333', 'Q15047')"
"('Q99877', 'Q6FI13')"
"('Q9UQ26', 'P20336')"
"('P06241', 'P13671')"
"('P08865', 'P16871')"
"('Q9UMS4', 'Q9NX58')"
"('P14210', 'P11362')"
"('P60842', 'P30153')"
"('Q8N6F1', 'Q07157')"
"('Q9NYF8', 'Q99459')"
"('Q15853', 'P01859')"
"('O00459', 'P10827')"
"('Q9H171', 'Q14653')"
"('Q9NSB8', 'Q9BYB0')"
"('P0C0S5', 'P62875')"
"('O43741', 'Q16822')"
"('P09012', 'Q99717')"
"('O95816', 'Q12933')"
"('Q92945', 'Q13188')"
"('Q9ULV8', 'P26951')"
"('P20700', 'O00442')"
"('P45983', 'P18847')"
"('Q86TN4', 'Q12933')"
"('P13569', 'Q9ULV0')"
"('P01730', 'P01912')"
"('Q9HAF1', 'Q9H8W4')"
"('Q14781', 'Q71DI3')"
"('Q07817', 'Q8IWV7')"
"('P13569', 'O75340')"
"('P04278', 'O95295')"
"('P11142', 'P0CG47')"
"('P46379', 'Q00536')"
"('P25963', 'A0JLT2')"
"('P63173', 'P40429')"
"('Q13315', 'Q9Y2W1')"
"('Q16795', 'P03915')"
"('P00734', 'P07204')"
"('Q9P212', 'Q05655')"
"('Q9HDB5', 'Q8N2Q7')"
"('Q13616', 'Q96EF6')"
"('P31946', 'Q9P2M7')"
"('Q13315', 'Q9Y487')"
"('O14818', 'Q9Y5K5')"
"('Q14697', 'P04222')"
"('O75569', 'Q9UKV8')"
"('Q04206', 'P19875')"
"('O60244', 'O95402')"
"('Q9UBD9', 'Q5VWK5')"
"('P07737', 'Q07890')"
"('Q9HCI7', 'P04637')"
"('P62877', 'Q16236')"
"('Q9Y4K3', 'Q13490')"
"('P05155', 'P16581')"
"('Q9NZS9', 'P62837')"
"('Q15257', 'P17252')"
"('P12110', 'P53708')"
"('P62714', 'P45984')"
"('Q8WYP3', 'Q9Y4K3')"
"('Q9UQP3', 'P53708')"
"('P10275', 'P62136')"
"('P62854', 'P62851')"
"('Q99877', 'P51610')"
"('Q8ND90', 'P52735')"
"('Q9BVJ6', 'Q15669')"
"('O43914', 'P26717')"
"('P04278', 'Q96G75')"
"('P67775', 'P68400')"
"('Q01970', 'Q02156')"
"('Q86YV6', 'Q9BUA6')"
"('Q9H082', 'Q676U5')"
"('Q9Y2Q3', 'P99999')"
"('Q92956', 'P01023')"
"('Q16514', 'Q9BRQ0')"
"('Q9HCK5', 'P42766')"
"('Q16531', 'P63104')"
"('P43026', 'P36894')"
"('Q96PU5', 'Q04917')"
"('407045', 'Q13153')"
"('Q9H2G2', 'Q9BYB0')"
"('Q9NWA0', 'Q9NPJ6')"
"('Q969T4', 'Q96BH1')"
"('P55196', 'Q99578')"
"('Q8TC90', 'O15162')"
"('O60739', 'P68036')"
"('Q9UM11', 'Q9UJX6')"
"('P19793', 'P10828')"
"('P16520', 'P42336')"
"('Q13573', 'Q8IYB8')"
"('P29597', 'P51692')"
"('P63220', 'P62854')"
"('P60763', 'P41743')"
"('P49023', 'P60709')"
"('P15311', 'P43146')"
"('Q8N1N5', 'P03372')"
"('P22301', 'P01589')"
"('Q9UGI9', 'Q9NP71')"
"('Q9P227', 'P61586')"
"('Q13363', 'P35221')"
"('P29374', 'Q92769')"
"('O95402', 'O60244')"
"('O75444', 'P48436')"
"('Q13573', 'P98175')"
"('Q9NPG1', 'P09471')"
"('Q9GZU7', 'P35269')"
"('P54259', 'Q96KQ4')"
"('Q9Y264', 'P08581')"
"('P29590', 'Q16539')"
"('Q16891', 'Q9H1I8')"
"('Q9BUF5', 'Q8NCM8')"
"('O00339', 'P53420')"
"('Q13573', 'Q9UMS4')"
"('P07384', 'P18031')"
"('Q9H4B7', 'Q00987')"
"('Q9BSJ2', 'Q13748')"
"('P56747', 'O75508')"
"('P15311', 'O43353')"
"('Q13485', 'Q9NQB0')"
"('O94906', 'Q9UQ35')"
"('Q14232', 'P05198')"
"('P10276', 'O43763')"
"('Q9NY59', 'P63244')"
"('P61978', 'P11940')"
"('P46934', 'P37088')"
"('Q8WUA4', 'Q9Y5Q9')"
"('P13498', 'P08253')"
"('P27816', 'P27986')"
"('Q15047', 'Q14289')"
"('Q7L590', 'Q14691')"
"('P08107', 'Q9NYB0')"
"('P21281', 'P05090')"
"('Q9Y508', 'P27361')"
"('Q92542', 'Q99466')"
"('Q96Q15', 'P67775')"
"('Q12968', 'Q14814')"
"('P46092', 'P04899')"
"('P02745', 'P02746')"
"('Q8IY92', 'P42695')"
"('P05109', 'Q96ID5')"
"('O43318', 'Q16659')"
"('P61218', 'Q9GZS3')"
"('Q9Y230', 'P17480')"
"('P62877', 'Q9UKT4')"
"('P61224', 'P14618')"
"('Q86WV6', 'Q969M3')"
"('Q9UKR5', 'O15235')"
"('P00519', 'P42345')"
"('P27986', 'Q9ULH1')"
"('Q13976', 'Q01814')"
"('P52298', 'P62826')"
"('Q16394', 'P12882')"
"('P30405', 'P51681')"
"('Q9Y4K3', 'P51149')"
"('P51991', 'Q13243')"
"('P15104', 'O14920')"
"('P85298', 'Q9HBH0')"
"('P51531', 'Q9UJX2')"
"('Q5VTD9', 'Q6PKC3')"
"('Q92569', 'P40763')"
"('P08581', 'Q01970')"
"('Q9NX70', 'Q93074')"
"('Q7LFL8', 'O14640')"
"('P60709', 'P62424')"
"('Q03518', 'Q86V81')"
"('O75956', 'P18754')"
"('Q09472', 'Q13952')"
"('Q9UNE7', 'Q7Z7E8')"
"('Q16611', 'Q14249')"
"('P62136', 'Q5JTV8')"
"('Q9Y4K3', 'P46781')"
"('P63165', 'P06730')"
"('P18754', 'O14576')"
"('P42229', 'P18031')"
"('P05141', 'Q13077')"
"('Q8N6Y0', 'Q96CN9')"
"('Q05655', 'P12931')"
"('P98171', 'Q7L0Q8')"
"('Q99759', 'O60641')"
"('Q13315', 'P04637')"
"('Q8WXU2', 'O95166')"
"('P62987', 'P27448')"
"('Q8N3U4', 'Q02224')"
"('Q07955', 'P07910')"
"('Q8NHY2', 'Q13619')"
"('P01243', 'P43487')"
"('Q9Y6Q9', 'Q04206')"
"('Q99731', 'Q00978')"
"('Q5UIP0', 'P36405')"
"('O60925', 'P59665')"
"('Q02930', 'P15336')"
"('O43809', 'Q9NZC7')"
"('P30281', 'Q08999')"
"('P15498', 'P62993')"
"('P48023', 'Q8TEC5')"
"('Q9NV56', 'Q9HAF1')"
"('P02768', 'Q8IY92')"
"('Q9BVA1', 'Q9Y572')"
"('P40306', 'P20073')"
"('Q9NQW7', 'P61077')"
"('P62993', 'P63267')"
"('O94805', 'P04183')"
"('P05556', 'Q03135')"
"('Q14683', 'Q15365')"
"('Q92956', 'P51571')"
"('P01106', 'O75489')"
"('Q14197', 'P51398')"
"('P54259', 'Q86UL8')"
"('Q5JWF2', 'Q9UK08')"
"('P67775', 'Q16589')"
"('Q9BZD4', 'Q13573')"
"('O15372', 'Q15834')"
"('Q13535', 'Q86VX9')"
"('Q92973', 'P62993')"
"('O14492', 'P29353')"
"('Q5JY77', 'P07550')"
"('P35326', 'Q08881')"
"('Q86YS3', 'Q5VTD9')"
"('Q8IU54', 'P31785')"
"('O75365', 'Q5VWQ8')"
"('P48426', 'Q06187')"
"('P06239', 'P27986')"
"('P10275', 'Q01196')"
"('P01106', 'Q5U5X0')"
"('Q9NT62', 'O75147')"
"('Q16787', 'P13612')"
"('P10070', 'Q15797')"
"('P29459', 'Q99665')"
"('Q9Y4K3', 'P50502')"
"('Q9UBC3', 'P48552')"
