negatives
"('P30480', 'Q00688')"
"('Q9NR55', 'Q68CJ9')"
"('P49459', 'Q14194')"
"('Q9UKW4', 'P53680')"
"('Q99459', 'Q6P2E9')"
"('Q92753', 'Q96JE9')"
"('P08253', 'Q01955')"
"('P11055', 'Q9P2M7')"
"('P60763', 'Q9P286')"
"('Q04206', 'P01589')"
"('P18621', 'P42766')"
"('P62308', 'Q04724')"
"('P00747', 'P04156')"
"('Q9BUQ8', 'O94906')"
"('Q15047', 'Q13148')"
"('Q6UUV7', 'Q03060')"
"('P22392', 'Q13232')"
"('P35626', 'Q8NHC8')"
"('Q99459', 'Q9UMS4')"
"('Q14469', 'P47928')"
"('Q13547', 'P29590')"
"('P01568', 'Q01344')"
"('P13861', 'Q05469')"
"('Q15654', 'P10145')"
"('O75569', 'Q15047')"
"('O95644', 'P01375')"
"('Q96AP4', 'Q8NEM2')"
"('Q13480', 'Q05209')"
"('P52735', 'Q7Z3K3')"
"('Q13310', 'O15198')"
"('Q9Y478', 'P14174')"
"('Q92878', 'Q6NUQ1')"
"('Q13573', 'Q9Y6E2')"
"('O75369', 'P16144')"
"('O14920', 'O00221')"
"('Q8TD86', 'P35228')"
"('Q9H981', 'O96019')"
"('P04003', 'P0C0L4')"
"('P06241', 'Q9BWW9')"
"('Q9NX00', 'Q9H0R8')"
"('P27986', 'P16885')"
"('P50552', 'Q9UGI8')"
"('Q9Y4H2', 'P48357')"
"('P01889', 'P12532')"
"('O75586', 'Q15648')"
"('O60861', 'Q86SX6')"
"('Q9UHD2', 'Q13568')"
"('Q86YP4', 'Q99459')"
"('Q0VF96', 'P62258')"
"('P62266', 'P42677')"
"('Q14683', 'Q01081')"
"('Q9UL45', 'P78537')"
"('Q96CM4', 'Q13045')"
"('P52907', 'P20929')"
"('O95299', 'Q86Y39')"
"('O60861', 'Q8IZP0')"
"('Q9H0M0', 'P08581')"
"('P27986', 'O15530')"
"('P62851', 'P62241')"
"('P67809', 'Q5JVS0')"
"('Q96EY1', 'Q93009')"
"('Q96QZ7', 'Q9Y4G8')"
"('O95251', 'O95295')"
"('P20226', 'Q13422')"
"('Q14191', 'P13010')"
"('Q14166', 'Q14164')"
"('Q9NRJ3', 'P51677')"
"('Q16610', 'P54259')"
"('Q9NZC7', 'P11940')"
"('Q9BT40', 'Q9Y572')"
"('Q10586', 'P54132')"
"('P02768', 'P98164')"
"('Q8IXK0', 'P78364')"
"('P46459', 'P48169')"
"('Q15366', 'P14866')"
"('Q7Z2G1', 'Q71UI9')"
"('Q15287', 'P52756')"
"('Q7Z5H3', 'Q07889')"
"('Q6PI98', 'Q9C086')"
"('P51946', 'P51948')"
"('P10636', 'Q9UQF2')"
"('Q9H444', 'P63279')"
"('Q6P179', 'P14316')"
"('Q9P202', 'Q9HBM0')"
"('Q01094', 'Q15744')"
"('Q8NE09', 'P49841')"
"('P31947', 'P56524')"
"('P38646', 'Q9UKG9')"
"('Q8NDB6', 'P43364')"
"('P24539', 'O75964')"
"('Q92914', 'P17948')"
"('P08754', 'O00459')"
"('O96014', 'Q9ULV1')"
"('P01588', 'P52333')"
"('P02654', 'Q9Y328')"
"('407016', 'Q15797')"
"('P53803', 'P19387')"
"('Q9NVD7', 'P06756')"
"('Q96RT1', 'P48065')"
"('P07355', 'Q14164')"
"('Q00005', 'P30153')"
"('Q13148', 'P62330')"
"('P53778', 'Q06413')"
"('Q9BVK8', 'P49662')"
"('P11940', 'Q92597')"
"('P04637', 'P18074')"
"('P29459', 'P48357')"
"('Q7Z2G1', 'Q9BTM1')"
"('Q99459', 'P09661')"
"('Q8NI35', 'Q9NPB6')"
"('Q9NX70', 'Q13148')"
"('Q05519', 'Q01130')"
"('Q00653', 'Q15029')"
"('Q9UFN0', 'O95163')"
"('P19174', 'Q13480')"
"('P35125', 'Q14CW9')"
"('P12956', 'P31749')"
"('Q99689', 'Q9Y3D7')"
"('P32969', 'P18124')"
"('P41279', 'Q04206')"
"('P51452', 'P23508')"
"('Q6WCQ1', 'P08238')"
"('O95347', 'P01889')"
"('O14641', 'Q96EB6')"
"('Q12852', 'P02792')"
"('Q9Y371', 'Q13191')"
"('Q07889', 'P62993')"
"('P27361', 'Q9UHA4')"
"('Q00005', 'Q8IX01')"
"('P46776', 'P62910')"
"('O14964', 'Q9UJY5')"
"('Q8NFP9', 'Q9H2G2')"
"('Q16659', 'Q9BQQ3')"
"('Q8WUM4', 'P23258')"
"('Q9BXR0', 'P62330')"
"('O14625', 'P32302')"
"('Q15834', 'Q5VTD9')"
"('P05129', 'Q13224')"
"('P62910', 'O00442')"
"('P18146', 'Q9P0U3')"
"('P40937', 'P01106')"
"('P31785', 'P42336')"
"('O75376', 'P56524')"
"('Q9Y4G6', 'P17301')"
"('Q13573', 'O94776')"
"('Q8NDV7', 'Q9UKV8')"
"('Q9H2G2', 'P42684')"
"('Q9H1R3', 'P14649')"
"('Q92793', 'P38398')"
"('Q02156', 'Q9Y624')"
"('Q96QK1', 'P40337')"
"('Q9BUV8', 'O15260')"
"('Q09028', 'P01106')"
"('P16104', 'P0CG47')"
"('P46778', 'P83731')"
"('P19320', 'Q15080')"
"('P54253', 'Q7Z570')"
"('P20823', 'P62158')"
"('Q96GT9', 'Q96KQ7')"
"('P39023', 'P83731')"
"('Q14691', 'O94761')"
"('Q9BQ66', 'Q8WV24')"
"('Q9Y2D8', 'P55196')"
"('Q5RL73', 'Q3KQU3')"
"('Q13573', 'P39019')"
"('P28221', 'O14775')"
"('P31946', 'Q53ET0')"
"('P01112', 'P27986')"
"('P17931', 'P78347')"
"('P25054', 'P53350')"
"('O95466', 'O60861')"
"('Q15370', 'Q14241')"
"('P67870', 'Q13216')"
"('O60762', 'Q9Y5J5')"
"('Q9UBA6', 'P13569')"
"('P00533', 'P15498')"
"('Q70EL1', 'O43633')"
"('P04632', 'P17655')"
"('Q13185', 'P23497')"
"('O14965', 'Q9GZM8')"
"('Q9NY93', 'Q02543')"
"('P51817', 'O14827')"
"('Q6ZVL6', 'Q9P2R6')"
"('Q5VVX9', 'Q13049')"
"('P15529', 'P40763')"
"('Q92913', 'P35968')"
"('Q9UL46', 'Q14164')"
"('P20618', 'P40337')"
"('Q96HN2', 'Q8IY92')"
"('Q13233', 'P62979')"
"('O95644', 'P14921')"
"('Q8IWZ8', 'Q12986')"
"('P07996', 'P17301')"
"('Q14103', 'Q9BYZ2')"
"('P01570', 'P01589')"
"('Q9UKR5', 'P61604')"
"('Q5QNW6', 'Q9C005')"
"('Q16539', 'Q92994')"
"('Q14164', 'Q14165')"
"('Q86UL3', 'Q5VTD9')"
"('Q9UK85', 'P00519')"
"('O95685', 'Q12972')"
"('Q00839', 'Q9UKV8')"
"('Q8WYK2', 'P17544')"
"('P62910', 'P83881')"
"('O75832', 'O43242')"
"('P35568', 'P27986')"
"('P53708', 'P35609')"
"('Q99871', 'P15336')"
"('O43493', 'P62993')"
"('P40337', 'Q9Y3D9')"
"('P15882', 'O00212')"
"('P12956', 'Q15011')"
"('P08238', 'P21333')"
"('Q14566', 'P49736')"
"('Q13573', 'Q15459')"
"('P35222', 'Q09472')"
"('Q92900', 'O95777')"
"('P14778', 'Q99836')"
"('Q9H7E9', 'O95785')"
"('406893', 'Q15910')"
"('P04234', 'Q8WYR1')"
"('Q9UBI6', 'O95622')"
"('P09871', 'P02745')"
"('P53621', 'Q9Y6K9')"
"('O95471', 'C9JDP6')"
"('P54829', 'Q15759')"
"('P60510', 'Q00005')"
"('Q7Z2V1', 'Q8N1F8')"
"('Q9Y286', 'O14543')"
"('Q8NAV1', 'Q01081')"
"('P46937', 'P36897')"
"('Q8TAA9', 'Q15139')"
"('P04637', 'Q5JR12')"
"('O94915', 'P31946')"
"('P46777', 'Q02878')"
"('P10275', 'Q96EB6')"
"('P05091', 'Q14194')"
"('O15239', 'O95182')"
"('P01111', 'O14939')"
"('P48736', 'P19174')"
"('P27482', 'P42858')"
"('P13807', 'Q96RG2')"
"('P40337', 'Q16665')"
"('O60216', 'Q7Z5K2')"
"('Q8IUC4', 'P20823')"
"('P25116', 'O95837')"
"('Q08257', 'Q14164')"
"('P62837', 'O94941')"
"('P12814', 'P43364')"
"('O95999', 'Q15819')"
"('P02768', 'Q13009')"
"('P62917', 'Q11203')"
"('Q8NCM8', 'Q13885')"
"('P54259', 'Q00978')"
"('P78317', 'Q8IX04')"
"('Q13547', 'Q13363')"
"('P04222', 'P28070')"
"('O95201', 'P19544')"
"('Q8IV36', 'P35520')"
"('Q02156', 'Q9Y277')"
"('P26010', 'Q9UKX5')"
"('Q9UFC0', 'Q13573')"
"('P04406', 'P06493')"
"('Q13255', 'Q5JWF2')"
"('Q9HAU4', 'P35968')"
"('P21333', 'P06756')"
"('Q13557', 'Q01668')"
"('O15056', 'P31947')"
"('P08174', 'P06239')"
"('Q8WYR1', 'P42681')"
"('P06241', 'Q9Y3P8')"
"('P62277', 'P62266')"
"('Q8TAX7', 'O94992')"
"('Q16659', 'Q9Y617')"
"('Q6P1L8', 'Q14164')"
"('P29597', 'P04049')"
"('O94973', 'O00291')"
"('Q9Y4K3', 'Q96AG4')"
"('P41159', 'P38484')"
"('P42701', 'P52333')"
"('Q96D42', 'Q9NRR5')"
"('Q15084', 'Q92956')"
"('P63000', 'P04839')"
"('P62879', 'O14827')"
"('P36897', 'P48454')"
"('P29401', 'Q14164')"
"('Q13501', 'P54257')"
"('P18146', 'Q00888')"
"('Q13315', 'O43313')"
"('P51606', 'O96006')"
"('P30793', 'P53778')"
"('Q2I0M4', 'Q9NRG4')"
"('Q16740', 'P01241')"
"('Q92796', 'Q9NYY3')"
"('P17096', 'Q01844')"
"('Q13619', 'P61964')"
"('P62714', 'P61758')"
"('Q00534', 'O75182')"
"('Q9UHX1', 'Q13087')"
"('Q09472', 'P05112')"
"('P54253', 'Q9UBD0')"
"('P10144', 'O00165')"
"('Q9NRR5', 'O76054')"
"('Q8TCU4', 'Q96KG7')"
"('Q13315', 'Q9H2G2')"
"('P55773', 'P49238')"
"('P61927', 'P61254')"
"('Q5RL73', 'Q12972')"
"('P63261', 'Q92597')"
"('P08575', 'P09382')"
"('Q5SW24', 'O14640')"
"('Q8N264', 'P17081')"
"('Q14103', 'P42574')"
"('Q15642', 'Q9Y2W2')"
"('Q13772', 'P10275')"
"('P20339', 'Q01968')"
"('Q96QB1', 'P11171')"
"('P25786', 'Q14CS0')"
"('P38398', 'Q92793')"
"('P04899', 'Q92806')"
"('P01106', 'Q96CT7')"
"('P60660', 'Q9Y6K9')"
"('P12544', 'P12956')"
"('Q9Y266', 'P52429')"
"('Q5TGY3', 'P54253')"
"('P45985', 'P13010')"
"('P04899', 'Q96PN6')"
"('Q02878', 'P46778')"
"('P54920', 'P46459')"
"('O00487', 'Q96CS7')"
"('P31939', 'P24941')"
"('P05013', 'Q6UXL0')"
"('Q9H0E2', 'Q96PU5')"
"('O95182', 'O96000')"
"('Q6DN03', 'P61964')"
"('P05129', 'P15336')"
"('P27986', 'P09564')"
"('Q7LC44', 'Q9GZT8')"
"('A5YKK6', 'Q13573')"
"('P11940', 'O43432')"
"('Q9UHV9', 'Q92956')"
"('P78396', 'P22234')"
"('P22681', 'P62736')"
"('P11215', 'P42338')"
"('P62987', 'Q02878')"
"('P46778', 'Q00005')"
"('O00238', 'Q99717')"
"('P51888', 'P98095')"
"('Q9NZL6', 'P98160')"
"('Q96AX2', 'Q01844')"
"('O75478', 'Q96BN2')"
"('Q13315', 'Q9GZR7')"
"('Q13976', 'Q9Y6F6')"
"('O95071', 'O95402')"
"('O76003', 'O76081')"
"('P05106', 'P37173')"
"('Q16520', 'P15336')"
"('Q9Y6K9', 'Q9UM54')"
"('Q9BXL5', 'P06748')"
"('P52597', 'P00439')"
"('P04899', 'P53778')"
"('P62993', 'O94929')"
"('P63208', 'Q8TF61')"
"('O00548', 'P46531')"
"('Q07325', 'P51679')"
"('Q04637', 'P06730')"
"('Q15032', 'P16220')"
"('P51817', 'P62834')"
"('Q16637', 'Q92882')"
"('P35680', 'P27487')"
"('Q04864', 'P31943')"
"('P50616', 'Q15047')"
"('P09668', 'P41220')"
"('P22301', 'P51617')"
"('P39748', 'Q96NY9')"
"('P18859', 'Q9UHD2')"
"('Q99418', 'P62330')"
"('Q13191', 'P22607')"
"('Q96J02', 'P08151')"
"('Q15047', 'Q9H5F2')"
"('P01616', 'O14717')"
"('Q15843', 'Q13619')"
"('P62993', 'P51587')"
"('P04049', 'Q9UQM7')"
"('P18146', 'P42771')"
"('P63151', 'Q13936')"
"('Q9H4E5', 'Q15796')"
"('Q9Y5V3', 'O95071')"
"('P61218', 'Q9Y250')"
"('P23508', 'P30084')"
"('Q8TCW9', 'Q96EZ8')"
"('Q9UBZ9', 'Q9UBT6')"
"('Q13573', 'Q9P2I0')"
"('Q9BTP7', 'Q9Y4K3')"
"('P06241', 'P16333')"
"('Q9UBW7', 'Q8TAD8')"
"('Q13956', 'P18545')"
"('P98170', 'Q9NYJ8')"
"('Q9NVC6', 'Q9Y4A5')"
"('O14639', 'Q9BUH8')"
"('P19525', 'Q9BVP2')"
"('Q01955', 'Q9UKX5')"
"('Q96NW4', 'Q15797')"
"('O00231', 'Q06323')"
"('Q12912', 'P62258')"
"('P06241', 'O75051')"
"('Q96B18', 'Q8TAA9')"
"('P51116', 'Q8WVF5')"
"('Q9UBN6', 'P34897')"
"('P43146', 'P49770')"
"('P01588', 'P14784')"
"('Q5JQF8', 'Q14201')"
"('P48357', 'P52333')"
"('Q9UKN5', 'P84022')"
"('P51692', 'P32927')"
"('P04275', 'P08514')"
"('O75964', 'O00422')"
"('Q9Y5Z7', 'Q00005')"
"('Q15811', 'P09172')"
"('P16615', 'P27824')"
"('Q9BUZ4', 'P57078')"
"('Q8NFH3', 'Q8TEM1')"
"('O95685', 'Q16821')"
"('Q8TBK6', 'P51681')"
"('P25101', 'Q03113')"
"('P42566', 'Q9Y6I3')"
"('P42768', 'O43516')"
"('Q9BV38', 'Q9UL18')"
"('Q8N766', 'P62330')"
"('Q9BXC0', 'P08754')"
"('Q13561', 'P62993')"
"('Q16630', 'O75554')"
"('Q96B02', 'Q9UHC7')"
"('P62945', 'Q02543')"
"('P04637', 'Q96CF2')"
"('Q13522', 'O15169')"
"('O43255', 'P08247')"
"('Q2TAY7', 'Q06124')"
"('O95398', 'P45983')"
"('Q15648', 'P04637')"
"('Q15750', 'O60641')"
"('Q13509', 'Q96NA2')"
"('O95182', 'O00483')"
"('Q8WYB5', 'O95696')"
"('Q96J02', 'Q9H3D4')"
"('P62273', 'P62244')"
"('P84022', 'Q99717')"
"('Q14CW9', 'P35125')"
"('Q969T4', 'Q9UII4')"
"('Q86U42', 'Q13242')"
"('P11274', 'P46108')"
"('Q8IWZ3', 'P54253')"
"('Q7Z434', 'P00519')"
"('P35900', 'P51116')"
"('O60921', 'Q9UJX2')"
"('Q13643', 'P56545')"
"('Q8TF46', 'Q9NPD3')"
"('Q15256', 'P27361')"
"('P46379', 'Q15155')"
"('P32856', 'P61764')"
"('P51813', 'Q13480')"
"('Q13007', 'P17181')"
"('P26640', 'P29692')"
"('P32320', 'O15131')"
"('Q96HP0', 'Q8IXI1')"
"('Q5TCQ9', 'Q8TEU7')"
"('407050', 'Q8WY64')"
"('Q96ST3', 'Q00653')"
"('Q8IUQ4', 'O75525')"
"('P12980', 'Q8IZS8')"
"('Q13158', 'Q6WCQ1')"
"('Q13557', 'Q13936')"
"('P11387', 'P08107')"
"('Q09472', 'Q92993')"
"('Q08209', 'Q13255')"
"('P02489', 'P07315')"
"('Q96GA7', 'Q9UGJ1')"
"('P00519', 'P50607')"
"('Q5SR56', 'Q01780')"
"('O95503', 'P78364')"
"('Q13233', 'P35557')"
"('P47914', 'P61927')"
"('P51946', 'P30408')"
"('P04908', 'Q9UKV8')"
"('Q9Y264', 'P35916')"
"('Q07955', 'Q8IX12')"
"('O14543', 'P42224')"
"('P42336', 'Q05513')"
"('O43491', 'Q9UDY2')"
"('P42677', 'Q00005')"
"('P43487', 'O60739')"
"('Q5UIP0', 'P02774')"
"('Q9ULX6', 'P50402')"
"('P38919', 'O15234')"
"('Q9Y4K3', 'P06239')"
"('P03923', 'O75489')"
"('P14927', 'P43355')"
"('Q92997', 'Q7Z7J5')"
"('Q15834', 'Q9HC98')"
"('Q9BSJ8', 'Q9Y6K9')"
"('Q9NXR8', 'Q9NPF5')"
"('P52798', 'P06213')"
"('407008', 'P62745')"
"('O60551', 'P09525')"
"('P16333', 'Q9P286')"
"('P16383', 'Q9Y490')"
"('P55157', 'Q9Y2J2')"
"('P43686', 'O75832')"
"('Q8IWV7', 'P49841')"
"('O43586', 'Q15058')"
"('Q8N2W9', 'Q9Y6K9')"
"('P84022', 'P13645')"
"('Q13555', 'Q8NEB9')"
"('P42338', 'P27348')"
"('P16989', 'Q07157')"
"('Q6UUV9', 'P18848')"
"('P56945', 'P49023')"
"('P17948', 'P27986')"
"('P04275', 'P26006')"
"('Q9GZT6', 'P00491')"
"('Q9Y6E2', 'P49841')"
"('P11926', 'P67870')"
"('Q16270', 'O00585')"
"('P41212', 'P63279')"
"('Q6VMQ6', 'P53804')"
"('P04233', 'P33076')"
"('P29371', 'O95837')"
"('Q04446', 'P52209')"
"('Q92831', 'Q16514')"
"('O94761', 'Q8IWV8')"
"('P01106', 'Q9NSV4')"
"('P41235', 'O60656')"
"('P12107', 'Q13797')"
"('Q99459', 'Q99832')"
"('P62834', 'O00329')"
"('Q13573', 'O14757')"
"('Q99759', 'O94832')"
"('Q8TBK6', 'Q14498')"
"('Q9H6S1', 'P40222')"
"('Q8IY18', 'Q96MG7')"
"('P51668', 'Q9H5J8')"
"('Q06546', 'P30273')"
"('Q9Y2S7', 'Q13228')"
"('P60660', 'O15111')"
"('O43242', 'P51587')"
"('Q96RT1', 'P25800')"
"('Q9UJ70', 'Q9UI36')"
"('Q08211', 'O43390')"
"('O43676', 'Q16795')"
"('P51813', 'P46108')"
"('Q9Y2T2', 'Q8IY92')"
"('P26378', 'Q9NZI8')"
"('P68366', 'P07437')"
"('Q9Y676', 'Q14197')"
"('Q9HAW0', 'Q8NBQ5')"
"('P02792', 'Q12852')"
"('Q9UQE7', 'P78406')"
"('P10643', 'P07358')"
"('P41567', 'P11171')"
"('Q66LE6', 'P49368')"
"('Q14164', 'O60477')"
"('P12882', 'Q16394')"
"('O75578', 'P06756')"
"('Q9BVJ7', 'Q16643')"
"('Q08380', 'Q15628')"
"('O14561', 'P17568')"
"('Q99459', 'P62195')"
"('P00519', 'Q9HCM9')"
"('Q12888', 'Q96RU2')"
"('Q9NPB9', 'O15444')"
"('O60895', 'P84996')"
"('Q9UNL4', 'P16220')"
"('P40337', 'Q15836')"
"('P63104', 'P17812')"
"('Q7KZF4', 'P01889')"
"('P25940', 'P08514')"
"('P19474', 'P29692')"
"('O75446', 'Q9UPN9')"
"('P17612', 'Q8NFM4')"
"('Q14515', 'P04156')"
"('Q9NPC3', 'P14635')"
"('P08572', 'Q13683')"
"('Q96RN5', 'P36542')"
"('Q15759', 'P30305')"
"('P80188', 'P19838')"
"('P14618', 'P10398')"
"('P01889', 'Q8WUM4')"
"('Q96QZ7', 'O60333')"
"('P39023', 'O75815')"
"('Q14194', 'Q9Y3A3')"
"('P61981', 'Q13247')"
"('Q16531', 'Q13418')"
"('P29692', 'Q9H1I8')"
"('Q8TEC5', 'P48023')"
"('Q7Z5H3', 'P62745')"
"('Q15047', 'Q9UN74')"
"('Q8NH16', 'P38405')"
"('Q96C03', 'O00429')"
"('Q5VV41', 'P31947')"
"('Q9Y333', 'P83876')"
"('O75369', 'Q13797')"
"('Q8NDC0', 'Q96PV6')"
"('Q8NI60', 'Q14197')"
"('Q15428', 'P22626')"
"('Q14164', 'P61803')"
"('P58876', 'Q9UPS6')"
"('P36952', 'O14896')"
"('Q9NR21', 'Q969Y2')"
"('P08908', 'O75899')"
"('Q9UBI6', 'Q9HBW0')"
"('P54920', 'Q14164')"
"('P62266', 'P62854')"
"('Q9NRG0', 'Q9NRF9')"
"('Q13315', 'Q14847')"
"('Q96CW5', 'Q08AG7')"
"('P06213', 'P27986')"
"('Q14790', 'P60602')"
"('P05388', 'P68402')"
"('P29460', 'Q13568')"
"('Q92997', 'P35813')"
"('Q14254', 'Q9BX66')"
"('O60711', 'Q9BUY5')"
"('Q92831', 'Q9ULM3')"
"('P00813', 'P04150')"
"('O00483', 'Q9UGN5')"
"('P29466', 'P51878')"
"('P11474', 'P48788')"
"('P11940', 'Q9UHX1')"
"('P78414', 'P16220')"
"('P17096', 'P01574')"
"('P63261', 'Q04206')"
"('Q15427', 'Q96CN9')"
"('Q7Z408', 'P06241')"
"('Q02078', 'Q14934')"
"('O94874', 'P62837')"
"('O15264', 'Q15181')"
"('Q16653', 'P04156')"
"('Q06481', 'P04156')"
"('Q9BZ23', 'Q9BS40')"
"('P61247', 'P62244')"
"('O43150', 'O95433')"
"('P41091', 'P01241')"
"('P35219', 'O75427')"
"('Q15628', 'Q14644')"
"('Q92945', '406887')"
"('Q07021', 'Q96EB6')"
"('Q9H4B7', 'Q71U36')"
"('O43395', 'Q15365')"
"('Q09472', 'O60563')"
"('Q8TAP4', 'Q8IXK0')"
"('Q9GZV4', 'Q96CV9')"
"('Q9BX70', 'Q15796')"
"('Q13573', 'Q8NI27')"
"('Q8IWX8', 'O43290')"
"('P62993', 'Q7Z6E9')"
"('P27037', 'P84022')"
"('Q02543', 'P46779')"
"('P41182', 'Q9NYK1')"
"('P17028', 'P54257')"
"('Q9UKR5', 'P25445')"
"('P62987', 'Q16621')"
"('P42858', 'P04637')"
"('Q3KQU3', 'P54259')"
"('Q96BQ3', 'P51668')"
"('P63218', 'Q96PN6')"
"('Q92738', 'Q12929')"
"('Q8IYB3', 'P22626')"
"('P08572', 'P26006')"
"('P51532', 'P04637')"
"('Q9ULE0', 'Q9UET6')"
"('Q9NUW8', 'Q9UPN9')"
"('Q13263', 'Q9C030')"
"('Q13616', 'P63208')"
"('Q07890', 'Q92730')"
"('O14836', 'Q99836')"
"('P26006', 'P17301')"
"('Q9ULV8', 'P00533')"
"('P18077', 'P83731')"
"('P20042', 'P67870')"
"('O00410', 'O95166')"
"('P0C1H6', 'O15379')"
"('Q13315', 'Q9UJA5')"
"('P63092', 'P59768')"
"('P01568', 'Q5VWK5')"
"('P08708', 'P63220')"
"('P20823', 'P61457')"
"('Q06187', 'Q01844')"
"('Q9Y2X8', 'O15344')"
"('Q13247', 'Q15428')"
"('P62879', 'O95622')"
"('Q08043', 'P26006')"
"('P14136', 'O75791')"
"('P08514', 'Q9Y490')"
"('O43766', 'P12980')"
"('Q14161', 'Q9HCE6')"
"('P51449', 'Q14686')"
"('P18146', 'P16035')"
"('Q86WN2', 'P31785')"
"('Q9UBS8', 'Q9Y252')"
"('P11217', 'O15121')"
"('P16473', 'P29992')"
"('Q14164', 'Q9UHD2')"
"('P51531', 'Q07666')"
"('P55055', 'P48443')"
"('P55212', 'Q8WUI4')"
"('Q16659', 'P01225')"
"('Q9Y333', 'Q16637')"
"('P47756', 'P21246')"
"('P26368', 'P26599')"
"('P29372', 'P43487')"
"('P53803', '100008588')"
"('P08107', 'P48436')"
"('P27986', 'P13637')"
"('Q03060', 'Q5TD97')"
"('P33151', 'Q9BYG4')"
"('Q14011', 'P18206')"
"('Q9HAU4', 'P08621')"
"('Q9BQY4', 'Q8TES7')"
"('O75940', 'Q9Y3B4')"
"('Q9UKL0', 'Q8TAQ2')"
"('P08047', 'P25490')"
"('Q99704', 'O00459')"
"('P0C5Y9', 'Q99877')"
"('O75365', 'O14925')"
"('P41235', 'P53999')"
"('Q9UM73', 'Q9BTT4')"
"('O60262', 'O60840')"
"('Q05516', 'Q8NHQ1')"
"('P40337', 'Q15843')"
"('P62826', 'Q9H6Z4')"
"('P46779', 'P47914')"
"('Q13315', 'Q09472')"
"('Q13489', 'Q01201')"
"('O75937', 'Q8IX12')"
"('Q96RI1', 'P03372')"
"('Q9NPI1', 'Q9P2D1')"
"('Q969G5', 'P56539')"
"('P42858', 'O75446')"
"('O75379', 'Q13277')"
"('Q96KG7', 'O60231')"
"('P16333', 'O95886')"
"('693122', 'Q13315')"
"('O15519', 'P49411')"
"('P18031', 'P05106')"
"('P22626', 'O43390')"
"('Q9C0J8', 'Q9P2I0')"
"('P98095', 'P98160')"
"('Q07820', 'P62979')"
"('Q92947', 'P62993')"
"('Q00722', 'P46734')"
"('Q9P1U1', 'P42771')"
"('Q9H0H5', 'Q07889')"
"('Q9Y490', 'P17858')"
"('P62906', 'P39023')"
"('P49746', 'Q9UKX5')"
"('Q08828', 'P17612')"
"('P16104', 'P04844')"
"('Q9HAV5', 'Q92851')"
"('Q29980', 'P40763')"
"('P39023', 'Q92901')"
"('Q8TAQ2', 'Q99759')"
"('P01588', 'Q9UIK4')"
"('P25786', 'Q9Y5K5')"
"('O14530', 'Q16891')"
"('P18146', 'P20142')"
"('Q8TEB7', 'Q9NPD8')"
"('Q8WWW0', 'Q92624')"
"('O15264', 'P49327')"
"('P49759', 'P84103')"
"('P10275', 'P50750')"
"('P16333', 'Q9UM47')"
"('Q9UQL6', 'Q16665')"
"('P51813', 'P42229')"
"('Q9Y478', 'P61960')"
"('P06454', 'P62826')"
"('P01106', 'Q13488')"
"('P24864', 'P49959')"
"('O95154', 'O15131')"
"('O95084', 'Q9H0R3')"
"('Q9Y2Q3', 'P62993')"
"('P22001', 'Q92529')"
"('Q07889', 'Q9NZM3')"
"('P04406', 'Q99650')"
"('P55036', 'P25787')"
"('P09471', 'P27361')"
"('Q13049', 'P51617')"
"('Q5C9Z4', 'Q96T60')"
"('Q9H8Y8', 'Q14789')"
"('Q14241', 'P62834')"
"('P08631', 'Q07889')"
"('O00505', 'P12956')"
"('P08238', 'O95433')"
"('O96018', 'A7MCY6')"
"('P08047', 'P07864')"
"('P61077', 'P19838')"
"('P63208', 'Q9UKT5')"
"('P84996', 'Q9HAV0')"
"('Q04771', 'P63010')"
"('P05412', 'P10276')"
"('Q02763', 'P23470')"
"('Q9NX70', 'O15514')"
"('Q99459', 'Q9UJX6')"
"('O60684', 'Q96K83')"
"('Q92743', 'P62993')"
"('Q9NZQ3', 'O75800')"
"('Q9H1H9', 'P62993')"
"('P07332', 'P00533')"
"('P15153', 'P46940')"
"('Q9HAW0', 'Q96QU8')"
"('O43765', 'P0CG04')"
"('O00444', 'P31947')"
"('P01106', 'Q96GM5')"
"('Q9NR46', 'P00558')"
"('O43674', 'Q16795')"
"('P68371', 'P21673')"
"('Q13490', 'Q92851')"
"('P62191', 'P62333')"
"('O00548', 'Q9Y219')"
"('P17844', 'P52272')"
"('O75534', 'Q9Y4K3')"
"('O95402', 'P62875')"
"('Q8WZA2', 'Q02156')"
"('P11021', 'Q9Y572')"
"('P01106', 'O14746')"
"('Q8N6Y0', 'Q9BT78')"
"('Q15628', 'P08107')"
"('Q9UBL3', 'Q15291')"
"('Q13435', 'O75643')"
"('Q9P2M7', 'Q9UKX2')"
"('A4D0S4', 'P53708')"
"('O14933', 'P43490')"
"('Q13133', 'P19793')"
"('Q9H1I8', 'Q9Y3C5')"
"('O15265', 'O75529')"
"('Q7Z406', 'P19105')"
"('P18754', 'Q9BRK5')"
"('P53779', 'P18146')"
"('P18146', 'P21583')"
"('P10070', 'O00505')"
"('P50406', 'P84996')"
"('P04141', 'P08887')"
"('P18146', 'O75330')"
"('P01106', 'Q9NTJ3')"
"('Q9Y478', 'Q6P2I7')"
"('Q9Y2X7', 'P56537')"
"('O43674', 'O95168')"
"('B5ME96', 'P12314')"
"('O15444', 'P25025')"
"('Q15904', 'P17252')"
"('P09012', 'P31939')"
"('P60763', 'Q9NQU5')"
"('Q9NZC7', 'Q6UN15')"
"('P11388', 'P13010')"
