recall,precision
0.33783783783783783,0.5681818181818182
0.32432432432432434,0.5714285714285714
0.3108108108108108,0.575
0.35135135135135137,0.5777777777777777
0.36486486486486486,0.5869565217391305
0.3783783783783784,0.5957446808510638
0.3918918918918919,0.6041666666666666
0.40540540540540543,0.6122448979591837
0.4189189189189189,0.62
0.43243243243243246,0.6274509803921569
0.44594594594594594,0.6346153846153846
0.16216216216216217,0.7058823529411765
0.13513513513513514,0.7142857142857143
0.17567567567567569,0.7222222222222222
0.14864864864864866,0.7333333333333333
0.1891891891891892,0.7368421052631579
0.22972972972972974,0.7391304347826086
0.08108108108108109,0.75
0.12162162162162163,0.75
0.20270270270270271,0.75
0.24324324324324326,0.75
0.2972972972972973,0.7586206896551724
0.25675675675675674,0.76
0.21621621621621623,0.7619047619047619
0.2702702702702703,0.7692307692307693
0.0945945945945946,0.7777777777777778
0.28378378378378377,0.7777777777777778
0.10810810810810811,0.8
0.06756756756756757,0.8333333333333334
0.013513513513513514,1.0
0.02702702702702703,1.0
0.04054054054054054,1.0
0.05405405405405406,1.0
