negatives
"('Q9Y2X8', 'Q8N5U6')"
"('Q9NPJ8', 'P36406')"
"('P16234', 'P16885')"
"('P56706', 'Q9ULW2')"
"('Q6P2Q9', 'Q9NRD1')"
"('Q8WWW0', 'Q04864')"
"('P52798', 'Q9HCE1')"
"('O00287', 'P56524')"
"('Q9Y2X7', 'O75145')"
"('Q93034', 'P31483')"
"('P35240', 'O14964')"
"('P06681', 'Q9BY50')"
"('P08631', 'P35326')"
"('P04629', 'Q9UKV5')"
"('Q9Y3F4', 'Q9GZN1')"
"('P41218', 'Q9H6F5')"
"('Q9P1Y5', 'Q9H270')"
"('P79483', 'P11836')"
"('P08865', 'O76064')"
"('O60260', 'P50222')"
"('Q9C0C2', 'P50616')"
"('Q92783', 'P04629')"
"('O00505', 'O00629')"
"('P27635', 'O75607')"
"('Q96K21', 'Q9C005')"
"('Q99497', 'P16871')"
"('O15357', 'P12236')"
"('P46781', 'P05362')"
"('P27361', 'P32121')"
"('O95147', 'Q9H255')"
"('P47974', 'P62258')"
"('P08397', 'Q9NRD5')"
"('Q15428', 'O95400')"
"('Q08828', 'P22612')"
"('P63173', 'Q15714')"
"('Q3LI66', 'Q3LI76')"
"('P01859', 'Q9HAW8')"
"('Q05086', 'Q7Z3C6')"
"('Q9H1C4', 'Q96N66')"
"('Q9UQ35', 'A6NK89')"
"('Q9UMR2', 'Q13635')"
"('Q86Y39', 'Q9P0J0')"
"('Q3KPI0', 'Q9NZ53')"
"('Q9Y265', 'Q93008')"
"('Q9Y328', 'O14718')"
"('Q9UL68', 'Q9NRI5')"
"('Q5VWQ8', 'Q9NYU2')"
"('Q8IWL3', 'Q9Y679')"
"('Q96A73', 'Q9BVL2')"
"('O95817', 'Q9UL46')"
"('Q9NX02', 'Q96RD7')"
"('Q9NRD5', 'Q8IYA8')"
"('Q8NHZ8', 'P48431')"
"('P17947', 'O43474')"
"('Q9Y5K5', 'P60900')"
"('P62280', 'Q92905')"
"('Q9UIM3', 'Q9BW92')"
"('Q96CS3', 'P00403')"
"('Q9P2P5', 'Q9ULU4')"
"('Q12809', 'P0DMV8')"
"('Q4J6C6', 'P13798')"
"('P49023', 'Q15437')"
"('O95817', 'P08754')"
"('P35228', 'O95831')"
"('O15078', 'Q8IUZ0')"
"('O15303', 'P08754')"
"('Q5JTV8', 'P55809')"
"('P32121', 'Q8NGA6')"
"('Q9BVX2', 'Q96IV6')"
"('Q7Z6G3', 'Q63ZY3')"
"('Q96LR2', 'Q8N3L3')"
"('P28074', 'Q9H492')"
"('P15374', 'P55060')"
"('Q8IUQ4', 'P51825')"
"('Q92888', 'P49674')"
"('P46459', 'Q9H477')"
"('P57078', 'P63104')"
"('P35611', 'Q16666')"
"('P55075', 'P22607')"
"('Q03112', 'Q5R372')"
"('P62191', 'Q9Y3D3')"
"('P55265', 'P63279')"
"('Q6NUN9', 'P08708')"
"('P54619', 'O60825')"
"('Q9H204', 'O60244')"
"('Q16666', 'P46531')"
"('Q8WV44', 'Q8IZU1')"
"('P25098', 'Q13085')"
"('P15531', 'Q9NRG0')"
"('Q9UK80', 'Q9Y597')"
"('Q9UI30', 'Q14498')"
"('P15735', 'Q7Z7K6')"
"('Q16512', 'O76014')"
"('Q8N680', 'Q9P2Y4')"
"('Q00653', 'Q13309')"
"('Q92990', 'P43657')"
"('P68371', 'Q9UQL6')"
"('P0DP25', 'Q8NCR3')"
"('P31371', 'P09619')"
"('P46940', 'Q06124')"
"('P42229', 'Q99814')"
"('Q96JB2', 'P53992')"
"('Q16763', 'Q9Y4E8')"
"('P84098', 'Q96L21')"
"('Q0D2I5', 'Q8IY63')"
"('Q8ND90', 'Q96BZ8')"
"('Q92805', 'Q9BSI4')"
"('Q9UIV1', 'Q9NUJ3')"
"('Q6UWY0', 'Q86YD3')"
"('A0PJW8', 'Q15915')"
"('P61289', 'Q3KNV8')"
"('O75390', 'P11441')"
"('P04075', 'P61956')"
"('P10721', 'P42684')"
"('Q9NYF8', 'Q9BTC8')"
"('P05556', 'P09382')"
"('P03956', 'P16035')"
"('P11464', 'Q9UEW8')"
"('P60369', 'P62857')"
"('O14920', 'P23396')"
"('Q9UBU9', 'O60832')"
"('Q6ZW49', 'Q15291')"
"('O95373', 'O43918')"
"('Q9H444', 'Q5T3F8')"
"('Q8TD10', 'Q96BZ8')"
"('Q9NYZ1', 'Q17RD7')"
"('Q9UJX3', 'Q8WWL7')"
"('Q96SB3', 'Q15796')"
"('O95299', 'P03901')"
"('O00267', 'Q9GZS3')"
"('Q9UBT7', 'Q99551')"
"('O75940', 'Q02241')"
"('Q9UHD0', 'Q8N6P7')"
"('Q9HC77', 'P0DP23')"
"('A2RUU4', 'Q99442')"
"('Q16594', 'Q86Y82')"
"('Q07157', 'P78406')"
"('Q9NQ11', 'Q15005')"
"('P09493', 'Q99972')"
"('P49736', 'Q9NRW3')"
"('P17480', 'P06400')"
"('Q14498', 'P28838')"
"('P52333', 'Q92783')"
"('Q15388', 'P21246')"
"('Q14978', 'Q92731')"
"('Q9NUD5', 'Q9HC52')"
"('P21796', 'P00505')"
"('Q99757', 'Q8NCU1')"
"('O75376', 'P36956')"
"('P49716', 'Q9UNL4')"
"('Q9Y463', 'P17612')"
"('O95169', 'P14927')"
"('O75477', 'Q14643')"
"('Q8IUE6', 'Q99877')"
"('P17844', 'Q9Y5J5')"
"('P55081', 'Q9Y250')"
"('Q8IXL6', 'Q09666')"
"('Q14693', 'P04629')"
"('P47897', 'P02766')"
"('P30084', 'P30480')"
"('Q9HCE1', 'Q96I45')"
"('Q9Y231', 'Q92692')"
"('P01584', 'P17676')"
"('Q5T4S7', 'P85037')"
"('Q8N960', 'Q9Y244')"
"('Q15819', 'O60739')"
"('Q9BWG6', 'Q8IWZ5')"
"('P41218', 'Q5SY16')"
"('Q8NA54', 'Q9BYV2')"
"('Q92890', 'Q8NEY8')"
"('P48039', 'Q9P2N2')"
"('Q13573', 'Q9H4L7')"
"('P01137', 'P49354')"
"('Q13077', 'Q9BYM8')"
"('P48643', 'O43172')"
"('Q3KPI0', 'P41273')"
"('Q7Z2G1', 'P0C0S5')"
"('Q15459', 'Q99496')"
"('P48643', 'Q9NPJ1')"
"('P07900', 'P37173')"
"('Q8TEX9', 'Q9HAW0')"
"('P18124', 'Q86VP6')"
"('Q15562', 'O00148')"
"('P11473', 'Q9H8L6')"
"('Q05193', 'Q9UKS6')"
"('P61923', 'Q07866')"
"('Q641Q2', 'Q92609')"
"('Q3SY46', 'P32242')"
"('O43681', 'O60925')"
"('Q9H8E8', 'Q9Y2G2')"
"('Q12933', 'Q8TBE0')"
"('Q01826', 'Q9H334')"
"('O75175', 'Q15468')"
"('Q5JY77', 'P11229')"
"('P52655', 'Q8WV60')"
"('Q9H900', 'O43264')"
"('Q9NUU7', 'Q99567')"
"('Q16531', 'Q92769')"
"('Q15831', 'Q71U36')"
"('P13497', 'P35348')"
"('Q9NQR1', 'Q9UJU2')"
"('Q99952', 'Q9UBU9')"
"('O95155', 'Q14432')"
"('P42285', 'Q15554')"
"('Q9Y6E7', 'O75439')"
"('Q9NPB6', 'P36897')"
"('Q99569', 'P43115')"
"('P54253', 'Q9P2G9')"
"('P61254', 'P46776')"
"('Q86TA1', 'P49902')"
"('Q9Y6K9', 'O00267')"
"('Q8N5Z5', 'Q9UGJ1')"
"('P30044', 'P22392')"
"('P26368', 'P39687')"
"('P28072', 'P01889')"
"('O15162', 'Q9UBP5')"
"('Q01844', 'O43719')"
"('O00625', 'Q9BYN0')"
"('Q16666', 'Q53GS7')"
"('Q13315', 'Q9HCK8')"
"('P0C0E4', 'P11277')"
"('Q9UBI6', 'Q8TCU6')"
"('P42677', 'P05387')"
"('Q15831', 'P05067')"
"('Q5JR59', 'Q9UHI7')"
"('O00483', 'Q53H12')"
"('Q9Y371', 'P53999')"
"('Q9UIS9', 'P45973')"
"('Q9UPP1', 'Q9UJX4')"
"('P03372', 'Q9UNE7')"
"('P45973', 'Q86WZ6')"
"('P01106', 'Q13363')"
"('Q14999', 'P53621')"
"('Q9NWH9', 'Q15554')"
"('Q8TBE0', 'P98175')"
"('Q8WWL7', 'P53350')"
"('O60841', 'Q13131')"
"('P04179', 'P09972')"
"('P35659', 'P03372')"
"('Q9H7P9', 'P60953')"
"('Q15067', 'Q8IWL3')"
"('P45984', 'O95140')"
"('Q9UDY4', 'P17066')"
"('P09651', 'Q9BYD3')"
"('P12956', 'Q03112')"
"('Q15293', 'Q86Y79')"
"('Q9UHV7', 'P19793')"
"('Q15691', 'Q9UBN7')"
"('Q5H9R7', 'Q9H8V3')"
"('P04629', 'O43150')"
"('P05067', 'Q8N0X7')"
"('P48357', 'P62993')"
"('Q6NUQ1', 'Q16649')"
"('Q09472', 'Q14683')"
"('Q9UIW2', 'O14786')"
"('Q8IUN9', 'Q9H115')"
"('Q04721', 'Q9UBG7')"
"('Q13554', 'P18846')"
"('Q9H209', 'P62873')"
"('Q01968', 'Q13636')"
"('P78358', 'Q15742')"
"('P04626', 'Q96S44')"
"('P62306', 'P37802')"
"('Q8TBK6', 'Q9NWB6')"
"('Q96BR1', 'Q12778')"
"('Q9UQL6', 'P04181')"
"('Q9Y2K1', 'P52566')"
"('O15350', 'P46777')"
"('P23297', 'P17661')"
"('Q38SD2', 'P11274')"
"('P31943', 'P61978')"
"('P35626', 'O60431')"
"('Q32MZ4', 'P35250')"
"('P60328', 'Q9BYQ4')"
"('Q8IU54', 'P48357')"
"('O60260', 'P68366')"
"('Q9NXF1', 'Q9NRC8')"
"('P04637', 'O94992')"
"('P78325', 'P19883')"
"('O95684', 'Q13098')"
"('Q9NS73', 'Q8IYI6')"
"('Q71U36', 'Q9Y3F4')"
"('Q15717', 'Q9Y483')"
"('P41586', 'O60262')"
"('Q9NZC4', 'P05067')"
"('Q9UI95', 'Q9Y253')"
"('Q9UKX2', 'Q9BSB4')"
"('P61081', 'Q16762')"
"('Q15560', 'Q13573')"
"('Q7Z7H8', 'P09001')"
"('Q9NU22', 'P61956')"
"('P98187', 'Q9UJU6')"
"('P27348', 'Q92900')"
"('Q9NRD1', 'Q92621')"
"('O75821', 'P05362')"
"('Q9Y478', 'Q16836')"
"('P49760', 'P52597')"
"('P46060', 'P61960')"
"('P54652', 'Q8WXB1')"
"('Q8N4C6', 'Q96AY4')"
"('P10809', 'Q9BSM1')"
"('Q7KZI7', 'Q9UQL6')"
"('P26368', 'P31943')"
"('P00750', 'P27797')"
"('Q14849', 'Q9HBV2')"
"('P62241', 'Q7Z2W9')"
"('Q9ULX6', 'Q99814')"
"('Q15022', 'O75477')"
"('Q96CN9', 'P08151')"
"('Q9BQI3', 'P28340')"
"('Q9P0V3', 'Q9UPQ3')"
"('P20807', 'Q9H1Y0')"
"('P51451', 'O14543')"
"('P42765', 'P28329')"
"('Q96JH7', 'Q5T124')"
"('P04040', 'P04629')"
"('P62910', 'P52732')"
"('P62258', 'O14727')"
"('Q4G0N4', 'Q9Y6E7')"
"('Q9H0U9', 'O95235')"
"('P53803', 'Q9H1D9')"
"('Q9NZJ0', 'Q9BT78')"
"('O14920', 'Q96EY1')"
"('Q9H2X0', 'O14910')"
"('P18074', 'P04629')"
"('Q3LI66', 'Q96HB5')"
"('O60285', 'O95835')"
"('Q9H8Y8', 'Q14789')"
"('Q9P2D1', 'Q68CP9')"
"('Q9UKB1', 'P23381')"
"('P31946', 'Q9Y4F5')"
"('Q96K80', 'Q93062')"
"('O60763', 'Q00610')"
"('Q9UQ35', 'O60231')"
"('O43639', 'O14512')"
"('P23142', 'Q16594')"
"('P06748', 'P06733')"
"('P16220', 'Q14687')"
"('P19320', 'P08865')"
"('Q04917', 'P61981')"
"('P29350', 'Q5UE93')"
"('Q9H6X2', 'P35579')"
"('Q9NUJ3', 'P26367')"
"('Q92747', 'Q07889')"
"('Q9UK17', 'P62633')"
"('Q15334', 'Q6P1M3')"
"('P29353', 'P10912')"
"('Q13561', 'Q99459')"
"('P04632', 'Q9H1Y0')"
"('P08238', 'O14965')"
"('P09619', 'Q03135')"
"('Q9H228', 'Q14344')"
"('Q15717', 'P02452')"
"('P67809', 'Q9BQ69')"
"('Q8IXM2', 'P62807')"
"('Q13573', 'O43660')"
"('Q99853', 'Q9NUA8')"
"('Q8NE71', 'P62333')"
"('Q11130', 'P24928')"
"('P13994', 'P17036')"
"('O94776', 'Q9UBC3')"
"('O94972', 'Q6ZVK8')"
"('O60573', 'Q70EL1')"
"('P20226', 'P10275')"
"('P53350', 'P56537')"
"('Q8IVT5', 'Q01844')"
"('Q9H7E9', 'Q99689')"
"('Q9BT49', 'Q13643')"
"('Q13617', 'Q6P597')"
"('Q96DU9', 'Q9UIV1')"
"('Q96T52', 'Q14103')"
"('Q9NR20', 'Q15293')"
"('P38398', 'Q13363')"
"('P17480', 'O43707')"
"('Q9H343', 'P38405')"
"('Q03405', 'Q6UWY0')"
"('P34897', 'Q9H8W4')"
"('O95402', 'Q5VWG9')"
"('P20591', 'Q04206')"
"('Q92731', 'Q8TD06')"
"('O95620', 'O15360')"
"('Q6ZMG9', 'Q92633')"
"('Q14192', 'Q01094')"
"('Q03692', 'P08758')"
"('O95168', 'P03915')"
"('O00141', 'Q86TM6')"
"('P16104', 'Q9NUW8')"
"('Q8TDD5', 'Q8TC12')"
"('Q9UNA4', 'P12004')"
"('Q9UJM3', 'P05165')"
"('P19875', 'P46094')"
"('Q9GZQ8', 'P34931')"
"('P54821', 'P51687')"
"('Q08170', 'Q07021')"
"('P55809', 'Q9NX18')"
"('Q15554', 'Q9Y5N6')"
"('Q86WA8', 'Q15717')"
"('P62993', 'P61981')"
"('Q02543', 'O60739')"
"('O95425', 'Q93009')"
"('O75449', 'P08240')"
"('P60520', 'Q8WXF1')"
"('Q8WUA2', 'Q15700')"
"('Q08AG7', 'P42285')"
"('Q9NRB3', 'Q9H4A9')"
"('Q6IQ23', 'P23378')"
"('O95292', 'Q8WYP5')"
"('Q8WWC4', 'Q9H2H9')"
"('P38159', 'P62857')"
"('Q9UPN9', 'Q01844')"
"('O00409', 'Q6PJQ5')"
"('P31260', 'Q16533')"
"('P36952', 'P03372')"
"('O94973', 'O95782')"
"('Q8IWL3', 'Q5SY16')"
"('P62837', 'Q14258')"
"('O43290', 'Q05519')"
"('P58182', 'P38405')"
"('O60684', 'Q9Y6F8')"
"('Q9UHA4', 'Q9NYK5')"
"('P41223', 'P18583')"
"('P10914', 'P28907')"
"('P62993', 'Q66PJ3')"
"('P49736', 'Q9BW61')"
"('P36956', 'Q86TJ2')"
"('P03372', 'P49736')"
"('Q6P2D0', 'Q9BWT7')"
"('Q00013', 'Q96LW4')"
"('O75923', 'P26641')"
"('Q13620', 'O15524')"
"('P51610', 'Q6IQ23')"
"('Q12933', 'Q9NS68')"
"('Q8TCG1', 'O60939')"
"('Q14209', 'P62993')"
"('Q8WWI1', 'Q99496')"
"('O75478', 'P17844')"
"('Q8N3C0', 'Q9P2P5')"
"('P22087', 'Q9NQZ2')"
"('P16298', 'P30260')"
"('Q9H871', 'Q96G75')"
"('P49286', 'P35221')"
"('Q9NZM3', 'Q16630')"
"('P50222', 'Q9P0J1')"
"('Q8N9N5', 'Q8NEG0')"
"('P60520', 'Q00577')"
"('Q92783', 'P29597')"
"('P33991', 'P49736')"
"('Q15691', 'Q16643')"
"('O95295', 'P49802')"
"('Q9H082', 'Q08379')"
"('O15409', 'P49247')"
"('P51965', 'O60260')"
"('P49336', 'P38398')"
"('Q96AP4', 'P34897')"
"('Q9BSI4', 'Q15836')"
"('Q9NVS9', 'Q9UQ07')"
"('Q6ZU52', 'O60341')"
"('Q6ZW49', 'Q9Y5K3')"
"('Q96R45', 'P38405')"
"('P56537', 'Q96AG4')"
"('P68402', 'Q96M27')"
"('P10301', 'P46063')"
"('Q08211', 'Q15366')"
"('Q9NTJ3', 'Q9ULD6')"
"('Q14999', 'P68133')"
"('P09884', 'Q14683')"
"('Q12834', 'Q92905')"
"('Q8WWV3', 'Q6P1Q0')"
"('O60739', 'P34897')"
"('Q13200', 'Q14999')"
"('P14921', 'Q7L0J3')"
"('Q6ZRV2', 'Q15717')"
"('P36578', 'P62841')"
"('Q9UNP9', 'Q9BQ65')"
"('Q9UGY1', 'Q9H2G4')"
"('O14949', 'Q9UHA4')"
"('P43034', 'Q58FG1')"
"('O75436', 'Q13596')"
"('Q92698', 'Q96NY9')"
"('P43351', 'Q9NPI6')"
"('Q9UGY1', 'Q96CS4')"
"('Q6EEV4', 'Q9NZD4')"
"('P33993', 'Q9BRK4')"
"('Q03060', 'P01100')"
"('Q562E7', 'P04629')"
"('P46781', 'P03372')"
"('O43175', 'Q9UQL6')"
"('Q13315', 'Q9UBS0')"
"('P68431', 'O00257')"
"('Q15796', 'P05412')"
"('Q9BRX2', 'O75360')"
"('Q99633', 'A1L4K1')"
"('Q9UEW8', 'Q96J92')"
"('Q8N3V7', 'P62873')"
"('P61457', 'P51531')"
"('Q04206', 'P09917')"
"('O60307', 'Q13009')"
"('Q9BQ95', 'O43920')"
"('Q92547', 'Q00987')"
"('O76071', 'O60701')"
"('Q9H1E1', 'P57076')"
"('P83916', 'Q99728')"
"('Q13573', 'Q8IYB8')"
"('Q9H9T3', 'P68431')"
"('O15111', 'P19438')"
"('Q14687', 'P12956')"
"('O76000', 'P38405')"
"('P24941', 'P26583')"
"('O00483', 'Q8NE86')"
"('Q13363', 'P48431')"
"('P54274', 'O43435')"
"('Q14145', 'Q86YC2')"
"('P23771', 'P41597')"
"('Q6XQN6', 'Q96HH9')"
"('Q9BQ66', 'O15169')"
"('P00533', 'P52888')"
"('Q7Z3S9', 'P31785')"
"('O14497', 'P63208')"
"('P63165', 'O00463')"
"('P00742', 'O75364')"
"('Q13432', 'Q15181')"
"('Q9BT49', 'P61247')"
"('P19474', 'P61981')"
"('Q8NBS9', 'Q7KZF4')"
"('Q15649', 'Q9ULT8')"
"('Q8N1F7', 'P52948')"
"('P28482', 'P09429')"
"('Q8WUM4', 'Q99962')"
"('Q96KM6', 'Q96TA1')"
"('Q92913', 'Q14524')"
"('Q8IWL3', 'Q9NP81')"
"('P61073', 'P30466')"
"('O00159', 'Q86SQ0')"
"('P38159', 'Q15287')"
"('Q9P0N5', 'Q9NW68')"
"('Q8WXX5', 'Q13616')"
"('Q5VTT5', 'Q9UBL3')"
"('Q3LHN2', 'Q15915')"
"('P35637', 'Q8N8E3')"
"('O00267', 'Q99496')"
"('P05067', 'Q9H094')"
"('Q8IYH5', 'Q9NRD5')"
"('Q9BZ95', 'Q8N726')"
"('Q8N668', 'Q9UBI1')"
"('P01106', 'O75446')"
"('P13674', 'Q6UN15')"
"('P07864', 'P22392')"
"('Q8NGL3', 'O60262')"
"('P19338', 'O75530')"
"('P0DP25', 'Q9HCE1')"
"('P17931', 'Q7Z7N9')"
"('P04637', 'P18887')"
"('Q96PF2', 'P05067')"
"('Q13490', 'P21580')"
"('P07737', 'Q9Y576')"
"('Q9NVI1', 'P55072')"
"('A7KAX9', 'P00533')"
"('P0DMV9', 'Q13285')"
"('O15061', 'P49418')"
"('Q15717', 'Q14019')"
"('Q92466', 'Q9H211')"
"('Q96Q07', 'P58753')"
"('Q14164', 'P15170')"
"('P60983', 'Q9Y4K3')"
"('Q9H7L9', 'Q9H160')"
"('Q92900', 'Q9NUQ8')"
"('Q16831', 'Q5MNZ6')"
"('P31751', 'P28482')"
"('Q53H47', 'Q13426')"
"('P07737', 'O95166')"
"('P39019', 'P08708')"
"('Q86XP3', 'O15042')"
"('P28066', 'Q9H4G0')"
"('Q14764', 'Q08117')"
"('Q9UGJ1', 'P39023')"
"('Q8NA54', 'Q99750')"
"('Q08117', 'Q86V42')"
"('O95983', 'Q9BTC8')"
"('Q96T23', 'Q7KZI7')"
"('P04792', 'Q6NXE6')"
"('Q06330', 'P20023')"
"('O94985', 'P04156')"
"('P08238', 'Q9BSM1')"
"('O43504', 'Q9HCE1')"
"('P35222', 'Q02952')"
"('P68431', 'P12956')"
"('Q08379', 'Q9NVL8')"
"('P62834', 'P39748')"
"('Q9BT40', 'Q8TBB1')"
"('Q99742', 'Q9Y5J5')"
"('P05388', 'P05412')"
"('P55072', 'Q9H3D4')"
"('P42566', 'P21802')"
"('P28799', 'Q5T753')"
"('Q99816', 'Q9H7P6')"
"('Q04727', 'Q9UMR3')"
"('Q96G25', 'Q9H204')"
"('Q9BSJ8', 'Q5T2D2')"
"('O75147', 'Q9Y3Y2')"
"('Q9H4L4', 'P25205')"
"('Q8WVM8', 'Q9BYD2')"
"('P14324', 'P11142')"
"('Q9H9L4', 'Q86UX7')"
"('Q96S59', 'P32004')"
"('Q9Y295', 'Q9P2P5')"
"('Q9H3S3', 'Q6NUQ4')"
"('O43324', 'Q13315')"
"('P07948', 'P11802')"
"('Q9UQP3', 'O75578')"
"('P28562', 'Q13616')"
"('Q13601', 'P15880')"
"('Q8IWV7', 'Q9UBS4')"
"('Q9BT49', 'P42696')"
"('P78527', 'P63104')"
"('Q9BYP7', 'Q9H4A3')"
"('Q9Y3M2', 'P11908')"
"('Q07666', 'Q15796')"
"('Q5M8T2', 'P49759')"
"('Q02446', 'Q8TAP4')"
"('P13385', 'Q7L5N1')"
"('P12956', 'Q00839')"
"('P19105', 'Q3YEC7')"
"('Q09019', 'P46089')"
"('P04637', 'P01137')"
"('P59768', 'P45983')"
"('P50222', 'Q96FX2')"
"('P49756', 'O75147')"
"('Q02543', 'Q9Y4L5')"
"('O76061', 'O95831')"
"('O75360', 'Q96S79')"
"('P62993', 'A7KAX9')"
"('Q9UMR2', 'Q9GZX7')"
"('Q9Y6N6', 'P05106')"
"('Q15262', 'O60291')"
"('Q9UK22', 'P62837')"
"('P07307', 'Q9BQB6')"
"('Q9ULK6', 'Q15717')"
"('P14678', 'P02751')"
"('P80162', 'P14780')"
"('P08670', 'Q9BWG6')"
"('Q969T4', 'Q8N5U6')"
"('Q9BZZ5', 'Q9NQW7')"
"('O60701', 'P22309')"
"('Q13049', 'Q5VVX9')"
"('P49459', 'P28328')"
"('Q13485', 'Q15915')"
"('P06576', 'Q14197')"
"('Q9P0I2', 'Q9Y3B6')"
"('Q12972', 'Q15428')"
"('Q10589', 'P42166')"
"('O00165', 'Q9H115')"
"('Q9BUN8', 'O75396')"
