negatives
"('Q9Y2X8', 'Q8N5U6')"
"('O95168', 'P20645')"
"('P56178', 'Q96T58')"
"('P61201', 'Q9ULK4')"
"('P54368', 'Q15797')"
"('Q9H0R8', 'P46976')"
"('Q9NYU1', 'Q9BSE5')"
"('Q9UBX0', 'Q96LA8')"
"('Q13323', 'Q8TBE1')"
"('P47897', 'Q9BPY3')"
"('O95782', 'P38398')"
"('O00471', 'P11532')"
"('P54829', 'P78352')"
"('P49917', 'Q9Y573')"
"('Q9UHD9', 'Q8N0U6')"
"('P05412', 'P48444')"
"('P05362', 'P62266')"
"('Q6PKX4', 'Q03989')"
"('P23508', 'Q96RT1')"
"('Q9HAV4', 'O14974')"
"('Q9NR12', 'O15144')"
"('P12270', 'Q5SRE5')"
"('Q504Q3', 'Q14257')"
"('P32969', 'P53007')"
"('Q8IWZ5', 'Q86SG6')"
"('Q13618', 'Q99797')"
"('P03372', 'Q9BZK7')"
"('Q04206', 'P62805')"
"('Q14781', 'P60369')"
"('Q9Y394', 'A5X5Y0')"
"('Q9UBR2', 'Q5TD97')"
"('P15884', 'Q8WXA2')"
"('P27361', 'Q96PC2')"
"('P16871', 'Q13011')"
"('Q96C92', 'Q9HC77')"
"('O95373', 'Q99459')"
"('Q96AT1', 'O43143')"
"('Q9UBU7', 'O43913')"
"('Q9UBF6', 'P61081')"
"('O43395', 'O43660')"
"('P61244', 'P25490')"
"('O75367', 'P05412')"
"('O75717', 'Q15788')"
"('Q9P2S2', 'Q8N0W4')"
"('Q9H5I1', 'P40227')"
"('Q9H8V3', 'Q9UPU7')"
"('P24941', 'Q99638')"
"('P15056', 'P53667')"
"('A8MQ03', 'Q16795')"
"('P11802', 'Q16543')"
"('Q92598', 'P28074')"
"('Q01449', 'O75360')"
"('P15502', 'P35555')"
"('P19320', 'Q6UY14')"
"('Q99848', 'O75147')"
"('P01889', 'P43307')"
"('Q02878', 'Q9BRJ2')"
"('Q14566', 'Q15459')"
"('Q9UBS0', 'P23528')"
"('P02751', 'Q7L2E3')"
"('P55209', 'P22059')"
"('Q6ZN18', 'Q15022')"
"('Q969G5', 'O95758')"
"('Q96AP7', 'O95484')"
"('Q9HCE1', 'P12955')"
"('Q9UHD2', 'Q9Y230')"
"('O94905', 'Q9Y5M8')"
"('Q9BR76', 'Q15424')"
"('P49759', 'Q8NFZ5')"
"('Q9BUF5', 'Q9BY84')"
"('Q15386', 'P25787')"
"('Q9P2K5', 'Q9UQ84')"
"('Q7L7L0', 'P23527')"
"('Q92796', 'Q8IWL3')"
"('P62899', 'Q92905')"
"('P17252', 'P63000')"
"('Q13547', 'P24385')"
"('P35579', 'Q00796')"
"('Q01844', 'Q9H8Y8')"
"('P55316', 'O14981')"
"('Q8NF64', 'O75925')"
"('P62993', 'P47756')"
"('Q15717', 'O94952')"
"('Q13573', 'Q9NTK5')"
"('Q9BUR5', 'Q5XKP0')"
"('P62979', 'Q01844')"
"('Q9P0N5', 'Q9Y678')"
"('P05787', 'Q13191')"
"('Q14118', 'O00214')"
"('P10586', 'P53355')"
"('P04035', 'Q9UGM1')"
"('Q92731', 'O60264')"
"('P35226', 'P49792')"
"('Q12913', 'Q02750')"
"('Q6PKG0', 'Q15910')"
"('P52333', 'P29597')"
"('Q96DB2', 'Q86VD7')"
"('Q8NF50', 'Q92730')"
"('Q13247', 'P38159')"
"('P30480', 'P24534')"
"('P14678', 'Q8TEQ6')"
"('Q13618', 'Q99700')"
"('P61964', 'P62807')"
"('Q9BRP4', 'Q7Z3U7')"
"('Q8N2W9', 'Q5VU43')"
"('O43674', 'O43920')"
"('Q5S007', 'P62979')"
"('P49411', 'P11498')"
"('Q15672', 'Q14839')"
"('Q9BX66', 'P04629')"
"('Q8N584', 'Q9HCE1')"
"('P34925', 'Q96JQ0')"
"('O43809', 'O43711')"
"('Q9UNX3', 'P23258')"
"('P23508', 'Q6P1L8')"
"('Q27J81', 'Q9HCE1')"
"('Q149N8', 'Q969H0')"
"('Q13526', 'P36578')"
"('Q15532', 'O60264')"
"('Q58FF8', 'Q9UBU9')"
"('Q15022', 'P17844')"
"('Q14240', 'Q1KMD3')"
"('P63218', 'P53778')"
"('Q96CW5', 'P62701')"
"('O95166', 'Q6YN16')"
"('Q07955', 'Q86V81')"
"('P62487', 'Q9H6D8')"
"('P46782', 'P62701')"
"('P62324', 'P12956')"
"('P43358', 'Q58WW2')"
"('P33991', 'Q96A08')"
"('O00257', 'P61978')"
"('A2A3K4', 'O14980')"
"('P19838', 'P06748')"
"('P08238', 'Q9H0B8')"
"('P01185', 'P43657')"
"('Q969T4', 'Q9UII4')"
"('O60936', 'A0AVT1')"
"('Q9UGI9', 'Q9UBK2')"
"('P50222', 'O00295')"
"('O95678', 'Q13620')"
"('P48443', 'Q9UQR1')"
"('Q00839', 'Q86VM9')"
"('P49407', 'Q8NGQ2')"
"('O60264', 'Q9Y265')"
"('Q9P2K5', 'Q9UBK2')"
"('Q96SW2', 'P21964')"
"('P09874', 'O15393')"
"('Q9P1U0', 'P54278')"
"('Q6ZU80', 'Q8TCG1')"
"('O75420', 'Q9NW64')"
"('P55040', 'Q1MX18')"
"('P28288', 'P01116')"
"('Q9BRG1', 'Q96KR1')"
"('P42226', 'Q14807')"
"('P60410', 'P55198')"
"('P12277', 'Q96NS5')"
"('O15162', 'P28749')"
"('Q7Z2E3', 'O60506')"
"('P40222', 'O76011')"
"('Q9BPZ7', 'O75420')"
"('Q14257', 'Q12906')"
"('P17900', 'P09651')"
