#tail	head	KSP index	path cost
P45984	P01100	124	3.16406e-01
P45984	P05412	125	3.16406e-01
P45984	P19838	127	3.16406e-01
P45984	P84022	128	3.16406e-01
P45984	P04637	129	3.16406e-01
P45984	P15336	131	3.16406e-01
P45984	Q04206	135	3.16406e-01
P45984	Q14653	136	3.16406e-01
P01137	P53779	137	3.16406e-01
P53779	P01100	137	3.16406e-01
P53779	P05412	138	3.16406e-01
P53779	P19838	140	3.16406e-01
P53779	P84022	141	3.16406e-01
P53779	P04637	142	3.16406e-01
P53779	P15336	144	3.16406e-01
P53779	Q04206	148	3.16406e-01
P12757	P12755	149	3.16406e-01
P84022	P12757	149	3.16406e-01
P84022	O15169	150	3.16406e-01
P84022	P01100	151	3.16406e-01
P84022	P05412	152	3.16406e-01
P10275	P35222	154	3.16406e-01
P84022	P10275	154	3.16406e-01
P10275	Q15797	155	3.16406e-01
P10275	Q92793	156	3.16406e-01
P10275	Q96ST3	157	3.16406e-01
P84022	Q09472	158	3.16406e-01
P84022	Q13485	161	3.16406e-01
Q13761	P35222	165	3.16406e-01
P84022	Q13761	165	3.16406e-01
P84022	Q15796	166	3.16406e-01
O00238	Q15797	167	3.16406e-01
P84022	O00238	167	3.16406e-01
O14640	Q15797	168	3.16406e-01
P84022	O14640	168	3.16406e-01
P36894	Q15797	169	3.16406e-01
P84022	P36894	169	3.16406e-01
P46531	Q15797	170	3.16406e-01
P84022	P46531	170	3.16406e-01
P84022	Q13501	171	3.16406e-01
P84022	Q13873	172	3.16406e-01
Q13873	Q15797	172	3.16406e-01
Q8TEW0	P35222	176	3.16406e-01
P84022	Q8TEW0	176	3.16406e-01
P84022	P04637	177	3.16406e-01
P84022	P15336	179	3.16406e-01
Q01196	Q92793	180	3.16406e-01
P84022	Q01196	180	3.16406e-01
P84022	Q16665	181	3.16406e-01
Q16665	Q92793	181	3.16406e-01
Q92831	Q15797	182	3.16406e-01
P84022	Q92831	182	3.16406e-01
Q92831	Q92793	183	3.16406e-01
Q92985	Q92793	184	3.16406e-01
P84022	Q92985	184	3.16406e-01
Q96RN5	Q15797	185	3.16406e-01
P84022	Q96RN5	185	3.16406e-01
P84022	Q96RT1	186	3.16406e-01
Q96RT1	P35222	186	3.16406e-01
P84022	Q9HAU4	187	3.16406e-01
P84022	Q9HCE7	188	3.16406e-01
Q9UJU2	P35222	189	3.16406e-01
P84022	Q9UJU2	189	3.16406e-01
Q9Y297	P10070	190	3.16406e-01
P84022	Q9Y297	190	3.16406e-01
Q9Y297	P10071	191	3.16406e-01
Q9Y297	P35222	192	3.16406e-01
Q9Y2T1	P35222	193	3.16406e-01
P84022	Q9Y2T1	193	3.16406e-01
P01137	Q03167	194	3.16406e-01
Q15796	P12757	195	3.16406e-01
O15111	P35222	196	3.16406e-01
Q15796	O15111	196	3.16406e-01
O15111	Q92793	197	3.16406e-01
Q15796	O15169	198	3.16406e-01
Q15796	P05412	199	3.16406e-01
Q15796	P84022	201	3.16406e-01
Q15796	Q09472	205	3.16406e-01
Q15796	Q13485	208	3.16406e-01
Q15796	Q13547	212	3.16406e-01
Q13547	O00422	212	3.16406e-01
Q15796	O00238	213	3.16406e-01
Q15796	O14640	214	3.16406e-01
Q15796	O75448	215	3.16406e-01
O75448	Q15797	215	3.16406e-01
Q15796	P36894	216	3.16406e-01
Q15796	Q13501	217	3.16406e-01
Q13547	P35222	218	3.16406e-01
Q13547	Q96ST3	219	3.16406e-01
Q15796	Q13873	220	3.16406e-01
Q15796	Q8TEW0	221	3.16406e-01
Q15796	P04637	222	3.16406e-01
Q8TAD8	Q92793	224	3.16406e-01
Q15796	Q8TAD8	224	3.16406e-01
Q15796	Q92831	225	3.16406e-01
Q15796	Q96RN5	227	3.16406e-01
Q15796	Q96RT1	228	3.16406e-01
Q15796	Q9HAU4	229	3.16406e-01
Q15796	Q9UJU2	230	3.16406e-01
Q03167	O14908	231	3.16406e-01
P04629	P35222	231	3.16406e-01
O14908	P04629	231	3.16406e-01
O14908	P17252	232	3.16406e-01
P17252	P35222	232	3.16406e-01
O14908	Q8N1F7	233	3.16406e-01
Q8N1F7	O00422	233	3.16406e-01
Q03167	P36897	234	3.16406e-01
Q03167	P01137	235	3.16406e-01
Q03167	P10600	245	3.16406e-01
P10600	P37173	245	3.16406e-01
P10600	P45983	246	3.16406e-01
P10600	P84022	247	3.16406e-01
P10600	Q15796	251	3.16406e-01
Q03167	P37023	273	3.16406e-01
Q03167	P61812	290	3.16406e-01
P61812	P37173	290	3.16406e-01
Q03167	P32121	291	3.16406e-01
P61812	P45983	292	3.16406e-01
P61812	P84022	293	3.16406e-01
P61812	Q15796	297	3.16406e-01
Q16787	P16144	301	3.16406e-01
P34741	Q16787	301	3.16406e-01
P16144	P31946	301	3.16406e-01
Q16787	P05556	302	3.16406e-01
P05556	P18031	302	3.16406e-01
P05556	P37173	303	3.16406e-01
P16471	Q92793	304	3.16406e-01
P05556	P16471	304	3.16406e-01
P16144	P00533	305	3.16406e-01
P16144	P04626	306	3.16406e-01
P16144	P06241	307	3.16406e-01
P08581	P35222	308	3.16406e-01
P16144	P08581	308	3.16406e-01
P42336	P35222	309	3.16406e-01
P16144	P42336	309	3.16406e-01
P16144	Q96RT1	310	3.16406e-01
Q16787	P23229	311	3.16406e-01
P23229	P00533	311	3.16406e-01
P23229	P04626	312	3.16406e-01
P14635	P06493	313	3.16406e-01
P06493	P10275	313	3.16406e-01
P06493	P19784	317	3.16406e-01
P19784	P35222	317	3.16406e-01
P67870	P35222	318	3.16406e-01
P06493	P67870	318	3.16406e-01
P06493	P68400	319	3.16406e-01
P68400	P35222	319	3.16406e-01
P06493	P04637	320	3.16406e-01
P51610	Q96ST3	322	3.16406e-01
P06493	P51610	322	3.16406e-01
P14635	P30304	323	3.16406e-01
P30304	P10275	323	3.16406e-01
P30304	P24941	327	3.16406e-01
P30304	P62258	328	3.16406e-01
P30304	P63104	331	3.16406e-01
P30304	Q9UKB1	332	3.16406e-01
Q9UKB1	P10070	332	3.16406e-01
P30304	Q9Y297	333	3.16406e-01
P14635	P38936	336	3.16406e-01
P38936	P24941	336	3.16406e-01
Q00534	P35222	337	3.16406e-01
P38936	Q00534	337	3.16406e-01
P38936	Q13547	338	3.16406e-01
P38936	P04637	339	3.16406e-01
P14635	P46527	343	3.16406e-01
P46527	P31946	343	3.16406e-01
P12931	P35222	344	3.16406e-01
P46527	P12931	344	3.16406e-01
P46527	P24941	345	3.16406e-01
P46527	P61981	346	3.16406e-01
P46527	P62258	347	3.16406e-01
P46527	Q00534	350	3.16406e-01
P14635	P53350	351	3.16406e-01
P53350	Q13526	351	3.16406e-01
P53350	P04637	352	3.16406e-01
Q08050	P24941	354	3.16406e-01
P00533	P00519	355	3.16406e-01
P00533	P04626	356	3.16406e-01
P08575	P35222	357	3.16406e-01
P00533	P08575	357	3.16406e-01
P00533	P10275	358	3.16406e-01
P00533	P12830	362	3.16406e-01
P12830	P35222	362	3.16406e-01
P00533	P12931	363	3.16406e-01
P00533	P17252	364	3.16406e-01
P00533	P18031	365	3.16406e-01
P00533	P21860	366	3.16406e-01
P00533	P22681	367	3.16406e-01
P23467	P35222	368	3.16406e-01
