negatives
"('Q13191', 'P40189')"
"('O75396', 'Q14999')"
"('Q9Y2X7', 'Q9P2H0')"
"('Q96CB9', 'P43364')"
"('Q9Y2X7', 'P56537')"
"('P31689', 'P07195')"
"('A4D1P6', 'O95376')"
"('Q92560', 'O14933')"
"('Q15047', 'Q8TB52')"
"('Q6K0P9', 'O15355')"
"('P18846', 'Q06546')"
"('Q9NUQ3', 'Q9H6S1')"
"('P61978', 'Q969P0')"
"('P20248', 'Q7L5N1')"
"('P26441', 'Q9HC73')"
"('Q9BYV2', 'Q9HC52')"
"('O95793', 'P51991')"
"('Q13573', 'P61163')"
"('Q9NZW5', 'Q9HAP6')"
"('O14929', 'O75360')"
"('Q13315', 'Q6VMQ6')"
"('Q92831', 'P24928')"
"('Q9Y2V2', 'P0DMV8')"
"('P35637', 'Q15427')"
"('Q9UQ88', 'Q13526')"
"('P21860', 'P08238')"
"('P05060', 'Q99685')"
"('Q5JSZ5', 'Q9C0B0')"
"('Q9UQM7', 'P00533')"
"('Q12965', 'Q12906')"
"('Q14966', 'Q9UK80')"
"('Q96S53', 'Q8TEJ3')"
"('O43711', 'P86480')"
"('Q13573', 'P04350')"
"('P62277', 'P40429')"
"('Q15596', 'P10276')"
"('P49848', 'O95402')"
"('Q9NP92', 'Q8IUR7')"
"('Q6ICG8', 'Q8IWI9')"
"('Q5BKU9', 'O15091')"
"('Q9BYR8', 'P32242')"
"('Q5JSH3', 'O43291')"
"('O60292', 'Q15717')"
"('Q9ULR3', 'Q6Y7W6')"
"('Q71UI9', 'O15379')"
"('Q9H7D7', 'P03372')"
"('P02751', 'P24666')"
"('P60484', 'Q04206')"
"('P01106', 'P59510')"
"('P28799', 'P50750')"
"('Q01094', 'Q16531')"
"('P51858', 'Q92552')"
"('Q96QU8', 'Q9NS23')"
"('Q8N5A5', 'Q8NHQ1')"
"('P06744', 'O75083')"
"('Q8IYE1', 'Q5VT06')"
"('Q8TBB1', 'Q9Y620')"
"('Q86VU5', 'O43432')"
"('Q92905', 'P60866')"
"('Q9H2H8', 'Q15293')"
"('Q15599', 'Q00722')"
"('Q68D86', 'Q9NY65')"
"('Q71UI9', 'Q9UBU8')"
"('O15105', 'Q96RT1')"
"('P25205', 'Q9Y5N6')"
"('Q71UM5', 'Q9ULU4')"
"('P43115', 'Q7Z3S9')"
"('P38646', 'P31749')"
"('P52701', 'Q8N2Y8')"
"('Q8WWQ0', 'Q13509')"
"('Q9P2S5', 'Q13098')"
"('Q32M84', 'Q6ZW49')"
"('Q9H857', 'P04629')"
"('P01106', 'Q5TAX3')"
"('P62820', 'Q9UHB6')"
"('P26599', 'Q13043')"
"('O95782', 'Q9UM54')"
"('P20908', 'P18031')"
"('Q8NBM4', 'Q9UKV5')"
"('Q9BTV4', 'Q8IVS2')"
"('Q9H3R5', 'Q96NL6')"
"('P22301', 'P00533')"
"('Q96JM3', 'Q8WVE6')"
"('P48552', 'Q92769')"
"('P09466', 'P68104')"
"('Q9H201', 'Q96JC1')"
"('P15407', 'O75444')"
"('Q7L2E3', 'O95793')"
"('P20226', 'Q04864')"
"('O96006', 'O15287')"
"('Q8NGQ1', 'P62873')"
"('Q9NPQ8', 'P08754')"
"('O14757', 'O75420')"
"('Q49A26', 'O75530')"
"('Q96D71', 'P11234')"
"('Q13237', 'O60840')"
"('P84022', 'O43318')"
"('Q02078', 'Q16695')"
"('P50991', 'P51946')"
"('Q13315', 'Q9UQR1')"
"('Q13190', 'Q16623')"
"('Q96AT9', 'P31749')"
"('P42345', 'Q12789')"
"('P16333', 'O14512')"
"('Q03135', 'P61073')"
"('Q9GZQ8', 'Q9HCD5')"
"('P25791', 'P23771')"
"('Q9NXV6', 'Q00839')"
"('O60814', 'Q9UQL6')"
"('Q07627', 'Q5T619')"
"('Q9Y2I6', 'Q5VT06')"
"('P17612', 'P11831')"
"('P52895', 'O60493')"
"('Q15424', 'P78362')"
"('Q15910', 'Q9UK61')"
"('Q15717', 'P17707')"
"('Q8IWZ8', 'P51553')"
"('Q9BY41', 'O75131')"
"('Q96D53', 'Q9UJZ1')"
"('Q9HAJ7', 'Q92769')"
"('O43463', 'Q99717')"
"('Q09666', 'O15027')"
"('Q7Z3S9', 'Q9NUL5')"
"('Q8NFW5', 'Q6P444')"
"('Q16082', 'Q14315')"
"('O76011', 'Q9Y5Y7')"
"('P51116', 'Q9NVV9')"
"('Q96KQ7', 'P49368')"
"('Q12983', 'Q13021')"
"('Q96CW1', 'O14929')"
"('Q9Y4K3', 'P51148')"
"('Q8WXW3', 'Q9UPN4')"
"('O60336', 'Q9BYQ2')"
"('P08238', 'Q9GZX7')"
"('Q5K651', 'Q15075')"
"('P01106', 'Q8TCU6')"
"('O75937', 'Q00839')"
"('O75683', 'P62241')"
"('Q12931', 'P19438')"
"('Q9BYK8', 'P37231')"
"('P62280', 'P46783')"
"('O14744', 'P02751')"
"('Q99523', 'P06493')"
"('Q96A08', 'Q6ZRQ5')"
"('Q14106', 'Q13310')"
"('P61978', 'Q9BT22')"
"('Q13203', 'Q8WZ42')"
"('Q13618', 'P67809')"
"('P50549', 'P05412')"
"('Q15691', 'Q53G59')"
"('Q8IVF5', 'P04183')"
"('Q16560', 'O95758')"
"('Q96T88', 'P04637')"
"('Q5T3J3', 'Q03013')"
"('Q8TAG9', 'Q9Y2I9')"
"('P02751', 'Q16820')"
"('Q96IZ7', 'Q15398')"
"('P41968', 'P01189')"
"('Q12772', 'Q15907')"
"('Q6PCT2', 'Q05D32')"
"('Q9Y6Q9', 'Q9Y6X9')"
"('Q04206', 'P21580')"
"('Q5J8X5', 'Q68CJ9')"
"('Q08AD1', 'P01100')"
"('Q13349', 'P46109')"
"('P06702', 'Q92905')"
"('Q9UHC7', 'Q13158')"
"('Q14999', 'P07355')"
"('P49771', 'P17948')"
"('Q13263', 'Q14999')"
"('Q9H0A0', 'P03372')"
"('Q7L190', 'Q9Y6V0')"
"('Q96NL6', 'Q9Y5X3')"
"('P42574', 'Q676U5')"
"('Q92731', 'Q12789')"
"('O75947', 'Q8WWC4')"
"('Q9UKX5', 'P21333')"
"('P23025', 'Q9GZM8')"
"('Q9NQE7', 'P45954')"
"('P08238', 'P55072')"
"('Q13748', 'Q9BW62')"
"('Q9H8Y8', 'O43504')"
"('P10451', 'Q9UKX5')"
"('P26038', 'P52565')"
"('Q96T76', 'P09543')"
"('Q9Y2R0', 'Q9BVV7')"
"('P16144', 'A8K7I4')"
"('Q9UM11', 'P51668')"
"('Q9Y5B8', 'Q0VD86')"
"('Q8WZ84', 'P62873')"
"('P50613', 'P52597')"
"('Q9HCH0', 'Q9UKL0')"
"('Q9NRD1', 'Q9BXX0')"
"('P60331', 'O43597')"
"('P35579', 'P24941')"
"('Q92841', 'Q9UJV9')"
"('Q9H469', 'Q13616')"
"('Q13485', 'O60729')"
"('Q9UBB9', 'P62195')"
"('Q6ZU15', 'Q15019')"
"('P49321', 'P62805')"
"('P10074', 'Q9NVV9')"
"('Q13976', 'Q86W47')"
"('Q9BXY8', 'Q9Y6A5')"
"('P35226', 'P51571')"
"('Q9NSD9', 'P05412')"
"('P01138', 'Q99523')"
"('O76011', 'Q8TAE8')"
"('P51668', 'O60232')"
"('Q99731', 'Q00978')"
"('P35232', 'Q99496')"
"('Q04671', 'Q9NQ11')"
"('Q92542', 'O94906')"
"('P07954', 'Q8WZ60')"
"('P32121', 'P30154')"
"('P04629', 'P35611')"
"('Q9H9S0', 'Q9HCM1')"
"('Q9UKY7', 'Q6FIF0')"
"('Q9NZS9', 'P62993')"
"('P00533', 'P33991')"
"('Q9UM13', 'Q8TED0')"
"('P20062', 'P22681')"
"('P56134', 'Q6PK04')"
"('P29350', 'Q86YW5')"
"('P01569', 'Q99665')"
"('Q96AG4', 'O75815')"
"('P05412', 'O43172')"
"('Q71U36', 'P68371')"
"('Q01518', 'P67936')"
"('Q86YD7', 'Q13596')"
"('Q9NZ01', 'Q8IXI1')"
"('O95487', 'O95166')"
"('P52597', 'Q9BV73')"
"('Q92831', 'O15350')"
"('Q96IZ0', 'P35579')"
"('Q15628', 'O15397')"
"('Q969R5', 'P61289')"
"('O43684', 'O60566')"
"('P98160', 'P42167')"
"('P11021', 'P78344')"
"('Q9NRD5', 'O75360')"
"('O00443', 'Q6IQ23')"
"('P51812', 'P36873')"
"('Q12768', 'P47755')"
"('Q9UI15', 'P06733')"
"('O43353', 'P0DP25')"
"('O43314', 'P01106')"
"('P08575', 'P09466')"
"('Q17R98', 'Q13547')"
"('Q9NX02', 'Q6PKG0')"
"('P62263', 'P23258')"
"('Q9H6Z9', 'Q13472')"
"('O14976', 'P09497')"
"('Q09472', 'Q01826')"
"('Q96GG9', 'Q15843')"
"('Q96DB2', 'O95816')"
"('P34949', 'P31483')"
"('P0DP23', 'Q99759')"
"('Q99623', 'P31749')"
"('P14653', 'P04150')"
"('P09619', 'P35568')"
"('Q6GQQ9', 'O00220')"
"('Q5T4S7', 'Q13490')"
"('P49792', 'P21333')"
"('P05067', 'Q9BWN1')"
"('Q15654', 'Q4KMP7')"
"('O43847', 'Q9Y297')"
"('Q96N67', 'Q9H0W5')"
"('Q9NS64', 'Q86UX6')"
"('Q12929', 'P07910')"
"('P59044', 'Q9ULZ3')"
"('Q99459', 'Q9NUQ8')"
"('Q8IZQ1', 'Q9NYB0')"
"('Q9P287', 'Q9Y478')"
"('P22234', 'O00267')"
"('O14530', 'P12830')"
"('P0DP24', 'Q9UHB6')"
"('Q8N0X7', 'Q13233')"
"('P55036', 'Q16186')"
"('Q15061', 'P05412')"
"('Q13740', 'P00533')"
"('P25786', 'Q8WZ19')"
"('O43482', 'Q969G3')"
"('Q9H0W5', 'P60174')"
"('Q01094', 'P55345')"
"('P52798', 'P29317')"
"('Q15370', 'Q9NV79')"
"('A8MQ03', 'Q86YQ8')"
"('P50991', 'Q9NVX2')"
"('P62714', 'Q00537')"
"('P49821', 'O75380')"
"('P04629', 'Q15021')"
"('P58400', 'P55196')"
"('P51665', 'Q9UL46')"
"('P0C0S8', 'Q8N6T7')"
"('P52333', 'P17655')"
"('Q9Y375', 'P28331')"
"('P10144', 'P55211')"
"('Q9Y2Z0', 'Q6P1K2')"
"('P61024', 'Q86TM6')"
"('Q14108', 'Q6P2Q9')"
"('P30504', 'Q00610')"
"('Q9UBX2', 'P05141')"
"('O95352', 'Q9BTW9')"
"('Q01844', 'P0DP23')"
"('Q9Y5B8', 'Q96SN8')"
"('Q9UIV1', 'Q00534')"
"('Q9UQ35', 'P67809')"
"('Q13242', 'Q99728')"
"('Q9ULR3', 'Q9UQC2')"
"('Q5TCZ1', 'O43166')"
"('P35637', 'Q16630')"
"('O14519', 'Q9BQA1')"
"('Q8N5S1', 'Q8TDZ2')"
"('P22626', 'P07195')"
"('P12830', 'Q92738')"
"('Q8N3U4', 'Q14683')"
"('Q14451', 'O14576')"
"('Q9NRU3', 'P23416')"
"('Q9UBC3', 'P26373')"
"('Q9HCN4', 'Q9BWU1')"
"('P31947', 'P30291')"
"('Q53GS9', 'Q96SB4')"
"('P18621', 'Q13618')"
"('Q9Y6J0', 'Q13469')"
"('P50454', 'Q15051')"
"('Q15287', 'Q9H7E2')"
"('Q13753', 'P18564')"
"('P06280', 'P49419')"
"('P62308', 'Q92905')"
"('A6ND91', 'Q01415')"
"('P43405', 'P78314')"
"('Q8N8A2', 'O00308')"
"('P49674', 'Q86V81')"
"('P24941', 'Q9H307')"
"('Q14129', 'Q9HBZ2')"
"('Q13618', 'Q7Z2Y8')"
"('P53779', 'P46108')"
"('P33992', 'P55036')"
"('Q9UM47', 'Q9Y3F4')"
"('Q8TEQ6', 'P62306')"
"('Q9Y468', 'P28074')"
"('P21912', 'Q9Y277')"
"('P02511', 'P63208')"
"('Q9Y4K3', 'O14545')"
"('Q9H6Z9', 'Q14318')"
"('Q8TAA3', 'Q13200')"
"('P30153', 'Q15678')"
"('Q9NUQ9', 'O00291')"
"('Q8WW35', 'Q15555')"
"('Q9H0D6', 'P05412')"
"('Q96MT4', 'Q8TDS5')"
"('Q8IUE6', 'Q96DB2')"
"('P56524', 'Q6Y7W6')"
"('P17482', 'P26371')"
"('Q9Y4A5', 'Q13616')"
"('Q92522', 'P62979')"
"('O75182', 'Q01538')"
"('O95373', 'Q9UI30')"
"('P0C7H8', 'P82987')"
"('Q15768', 'P54762')"
"('P50914', 'Q9Y388')"
"('Q14457', 'Q8N726')"
"('Q9UKA1', 'P62324')"
"('P62913', 'P32121')"
"('Q13813', 'P50402')"
"('Q1A5X7', 'Q5T655')"
"('Q6ZVM7', 'Q13571')"
"('Q9Y6X2', 'Q92731')"
"('Q9BZE4', 'P06748')"
"('Q16512', 'P30307')"
"('P31947', 'Q96F86')"
"('Q6ZT21', 'Q9H244')"
"('Q12972', 'O14965')"
"('Q92616', 'Q8NBM4')"
"('O75360', 'Q9H5F2')"
"('Q9NRD1', 'Q9H488')"
"('P50991', 'Q96JN0')"
"('Q14CB8', 'Q07889')"
"('Q16543', 'Q15424')"
"('O14757', 'Q13619')"
"('A8MQ03', 'Q9BYR2')"
"('O75678', 'Q8TCN5')"
"('Q71UI9', 'Q08945')"
"('Q9H2P0', 'Q15274')"
"('P61353', 'Q15843')"
"('P0C7P4', 'O14745')"
"('Q9BYD6', 'Q86VP6')"
"('Q5T5U3', 'P63104')"
"('B7ZAP0', 'Q13465')"
"('P35232', 'P08238')"
"('Q14257', 'O14862')"
"('Q86VP6', 'P68371')"
"('Q99729', 'P82663')"
"('Q8NA56', 'Q9P2R3')"
"('Q9NPI8', 'P27448')"
"('P55081', 'O43290')"
"('Q8NE71', 'O95466')"
"('P58005', 'Q13131')"
"('Q9HAV4', 'Q99459')"
"('O75665', 'Q96FJ2')"
"('Q9UQB8', 'P49674')"
"('Q92731', 'Q9UQ26')"
"('Q05084', 'P26441')"
"('Q96HP0', 'P84095')"
"('Q9Y6X2', 'P15104')"
"('Q07869', 'P63279')"
"('Q9BQ65', 'Q9ULR0')"
"('P62979', 'Q13077')"
"('P31943', 'P50991')"
"('Q99853', 'P35453')"
"('P35573', 'Q8WWW0')"
"('P62805', 'P55210')"
"('P21281', 'Q9Y2Q5')"
