negatives
"('Q14651', 'Q8IWL3')"
"('Q86Y56', 'P30153')"
"('P11712', 'P33260')"
"('Q99459', 'Q6P2Q9')"
"('P15336', 'Q14697')"
"('Q96FV9', 'Q9UJ41')"
"('P60520', 'P39019')"
"('P12956', 'Q00653')"
"('Q00978', 'P05161')"
"('Q9NR12', 'P47755')"
"('Q16512', 'Q86T90')"
"('P23528', 'P80404')"
"('Q8IYK4', 'Q5T124')"
"('P34947', 'O00299')"
"('Q9UHB6', 'O95373')"
"('Q15427', 'Q86XP3')"
"('Q15831', 'O43741')"
"('A6NK89', 'Q02833')"
"('P32929', 'O95340')"
"('Q5T752', 'Q701N4')"
"('Q53GL7', 'P12004')"
"('O75431', 'Q9HCE1')"
"('Q7Z6Z7', 'P54819')"
"('Q15742', 'Q93062')"
"('P78527', 'P12755')"
"('Q9BQ39', 'Q13618')"
"('P07737', 'Q9Y576')"
"('P63172', 'P06241')"
"('Q9Y6N9', 'Q8TD10')"
"('Q6XZF7', 'Q9NQY0')"
"('O95166', 'Q8WVZ9')"
"('P17987', 'Q15120')"
"('P0C0L4', 'P23771')"
"('P03950', 'Q00987')"
"('O43242', 'Q9UJZ1')"
"('O00165', 'O15371')"
"('P15927', 'Q9UPQ0')"
"('Q96GG9', 'Q92734')"
"('O15031', 'Q86Y78')"
"('P31946', 'Q9Y4H2')"
"('O43542', 'Q9H9B4')"
"('Q53ET0', 'Q9UMX1')"
"('P49639', 'O43559')"
"('P46531', 'O43719')"
"('Q86YD7', 'Q06547')"
"('P48444', 'Q96FW1')"
"('P21281', 'O43865')"
"('A5PLL7', 'Q9UHD1')"
"('Q9P2S5', 'P78371')"
"('P20936', 'Q92574')"
"('P01137', 'Q96KQ7')"
"('O43541', 'P46937')"
"('Q8TCJ0', 'Q13200')"
"('P31943', 'Q9HCE7')"
"('Q53F19', 'Q6I9Y2')"
"('Q9BSI4', 'Q96AP0')"
"('O75604', 'Q9Y6K9')"
"('O00303', 'P67870')"
"('Q8TF05', 'P16104')"
"('P80404', 'Q00796')"
"('Q14209', 'P34897')"
"('Q9NPE3', 'Q8TAF3')"
"('Q7Z6Z7', 'P11498')"
"('P13639', 'Q96KQ7')"
"('Q9Y4P8', 'Q9NWF9')"
"('Q9BSI4', 'Q15836')"
"('P31946', 'Q07021')"
"('Q9NVV9', 'Q96T60')"
"('Q86SK9', 'P22695')"
"('P33991', 'Q9Y2Q3')"
"('Q6ZVM7', 'Q9Y3C5')"
"('Q6ZU80', 'Q8TAT6')"
"('P31153', 'P08243')"
"('O60493', 'Q9NS64')"
"('P49336', 'O15119')"
"('P15927', 'Q9BRT9')"
"('O75964', 'P56385')"
"('P10599', 'Q9NZD8')"
"('Q12972', 'Q92499')"
"('Q9UJY5', 'Q9NVZ3')"
"('P35626', 'Q8NGJ0')"
"('Q14315', 'Q6P1J9')"
"('Q15392', 'Q01860')"
"('Q9H1D9', 'Q9UKR5')"
"('Q9H115', 'O00165')"
"('Q9NRR5', 'A9UHW6')"
"('Q5TA81', 'P52797')"
"('P50570', 'Q96RF0')"
"('Q29960', 'P43626')"
"('P0C0S5', 'Q9NZC7')"
"('P50222', 'Q12905')"
"('P34947', 'Q5H9R7')"
"('P49366', 'Q9UQ35')"
"('P17028', 'Q14258')"
"('P04637', 'P30411')"
"('P14373', 'Q16527')"
"('Q9BQ75', 'P46976')"
"('P17612', 'O00217')"
"('Q7L266', 'Q13387')"
"('P06401', 'Q8TDD1')"
"('O15371', 'P23508')"
"('P25490', 'P59991')"
"('O95602', 'Q9UL18')"
"('P01106', 'Q9NZM4')"
"('Q06124', 'P16144')"
"('P55854', 'Q2NL82')"
"('Q9H078', 'Q13501')"
"('Q9H2K2', 'Q9BZL4')"
"('Q99873', 'Q15596')"
"('O95166', 'Q9H492')"
"('Q8TDY2', 'Q9BXW4')"
"('P62829', 'O14745')"
"('Q9C000', 'Q00610')"
"('Q9UJ14', 'Q8TAF8')"
"('Q15366', 'Q14999')"
"('P29459', 'Q13568')"
"('P18077', 'P62249')"
"('Q99956', 'Q16829')"
"('Q8WXE1', 'Q8TBB1')"
"('O75937', 'P18146')"
"('Q9Y3A3', 'Q13332')"
"('P04553', 'Q96SB4')"
"('Q9H2H9', 'Q9Y277')"
"('P16144', 'P17301')"
"('P30307', 'Q5TCX8')"
"('Q9H3D4', 'O14896')"
"('P22459', 'P21673')"
"('P48775', 'Q04864')"
"('P27694', 'O00264')"
"('O00155', 'Q5T700')"
"('Q14204', 'Q71U36')"
"('O95292', 'P17612')"
"('O15372', 'P09651')"
"('P02533', 'P18146')"
"('P04629', 'O75534')"
"('P54646', 'A8MQ03')"
"('O00764', 'Q99728')"
"('Q5T7P2', 'P29972')"
"('Q96I24', 'P61586')"
"('P57078', 'Q15773')"
"('Q9Y2X0', 'Q9NVC6')"
"('Q9ULZ3', 'O95786')"
"('P18621', 'Q969P0')"
"('P61088', 'P24941')"
"('P02751', 'Q15029')"
"('Q4V328', 'Q14241')"
"('Q9ULX9', 'P35638')"
"('Q6ZRI6', 'P55345')"
"('Q8IVT5', 'P47755')"
"('Q9BV73', 'Q16629')"
"('Q9UHD9', 'Q99650')"
"('Q13415', 'Q13416')"
"('O14967', 'P48448')"
"('P35241', 'P28074')"
"('Q9BVI4', 'Q13601')"
"('Q96BR6', 'A6NEM1')"
"('Q15022', 'Q9BRL6')"
"('P04629', 'P06753')"
"('Q96GE4', 'Q9NRD5')"
"('P62993', 'Q5HYK7')"
"('Q13315', 'Q5JSH3')"
"('Q96T23', 'P68400')"
"('Q8IZ69', 'P05412')"
"('P00734', 'P07204')"
"('O75771', 'Q9UKT9')"
"('Q13011', 'P05412')"
"('P49841', 'Q00013')"
"('O75832', 'O00233')"
"('Q86WT6', 'Q6PHW0')"
"('Q9UMX1', 'Q9Y466')"
"('A6NK89', 'Q92997')"
"('P60033', 'Q9UBQ5')"
"('Q9NRG4', 'Q15185')"
"('O95644', 'P43694')"
"('P06730', 'O00303')"
"('Q9UPT9', 'Q9NPA8')"
"('Q13547', 'Q9H5N1')"
"('Q13618', 'P13010')"
"('Q9UMX0', 'Q17RB0')"
"('P60842', 'Q9C0B0')"
"('P09651', 'P63279')"
"('Q96K37', 'P51148')"
"('Q92630', 'Q00839')"
"('Q8IWL3', 'Q9NZJ7')"
"('Q15973', 'Q6A162')"
"('Q07021', 'P34947')"
"('Q8N127', 'P62873')"
"('Q14814', 'Q13309')"
"('Q96J02', 'Q9UHI6')"
"('P05067', 'Q9Y2H6')"
"('O43683', 'Q02224')"
"('Q8IYS1', 'P48775')"
"('Q9BUZ4', 'P51617')"
"('P61927', 'P46778')"
"('P10242', 'Q99684')"
"('Q9UK76', 'Q14019')"
"('P32238', 'O95837')"
"('Q00839', 'P08708')"
"('Q92583', 'P51685')"
"('Q04724', 'Q96HZ4')"
"('P80162', 'O00574')"
"('O15259', 'Q9UIA9')"
"('P56975', 'P21675')"
"('Q14498', 'Q15427')"
"('O75340', 'Q9NRY6')"
"('P62877', 'P05067')"
"('Q9UKK9', 'Q9UET6')"
"('P04406', 'P35244')"
"('P60371', 'Q5TA77')"
"('Q13813', 'Q9UI08')"
"('P49407', 'Q8NGF7')"
"('P02776', 'P32302')"
"('O96005', 'Q5TBB1')"
"('P05412', 'P48735')"
"('Q02297', 'Q75T13')"
"('P84090', 'Q6ZVZ8')"
"('Q9Y580', 'Q03933')"
"('P53675', 'Q01968')"
"('P07766', 'Q9Y2R2')"
"('Q86WV1', 'Q8TED0')"
"('P49006', 'Q13561')"
"('Q96DB2', 'Q15459')"
"('P05386', 'P46777')"
"('P68431', 'Q9UJW3')"
"('P15056', 'P0DMV8')"
"('P55072', 'Q15418')"
"('Q01780', 'Q99547')"
"('P08581', 'P63104')"
"('Q5T200', 'Q9NX70')"
"('P04792', 'P13693')"
"('Q58A45', 'Q9Y4F3')"
"('Q96AQ6', 'O94766')"
"('Q9BU76', 'P35240')"
"('Q9UI09', 'P33897')"
"('P06454', 'P62258')"
"('P60369', 'Q9GZM7')"
"('Q9P2K3', 'Q12933')"
"('P55854', 'Q9HCE1')"
"('P07196', 'Q9BVG8')"
"('Q9UBU8', 'O60684')"
"('O95166', 'Q9NX58')"
"('P15924', 'P63167')"
"('Q9UM22', 'Q13501')"
"('Q86SJ2', 'P26599')"
"('Q7L273', 'P24278')"
"('Q05048', 'P27361')"
"('O60271', 'Q4G0J3')"
"('P39023', 'P18124')"
"('Q9H4K1', 'Q8IYF3')"
"('Q8NCA5', 'Q13148')"
"('Q15599', 'O15530')"
"('Q9BQB6', 'Q9NWH2')"
"('Q9NX04', 'Q8IX06')"
"('Q10570', 'P62140')"
"('Q9NTK5', 'Q99728')"
"('Q7LBC6', 'Q9UHB9')"
"('O14777', 'Q9UQE7')"
"('P49901', 'Q9BYQ3')"
"('Q8NHW5', 'Q9Y383')"
"('Q9H0D6', 'Q9NZC7')"
"('Q14839', 'P35226')"
"('Q32P51', 'Q9P2W9')"
"('O43172', 'Q9UHQ1')"
"('P29460', 'Q9HBE5')"
"('Q5HYN5', 'Q8N4V1')"
"('Q00610', 'P10244')"
"('P56748', 'P56747')"
"('Q9H832', 'Q96S59')"
"('P61421', 'O14964')"
"('O43422', 'Q969G2')"
"('O76011', 'Q2WGJ6')"
"('Q92830', 'Q15369')"
"('O43615', 'O75489')"
"('Q96A72', 'O75558')"
"('P49747', 'Q05397')"
"('Q15811', 'P49418')"
"('Q14766', 'P10600')"
"('Q99640', 'O43291')"
"('P78362', 'P14678')"
"('P05067', 'A0AVK6')"
"('Q9Y478', 'O75800')"
"('Q03164', 'P68400')"
"('P36873', 'Q02447')"
"('Q9Y228', 'Q9UPX6')"
"('P86479', 'Q96MN9')"
"('O94776', 'Q99459')"
"('P61513', 'O00425')"
"('P63279', 'Q9H422')"
"('O14980', 'Q9H1J1')"
"('Q9P2X3', 'Q96Q89')"
"('P62841', 'P61353')"
"('Q7Z5R6', 'Q9Y490')"
"('P23467', 'P06239')"
"('A8MQ03', 'P23769')"
"('Q9BZZ5', 'Q9UEW8')"
"('P08238', 'O75582')"
"('Q13620', 'Q03468')"
"('O75886', 'P61077')"
"('Q7Z2W4', 'Q8TEE9')"
"('Q99856', 'P29590')"
"('P14314', 'Q9BXP5')"
"('P08151', 'Q8WV41')"
"('P52272', 'P30419')"
"('Q9H7D7', 'P04629')"
"('Q02763', 'O60496')"
"('O95429', 'Q9BTL3')"
"('Q8N5G0', 'P05141')"
"('P31943', 'Q70UQ0')"
"('O75530', 'Q8N488')"
"('Q8TAA9', 'Q9NYF0')"
"('P68871', 'P00738')"
"('Q96JW4', 'Q8N6L0')"
"('O94992', 'Q14181')"
"('P37840', 'Q96A73')"
"('Q9ULL5', 'P00441')"
"('P30041', 'Q8IWL8')"
"('P25105', 'Q05397')"
"('Q4V328', 'Q4LEZ3')"
"('Q99759', 'P08238')"
"('Q08209', 'P08134')"
"('P50416', 'Q96DB2')"
"('O00567', 'O43918')"
"('O15230', 'Q92754')"
"('O95167', 'P20036')"
"('P12956', 'P25963')"
"('P50150', 'Q13131')"
"('P52799', 'Q8TCG2')"
"('P30518', 'O14964')"
"('Q15287', 'Q13243')"
"('Q9UBW7', 'P34932')"
"('Q92576', 'P63104')"
"('Q969K7', 'P10276')"
"('Q15811', 'Q05193')"
"('P78527', 'O15392')"
"('Q92793', 'Q00978')"
"('P12757', 'Q8N3E9')"
"('P11940', 'Q9HCJ0')"
"('O60216', 'P62191')"
"('Q14166', 'Q99614')"
"('P55072', 'Q7L5D6')"
"('Q13424', 'O00341')"
"('Q13133', 'Q5VT06')"
"('P60709', 'Q9NYJ8')"
"('Q5S007', 'A4UGR9')"
"('Q96P48', 'P29353')"
"('P38919', 'Q14999')"
"('Q5HYA8', 'Q8TCT9')"
"('P60520', 'Q15334')"
"('P53673', 'Q5TD97')"
"('Q99496', 'Q9Y5J1')"
"('O43524', 'Q16659')"
"('P86479', 'P78337')"
"('P34947', 'Q9NTK5')"
"('P61371', 'Q8NB15')"
"('O43143', 'P98175')"
"('P27708', 'Q96DB2')"
"('O43474', 'P13807')"
"('P20783', 'P36888')"
"('Q99575', 'Q13283')"
"('P19838', 'Q01151')"
"('P15408', 'Q9HD26')"
"('Q6UY14', 'P21333')"
"('Q92769', 'Q96KQ7')"
"('Q6DRA6', 'Q08945')"
"('Q9UBD9', 'P42702')"
"('Q9NRJ4', 'Q9H2G2')"
"('P02462', 'P05556')"
"('Q7Z4V0', 'Q8ND90')"
"('Q16659', 'Q7Z3C6')"
"('Q9BSI4', 'O95361')"
"('P10515', 'P04629')"
"('Q9HD23', 'Q9BUV0')"
"('P16403', 'P11387')"
"('Q9BQE3', 'P35240')"
"('Q99873', 'Q9NXF7')"
"('P22694', 'Q9HAV0')"
"('Q00839', 'Q9Y6C9')"
"('Q02543', 'P62854')"
"('P49407', 'P10070')"
"('P48454', 'Q01668')"
"('Q9NW08', 'Q9BWH6')"
"('Q9HAH7', 'Q9ULK4')"
"('P46776', 'P05161')"
"('Q15910', 'Q8NB91')"
"('P04839', 'P32519')"
"('O60506', 'O43829')"
"('P14314', 'P16104')"
"('Q9H9T3', 'P62805')"
"('P31749', 'P78362')"
"('Q96IK5', 'Q96NE9')"
"('P01912', 'Q29974')"
"('Q9BU20', 'Q13835')"
"('P62979', 'Q13415')"
"('Q96NC0', 'Q9NQ86')"
"('Q9UBT6', 'P12004')"
"('P12830', 'Q8N511')"
"('Q16594', 'P49848')"
"('P49407', 'Q8NGB8')"
"('O00303', 'O15457')"
"('P05067', 'P11168')"
"('Q96SN8', 'Q99996')"
"('Q9NQW6', 'Q96FS4')"
"('P11586', 'Q9UQL6')"
"('Q12770', 'Q8WU17')"
"('Q8N8A6', 'Q9NY12')"
"('Q9H9S0', 'O43663')"
"('P05067', 'Q8NAT1')"
"('P56181', 'P19404')"
"('Q6PID6', 'Q15696')"
"('Q9NY27', 'Q9H6Y2')"
"('Q9BUL8', 'P61289')"
"('Q9UQ35', 'Q99728')"
"('P27348', 'P07384')"
"('Q99743', 'P67870')"
"('P62873', 'P08151')"
"('Q96LD8', 'Q13098')"
"('Q96EY1', 'Q86X55')"
"('Q13885', 'P05060')"
"('Q9P2F9', 'Q7Z3S9')"
"('P03372', 'P18621')"
"('P14866', 'P15927')"
"('Q9BST9', 'Q9BQK8')"
"('Q9UI12', 'Q9Y5P6')"
"('Q969S2', 'Q02548')"
"('Q92956', 'P48552')"
"('O43752', 'O60499')"
"('P19388', 'Q9H1D9')"
"('Q9BV79', 'O14965')"
"('Q5TA45', 'Q9NV88')"
"('Q07812', 'P13010')"
"('P49746', 'Q969X6')"
"('Q9Y3F4', 'Q96QD9')"
"('Q13573', 'Q9Y6E2')"
"('P40189', 'P21860')"
"('P22694', 'Q8NGW1')"
"('Q29974', 'P05026')"
"('Q15554', 'Q15427')"
"('P38936', 'O15151')"
"('P06858', 'P98164')"
"('Q9BYQ3', 'Q92608')"
"('B0I1T2', 'P20963')"
"('P08238', 'Q86UA6')"
"('Q99728', 'Q2NKX8')"
"('Q9BUL8', 'Q9NRL3')"
"('Q8TBB1', 'P32321')"
"('Q9UPY3', 'P24928')"
"('Q9NS73', 'P61289')"
"('O14980', 'Q16514')"
"('P01912', 'Q8IUH5')"
"('Q9H3F6', 'P62745')"
"('O15379', 'Q99933')"
"('Q9BYD6', 'Q9HCH0')"
"('Q9NZ81', 'Q9NQC3')"
"('P21860', 'P60709')"
"('P31946', 'Q13136')"
"('P35241', 'P53779')"
"('O15520', 'P29317')"
"('P24278', 'Q99750')"
"('Q86VP6', 'Q6DKI1')"
"('Q92917', 'Q92620')"
"('P43405', 'P08047')"
"('Q7Z4V5', 'O15121')"
"('P18084', 'Q14324')"
"('Q13283', 'Q8N122')"
"('Q00610', 'Q93034')"
"('Q8TF46', 'Q01780')"
"('Q16695', 'Q92830')"
"('P31749', 'O60437')"
"('P49674', 'Q14C86')"
"('P11226', 'P0C0L4')"
"('P05067', 'Q9H773')"
"('Q9BZV1', 'Q9BZE9')"
"('Q2M2I8', 'P63172')"
"('Q9H2Y7', 'P25054')"
"('Q30154', 'P42224')"
"('Q15149', 'P03372')"
"('Q00535', 'P10636')"
"('Q9BRA2', 'P01889')"
"('Q8N726', 'Q14032')"
"('Q15788', 'P27540')"
"('Q9H8Y8', 'P49755')"
"('Q9HCE1', 'P36404')"
"('P13010', 'Q8N6T7')"
"('Q7Z3S9', 'Q6PJG9')"
"('Q13418', 'P83369')"
"('Q5VUA4', 'Q9H6Z9')"
"('Q9GZS1', 'Q9UHI6')"
"('Q86WV1', 'Q99755')"
"('Q9NPJ6', 'Q9UPS8')"
"('Q9BQA9', 'P14921')"
"('Q14999', 'Q92522')"
"('Q9UBU9', 'Q8IZQ1')"
"('Q13200', 'P63104')"
"('P06733', 'Q99733')"
"('Q9UKV0', 'Q6UN15')"
"('P49662', 'Q9NU22')"
"('P20618', 'P83731')"
"('P49759', 'Q96KN8')"
"('Q9P000', 'Q01201')"
"('Q9ULW0', 'O75330')"
"('P04792', 'P55809')"
"('Q9UBS0', 'Q8TF66')"
"('P14316', 'P25774')"
"('Q96N67', 'O00159')"
"('P08575', 'Q07912')"
"('P60033', 'B5ME19')"
"('Q13438', 'Q8NBJ5')"
"('Q06413', 'Q12800')"
"('P23443', 'P33778')"
"('P62937', 'O14746')"
"('P12931', 'P32121')"
"('Q9H6F5', 'Q9UPE1')"
"('P61313', 'P36578')"
"('Q70IA6', 'P38919')"
"('Q58WW2', 'O95972')"
"('Q9BXB1', 'Q9P2E9')"
"('Q9UQ80', 'P24941')"
"('Q96FW1', 'Q99623')"
"('P18075', 'Q9BYQ0')"
"('P22087', 'P33992')"
"('P22612', 'Q8NGD5')"
"('P11388', 'Q08211')"
"('P62081', 'Q92542')"
"('Q9BVV7', 'O95169')"
"('O95260', 'Q16633')"
"('P04629', 'Q8WXF1')"
"('Q9NRI5', 'Q96MT8')"
"('Q3LXA3', 'P50579')"
"('Q14738', 'Q93052')"
"('Q9NPI1', 'P50453')"
"('O14979', 'Q00839')"
"('P31943', 'P55072')"
"('Q13619', 'Q8WV16')"
"('O15511', 'P61160')"
"('P05067', 'O43929')"
"('Q6IQ23', 'P35052')"
"('Q03164', 'Q03111')"
"('Q5TB80', 'P48681')"
"('Q6NUN9', 'Q93008')"
"('P01106', 'P62195')"
"('Q5RI15', 'Q9BRT2')"
"('Q9Y241', 'Q6SPF0')"
"('P31995', 'P62993')"
"('Q7KZF4', 'O43670')"
"('O95155', 'Q93008')"
"('Q01804', 'Q9NR21')"
"('Q9P2F8', 'Q68CZ1')"
"('Q5SSJ5', 'P67809')"
"('P41182', 'Q9UBK2')"
"('Q8IVT5', 'Q9NQT8')"
"('Q01105', 'O75531')"
"('P38432', 'Q99873')"
"('Q96EH3', 'Q6IQ23')"
"('Q9H1D9', 'P20226')"
"('Q9NUL7', 'Q9GZY8')"
"('P05412', 'Q14669')"
"('Q01105', 'P06454')"
"('Q8WXD5', 'Q9Y3F4')"
"('Q9BZF9', 'O95630')"
"('P61218', 'P21399')"
"('Q5T7P2', 'O95967')"
"('Q9P2P5', 'O60488')"
"('Q99961', 'P35367')"
"('Q5VZ89', 'Q8WXF0')"
"('P01892', 'Q13635')"
"('Q9UBX2', 'P46778')"
"('Q9BS26', 'Q99426')"
"('Q9UHB6', 'P60953')"
"('P63279', 'Q9BW27')"
"('Q8N0X7', 'P11021')"
"('P10912', 'P78362')"
"('Q9NXV2', 'Q14161')"
"('Q5TEC3', 'Q6NUQ1')"
"('Q5TA89', 'Q92858')"
"('P51608', 'Q9Y587')"
"('P40925', 'Q8NBX0')"
"('Q86UT6', 'P30048')"
"('P46108', 'Q99816')"
"('Q4KMG9', 'P23634')"
"('P01106', 'Q14192')"
"('P61313', 'P27635')"
"('Q9BUB5', 'P18848')"
"('Q86U42', 'P56537')"
"('P05408', 'Q07666')"
"('Q11206', 'Q03405')"
"('Q13077', 'O15111')"
"('Q9Y3B4', 'Q15022')"
"('Q9UL18', 'Q9Y3D9')"
"('Q16186', 'P28062')"
"('Q86UK7', 'Q6VAB6')"
"('Q9H788', 'Q5VU43')"
"('P17947', 'O75030')"
"('Q9NQC8', 'Q3KP44')"
"('Q9BW61', 'Q13131')"
"('Q9Y3E0', 'Q9BWH2')"
"('P00519', 'Q96GP6')"
"('P05412', 'Q9NR31')"
"('P19320', 'P46379')"
"('P51946', 'P28715')"
"('P05114', 'Q16621')"
"('Q13200', 'P08913')"
"('Q9Y4E8', 'P62877')"
"('O14544', 'P08581')"
"('P17481', 'P40424')"
"('Q14203', 'Q9Y5Y2')"
"('Q12948', 'P63151')"
"('P01100', 'P35354')"
"('P35609', 'Q16864')"
"('P22087', 'Q9UIF9')"
"('Q9P0S3', 'Q8TBB1')"
"('P11441', 'P30050')"
"('P15880', 'Q13148')"
"('P83731', 'Q96BK5')"
"('Q06455', 'P54259')"
"('Q8ND90', 'Q96GY3')"
"('Q07955', 'P61326')"
"('Q15527', 'Q9HCN4')"
"('Q6P597', 'Q86UW9')"
"('P62837', 'O75312')"
"('O15287', 'Q9BTP7')"
"('Q93008', 'Q5VYK3')"
"('P09429', 'P51531')"
"('Q9Y266', 'Q562E7')"
"('Q9ULT8', 'P07951')"
"('O95460', 'O00165')"
"('P24928', 'O76061')"
"('Q4LDR2', 'Q96BA8')"
"('P17480', 'Q9H4L4')"
"('Q92769', 'Q96EP1')"
"('Q8IV01', 'Q9HCE1')"
"('O95983', 'Q13573')"
"('Q15717', 'Q96CW5')"
"('Q03001', 'P0DP23')"
"('P50461', 'P56524')"
"('O95104', 'Q96I99')"
"('Q86YC2', 'P16104')"
"('Q15369', 'P33993')"
"('O15321', 'P48039')"
"('Q8TCJ2', 'Q2MV58')"
"('O43237', 'Q13509')"
"('Q9UBB5', 'Q00987')"
"('Q9NZC7', 'Q8TEQ6')"
"('Q9UPV0', 'Q15154')"
"('Q8IWI9', 'Q9C0B0')"
"('Q9UBU9', 'Q01081')"
"('P30530', 'P07900')"
"('Q12834', 'P33981')"
"('O15455', 'Q9Y4K3')"
"('O14980', 'Q9UKA2')"
"('Q9BZF9', 'Q9HDC5')"
"('Q9H270', 'Q9P2Y5')"
"('Q14974', 'Q15554')"
"('Q9NPJ4', 'Q14541')"
"('P09341', 'P32302')"
"('Q9UQN3', 'Q13501')"
"('O14777', 'Q9H211')"
"('P49286', 'Q7Z3U7')"
"('P61006', 'Q14203')"
"('Q96C28', 'Q9BV97')"
"('Q9UBX2', 'P46783')"
"('Q7L0Q8', 'P49023')"
"('O60832', 'Q9BUR4')"
"('P61247', 'Q02539')"
"('P48552', 'Q6PI77')"
"('Q15019', 'O75494')"
"('Q13387', 'Q15633')"
"('P54725', 'Q9H8M7')"
"('P17480', 'A5YKK6')"
"('Q93009', 'Q49AN0')"
"('P01112', 'Q15599')"
"('P14859', 'P04150')"
"('Q15813', 'P68366')"
"('Q9BRK5', 'Q9UQE7')"
"('P30041', 'Q9UHY7')"
"('Q92817', 'P61353')"
"('Q9GZU8', 'Q92845')"
"('Q13601', 'Q969S3')"
"('O96018', 'P11274')"
"('P20936', 'P62070')"
"('Q9BY78', 'P52747')"
"('Q9NVP2', 'P62805')"
"('O60701', 'P04629')"
"('Q13601', 'Q00839')"
"('Q16401', 'O60245')"
"('P61218', 'Q9NQG5')"
"('Q14999', 'Q8IZP1')"
"('Q96EK4', 'Q9UJ41')"
"('P15880', 'P61353')"
"('Q99848', 'Q13616')"
"('Q02878', 'Q9Y2R9')"
"('P07585', 'Q15303')"
"('Q8N9I9', 'Q9NSD9')"
"('P62140', 'Q69YH5')"
"('P09234', 'Q9UPE1')"
"('O14920', 'Q92844')"
"('P24158', 'O95715')"
"('O43815', 'Q13033')"
"('Q8TAA3', 'P48556')"
"('Q9UKW4', 'P04626')"
"('O75955', 'Q8N3V7')"
"('P40763', 'P22607')"
"('P30443', 'Q7LGA3')"
"('P49588', 'Q16537')"
"('Q14209', 'P06493')"
"('Q9UBW8', 'Q9NZJ0')"
"('P05067', 'O96017')"
"('P35558', 'O95467')"
"('Q16891', 'Q9H0I3')"
"('Q96IU4', 'Q01780')"
"('P18146', 'Q13469')"
"('Q92621', 'P55316')"
"('P15884', 'Q92985')"
"('O60941', 'Q9NY99')"
"('Q9Y2V7', 'O15265')"
"('Q14CB8', 'P61587')"
"('Q9HAU5', 'P27797')"
"('Q9P0T4', 'Q9HD26')"
"('P24001', 'Q9H6E5')"
"('P49407', 'P52292')"
"('Q13951', 'Q6U841')"
"('Q7Z3I7', 'P41219')"
"('Q8N5I3', 'P51116')"
"('O15056', 'Q9H2G2')"
"('Q1ED39', 'Q86VQ0')"
"('Q9NRC8', 'Q7L014')"
"('Q8WZ42', 'Q01130')"
"('Q15910', 'O75582')"
"('Q99575', 'O43719')"
"('Q96T58', 'Q06330')"
"('P31358', 'P19474')"
"('Q6P1K2', 'Q9NX76')"
"('Q13627', 'Q99728')"
"('Q13315', 'Q9BQE6')"
"('O14980', 'Q9Y6Y8')"
"('O75419', 'P02768')"
"('Q9Y5S8', 'P60763')"
"('P55318', 'Q6NXE6')"
"('Q6UW78', 'O96000')"
"('P21675', 'O14662')"
"('Q8WYA0', 'Q86VQ0')"
"('Q8IYB3', 'Q13185')"
"('Q92905', 'Q9H2U1')"
"('P08123', 'P50281')"
"('Q03468', 'O95503')"
"('Q9HCM2', 'Q92730')"
"('Q6IQ23', 'P01892')"
"('P49711', 'Q9NRC8')"
"('P60953', 'Q9P2J5')"
"('P09467', 'Q12913')"
"('O60238', 'Q8IU85')"
"('Q96QZ7', 'Q8WUY9')"
"('Q14938', 'P05412')"
"('O00505', 'Q9NR30')"
"('O75390', 'P15336')"
"('Q06124', 'P35568')"
"('P20226', 'P01100')"
"('P01024', 'P60410')"
"('Q15038', 'Q86UW9')"
"('Q15208', 'Q9NRD1')"
"('Q92569', 'Q8NA54')"
"('Q8NE86', 'Q16795')"
"('Q9UKB1', 'P67809')"
"('Q9Y3E0', 'O94905')"
"('Q9UBB4', 'Q99623')"
"('Q9Y3D9', 'P19320')"
"('P40763', 'P43405')"
"('P31751', 'Q08462')"
"('P62993', 'P23508')"
"('O75934', 'P25800')"
"('Q14134', 'P14317')"
"('Q7Z353', 'Q05516')"
"('Q99873', 'O43829')"
"('P14635', 'Q96BT7')"
"('P19022', 'P11498')"
"('Q92506', 'Q96IQ9')"
"('Q9HC98', 'Q13200')"
"('P22681', 'Q01344')"
"('Q86Y79', 'Q15293')"
"('Q86VU5', 'O95373')"
"('Q5EBL8', 'Q04917')"
"('P0C0S5', 'Q8WUI4')"
"('Q15022', 'Q9Y3B4')"
"('Q15717', 'Q96K58')"
"('Q8N183', 'P54252')"
"('Q96AY2', 'Q99523')"
"('P43243', 'P17844')"
"('P55072', 'Q02750')"
"('P26045', 'P40692')"
"('P22681', 'P35527')"
"('Q15025', 'Q9BVG8')"
"('Q13191', 'Q99962')"
"('P09104', 'Q9H0R8')"
"('Q8IUH5', 'Q99504')"
"('Q3SY84', 'Q92764')"
"('Q05639', 'Q13233')"
"('O43639', 'Q9UQR0')"
"('O60603', 'Q04206')"
"('Q9H3Q1', 'Q16181')"
"('P62318', 'Q15717')"
"('Q9BYD5', 'P09067')"
"('Q9H3D4', 'Q09472')"
"('Q9NZW5', 'Q9NY61')"
"('P49356', 'Q9Y3R0')"
"('Q92731', 'Q9HCM4')"
"('Q8TD19', 'Q04771')"
"('Q14847', 'Q8TES7')"
"('P11362', 'Q16799')"
"('Q8IY92', 'Q9C0C9')"
"('P62987', 'O75581')"
"('A7KAX9', 'Q96KG7')"
"('Q01804', 'Q16653')"
"('Q9BZE9', 'Q00266')"
"('Q92882', 'Q8WVJ2')"
"('Q9Y5Q9', 'P53350')"
"('Q5TEA3', 'P08238')"
