negatives
"('O00444', 'Q9BY89')"
"('Q14534', 'Q15306')"
"('Q9BX95', 'Q8TDD5')"
"('O95433', 'Q13263')"
"('Q00534', 'Q8N5Y2')"
"('Q96EY1', 'P54253')"
"('Q13596', 'Q96S94')"
"('Q8WYK2', 'P17535')"
"('Q9NQ29', 'P61289')"
"('O60684', 'Q13568')"
"('O43159', 'Q13418')"
"('Q9HC24', 'Q9UH99')"
"('Q9H0T7', 'P26374')"
"('P62873', 'Q6ZU80')"
"('Q9BQ52', 'P39748')"
"('Q8WVJ2', 'P20962')"
"('O15442', 'Q8TEY7')"
"('Q5S007', 'O14641')"
"('P62937', 'O75367')"
"('O60907', 'Q07666')"
"('P21675', 'P04637')"
"('P05161', 'Q99538')"
"('Q9Y2G5', 'Q8IWL3')"
"('Q14839', 'Q9ULU4')"
"('Q9BRX5', 'Q7L590')"
"('P63104', 'Q01105')"
"('Q6MZM0', 'Q9UEU0')"
"('Q8N5M9', 'Q9BVX2')"
"('Q13671', 'Q9BWT7')"
"('P10071', 'Q15648')"
"('P08047', 'P33076')"
"('P22607', 'P62917')"
"('Q13618', 'P04264')"
"('Q8TA86', 'Q6ZUT1')"
"('Q96TA2', 'P24539')"
"('P06396', 'P42336')"
"('P27348', 'P62314')"
"('P35613', 'P15336')"
"('Q15796', 'Q8NF50')"
"('P09493', 'A7E2Y1')"
"('A6NEM1', 'Q96MX3')"
"('Q9Y5Q8', 'P42345')"
"('P13236', 'O00590')"
"('Q5VT25', 'Q92614')"
"('P10276', 'P63165')"
"('P13612', 'P36776')"
"('P21731', 'Q00722')"
"('Q9Y250', 'Q8IYI6')"
"('P31749', 'P10398')"
"('P19013', 'P46108')"
"('P49736', 'P62736')"
"('Q99523', 'Q6PCT2')"
"('P68366', 'Q9BVA1')"
"('Q86VP6', 'Q9H0W5')"
"('P21796', 'Q9UNL2')"
"('O60229', 'P19021')"
"('P00533', 'P42684')"
"('P60520', 'Q07020')"
"('P01106', 'Q9ULE6')"
"('Q10471', 'Q00765')"
"('Q96K76', 'Q86XE5')"
"('P32969', 'Q99459')"
"('O76071', 'Q8WUA2')"
"('Q99879', 'P05067')"
"('P49918', 'P24941')"
"('Q9UDY4', 'P05412')"
"('Q05048', 'P04798')"
"('Q15906', 'Q01844')"
"('P15153', 'Q9P0K1')"
"('P22736', 'O60806')"
"('Q99750', 'Q92608')"
"('P49286', 'P31946')"
"('P19784', 'O75071')"
"('Q9Y210', 'Q14643')"
"('O15259', 'Q8IZ21')"
"('P0DML3', 'Q01113')"
"('Q8IV01', 'P06733')"
"('P67870', 'Q14872')"
"('P07814', 'Q14999')"
"('Q14197', 'P05166')"
"('Q08174', 'Q96RU8')"
"('P98095', 'Q9H2F3')"
"('Q08379', 'Q5TAP6')"
"('Q00987', 'P63279')"
"('P01579', 'P14784')"
"('P62081', 'Q13148')"
"('O00482', 'Q15466')"
"('O95793', 'Q9BQ39')"
"('Q92913', 'P49768')"
"('Q8IWE2', 'Q8TB36')"
"('Q13007', 'Q9HBE5')"
"('Q9Y463', 'P12755')"
"('P61962', 'Q7Z628')"
"('Q96AY2', 'O95714')"
"('O43543', 'O43502')"
"('Q9BQ95', 'Q9Y6Q5')"
"('P01889', 'O43242')"
"('Q02556', 'P29459')"
"('Q96HT8', 'Q8TAU3')"
