#tail	head	num_paths
P46531	Q06413	3
Q06413	P50553	2
P46531	Q86Y01	1
P46531	P31749	3
P31749	Q09472	1
P46531	Q13547	1
P46531	Q9UKS7	2
Q9UKS7	Q92769	1
P46531	Q14469	5
P46531	Q5TA89	3
Q14469	Q96HZ4	1
Q14469	Q9UBP5	1
P46531	Q9UJU2	3
P46531	Q92585	1
P46531	Q96JK9	1
P31749	O75376	1
P31749	Q9Y618	1
P46531	P19838	2
P46531	Q06330	1
P46531	Q06587	3
P46531	P51610	1
P51610	O75446	1
Q9UKS7	Q96ST3	1
P46531	Q15797	2
P46531	P84022	2
P46531	Q13573	2
P46531	Q9ULK4	1
Q9ULK4	Q96T58	1
P46531	Q96JC1	1
Q96JC1	P40763	1
P46531	Q9Y224	1
Q9Y224	P15923	1
P46531	P25490	3
Q04721	Q06413	3
Q04721	Q86Y01	1
Q06413	Q09472	1
Q04721	Q96T58	5
Q96T58	Q13547	1
Q96T58	Q92769	1
Q04721	P46531	8
Q04721	Q9UHF1	1
Q9UHF1	Q96GM5	3
Q96GM5	Q96HZ4	3
Q04721	Q96ST3	3
Q96ST3	Q9UBP5	1
Q04721	Q92585	1
Q04721	Q96JK9	1
Q96T58	O75376	1
Q96T58	Q9Y618	1
Q04721	Q06330	1
Q96ST3	O75446	1
Q04721	Q15797	2
Q15797	P40763	1
Q04721	Q9H6Z9	1
Q9H6Z9	P15923	1
Q9UM47	Q04206	8
Q04206	P15884	1
P15884	P50553	1
Q9UM47	Q86Y01	1
Q9UM47	P78545	1
P78545	Q09472	1
Q04206	Q13547	2
Q04206	Q92769	1
Q9UM47	P46531	7
Q9UM47	Q9UHF1	1
Q13547	Q9UBP5	1
Q9UM47	Q92585	1
Q9UM47	Q96JK9	1
Q04206	O75376	1
Q04206	Q9Y618	1
Q9UM47	P19838	1
Q9UM47	Q06330	1
Q9UM47	P01106	2
P01106	O75446	1
Q9UM47	P04629	1
P04629	Q96ST3	1
Q04206	P84022	1
Q9UM47	Q13573	1
Q9UM47	P16333	1
P16333	Q96T58	1
Q04206	P40763	1
P01106	P15923	1
Q99466	Q86Y01	4
Q86Y01	Q09472	3
Q09472	P50553	1
Q99466	Q15796	7
Q15796	Q13547	1
Q15796	Q92769	1
Q99466	Q06330	4
Q06330	Q14469	1
Q06330	Q5TA89	1
Q99466	Q9UHF1	1
Q99466	Q8N9I9	1
Q8N9I9	Q9BUZ4	1
Q9BUZ4	Q9UBP5	1
Q15796	Q9UJU2	1
Q99466	Q92585	1
Q99466	Q96JK9	1
Q15796	Q06413	1
Q99466	P04637	3
P04637	O75376	1
P04637	Q9Y618	1
Q99466	Q13485	1
Q13485	P19838	1
P04637	Q06587	1
Q99466	Q15369	1
Q15369	Q03164	1
Q03164	O75446	1
Q99466	Q969H0	2
Q969H0	Q96ST3	1
Q15796	Q15797	1
Q99466	P84022	1
Q15796	Q13573	1
Q06330	Q96T58	1
Q969H0	P40763	1
Q09472	P15923	1
Q15796	P25490	1
