recall,precision
0.7083333333333334,0.10429447852760736
0.75,0.10843373493975904
0.7916666666666666,0.11176470588235295
0.6666666666666666,0.11267605633802817
0.5416666666666666,0.1326530612244898
0.625,0.13761467889908258
0.5833333333333334,0.14
0.5,0.16216216216216217
0.4583333333333333,0.2619047619047619
0.375,0.6428571428571429
0.4166666666666667,0.6666666666666666
0.2916666666666667,0.7
0.3333333333333333,0.7272727272727273
0.20833333333333334,0.8333333333333334
0.25,0.8571428571428571
0.041666666666666664,1.0
0.08333333333333333,1.0
0.125,1.0
0.16666666666666666,1.0
