negatives
"('P17947', 'P04150')"
"('Q9NWU5', 'Q14197')"
"('Q8IZD2', 'O00311')"
"('P52848', 'Q24JP5')"
"('Q9H1B7', 'P46459')"
"('Q9NPI6', 'P04629')"
"('Q9Y333', 'P22392')"
"('Q9H799', 'Q9UGJ1')"
"('Q92730', 'O75051')"
"('Q3LI66', 'Q8WW24')"
"('Q9NPJ6', 'P49336')"
"('P26368', 'Q99459')"
"('Q96SL8', 'P54845')"
"('Q9Y6Y0', 'Q9P1U0')"
"('Q9P1A6', 'O95433')"
"('Q00987', 'P78347')"
"('P35226', 'Q8N1G0')"
"('P38117', 'P04629')"
"('Q9H0R8', 'Q86UA1')"
"('Q13387', 'Q5S007')"
"('Q9NVU7', 'Q9UKD2')"
"('O60216', 'Q8IYB3')"
"('O60262', 'Q15147')"
"('Q9NPB6', 'Q12799')"
"('Q92769', 'Q71UI9')"
"('P55160', 'O60861')"
"('P05186', 'Q99558')"
"('Q92793', 'P04637')"
"('O75643', 'P23193')"
"('Q15323', 'Q5T5B0')"
"('P08253', 'Q8NBP7')"
"('P50151', 'Q02156')"
"('Q13573', 'Q9NUU7')"
"('P61254', 'P62899')"
"('Q15397', 'Q9GZR7')"
"('P62136', 'Q5C9Z4')"
"('P18085', 'P00338')"
"('P09874', 'Q96T60')"
"('Q9UBP5', 'P06733')"
"('Q9UNZ2', 'P60896')"
"('P61224', 'O15211')"
"('O43592', 'P23434')"
"('P61019', 'P05023')"
"('Q9HD33', 'Q9BYD2')"
"('O14633', 'Q9BQ66')"
"('P42224', 'P59826')"
"('P05129', 'P19634')"
"('Q13363', 'Q13627')"
"('Q9BV68', 'Q9Y4K3')"
"('P22694', 'Q8NHC5')"
"('A6NEM1', 'Q9BRR0')"
"('Q9Y5B8', 'Q2NL68')"
"('Q6P1J9', 'P13639')"
"('P60866', 'P62851')"
"('P15976', 'A0JLT2')"
"('Q9Y383', 'P31947')"
"('Q15648', 'P41235')"
"('P63220', 'P62263')"
"('P07686', 'P61221')"
"('Q15014', 'P50222')"
"('Q08881', 'P51813')"
"('O00401', 'Q9BPX5')"
"('Q9Y241', 'Q5VYK3')"
"('P03372', 'P04844')"
"('Q99496', 'Q8N726')"
"('P18146', 'Q92839')"
"('Q8N5S1', 'Q15833')"
"('Q92563', 'Q9ULL4')"
"('P06744', 'P14550')"
"('Q6W2J9', 'P46527')"
"('Q9UBS4', 'O15371')"
"('P68431', 'Q9UQ35')"
"('Q9BTC8', 'P09874')"
"('Q53G59', 'O95050')"
"('P13639', 'P40692')"
"('Q9UNM6', 'Q9NWT6')"
"('Q07889', 'Q9UKW4')"
"('P25786', 'P62333')"
"('P49903', 'P61201')"
"('P02786', 'Q6IQ23')"
"('Q8NAP3', 'Q96JN2')"
"('O00592', 'P62805')"
"('O95104', 'P27694')"
"('Q8NHW5', 'O60832')"
"('P35212', 'P35372')"
"('P49674', 'O15078')"
"('P07550', 'P35908')"
"('Q96IX9', 'P60409')"
"('P62837', 'Q2M2I8')"
"('Q96GG9', 'P38646')"
"('Q9Y5V3', 'Q8TEP8')"
"('P25788', 'P07237')"
"('Q9Y4H4', 'P08754')"
"('Q9BZE9', 'Q9BZV1')"
"('P63313', 'P78362')"
"('Q9NWS0', 'Q86YD7')"
"('Q96QR8', 'Q99496')"
"('Q9BX95', 'Q5T3F8')"
"('Q9Y285', 'Q8NFA0')"
"('Q96EQ0', 'Q9BVT8')"
"('P28072', 'P33176')"
"('Q9H040', 'P42166')"
"('O95758', 'Q8NDN9')"
"('P11441', 'P60468')"
"('P18031', 'Q6W2J9')"
"('Q15672', 'P01033')"
"('P04049', 'P11021')"
"('P49407', 'O95371')"
"('P35232', 'P21796')"
"('P18887', 'Q9UBT6')"
"('Q9BZE0', 'P26368')"
"('P09619', 'P35568')"
"('Q9UL03', 'Q9ULU4')"
"('Q9UQL6', 'Q02078')"
"('Q9UJF2', 'Q9NRR6')"
"('Q99853', 'Q12769')"
"('O43930', 'P04406')"
"('Q13464', 'Q13203')"
"('P05161', 'P35222')"
"('Q8N109', 'P43631')"
"('O95785', 'Q00987')"
"('Q96PM5', 'P62158')"
"('P62910', 'P62913')"
"('Q96RT7', 'Q6PEY2')"
"('Q9Y294', 'P20248')"
"('Q01196', 'Q92793')"
"('Q13315', 'Q9UKY1')"
