negatives
"('Q12933', 'Q14397')"
"('Q9Y6J9', 'Q16594')"
"('O14610', 'P11229')"
"('P63261', 'Q16827')"
"('P41182', 'P56524')"
"('Q96B33', 'P56880')"
"('Q9Y5B9', 'Q96QV6')"
"('Q9P2D1', 'Q92925')"
"('Q01094', 'Q96GD4')"
"('P62877', 'Q9UK22')"
"('P61077', 'Q13064')"
"('P27540', 'P05121')"
"('Q01844', 'Q6PJW8')"
"('P26373', 'P62888')"
"('P36873', 'P62955')"
"('P14373', 'Q9UL03')"
"('P06241', 'O60244')"
"('P51884', 'P48023')"
"('P61160', 'P59998')"
"('Q92994', 'Q9Y5Q9')"
"('Q01130', 'Q05519')"
"('Q9UPY3', 'O75569')"
"('P63096', 'Q8WZA2')"
"('P05388', 'P47914')"
"('P27482', 'Q13555')"
"('Q9ULV5', 'P18146')"
"('P22301', 'P40189')"
"('442900', 'Q99835')"
"('P16870', 'Q5T3J3')"
"('O14640', 'Q9H2H0')"
"('O75832', 'Q13200')"
"('O15198', 'Q9NRR5')"
"('P51617', 'Q13526')"
"('Q06710', 'Q92911')"
"('Q8IYB3', 'P26368')"
"('Q14416', 'P04899')"
"('P42766', 'P50914')"
"('O95343', 'P04628')"
"('P18621', 'P61254')"
"('P58753', 'Q15109')"
"('O95751', 'P48552')"
"('Q92901', 'Q9UNX3')"
"('Q04759', 'Q5SW24')"
"('P47914', 'Q92901')"
"('Q86WV6', 'Q96KA5')"
"('P56385', 'O75947')"
"('Q96HA1', 'P41227')"
"('Q15475', 'Q99502')"
"('P62750', 'P05386')"
"('P29353', 'Q04695')"
"('P17252', 'P19634')"
"('Q9NRG4', 'Q9NZI8')"
"('P21281', 'P04062')"
"('Q09472', 'Q13569')"
"('Q96B97', 'Q15303')"
"('Q9P283', 'Q9H9J2')"
"('P42702', 'O00459')"
"('Q9HAV0', 'P43657')"
"('Q8WVB6', 'Q9NRF9')"
"('P49407', 'P21333')"
"('P62917', 'P39023')"
"('P47897', 'P04424')"
"('Q9BZ95', 'Q13185')"
"('P22090', 'P35544')"
"('P52757', 'P60763')"
"('Q15303', 'O75376')"
"('Q9H2X0', 'Q7Z4P5')"
"('O00429', 'Q96C03')"
"('Q8IU54', 'Q9HC73')"
"('P05386', 'P05387')"
"('P33991', 'Q6IE81')"
"('P0CAP1', 'P62424')"
"('Q13625', 'Q04206')"
"('P07947', 'Q13177')"
"('Q15287', 'O95411')"
"('P05015', 'P26992')"
"('Q3SY52', 'P61978')"
"('Q96AX1', 'Q7L1V2')"
"('P56693', 'P60201')"
"('O95429', 'P08107')"
"('Q16644', 'Q16082')"
"('Q6FHJ7', 'P56706')"
"('P50148', 'Q9UNX9')"
"('P43405', 'P24394')"
"('Q13315', 'P78527')"
"('P46379', 'P20366')"
"('O95813', 'Q9H1J5')"
"('Q00987', 'P08581')"
"('P01011', 'P08311')"
"('P62191', 'P43686')"
"('P50148', 'P01116')"
"('Q16543', 'Q9H6X5')"
"('P41182', 'Q9ULV5')"
"('O43915', 'P08581')"
"('P38936', 'Q5SZQ8')"
"('O15525', 'Q9Y3C7')"
"('P48507', 'P05412')"
"('Q7Z2G1', 'Q969S8')"
"('Q13094', 'Q08881')"
"('O75530', 'Q9NY59')"
"('P46527', 'P12931')"
"('A0JLT2', 'O15514')"
"('P27348', 'Q02241')"
"('P14373', 'P43364')"
"('Q00169', 'Q15014')"
"('Q01658', 'P78537')"
"('P32121', 'Q8NGF1')"
"('Q13557', 'P41594')"
"('P41145', 'Q96AW1')"
"('Q14566', 'P18146')"
"('Q92597', 'Q9Y230')"
"('P01116', 'P27361')"
"('Q14558', 'O75365')"
"('P10398', 'Q96KB5')"
"('P22694', 'Q16558')"
"('P12109', 'P16144')"
"('P12004', 'Q9NR33')"
"('Q9UHD0', 'Q9HBE5')"
"('P40939', 'Q00653')"
"('O15460', 'P48634')"
"('Q9Y4A5', 'Q9NPF5')"
"('P04083', 'P62714')"
"('Q15369', 'Q9Y575')"
"('Q99683', 'Q8TEQ6')"
"('Q9UJX3', 'Q9NYG5')"
"('Q9H1Y0', 'P09936')"
"('P35609', 'P68032')"
"('Q13424', 'Q16581')"
"('P62070', 'Q8WYR1')"
"('Q8TBB1', 'Q96M61')"
"('Q16531', 'O75529')"
"('Q92731', 'P0CG48')"
"('O00463', 'Q9NP84')"
"('Q8IY92', 'Q9GZZ9')"
"('P11279', 'Q92542')"
"('P35609', 'P13612')"
"('Q07955', 'P09651')"
"('Q07011', 'Q9BUZ4')"
"('120329', 'P55210')"
"('P63010', 'Q9H0H5')"
"('Q15797', 'O94973')"
"('P05019', 'P17948')"
"('P51817', 'P19838')"
"('Q99459', 'P46940')"
"('Q8TEP8', 'Q969T4')"
"('P08238', 'Q16543')"
"('P01243', 'Q9UM73')"
"('Q9HBE1', 'Q401N2')"
"('Q9Y6Q9', 'P42226')"
"('O75365', 'O43156')"
"('Q66K89', 'Q13315')"
"('Q8TF72', 'Q13573')"
"('Q9UHI6', 'P48634')"
"('P32004', 'P04156')"
"('Q15714', 'Q9NVI1')"
"('Q08945', 'O75367')"
"('P48454', 'Q13042')"
"('O75691', 'Q9Y6K9')"
"('Q9C0E2', 'Q9HAW0')"
"('P08567', 'P12814')"
"('P25800', 'Q13424')"
"('O15085', 'O14964')"
"('P98175', 'P62854')"
"('O15551', 'Q9Y5I7')"
"('O00206', 'P27361')"
"('Q10586', 'P38398')"
"('Q9UJY5', 'Q9Y3C5')"
"('P49642', 'P09884')"
"('Q9H857', 'Q99816')"
"('P32121', 'Q8NGX6')"
"('P62633', 'P62249')"
"('P31942', 'Q14194')"
"('Q8WZ42', 'P21796')"
"('O14569', 'Q13432')"
"('Q8NI29', 'Q13616')"
"('P12110', 'P16070')"
"('P21980', 'P61586')"
"('P60709', 'O14920')"
"('P18206', 'Q99584')"
"('Q9H0H5', 'P61587')"
"('A6NMY6', 'P16104')"
"('Q8N8V2', 'Q9Y2M5')"
"('P60866', 'P62241')"
"('O75554', 'O60610')"
"('P14770', 'O00329')"
"('Q92597', 'P04271')"
"('Q13541', 'P06730')"
"('Q9Y6K9', 'P36873')"
"('P35443', 'O75578')"
"('P24752', 'P04222')"
"('Q8NCM8', 'P68366')"
"('P48023', 'P12931')"
"('Q9UJX4', 'O95067')"
"('Q96NT0', 'P04183')"
"('Q9P2F6', 'P61587')"
"('P17676', 'P58166')"
"('Q562F6', 'P62136')"
"('Q9NYY1', 'Q99650')"
"('Q9H1Y0', 'O00264')"
"('P19838', 'P15924')"
"('O15381', 'Q9NPF4')"
"('Q15027', 'Q9UBP9')"
"('Q6NUK4', 'P31947')"
"('P84022', 'O00238')"
"('P30084', 'Q9UKE5')"
"('P21246', 'Q16363')"
"('P38398', 'Q5VTD9')"
"('P81877', 'Q01844')"
"('Q9NY65', 'P51149')"
"('P0CG48', 'P12004')"
"('P14859', 'P07948')"
"('Q99750', 'P17482')"
"('P14316', 'Q00987')"
"('P07900', 'Q8TDR0')"
"('P24723', 'P61586')"
"('Q00610', 'P30504')"
"('P49459', 'P12004')"
"('P54619', 'P54646')"
"('Q9H1Y0', 'P51149')"
"('P04626', 'Q92569')"
"('P54253', 'O75376')"
"('O75446', 'Q16576')"
"('P28482', 'P04637')"
"('Q9BXN2', 'P43405')"
"('O14508', 'O14654')"
"('Q13322', 'Q8NC60')"
"('P61019', 'P41220')"
"('Q15788', 'Q14994')"
"('P05412', 'Q96EB6')"
"('Q9NYQ7', 'Q5T8A7')"
"('P14625', 'P38646')"
"('Q05513', 'Q16236')"
"('P62258', 'P31689')"
"('P62979', 'Q9UNE7')"
"('O15355', 'Q8IY92')"
"('Q9UN19', 'P19174')"
"('Q00597', 'Q9H5J4')"
"('Q68CP9', 'P51532')"
"('P05452', 'P05783')"
"('P48507', 'Q92956')"
"('P84022', 'P29350')"
"('P62993', 'Q9Y5X2')"
"('O15379', 'P48643')"
"('P46100', 'P29074')"
"('O43157', 'O14807')"
"('P17181', 'Q12933')"
"('Q16829', 'P53779')"
"('P50991', 'Q13233')"
"('P28566', 'P16520')"
"('P40225', 'P48551')"
"('O00141', 'Q8TEX9')"
"('Q8IU54', 'Q01344')"
"('O43261', 'P25786')"
"('P16220', 'Q9UPW6')"
"('Q86V81', 'P35637')"
"('P62888', 'P62945')"
"('P78545', 'Q14697')"
"('Q13464', 'O60237')"
"('P17252', 'P22694')"
"('P62987', 'P61513')"
"('P09619', 'P35568')"
"('P35609', 'O75396')"
"('P17844', 'P40763')"
"('P29972', 'Q15654')"
"('Q00839', 'P67809')"
"('Q10570', 'Q05048')"
"('Q9Y3M8', 'P52198')"
"('P46459', 'O43752')"
"('Q9Y6K9', 'Q58FF8')"
"('P67870', 'Q494V2')"
"('Q92730', 'Q9NZN5')"
"('Q13131', 'O00763')"
"('P00966', 'Q9H8T0')"
"('Q9UBB4', 'Q92956')"
"('P84022', 'P0CG48')"
"('P84095', 'P52565')"
"('P39023', 'Q9NX58')"
"('P48551', 'P01571')"
"('Q8TBE0', 'Q92997')"
"('Q14209', 'Q99741')"
"('P58753', 'Q9Y3B3')"
"('Q92574', 'P02794')"
"('Q9Y241', 'P01106')"
"('O00471', 'Q13573')"
"('Q9H204', 'P06239')"
"('P04637', 'Q5VTR2')"
"('Q96R06', 'P54259')"
"('P61019', 'P14672')"
"('P98095', 'P51888')"
"('Q9UJX6', 'Q9NYG5')"
"('Q13191', 'P20138')"
"('P05386', 'P47914')"
"('Q9NRC1', 'O95295')"
"('Q14181', 'Q9Y6H6')"
"('P51532', 'P15036')"
"('P30480', 'Q9UL25')"
"('Q16778', 'Q9UQL6')"
"('Q15075', 'O75674')"
"('Q14103', 'P61026')"
"('P62906', 'P49207')"
"('P46100', 'P63165')"
"('O95644', 'Q05215')"
"('Q15287', 'P55795')"
"('P21673', 'P04637')"
"('P56182', 'P68104')"
"('P51817', 'P60510')"
"('Q05639', 'P62258')"
"('Q15326', 'Q12933')"
"('P62753', 'P63220')"
"('P18074', 'P32780')"
"('P58876', 'P78545')"
"('O14508', 'P35568')"
"('P78545', 'O60858')"
"('O43707', 'P26012')"
"('Q13077', 'P07437')"
"('O15230', 'P53708')"
"('Q96SB3', 'P62993')"
"('Q96JB5', 'O14757')"
"('P32881', 'P19235')"
"('O14543', 'Q9Y4H2')"
"('Q9UBV8', 'Q13137')"
"('P12830', 'P10586')"
"('P61956', 'Q9P2R6')"
"('P63098', 'Q9NYG5')"
"('Q9BVC4', 'Q8N122')"
"('Q92830', 'P10827')"
"('P21462', 'P04083')"
"('Q9NQ92', 'O14744')"
"('Q9BY41', 'Q7Z2G1')"
"('O77932', 'Q9NPD3')"
"('O00231', 'Q9Y3C7')"
"('Q04206', 'O15519')"
"('P01876', 'Q969Y2')"
"('O15162', 'O76003')"
"('Q96RN5', 'A0JLT2')"
"('P12830', 'P21980')"
"('Q9UBI6', 'P42336')"
"('P23528', 'Q15007')"
"('Q8N7W2', 'Q9GZT8')"
"('Q9Y286', 'O14543')"
"('P25788', 'P01243')"
"('P51878', 'P01584')"
"('O94874', 'Q9Y2Q3')"
"('Q16537', 'P19429')"
"('O75554', 'Q00839')"
"('Q3ZCM7', 'Q71U36')"
"('P38432', 'Q9Y4C2')"
"('P16220', 'Q14050')"
"('O75056', 'Q13885')"
"('P30480', 'P58546')"
"('P04626', 'Q02750')"
"('Q16236', 'Q04828')"
"('O75376', 'P13631')"
"('Q07352', 'Q16539')"
"('O00154', 'P54253')"
"('Q9UJZ1', 'Q9UKV8')"
"('O43524', 'Q15796')"
"('Q9HAW0', 'Q29RF7')"
"('P04637', 'Q14151')"
"('Q9UPY3', 'Q9UL18')"
"('Q16288', 'P12980')"
"('Q09472', 'P04406')"
"('P18846', 'P35680')"
"('P51452', 'P53779')"
"('Q8NC60', 'Q13322')"
"('P12235', 'Q9Y277')"
"('Q99963', 'Q9H3E2')"
"('O43633', 'O75351')"
"('Q86VK4', '145781')"
"('P22392', 'P31939')"
"('P55075', 'P21802')"
"('Q16891', 'Q5T3J3')"
"('P12814', 'P05556')"
"('Q9ULC4', 'P40337')"
"('Q15233', 'P49917')"
"('Q5UIP0', 'Q9NX09')"
"('Q16620', 'P29353')"
"('Q07812', 'Q9BXH1')"
"('Q12962', 'O15265')"
"('Q13424', 'Q9Y4J8')"
"('Q8NF50', 'P08134')"
"('Q92621', 'Q9Y5J5')"
"('P08107', 'P46379')"
"('P14373', 'Q9Y6B2')"
"('P01876', 'Q8ND90')"
"('P36873', 'Q96C90')"
"('P15880', 'P62266')"
"('Q9BUJ2', 'O94817')"
"('P29371', 'P29992')"
"('P12883', 'Q9NRI5')"
"('O60603', 'P04637')"
"('P32780', 'Q13216')"
"('O95433', 'P17844')"
"('O15379', 'Q16777')"
"('Q99728', 'Q92993')"
"('Q13620', 'Q15291')"
"('P50570', 'P29597')"
"('P30281', 'P21127')"
"('P14316', 'P21359')"
"('Q9UNA1', 'P60953')"
"('P42566', 'Q9UMX0')"
"('Q9BX84', 'Q7Z406')"
"('Q6ZT07', 'Q92560')"
"('P30101', 'P01891')"
"('P47710', 'Q9H0E2')"
"('O15085', 'P46108')"
"('P18564', 'Q08043')"
"('P43364', 'Q9BSJ1')"
"('A6NHL2', 'P17302')"
"('P32302', 'P19793')"
"('O43639', 'Q9NQU5')"
"('P51787', 'P62993')"
"('Q15628', 'P01375')"
"('Q9H8V3', 'P16333')"
"('Q16637', 'P14618')"
"('P12931', 'Q14118')"
"('Q9BWD1', 'Q9UKE5')"
"('P06746', 'Q96FI4')"
"('P67809', 'P14866')"
"('Q9NRA1', 'P16234')"
"('Q92769', 'P04908')"
"('O43251', 'P54253')"
"('Q96AW1', 'Q9H7E9')"
"('P24864', 'Q13526')"
"('Q96S21', 'Q93034')"
"('P27348', 'O14746')"
"('P27824', 'P04844')"
"('Q04637', 'Q12933')"
"('P18031', 'O14654')"
"('Q8N257', 'Q7L7L0')"
"('P10451', 'P18564')"
"('Q92913', 'P05452')"
"('Q13247', 'Q07021')"
"('P12814', 'Q96HC4')"
"('P25963', 'P23396')"
"('P07437', 'O14920')"
"('Q14781', 'P78364')"
"('Q92747', 'Q9BPX5')"
"('P35968', 'Q05397')"
"('Q16827', 'O15530')"
"('P54920', 'O95249')"
"('Q9UBD3', 'P41597')"
"('P11171', 'Q9UDY2')"
"('406981', 'P54253')"
"('P47897', 'Q9Y6H6')"
"('P53778', 'P05412')"
"('P63211', 'Q9H1C0')"
"('P31947', 'Q9Y4H2')"
"('P26640', 'P68104')"
"('Q7Z7M8', 'Q92796')"
"('P01303', 'P20340')"
"('Q9NZS9', 'P03372')"
"('P08246', 'Q13231')"
"('P62241', 'P67870')"
"('P63261', 'Q9HBI0')"
"('P01242', 'Q9HBE5')"
"('Q13753', 'P08514')"
"('P21359', 'P01111')"
"('P02462', 'P26010')"
"('O43143', 'P19387')"
"('Q8WUA4', 'Q9Y5Q9')"
"('Q9UGJ1', 'Q8N5Z5')"
"('Q9UHD2', 'P78371')"
"('Q8IWX8', 'Q99459')"
"('P51681', 'P02766')"
"('P61927', 'P62888')"
"('O75147', 'P02768')"
"('O75674', 'P49448')"
"('Q15560', 'P27448')"
"('Q13315', 'Q71F56')"
"('O75081', 'O43439')"
"('P29400', 'Q16637')"
"('Q8TAM1', 'Q92765')"
"('Q14161', 'Q12774')"
"('Q9NS00', 'P18146')"
"('O95500', 'P56880')"
"('Q92796', 'P62807')"
"('P49336', 'Q9BTT4')"
"('Q9H063', 'P33240')"
"('Q13315', 'Q86T24')"
"('Q96ID5', 'P01116')"
"('P61421', 'P63104')"
"('Q9HBI1', 'P60709')"
"('Q9BXS5', 'O75379')"
"('P20333', 'P17066')"
"('P41743', 'Q96L34')"
"('Q15459', 'Q9BXW4')"
"('P35557', 'Q13233')"
"('Q04917', 'P30304')"
"('Q9UKR5', 'P49841')"
"('Q04206', 'Q13748')"
"('O15239', 'O43676')"
"('P25189', 'O95297')"
"('O15198', 'Q969K4')"
"('Q8NEM7', 'Q16514')"
"('P32519', 'Q04864')"
"('P01106', 'P42566')"
"('Q01105', 'Q9Y6K9')"
"('Q9UK45', 'Q9Y4Z0')"
"('Q9Y4A5', 'Q99459')"
"('P08648', 'P50552')"
"('O95136', 'P04899')"
"('P35609', 'Q13627')"
"('P61586', 'P10916')"
"('Q8IVF5', 'P15153')"
"('P62280', 'Q9Y230')"
"('P62277', 'P62266')"
"('Q9UJX4', 'Q9NYG5')"
"('P32121', 'Q8NGG2')"
"('Q03135', 'P18564')"
"('P56645', 'P24530')"
"('P51665', 'Q5VTR2')"
"('O95059', 'P01023')"
"('P08047', 'Q15545')"
"('Q9NWB1', 'Q9BRK4')"
"('O43924', 'P54725')"
"('P39023', 'P62917')"
"('Q9BTM1', 'Q99880')"
"('Q7L8L6', 'Q9H1C4')"
"('P06753', 'Q9Y572')"
"('Q9BTP7', 'Q00597')"
"('P16473', 'O95467')"
"('Q9P2B4', 'Q9Y3A3')"
"('P09651', 'Q8IYB3')"
"('P21333', 'P18564')"
"('Q07020', 'P50914')"
"('Q71UI9', 'Q8IYW5')"
"('O75928', 'Q13426')"
"('Q71UM5', 'Q9Y6K9')"
"('Q07889', 'Q96B97')"
"('Q15418', 'Q9H814')"
"('Q8TBB1', 'Q9UJ70')"
"('P02545', 'Q9NRM7')"
"('P14780', 'Q12873')"
"('O15379', 'P16104')"
"('P23396', 'P25963')"
"('P12956', 'P13010')"
"('P30480', 'P55786')"
"('Q13315', 'Q9UJZ1')"
"('Q01844', 'O00308')"
"('Q13627', 'P62258')"
"('Q13315', 'Q6IBW4')"
"('Q13310', 'P50616')"
"('P31314', 'Q16619')"
"('P23443', 'P60953')"
"('P14316', 'Q92831')"
"('O75618', 'Q13158')"
"('Q9UBK5', 'P62993')"
"('O95299', 'O43678')"
"('Q9NRI5', 'P23258')"
"('Q9NYB9', 'P19012')"
"('Q8WVD3', 'P62837')"
"('Q9NQS3', 'Q15223')"
"('P19875', 'P46094')"
"('P14635', 'P62805')"
"('Q9H7D0', 'P08134')"
"('P68104', 'P04278')"
"('Q9BYG4', 'P33151')"
"('Q02790', 'Q15306')"
"('P43405', 'O00241')"
"('P62491', 'Q9Y4K3')"
"('Q96EV8', 'Q92994')"
"('O15372', 'O00303')"
"('O75815', 'P11940')"
"('Q96CW1', 'P53675')"
"('343477', 'P30291')"
"('442918', 'O95980')"
"('P19438', 'P55209')"
"('P30304', 'Q00535')"
"('Q96KM6', 'Q9UMN6')"
"('Q9BXH1', 'Q92843')"
"('P54920', 'O14964')"
"('Q00005', 'P51610')"
"('Q5T4F7', 'Q9H1J7')"
"('P14209', 'P62256')"
"('Q8N257', 'P0C5Z0')"
"('O75400', 'Q8N5F7')"
"('Q7Z434', 'Q15366')"
"('Q92620', 'Q8IX12')"
"('Q9NYF0', 'P67870')"
"('P25774', 'P55957')"
"('Q9Y4K3', 'P62837')"
"('Q9BPZ7', 'Q15366')"
"('O15371', 'P41091')"
"('P02768', 'Q9UBS5')"
"('Q8IVF5', 'P16104')"
"('Q08345', 'P30408')"
"('P22695', 'P62330')"
"('P17947', 'O95644')"
"('O75529', 'P68431')"
"('Q99731', 'Q00653')"
"('Q9NPF7', 'P32927')"
"('Q8IWZ8', 'Q01130')"
"('Q13444', 'Q99962')"
"('P35626', 'O95371')"
"('Q9H221', 'Q9H222')"
"('P10275', 'Q01196')"
"('P23634', 'Q15700')"
"('Q99856', 'P63279')"
"('P16403', 'Q9Y6K5')"
"('P06241', 'P43121')"
"('P29350', 'Q9Y6R4')"
"('Q8TB96', 'Q9H9J2')"
"('P01135', 'P09619')"
"('Q14203', 'Q15436')"
"('P49768', 'Q15011')"
"('Q12834', 'O95997')"
"('Q96T51', 'P29320')"
"('O43318', 'O15111')"
"('Q9NRI5', 'Q13813')"
"('P30968', 'P29992')"
"('Q15287', 'O95782')"
"('P16220', 'P46527')"
"('P31749', 'P05556')"
"('Q15637', 'Q15427')"
"('Q0VDD7', 'Q13155')"
"('Q03167', 'P37023')"
"('P12236', 'P21796')"
"('Q9NWQ8', 'P15927')"
"('P62330', 'P52209')"
"('P54619', 'P35558')"
"('Q16659', 'P27708')"
"('P13612', 'P56199')"
"('P10242', 'P01106')"
"('O75438', 'P03886')"
"('Q8NAF0', 'Q5EB52')"
"('P12956', 'P16284')"
"('P20585', 'P12004')"
"('P51817', 'P48549')"
"('Q96KM6', 'P55268')"
"('P04637', 'P63162')"
"('Q92560', 'Q6NYC1')"
"('O14807', 'P27986')"
"('P60568', 'Q01167')"
"('P49720', 'P23508')"
"('P62316', 'P62314')"
"('P11021', 'P16949')"
"('Q00005', 'Q7Z2W4')"
"('P29972', 'Q15834')"
"('O60573', 'P35900')"
"('Q14494', 'P18848')"
"('Q01970', 'O14745')"
"('Q9NRR5', 'Q16630')"
"('P09651', 'Q07666')"
"('Q96JQ0', 'P25942')"
"('Q9H492', 'Q9BPW8')"
"('Q02878', 'P26373')"
"('Q9UHQ7', 'P62899')"
"('Q92905', 'Q12933')"
"('Q09013', 'P04183')"
"('P10636', 'Q13501')"
"('Q9P0U4', 'P61964')"
"('P62807', 'O75367')"
"('Q8TEW0', 'P61962')"
"('Q7L590', 'Q9UBD5')"
"('O75398', 'Q13526')"
"('Q9HAT8', 'P78364')"
"('Q9BXL5', 'P51991')"
"('P01106', 'P56182')"
"('Q75N90', 'O43809')"
"('Q12929', 'Q07021')"
"('P27986', 'P01588')"
"('Q9UKF6', 'Q6UN15')"
"('Q8HWS3', 'O75909')"
"('Q9UMX0', 'O95967')"
"('Q15796', 'Q9NZJ7')"
"('P35968', 'P48736')"
"('P42226', 'O75159')"
"('Q92851', 'O14920')"
"('O60341', 'O95863')"
"('Q09028', 'Q9BTC8')"
"('P51531', 'P38936')"
"('P62258', 'Q7KZI7')"
"('Q14103', 'P24522')"
"('Q9GZR7', 'Q9NXB0')"
"('P51817', 'Q06710')"
"('O00459', 'P62316')"
"('Q9H0L4', 'Q12996')"
"('P01106', 'Q9UNQ2')"
"('O75182', 'O43463')"
"('P20333', 'P04350')"
"('406891', 'O00206')"
"('P25101', 'P63096')"
"('P05556', 'P09382')"
"('Q9ULK5', 'P41743')"
"('P20671', 'Q9UJW3')"
"('Q8NGG2', 'P38405')"
"('Q15788', 'Q9Y2H0')"
"('P31947', 'P46527')"
"('Q96MA1', 'Q01844')"
"('Q9BTT4', 'Q9ULK4')"
"('P51532', 'P13164')"
"('P41159', 'P20138')"
"('Q9Y4K3', 'P09936')"
"('P01106', 'P62166')"
"('P78344', 'P06730')"
"('P61981', 'P55060')"
"('Q9NRI5', 'Q07343')"
"('Q9BZL6', 'P26045')"
"('O75578', 'P17301')"
"('P48382', 'O14593')"
"('O94913', 'P33240')"
"('Q8WXH5', 'Q01113')"
"('A8MT69', 'Q9HB96')"
"('Q9BW27', 'Q99567')"
"('P61006', 'P46379')"
"('P62993', 'Q07020')"
"('P14778', 'P27986')"
"('P39019', 'Q14164')"
"('P15172', 'Q13547')"
"('Q9Y5S2', 'P81605')"
"('Q05397', 'O14640')"
"('Q15399', 'P10809')"
"('P35244', 'Q86WJ1')"
"('P16234', 'Q01970')"
"('P30153', 'Q9UBS0')"
"('Q96AG4', 'Q9UL18')"
"('Q9H4B7', 'Q96NA2')"
"('Q16778', 'Q93077')"
"('O43390', 'O95433')"
"('Q14157', 'Q6ZVL6')"
"('P63261', 'Q01201')"
"('Q8IZI9', 'P16471')"
"('Q13526', 'P40424')"
"('P34741', 'O75056')"
"('O14678', 'Q96BY9')"
"('Q71F56', 'O75448')"
"('P39019', 'P62244')"
"('Q16795', 'O95182')"
"('Q96EZ8', 'Q9C086')"
"('O00206', 'P19838')"
"('Q96SZ6', 'Q9NQT4')"
"('P12931', 'P31273')"
"('Q9HCK5', 'P04908')"
"('Q9H0D6', 'Q13573')"
"('Q86Z02', 'P63279')"
"('P40337', 'Q13404')"
"('Q8TAQ2', 'Q92769')"
"('P30154', 'P54289')"
"('Q99750', 'P84101')"
"('P54253', 'Q8N196')"
"('P49765', 'P22607')"
"('P43405', 'P62330')"
"('Q15257', 'P53355')"
"('Q15942', 'O43707')"
"('Q15303', 'P62987')"
"('P28908', 'Q13077')"
"('P25445', 'P51813')"
"('P53350', 'P61968')"
"('P20700', 'O00442')"
"('P23229', 'Q16787')"
"('P42261', 'O15399')"
"('Q9BUH8', 'O75604')"
"('Q16787', 'P18084')"
"('P07332', 'Q9BPU6')"
"('P05113', 'P16871')"
"('P10114', 'P36897')"
"('O60674', 'P19438')"
"('P01889', 'Q9H0U4')"
"('P61927', 'P18621')"
"('Q9UKN8', 'Q9Y5Q9')"
"('Q12933', 'P60602')"
"('Q9HC10', 'Q92930')"
"('Q99877', 'Q9P0M6')"
"('P32121', 'Q9H344')"
"('Q6UB35', 'Q13418')"
"('O15085', 'Q6AI08')"
"('Q13490', 'O43353')"
"('P01111', 'Q92569')"
"('P20073', 'P32456')"
"('P16333', 'Q9UHD2')"
"('P23229', 'O95631')"
"('O14737', 'P01889')"
"('P0CG48', 'Q8IVH8')"
"('Q13571', 'P46934')"
"('P04080', 'O43597')"
"('P05129', 'P0C869')"
"('P20774', 'P46108')"
"('P19022', 'Q16620')"
"('Q9H173', 'Q15714')"
"('P16150', 'P35222')"
"('O14640', 'Q9NPB6')"
"('O75340', 'P13569')"
"('P41235', 'P02655')"
"('P19525', 'Q15653')"
"('Q9Y250', 'P62875')"
"('O75937', 'Q13151')"
"('P17655', 'Q9HBL0')"
"('P25490', 'P15559')"
"('Q9H0E3', 'Q8NEM7')"
"('Q8N2W9', 'P61956')"
"('O14610', 'O95622')"
"('P62140', 'P42262')"
"('Q14653', 'P29459')"
"('P25067', 'P62805')"
"('Q16594', 'P68104')"
"('P20338', 'P04179')"
"('Q6NV75', 'Q9Y4A5')"
"('P10301', 'Q8WYR1')"
"('O95571', 'Q5UIP0')"
"('P36897', 'P57059')"
"('O75478', 'O75400')"
"('P62308', 'Q8WXD5')"
"('Q07912', 'P46108')"
"('Q86V48', 'P62993')"
"('Q9Y2S0', '100008587')"
"('Q8NGS5', 'P38405')"
"('P09038', 'Q14512')"
"('Q12851', 'P12956')"
"('O95168', 'Q16795')"
"('Q01484', 'P16333')"
"('P51587', 'Q15008')"
"('Q9Y5B9', 'P0C5Z0')"
"('P11274', 'P01106')"
"('P04406', 'Q99759')"
"('P98164', 'O14713')"
"('P56545', 'Q9P287')"
"('P51817', 'Q12791')"
"('Q9UPN9', 'Q06455')"
"('Q9UKW4', 'P08729')"
"('P62942', 'P25490')"
"('Q02539', 'Q86U86')"
"('P54136', 'Q92844')"
"('P23508', 'P42771')"
"('Q99459', 'Q96AX1')"
"('P41222', 'P07384')"
"('Q92747', 'P61160')"
"('Q02556', 'Q8NDB2')"
"('Q09028', 'Q99459')"
"('P13569', 'P11274')"
"('P42704', 'P78396')"
"('P10809', 'Q9UM73')"
"('P02751', 'P07996')"
"('Q99816', 'Q9Y5K6')"
"('Q15645', 'Q5TA45')"
"('Q9H8W4', 'Q9HC44')"
"('Q9HCS7', 'Q9BZE0')"
"('Q16236', 'P10599')"
"('Q96BN8', 'O14641')"
"('O60566', 'Q8NHZ8')"
"('P32248', 'P63096')"
"('Q9H2Y7', 'P63165')"
"('Q53GL0', 'Q93009')"
"('Q9NX02', 'O15111')"
"('P28482', 'P01116')"
"('P60510', 'P62714')"
"('P26641', 'Q8IYL3')"
"('P63211', 'Q08462')"
"('P20809', 'Q99650')"
"('Q04721', 'Q92585')"
"('P67870', 'A4QPB2')"
"('P68104', 'Q9Y6G3')"
"('Q13761', 'P12931')"
"('Q13200', 'O00232')"
"('O95747', 'Q13573')"
"('Q9Y6G9', 'Q96AH8')"
"('P63165', 'Q96ST3')"
"('Q5JWF2', 'O43306')"
"('Q9Y4K3', 'P31949')"
"('P24723', 'P63261')"
