negatives
"('O75365', 'P54709')"
"('Q9UPT9', 'P68431')"
"('P78314', 'P43405')"
"('P43357', 'P42858')"
"('26765', 'P17676')"
"('Q99616', 'Q9NPB9')"
"('Q13526', 'O00267')"
"('P55157', 'Q05193')"
"('P19174', 'P0C869')"
"('O95816', 'Q99759')"
"('O60828', 'O60306')"
"('Q02447', 'P19525')"
"('P46109', 'O15230')"
"('P78406', 'O75694')"
"('Q13573', 'P53618')"
"('P06493', 'Q01538')"
"('A6NM45', 'Q16625')"
"('P61247', 'Q99558')"
"('P11215', 'Q92569')"
"('Q9UL18', 'P27635')"
"('P05000', 'Q99650')"
"('Q96RL1', 'Q9NXR7')"
"('P35251', 'Q9UJX2')"
"('O75665', 'Q96AW1')"
"('P62633', 'Q08211')"
"('P07602', 'P15813')"
"('P62140', 'Q9UQM7')"
"('O75385', 'Q8NEB9')"
"('P16333', 'Q8WV28')"
"('O00141', 'P26196')"
"('Q9UQ90', 'Q5UIP0')"
"('P28340', 'O95067')"
"('P18031', 'P40763')"
"('Q99569', 'P35222')"
"('P12830', 'P35221')"
"('O00459', 'Q9Y243')"
"('O43318', 'P53041')"
"('O15144', 'Q8WYL5')"
"('Q07889', 'P68133')"
"('Q9H469', 'Q96PU5')"
"('Q00653', 'P01570')"
"('Q96CV9', 'Q9H1Y0')"
"('P27930', 'P19838')"
"('Q12873', 'Q92956')"
"('Q8WXX5', 'P68431')"
"('Q9Y295', 'P30480')"
"('P13805', 'Q9UNN5')"
"('P17931', 'P12318')"
"('O95453', 'P24522')"
"('Q92886', 'Q15797')"
"('O60508', 'Q86U42')"
"('P15884', 'Q9UER7')"
"('P10145', 'Q9H9B1')"
"('Q9BPX7', 'Q9NYF0')"
"('O95171', 'P31947')"
"('Q92574', 'P26038')"
"('Q16629', 'P09651')"
"('Q9Y4K3', 'Q8NFM7')"
"('Q9UQF2', 'P98164')"
"('O95786', 'P05161')"
"('Q14790', 'P55212')"
"('O15121', 'P18146')"
"('Q9HAV4', 'P62826')"
"('P52594', 'P42566')"
"('Q13523', 'P61981')"
"('Q09472', 'Q14653')"
"('Q96A33', 'Q6SZW1')"
"('P0C5Z0', 'P62875')"
"('Q13151', 'Q14683')"
"('P27986', 'Q9H8V3')"
"('O15085', 'P06241')"
"('P63173', 'P62906')"
"('O75694', 'Q96EE3')"
"('O00308', 'Q01844')"
"('Q13555', 'O60266')"
"('Q15287', 'Q9Y3F4')"
"('P50151', 'P48736')"
"('Q13546', 'O00463')"
"('O95757', 'Q9Y4K3')"
"('P46782', 'P62753')"
"('P16333', 'O00294')"
"('Q96HA1', 'Q8IYF3')"
"('Q9UMX1', 'Q9NRP7')"
"('P63220', 'P11171')"
"('P50616', 'Q13485')"
"('Q8TD86', 'P01112')"
"('Q8NI35', 'O00501')"
"('Q9NRS6', 'Q9UI14')"
"('P03923', 'O95182')"
"('Q9BV73', 'Q6UVJ0')"
"('P62714', 'P05412')"
"('Q13275', 'P22314')"
"('Q12809', 'O75380')"
"('P40197', 'P42338')"
"('Q9NPP4', 'Q9C000')"
"('Q6UY14', 'O43597')"
"('P78362', 'Q8NAV1')"
"('Q14790', 'Q7L5N1')"
"('Q5JQF8', 'Q58A45')"
"('P30304', 'P50750')"
"('P38936', 'Q7L5D6')"
"('P40337', 'P68036')"
"('Q15022', 'P49716')"
"('Q14005', 'Q8N6Y0')"
"('Q96QD5', 'Q8IY92')"
"('Q93079', 'P62993')"
"('O95630', 'P62993')"
"('P04350', 'Q13409')"
"('Q13535', 'P30622')"
"('Q96PV7', 'P54253')"
"('P09619', 'P27449')"
"('P48634', 'P52272')"
"('Q07157', 'Q2M3G4')"
"('Q9UBU9', 'Q9H1J1')"
"('Q9Y5K5', 'P36897')"
"('P27448', 'P63104')"
"('Q9UKJ0', 'P29350')"
"('Q9Y6K9', 'P26640')"
"('P02647', 'P02747')"
"('P29597', 'P48736')"
"('P62140', 'Q15435')"
"('Q30201', 'P02787')"
"('Q8IZJ0', 'P26951')"
"('Q9UBB4', 'Q9BV47')"
"('P63261', 'Q99962')"
"('P00533', 'Q12913')"
"('P17612', 'P15336')"
"('O43909', 'Q9HAU0')"
"('P08700', 'P51532')"
"('Q14974', 'Q9NRA8')"
"('P35637', 'O15264')"
"('P54257', 'P30519')"
"('Q9BX63', 'P54132')"
"('Q01101', 'Q13509')"
"('P05455', 'Q9Y4K3')"
"('P09693', 'P42336')"
"('O95206', 'Q9NRR5')"
"('Q13642', 'Q14469')"
"('O94916', 'P53794')"
"('P00749', 'Q03405')"
"('P01567', 'P40189')"
"('P62834', 'Q9UI14')"
"('Q7Z408', 'O95433')"
"('Q92731', 'Q92841')"
"('P28300', 'P01243')"
"('P04406', 'P09603')"
"('P63096', 'Q9NPG2')"
"('Q16539', 'Q9P2G9')"
"('P11802', 'Q9Y383')"
"('Q8ND25', 'P61088')"
"('Q8TES7', 'Q9BQY4')"
"('O60925', 'Q9H9A7')"
"('P41240', 'Q6GTX8')"
"('Q8WXI9', 'O95983')"
"('P04792', 'P11413')"
"('Q9NZI8', 'P49841')"
