negatives
"('P07951', 'P23508')"
"('O00571', 'Q9Y4K3')"
"('P52756', 'Q00839')"
"('Q9UBS5', 'P46459')"
"('Q9H9D4', 'Q8NHQ1')"
"('Q99973', 'P17252')"
"('P16333', 'O00294')"
"('Q05209', 'Q05397')"
"('P12931', 'P68133')"
"('P16333', 'P78368')"
"('Q13625', 'P21246')"
"('P43490', 'Q01628')"
"('O60244', 'Q9Y4A5')"
"('Q99459', 'Q9NQW6')"
"('O75643', 'Q13573')"
"('P46934', 'O14964')"
"('P35626', 'P13945')"
"('Q15319', 'Q9UBR4')"
"('P56746', 'O14493')"
"('O60921', 'Q99638')"
"('P16402', 'P49916')"
"('Q9NRR5', 'P12268')"
"('P21854', 'P62993')"
"('O60603', 'Q15654')"
"('Q13009', 'P13569')"
"('Q15459', 'Q13418')"
"('Q14676', 'Q99728')"
"('P49770', 'P20042')"
"('O43586', 'P05408')"
"('Q9H6S1', 'O75113')"
"('P19838', 'Q03181')"
"('Q9Y478', 'O43524')"
"('P47813', 'P55884')"
"('Q9UNM6', 'P40337')"
"('A6NIX2', 'P10276')"
"('P17252', 'P26012')"
"('Q13137', 'Q7Z434')"
"('Q9UHC6', 'Q9ULJ6')"
"('P21579', 'P54284')"
"('Q14596', 'P16885')"
"('Q9BZE1', 'Q16637')"
"('Q92552', 'P82914')"
"('Q13627', 'P31946')"
"('P24941', 'Q15843')"
"('Q12974', 'P49356')"
"('Q9BUF5', 'Q00653')"
"('P51681', 'P62328')"
"('P49407', 'P32246')"
"('Q9ULV1', 'Q9NQ66')"
"('Q04637', 'P52298')"
"('Q8TF01', 'P25054')"
"('P34931', 'P19438')"
"('P49841', 'P35637')"
"('P27986', 'Q96T58')"
"('P19532', 'Q13617')"
"('O94906', 'Q9UQ35')"
"('P25205', 'P30504')"
"('P01100', 'P84022')"
"('P08621', 'Q99873')"
"('Q92692', 'P55196')"
"('P13747', 'P10966')"
"('Q01130', 'P31943')"
"('P32121', 'Q96RA2')"
"('P09874', 'Q99459')"
"('Q15388', 'Q9NS69')"
"('Q92905', 'O95999')"
"('Q96NS5', 'P12931')"
"('Q96RT7', 'Q9H853')"
"('Q16611', 'Q96JQ0')"
"('Q13177', 'P83731')"
"('Q8TBB1', 'Q9UI14')"
"('Q9Y385', 'P38398')"
"('Q13627', 'P61962')"
"('Q12857', 'P14136')"
"('Q14974', 'Q99459')"
"('Q9BUV8', 'Q9H223')"
"('P61006', 'Q96QF0')"
"('P51693', 'Q93074')"
"('Q9UHR5', 'Q9UK32')"
"('O14936', 'Q9P202')"
"('Q9Y3C7', 'P11161')"
"('Q969G3', 'Q86U86')"
"('P56748', 'O95049')"
"('P06400', 'P21980')"
"('Q9BUE0', 'Q9NX70')"
"('Q15427', 'Q9BWJ5')"
"('Q93009', 'Q15011')"
"('P49703', 'P63162')"
"('Q07343', 'P02768')"
"('Q9Y600', 'Q16637')"
"('Q92968', 'P40855')"
"('P56747', 'Q9Y5I7')"
"('Q02156', 'Q9HBA0')"
"('Q13573', 'Q7Z4S6')"
"('Q96B97', 'Q9ULZ2')"
"('A8TX70', 'Q13683')"
"('P23025', 'P43246')"
"('P31785', 'P42229')"
"('Q12988', 'Q96G25')"
"('P06401', 'Q9Y618')"
"('Q9Y5J1', 'Q9Y5Z7')"
"('P00740', 'P00451')"
"('P23258', 'Q9BSJ2')"
"('Q5F1R6', 'P52735')"
"('O14936', 'O43491')"
"('Q5VU43', 'Q16891')"
"('Q9Y297', 'O14965')"
"('P09874', 'P61978')"
"('P06899', 'Q969S8')"
"('P98170', 'P42574')"
"('P99999', 'Q9UKE5')"
"('Q9NS73', 'Q96MT8')"
"('Q9UGJ1', 'Q08379')"
"('Q14542', 'P0CG48')"
"('Q07157', 'Q9H4G0')"
"('O60610', 'O75554')"
"('Q96N67', 'P63000')"
"('P62899', 'P42766')"
"('Q9Y4G6', 'P05106')"
"('Q13478', 'P18146')"
"('Q9P2K6', 'Q96D15')"
"('Q9UGJ0', 'P13569')"
"('Q08945', 'Q16778')"
"('P26951', 'O00329')"
"('P63165', 'P83916')"
"('P12814', 'P68133')"
"('Q13569', 'P10276')"
"('P05161', 'P17947')"
"('P42771', 'O43929')"
"('Q9UIW2', 'Q00535')"
"('Q99750', 'Q96H86')"
"('Q9UHV7', 'P10827')"
"('Q13127', 'P42858')"
"('P62266', 'P62277')"
"('O75676', 'Q8TEY5')"
"('Q8N6Y0', 'Q9BT78')"
"('P07814', 'O94817')"
"('P05556', 'P60709')"
"('O43320', 'P07333')"
"('Q8N8V2', 'Q15102')"
"('Q86XI6', 'P62158')"
"('Q9UGJ0', 'Q16877')"
"('Q9Y572', 'P29692')"
"('P42127', 'Q01726')"
"('Q9Y5J5', 'P08195')"
"('P22105', 'P26006')"
"('O75928', 'P42226')"
"('P06241', 'Q96RL7')"
"('P27361', 'P01100')"
"('Q8IU54', 'Q5VWK5')"
"('P61077', 'Q96BQ3')"
"('Q9NXU5', 'P68371')"
"('P16104', 'O15379')"
"('P49321', 'Q14164')"
"('P01138', 'P07333')"
"('P10275', 'P49116')"
"('Q8TCT9', 'O95870')"
"('Q96QK1', 'P40337')"
"('Q13535', 'Q14103')"
"('P60033', 'P20023')"
"('Q6PID8', 'Q8IVD9')"
"('P35626', 'Q8NH40')"
"('Q13485', 'P36896')"
"('Q02846', 'Q9H2G2')"
"('O75771', 'O43542')"
"('Q07666', 'Q99873')"
"('P42285', 'Q9NZW5')"
"('P01106', 'P06733')"
"('P29466', 'Q7Z434')"
"('P41227', 'Q8TBB1')"
"('P01112', 'P30305')"
"('P12004', 'P20585')"
"('O75347', 'P18146')"
"('P15882', 'P61587')"
"('Q9UKW4', 'P61586')"
"('P47928', 'Q14469')"
"('Q9Y572', 'Q00325')"
"('P50150', 'P53779')"
"('P01375', 'P18146')"
"('P18827', 'P04628')"
"('P49427', 'Q13309')"
"('Q8IY92', 'Q8WWY3')"
"('Q9NVP2', 'Q8WZ42')"
"('P55316', 'Q09472')"
"('Q15637', 'O15162')"
"('Q9UQQ2', 'P04626')"
"('Q04864', 'P34932')"
"('P18124', 'P62424')"
"('Q86WB0', 'P14635')"
"('P31751', 'Q86XI6')"
"('P20226', 'Q01658')"
"('P62993', 'P09493')"
"('Q9UGJ0', 'P49815')"
"('Q9UBI6', 'P28482')"
"('P35544', 'P62701')"
"('P25445', 'P06239')"
"('P19012', 'Q9GZT8')"
"('O15533', 'O75626')"
"('P39748', 'Q14191')"
"('P07900', 'Q02790')"
"('P17980', 'P48556')"
"('Q9UKK3', 'Q13573')"
"('Q9H0D6', 'P63241')"
"('P08514', 'P05556')"
"('Q99459', 'Q92900')"
"('Q9UHI6', 'P49841')"
"('Q9H8Y8', 'P16083')"
"('Q16585', 'Q92629')"
"('O43924', 'P36405')"
"('P31947', 'Q9BRG2')"
"('P09619', 'P12931')"
