negatives
"('O43586', 'Q9UBS9')"
"('P30480', 'Q96AG4')"
"('Q13617', 'Q92796')"
"('P52272', 'O43390')"
"('P04637', 'P49815')"
"('Q676U5', 'Q5SXM2')"
"('Q8NEM0', 'P51587')"
"('P63165', 'P48552')"
"('Q14999', 'Q92990')"
"('O60271', 'P84077')"
"('Q00987', 'Q92993')"
"('Q8TAQ2', 'P38936')"
"('P11940', 'Q14164')"
"('Q13618', 'Q15843')"
"('Q8IVF5', 'P60763')"
"('P09629', 'P13010')"
"('P07910', 'P84103')"
"('Q99459', 'Q96ST3')"
"('P11171', 'P30084')"
"('O14530', 'Q12873')"
"('O43318', 'P52564')"
"('Q7KZF4', 'Q13283')"
"('Q9HCK5', 'P08238')"
"('P23025', 'P09429')"
"('Q9Y272', 'P09471')"
"('P16144', 'P84022')"
"('P63104', 'Q8IX03')"
"('P48552', 'Q99873')"
"('P09769', 'P00519')"
"('Q6WCQ1', 'Q00325')"
"('Q15287', 'P63104')"
"('Q86SZ2', 'Q99798')"
"('Q14596', 'Q99689')"
"('Q13145', 'O14640')"
"('Q9UKA9', 'P98175')"
"('P30050', 'P61313')"
"('P05771', 'P19878')"
"('P12830', 'P37275')"
"('P51151', 'Q8IWE5')"
"('Q71SY5', 'O95402')"
"('P19387', 'P35269')"
"('P09496', 'P10242')"
"('P63104', 'P41250')"
"('Q09472', 'Q92466')"
"('Q99677', 'P63218')"
"('P61088', 'Q13404')"
"('P08648', 'P05556')"
"('Q9P2D7', 'P05067')"
"('P01106', 'Q9H9B1')"
"('P54253', 'P15170')"
"('P48039', 'O60262')"
"('Q92985', 'Q86WV6')"
"('Q96A57', 'Q9P0T7')"
"('Q9NPF5', 'Q15906')"
"('P05556', 'P31749')"
"('Q12891', 'P16070')"
"('P36894', 'P27361')"
"('P14616', 'P42338')"
"('P48431', 'Q92858')"
"('P22612', 'P62158')"
"('Q9BZ95', 'P99999')"
"('Q8TEY5', 'Q96BA8')"
"('O00744', 'Q9NPG1')"
"('406881', 'P52926')"
"('O00442', 'P22087')"
"('Q13625', 'P67870')"
"('Q92621', 'P49790')"
"('Q03135', 'Q06124')"
"('P40227', 'P12830')"
"('Q09472', 'P12757')"
"('O15525', 'Q14494')"
"('Q9BTT4', 'Q9UM73')"
"('Q6PIS1', 'P08069')"
"('P61289', 'Q16401')"
"('P01106', 'Q7L8W6')"
"('Q92616', 'Q92956')"
"('O94907', 'Q96MU8')"
"('P06241', 'Q06418')"
"('P62877', 'Q13616')"
"('P56945', 'P07948')"
"('P61244', 'O75928')"
"('P18564', 'P12814')"
"('Q8IX12', 'Q14103')"
"('A8MT69', 'Q14469')"
"('Q8N715', 'Q9BQD3')"
"('Q12791', 'P30519')"
"('P55157', 'P78524')"
"('P04141', 'P51532')"
"('P35544', 'P62241')"
"('Q9UHD2', 'Q12933')"
"('P12532', 'P56537')"
"('26765', 'P20226')"
"('Q8TAA9', 'Q9NRD5')"
"('Q6WCQ1', 'P53680')"
"('P48380', 'Q12933')"
"('Q96PM5', 'P0CG47')"
"('P10415', 'Q96LC9')"
"('P05112', 'P18146')"
"('Q9BYM8', 'P05060')"
"('P46783', 'O75530')"
"('Q96A72', 'Q9H1J1')"
"('Q9UM73', 'Q9P0L2')"
"('P18848', 'O75444')"
"('Q13191', 'P12931')"
"('P01562', 'Q99062')"
"('Q15047', 'P11308')"
"('Q16633', 'P09382')"
"('P05386', 'P60709')"
"('O60711', 'Q96BD5')"
"('P39687', 'Q13077')"
"('P62249', 'Q92597')"
"('Q00005', 'Q71UM5')"
"('P15036', '406913')"
"('P30450', 'Q9Y4L1')"
"('Q6EEV6', 'A6NKT7')"
"('P10415', 'O60238')"
"('P11171', 'Q13404')"
"('P62263', 'Q9Y3D8')"
"('P51817', 'Q01118')"
"('Q96A08', 'Q9BTM1')"
"('Q9BUZ4', 'O94972')"
"('Q12959', 'Q15334')"
"('Q6ZRQ5', 'Q96HA7')"
"('P09429', 'O15350')"
"('407055', 'P22607')"
"('P09496', 'O00291')"
"('Q8N6C8', 'Q01844')"
"('P62191', 'Q16401')"
"('P16070', 'P10124')"
"('P20963', 'Q14790')"
"('P55210', 'O15392')"
"('P60953', 'O15085')"
"('P60709', 'P62847')"
"('Q9H492', 'Q15139')"
"('P27482', 'Q13972')"
"('Q9P2Y4', 'Q13363')"
"('P62258', 'Q12905')"
"('P07942', 'P26010')"
"('O15105', 'Q15796')"
"('P24864', 'P51610')"
"('P17706', 'Q14974')"
"('P01588', 'P01589')"
"('O75791', 'P04626')"
"('Q9BZE4', 'P19525')"
"('Q15047', 'Q96PU8')"
"('P31749', 'O60825')"
"('P55001', 'P01023')"
"('Q12834', 'Q15323')"
"('P00747', 'P05121')"
"('P28070', 'P25788')"
"('Q07021', 'Q9ULD9')"
"('Q9NR96', 'P47756')"
"('O94921', 'P01877')"
"('P50570', 'Q96B97')"
"('P49642', 'P11021')"
"('P06241', 'O14490')"
"('P00736', 'P0C0L4')"
"('O00214', 'P26006')"
"('P35030', 'Q96RI0')"
"('P00533', 'Q14134')"
"('P35626', 'Q8NGX0')"
"('P17676', 'P10145')"
"('Q9NPG1', 'O75197')"
"('Q13617', 'Q86VP6')"
"('Q99873', 'P32455')"
"('P83731', 'Q07020')"
"('Q96KK5', 'Q9BY41')"
"('P46781', 'P62269')"
"('Q8IY57', 'P35226')"
"('Q03164', 'Q9Y5J1')"
"('P06734', 'P41182')"
"('Q14194', 'Q8N808')"
"('Q9H4B7', 'Q00987')"
"('P54259', 'P46379')"
"('Q9H9G7', 'P68104')"
"('P63218', 'Q92569')"
"('P22612', 'Q86W47')"
"('Q9NWZ3', 'O00206')"
"('O96020', 'Q13042')"
"('P62714', 'O60840')"
"('Q16610', 'P02751')"
"('P61981', 'Q7L8J4')"
"('P67870', 'P51946')"
"('O95785', 'Q9H7E9')"
"('Q9UKG1', 'P42336')"
"('Q92734', 'Q5JY77')"
"('Q6PJ61', 'P63208')"
"('Q14332', 'O14641')"
"('P01008', 'P00734')"
"('P01241', 'P17980')"
"('Q99460', 'Q9Y4K3')"
"('Q16877', 'P49841')"
"('P15336', 'Q5T230')"
"('Q16512', 'Q9NRA0')"
"('Q15038', 'P25791')"
"('Q14697', 'Q9UBN6')"
"('Q53ET0', 'Q03060')"
"('Q9NR31', 'P40337')"
"('P60709', 'Q96EZ8')"
"('P42224', 'P14136')"
"('Q15047', 'Q8TF65')"
"('O14493', 'P78369')"
"('407055', 'P08069')"
"('P01833', 'P13501')"
"('P61981', 'Q6P597')"
"('Q9NXI6', 'P62837')"
"('P55774', 'P51681')"
"('P30480', 'Q9ULC4')"
"('Q8NGF8', 'P38405')"
"('P67775', 'P23528')"
"('P51148', 'Q6XUX3')"
"('Q9GZQ8', 'O60671')"
"('Q00653', 'Q9NR30')"
"('Q8IXH7', 'P15104')"
"('Q9H2G2', 'P17844')"
"('O95819', 'Q2KJY2')"
"('O43307', 'Q9HAU0')"
"('O95295', 'Q9NUP1')"
"('P01889', 'O43242')"
"('P05067', 'P11488')"
"('P49642', 'Q15653')"
"('O94817', 'P20700')"
"('Q13535', 'Q9BWW4')"
"('P01106', 'P25788')"
"('P11182', 'Q9Y4J8')"
"('Q96L14', 'Q9BQD3')"
"('Q5T3I0', 'Q8IY92')"
"('P49840', 'O75581')"
"('Q9UKM9', 'O75626')"
"('Q13489', 'P61077')"
"('O60603', 'Q13200')"
"('P62753', 'O95793')"
"('Q969X0', 'Q13153')"
"('P85037', 'P14316')"
"('P62316', 'Q9UJM3')"
"('P61328', 'P16234')"
"('P32121', 'Q8NGH9')"
"('Q9H814', 'Q9BZE9')"
"('O60858', 'O75909')"
"('Q99459', 'Q9H9B1')"
"('406984', 'P23468')"
"('Q92597', 'P39023')"
"('O75578', 'P12931')"
"('Q15428', 'Q9BXP5')"
"('Q01469', 'Q9Y4K3')"
"('P35326', 'P07947')"
"('O15269', 'Q9Y5V3')"
"('P24863', 'Q9BTT4')"
"('Q16629', 'O75937')"
"('Q9UL18', 'P38919')"
"('Q96GP6', 'P16333')"
"('P30291', 'P31947')"
"('O60832', 'O00303')"
"('Q9H213', 'Q96NT1')"
"('O14610', 'P27986')"
"('Q96RN5', 'A0JLT2')"
"('O14920', 'P04350')"
"('P43403', 'P46109')"
"('Q9Y6K9', 'Q14653')"
"('P17931', 'P01116')"
"('Q6IB77', 'Q5RL73')"
"('Q08050', 'Q92793')"
"('Q9UPW5', 'O75335')"
"('Q8TF01', 'P25054')"
"('Q9Y6D9', 'Q9H4K1')"
"('Q14197', 'P52815')"
"('O60218', 'Q13085')"
"('P68366', 'P30050')"
"('Q15834', 'Q9BT78')"
"('Q10570', 'Q9C0J8')"
"('P54253', 'Q86VZ5')"
"('Q9UII2', 'P49841')"
"('Q147X3', 'Q9Y4K3')"
"('Q9UQC2', 'P62258')"
"('P60709', 'Q9NYJ8')"
"('P0C1H6', 'Q96DB2')"
"('P62158', 'P42858')"
"('Q9HCM9', 'Q9Y2X8')"
"('Q92997', 'P46531')"
"('Q01094', 'P16989')"
"('Q9GZQ8', 'Q13188')"
"('P56192', 'P49593')"
"('Q8IZP0', 'Q8N4C6')"
"('Q13535', 'P46379')"
"('P60510', 'Q14738')"
"('Q13573', 'Q15459')"
"('P35813', 'Q562F6')"
"('Q9H013', 'Q9H501')"
"('A6NIX2', 'O95835')"
"('Q9NR50', 'O95169')"
"('Q96NE9', 'Q8IX03')"
"('P18859', 'Q8N5M1')"
"('P41567', 'O00303')"
"('P01889', 'P62263')"
"('P42766', 'P26373')"
"('P22301', 'Q08334')"
"('P63000', 'Q99755')"
"('Q13573', 'O76094')"
"('Q12834', 'Q9UBN7')"
"('O00238', 'Q13873')"
"('Q8NG94', 'P38405')"
"('Q15788', 'P19793')"
"('P06241', 'Q05397')"
"('P14373', 'P43364')"
"('Q15256', 'P09619')"
"('P14921', 'P01375')"
"('P26373', 'P62917')"
"('Q9ULK5', 'O94806')"
"('P46013', 'Q13185')"
"('P45983', 'P49585')"
"('P49642', 'O95819')"
"('O15379', 'O75928')"
"('Q16665', 'Q9HBZ2')"
"('P55196', 'O14640')"
"('P07900', 'O75344')"
"('P04626', 'P42336')"
"('O75044', 'P63104')"
"('Q9UBD5', 'Q13573')"
"('Q13315', 'O43353')"
"('Q14197', 'P19367')"
"('Q92918', 'P00519')"
"('P52298', 'P62826')"
"('Q9BRR6', 'O75528')"
"('Q9UNH5', 'Q9BS18')"
"('P42336', 'P05026')"
"('Q9NRL3', 'O60383')"
"('O95551', 'Q12933')"
"('O96000', 'O43678')"
"('Q9UBY5', 'P61952')"
"('P10827', 'Q71F56')"
"('Q9P283', 'O00193')"
"('P22612', 'P56696')"
"('Q8TEW6', 'P04626')"
"('Q16659', 'O15400')"
"('Q969Q1', 'Q9NP98')"
"('P10909', 'P01876')"
"('P61421', 'O43711')"
"('P01106', 'P49757')"
"('O94915', 'Q16611')"
"('B1A4H9', 'Q8IU57')"
"('P60953', 'Q8NF50')"
"('P62910', 'Q9Y3U8')"
"('Q71UI9', 'Q96A08')"
"('Q14240', 'O95400')"
"('Q9UM11', 'Q9BPX7')"
"('P41159', 'P08887')"
"('Q15750', 'P04350')"
"('Q9UIA9', 'O15530')"
"('O43318', 'P08238')"
"('Q13952', 'P27797')"
"('P01574', 'P48551')"
"('P42766', 'Q02543')"
"('Q99062', 'P23458')"
"('Q15287', 'Q05519')"
"('Q13191', 'P19235')"
"('P10914', 'P08123')"
"('P14635', 'Q9NPC3')"
"('Q9UQP3', 'P16144')"
"('Q13573', 'Q9H1I8')"
"('Q92901', 'P62987')"
"('Q93098', 'O00144')"
"('O43426', 'Q12965')"
"('Q6P3W7', 'O95405')"
"('406886', 'P01116')"
"('Q15172', 'Q86YF9')"
"('Q8NF50', 'Q07889')"
"('P14784', 'P43405')"
"('Q6IBS0', 'Q8IUD2')"
"('Q9BXI2', 'O43913')"
"('Q9H944', 'A0JLT2')"
"('P02452', 'P16070')"
"('Q96AJ9', 'O43752')"
"('P18621', 'P62829')"
"('P27361', 'P01241')"
"('O00222', 'Q9UK08')"
"('Q04917', 'Q9UQC2')"
"('Q9BWU1', 'Q9BUE0')"
"('P19174', 'Q92831')"
"('Q01892', 'Q92793')"
"('Q9H461', 'Q15147')"
"('O43306', 'P54253')"
"('Q9Y4A5', 'O60244')"
"('Q99683', 'Q13490')"
"('P60660', 'P62993')"
"('Q08209', 'Q8NHZ8')"
"('Q9H5I1', 'P46108')"
"('P49368', 'P52735')"
"('P16144', 'P27348')"
"('O60684', 'O15305')"
"('P51636', 'Q14254')"
"('P49407', 'O14646')"
"('Q9UK08', 'Q92569')"
"('P21673', 'Q14194')"
"('O43292', 'Q13002')"
"('Q9H5J8', 'P21246')"
"('P04626', 'O15524')"
"('P36639', 'P78549')"
"('Q9UHJ3', 'P78364')"
"('P98170', 'P04049')"
"('P63211', 'P42336')"
"('P21266', 'Q99962')"
"('Q16620', 'Q9Y4K3')"
"('Q08209', 'Q9H1A4')"
"('Q13485', 'Q14186')"
"('P62277', 'Q04206')"
"('P60709', 'Q16186')"
"('O75175', 'P51679')"
"('Q9UBQ5', 'P49427')"
"('O95433', 'Q9H5I1')"
"('P23769', 'P24468')"
"('P23508', 'P78396')"
"('Q13023', 'P55157')"
"('P49756', 'Q14498')"
"('406991', 'P43246')"
"('O75365', 'Q5VWQ8')"
"('Q86WN2', 'P15260')"
"('Q9Y675', 'Q99963')"
"('Q9Y5K5', 'P43686')"
"('P46940', 'P53680')"
"('Q99873', 'Q9UET6')"
"('Q9H1J1', 'Q92900')"
"('P20333', 'P0CG48')"
"('Q99490', 'Q8WYR1')"
"('O95405', 'Q5T124')"
"('P18206', 'Q08380')"
"('Q13239', 'P43405')"
"('O14788', 'Q9H814')"
"('P15882', 'P52198')"
"('Q15853', 'Q12974')"
"('O14497', 'P04637')"
"('P01106', 'P23258')"
"('P22307', 'Q15067')"
"('O95433', 'Q9BXM0')"
"('P05230', 'P09619')"
"('Q8TF32', 'P20073')"
"('P22681', 'Q01344')"
"('P54253', 'O15273')"
"('Q8N4S0', 'P40337')"
"('Q06323', 'P62191')"
"('Q96GE4', 'Q9BRT9')"
"('P62891', 'P61927')"
"('Q8N684', 'Q01844')"
"('Q9Y4J8', 'Q14CB8')"
"('O43294', 'Q14289')"
"('Q96HC4', 'O14618')"
"('O75365', 'Q9Y5M8')"
"('Q9HCM9', 'P51965')"
"('Q13443', 'Q9UI95')"
"('Q9H9A7', 'P48723')"
"('Q9NZC3', 'O15297')"
"('P42830', 'P25024')"
"('Q9P2R6', 'Q99504')"
"('Q06330', 'P02741')"
"('P62314', 'Q8TEQ6')"
"('O95178', 'P03905')"
"('Q53FD0', 'Q15834')"
"('P54257', 'P06746')"
"('O95760', 'Q01638')"
"('Q08170', 'O43390')"
"('Q13432', 'Q13526')"
"('O75533', 'Q9UKV8')"
"('P17252', 'P14151')"
"('P62805', 'Q9Y468')"
"('Q14790', 'Q12873')"
"('Q14974', 'Q401N2')"
"('P22694', 'Q70SY1')"
"('P07948', 'Q9UN19')"
"('P61254', 'Q15843')"
"('O15479', 'Q9H7X7')"
"('Q9Y5H7', 'O95433')"
"('Q13547', 'P35354')"
"('P62857', 'P23396')"
"('Q96BK5', 'P47813')"
"('P08172', 'P63096')"
"('Q96B33', 'O95500')"
"('O94885', 'Q9H204')"
