negatives
"('Q15910', 'Q02539')"
"('P07333', 'P51532')"
"('Q13651', 'Q08334')"
"('O60925', 'Q9BT40')"
"('Q6SA08', 'P36897')"
"('P12110', 'P08514')"
"('Q8N3U4', 'Q9UJ98')"
"('P30519', 'Q99613')"
"('P63000', 'P45984')"
"('P02751', 'P26010')"
"('Q9P0T7', 'Q96A57')"
"('P17980', 'P07858')"
"('P01112', 'P45983')"
"('P52735', 'P08729')"
"('Q9NR30', 'O75940')"
"('Q16666', 'P41134')"
"('P54259', 'P98164')"
"('O60610', 'P35080')"
"('Q15910', 'Q16637')"
"('Q9HC98', 'Q92616')"
"('Q99459', 'Q02297')"
"('P60510', 'O75419')"
"('P51679', 'P08754')"
"('P62714', 'P45983')"
"('P00519', 'P09603')"
"('P46779', 'P18077')"
"('O75676', 'Q68CJ9')"
"('Q00005', 'P83731')"
"('28620', 'Q15047')"
"('Q9Y2T4', 'P46937')"
"('P51693', 'P62328')"
"('P68104', 'P42568')"
"('Q13796', 'P12931')"
"('Q9UKW4', 'P78314')"
"('Q86Y13', 'P51668')"
"('P46940', 'Q05823')"
"('P08575', 'P09619')"
"('Q16543', 'Q8NEY8')"
"('Q9H4D5', 'Q13769')"
"('Q9C004', 'P04049')"
"('Q9BZW7', 'P60660')"
"('Q9UJU6', 'Q9ULA0')"
"('Q92882', 'P04406')"
"('P11171', 'O15067')"
"('28938', 'O00410')"
"('Q9NUX5', 'Q15554')"
"('Q99459', 'Q8TD90')"
"('P29353', 'Q9NPF4')"
"('Q15149', 'Q9H0H5')"
"('Q9NS23', 'Q13043')"
"('O00716', 'Q14566')"
"('Q99570', 'O14530')"
"('Q12873', 'P13805')"
"('Q16611', 'Q9NR28')"
"('Q9Y5S8', 'Q15628')"
"('P62753', 'Q92597')"
"('Q06124', 'P13688')"
"('Q14192', 'Q9NP73')"
"('P11802', 'O15392')"
"('Q14332', 'P35222')"
"('P62263', 'P46783')"
"('P62857', 'P46782')"
"('Q13596', 'P04183')"
"('P35638', 'O43889')"
"('P35638', 'P15408')"
"('P20908', 'P08514')"
"('Q13315', 'Q96EA4')"
"('Q96EK5', 'Q9Y2Q3')"
"('P02489', 'Q07817')"
"('Q96GD3', 'P50616')"
"('Q03405', 'P06241')"
"('P60953', 'Q5HYK7')"
"('Q15287', 'Q02040')"
"('Q9H1J5', 'Q9ULW2')"
"('P11940', 'Q9Y478')"
"('O95084', 'P51114')"
"('P68400', 'P18031')"
"('Q92616', 'Q9HC98')"
"('Q9Y261', 'P04155')"
"('Q86Y13', 'Q96LR5')"
"('Q13315', 'Q92841')"
"('Q14155', 'Q9Y2X7')"
"('O14939', 'O43688')"
"('Q04771', 'P62070')"
"('Q15544', 'P20226')"
"('Q03135', 'P19438')"
"('Q01113', 'P31785')"
"('Q9HAV0', 'O15264')"
"('Q14164', 'Q2I0M4')"
"('Q6P2C8', 'Q9BTT4')"
"('P10644', 'P25054')"
"('Q9Y243', 'Q86XI6')"
"('P61812', 'P35228')"
"('P49715', 'P11473')"
"('Q9H8Y8', 'Q96DH6')"
"('O00483', 'P03891')"
"('P50990', 'Q99836')"
"('P15531', 'P05556')"
"('P01889', 'Q9NSE4')"
"('P19838', 'Q13489')"
"('P01106', 'Q9Y230')"
"('Q9ULL4', 'Q8IWT3')"
"('Q5T3J3', 'P23921')"
"('Q13191', 'P05787')"
"('P50238', 'P54257')"
"('Q05996', 'P19174')"
"('P08123', 'P48382')"
"('Q9P2H0', 'Q14789')"
"('Q16539', 'P62714')"
"('P21246', 'Q9Y657')"
"('P18146', 'Q9NS87')"
"('P15509', 'P23458')"
"('P30480', 'P61086')"
"('Q9Y5Z7', 'Q9Y5J1')"
"('P55201', 'P33992')"
"('P56537', 'Q5T3J3')"
"('P49711', 'Q14683')"
"('Q92905', 'P01106')"
"('P28074', 'P28070')"
"('Q09472', 'P55854')"
"('Q5VTB9', 'Q93009')"
"('406987', 'P55287')"
"('Q9BTT4', 'A0JLT2')"
"('Q8TE12', 'P61421')"
"('O15111', 'Q14164')"
"('Q15424', 'Q12873')"
"('O75937', 'P84103')"
"('O60814', 'Q92769')"
"('Q96KR4', 'Q9NWT6')"
"('Q9UBN7', 'Q8IUE6')"
"('Q07157', 'Q9UDY2')"
"('P13611', 'P13500')"
"('Q13526', 'P15056')"
"('P13569', 'P11831')"
"('P28702', 'Q9Y2X0')"
"('Q06732', 'P54257')"
"('Q9BYC9', 'Q12929')"
"('P46776', 'P83881')"
"('P38398', 'Q8WXE1')"
"('Q13191', 'Q99962')"
"('Q6DKJ4', 'Q9UGP8')"
"('407028', 'O00292')"
"('Q9UQL6', 'P41182')"
"('Q9NRR5', 'P01871')"
"('Q16787', 'P26012')"
"('Q12873', 'Q8TBC4')"
"('P32121', 'Q8NGX8')"
"('P33993', 'Q14192')"
"('P23443', 'Q00987')"
"('P61626', 'P50053')"
"('406992', 'Q99583')"
"('P22612', 'P62879')"
"('Q08380', 'P41279')"
"('Q9Y6N9', 'Q495M9')"
"('Q9NQ87', 'Q96KM6')"
"('O14796', 'P04626')"
"('406938', 'Q13158')"
"('Q99613', 'Q96PM5')"
"('P51571', 'Q9BUV8')"
"('Q9GZT6', 'P20073')"
"('P04844', 'P27824')"
"('P25391', 'P13612')"
"('Q9BX67', 'P11215')"
"('Q92466', 'Q13547')"
"('Q15796', 'Q14653')"
"('P46459', 'Q969Q5')"
"('P23458', 'P29353')"
"('Q9HBG4', 'O95704')"
"('Q99447', 'Q15047')"
"('P61586', 'Q9Y281')"
"('O14493', 'P56880')"
"('P27348', 'Q9NSK0')"
"('O95819', 'P08238')"
"('P0CG48', 'P60953')"
"('O75626', 'Q9Y6Y0')"
"('P63267', 'P04278')"
"('O14640', 'Q13485')"
"('Q13635', 'P06493')"
"('Q13936', 'O60641')"
"('P35268', 'P05388')"
"('P63172', 'O14641')"
"('P16144', 'P06241')"
"('O15209', 'Q96EY1')"
"('Q6WCQ1', 'P38646')"
"('P51572', 'Q14790')"
"('Q96B26', 'Q01780')"
"('Q13309', 'P19838')"
"('P62714', 'O95267')"
"('P12830', 'P17252')"
"('Q16659', 'P27544')"
"('P09234', 'Q9BUJ2')"
"('Q2NL82', 'O95819')"
"('406988', 'O15357')"
"('O15056', 'P62993')"
"('Q9H1J7', 'O00144')"
"('P61964', 'Q01658')"
"('O60739', 'P52907')"
"('Q7L1V2', 'Q9P253')"
"('Q15691', 'P30622')"
"('Q9NS73', 'Q9H8E8')"
"('Q16584', 'O00463')"
"('O60739', 'P41091')"
"('P47914', 'P26373')"
"('Q9H0E2', 'Q86TG7')"
"('Q01484', 'P11532')"
"('P35658', 'Q9UBU9')"
"('P62913', 'P61254')"
"('P50570', 'O60674')"
"('Q9H9A7', 'O60925')"
"('P35637', 'O60508')"
"('Q99460', 'P01889')"
"('Q31610', 'P43628')"
"('P0CG47', 'Q9UM54')"
"('Q8IVM0', 'P62979')"
"('Q9UDY2', 'P78369')"
"('406912', 'Q99835')"
"('P10275', 'Q16666')"
"('P15882', 'Q04771')"
"('Q15776', 'P04156')"
"('P12318', 'A2IXV5')"
"('O96019', 'P52565')"
"('P36873', 'O60359')"
"('P15884', 'Q6ISU1')"
"('P26368', 'Q8N7W2')"
"('P04406', 'P00505')"
"('Q96ST3', 'Q9UBP5')"
"('P49841', 'Q8N0Z3')"
"('Q14164', 'O15371')"
"('P30153', 'O95376')"
"('Q9NRG9', 'Q8NFH3')"
"('P46459', 'P34903')"
"('O94817', 'Q6P2I7')"
"('Q92905', 'P61244')"
"('O14920', 'O14654')"
"('P35626', 'Q96RD3')"
"('P09471', 'P49798')"
"('P17931', 'P08253')"
"('O14508', 'Q14765')"
"('P07478', 'P55085')"
"('O60315', 'Q7L5N1')"
"('P67870', 'P51805')"
"('Q92966', 'Q16533')"
"('Q03518', 'P07237')"
"('P18146', 'O15121')"
"('Q92547', 'P11387')"
"('Q9NXR8', 'P16104')"
"('P52597', 'Q01081')"
"('Q9Y478', 'P39023')"
"('Q9UMX1', 'Q9NPA3')"
"('O60506', 'Q14164')"
"('P60568', 'Q9HBE5')"
"('P00519', 'O60721')"
"('P28482', 'Q15633')"
"('Q08881', 'Q13485')"
"('Q16659', 'Q9H7H0')"
"('Q03135', 'P10586')"
"('Q16539', 'Q96F63')"
"('Q9H190', 'Q9NP64')"
"('Q04206', 'P78423')"
"('P35626', 'Q8NGP4')"
"('P99999', 'Q8NI27')"
"('P61073', 'P35579')"
"('Q9BVJ6', 'P54274')"
"('Q9BXL6', 'Q15645')"
"('P47914', 'Q02543')"
"('O14788', 'Q8TBF2')"
"('O60216', 'Q9NTI5')"
"('O14980', 'Q14457')"
"('Q6ZRS2', 'O96019')"
"('P03372', 'Q16352')"
"('Q15834', 'Q96BY2')"
"('Q6T4P5', 'Q9NRL3')"
"('P25024', 'P49407')"
"('O75380', 'O75489')"
"('P40933', 'Q969J5')"
"('O75694', 'Q9BW27')"
"('Q9Y265', 'Q15906')"
"('Q9Y5J5', 'Q96T76')"
"('Q15363', 'P23508')"
"('O43147', 'O75525')"
"('Q96K80', 'Q93062')"
"('Q07889', 'P52198')"
"('Q13885', 'O43261')"
"('O15350', 'P42224')"
"('Q9H816', 'Q92878')"
"('Q96QT4', 'P35580')"
"('P50995', 'O75340')"
"('Q9Y4X3', 'P51681')"
"('Q9Y5K6', 'O15131')"
"('Q9Y385', 'Q86TM6')"
"('Q8N3U4', 'Q8NDV3')"
"('P51955', 'Q96RY7')"
"('Q9NRA8', 'P54253')"
"('P55345', 'P10275')"
"('Q9UNE7', 'Q9H4L4')"
"('O14508', 'Q01113')"
"('Q9UBS8', 'Q13772')"
"('P98175', 'P85299')"
"('Q8WUM0', 'P21675')"
"('O15116', 'Q9Y4Y9')"
"('P62875', 'P05423')"
"('P01148', 'Q9UQM7')"
"('Q53H80', 'Q15834')"
"('P49796', 'P29992')"
"('Q13418', 'P48059')"
"('Q96PV6', 'Q16637')"
"('O95630', 'P62993')"
"('Q9GZS1', 'Q9BUJ2')"
"('Q01085', 'Q92945')"
"('Q8IWV7', 'P50453')"
"('P04637', 'P34931')"
"('P56537', 'P30085')"
"('P61927', 'P83881')"
"('Q9NXS2', 'Q9HCK5')"
"('P18146', 'Q9Y6Y0')"
"('P10147', 'O00590')"
"('P51159', 'P51681')"
"('P61604', 'Q14194')"
"('Q00005', 'Q7Z417')"
"('P16220', 'Q53TS8')"
"('P62837', 'Q13064')"
"('P07585', 'P04626')"
"('Q04724', 'Q07817')"
"('P25786', 'P60900')"
"('P85298', 'P62745')"
"('Q96A33', 'P62330')"
"('P16333', 'Q13094')"
"('Q16576', 'Q8N5A5')"
"('P09622', 'O00330')"
"('P55854', 'O43290')"
"('Q12962', 'O75529')"
"('P01106', 'P25205')"
"('P02768', 'P12829')"
"('Q92569', 'P16885')"
"('Q99459', 'Q9Y230')"
"('P05015', 'O60674')"
"('Q969Q1', 'Q15155')"
"('P03901', 'O43674')"
"('P00749', 'Q03405')"
"('Q9UPN9', 'Q14839')"
"('P12755', 'Q13485')"
"('Q52LW3', 'P61586')"
"('Q9BUJ2', 'P61978')"
"('Q16637', 'Q15572')"
"('P04156', 'P22626')"
"('Q93077', 'P0C1H6')"
"('P15018', 'P19235')"
"('P46379', 'Q14186')"
"('Q9BWC9', 'Q9BVJ6')"
"('P05412', 'Q9NR30')"
"('P42677', 'P08708')"
"('P25942', 'Q13077')"
"('P20936', 'P29622')"
"('P35626', 'Q8NGV6')"
"('Q5VTR2', 'O00487')"
"('Q13177', 'P52564')"
"('P36896', 'Q13485')"
"('P04637', 'Q96CF2')"
"('P16104', 'Q15717')"
"('P34931', 'P04637')"
"('Q14155', 'Q14161')"
"('P40692', 'P54132')"
"('Q9Y576', 'Q93034')"
"('O00238', 'P27037')"
"('P84077', 'P26641')"
"('Q8N2W9', 'P49759')"
"('P05015', 'P78552')"
"('Q969H0', 'P46527')"
"('O75534', 'Q9Y478')"
"('Q15084', 'P49286')"
"('P23760', 'P56693')"
"('Q92830', 'P38398')"
"('P35269', 'P10914')"
"('P06493', 'Q7Z5Q1')"
"('P43487', 'Q9UBN6')"
"('P62857', 'P39019')"
"('Q9H6R7', 'P53350')"
"('P62857', 'P62277')"
"('P42858', 'Q13011')"
"('P62750', 'P42766')"
"('Q8IZP0', 'P11142')"
"('Q14194', 'Q92734')"
"('P09382', 'P16871')"
"('Q9H0E3', 'O15265')"
"('Q9H5H4', 'P63165')"
"('Q99836', 'Q13568')"
"('Q9NYJ8', 'P04155')"
"('Q29974', 'P01730')"
"('P52735', 'Q8WV28')"
"('P01116', 'Q99759')"
"('O43561', 'O00329')"
"('P50150', 'P48544')"
"('P55157', 'Q9HCQ7')"
"('P68371', 'P21673')"
"('P46940', 'P60709')"
"('Q9BQY4', 'O95471')"
"('P00533', 'P28482')"
"('Q9BVJ6', 'P47224')"
"('P69905', 'P68871')"
"('Q5HYK7', 'O43184')"
"('Q9NSB8', 'Q16643')"
"('P01344', 'Q6UXH1')"
"('Q09472', 'Q86Y01')"
"('P01889', 'P13667')"
"('O94761', 'Q9BVW5')"
"('Q07890', 'P60763')"
"('P68104', 'Q8TDR0')"
"('P02743', 'P12314')"
"('Q9Y580', 'Q9NP66')"
"('Q04206', 'Q8N6T7')"
"('P30154', 'P05771')"
"('Q8IW50', 'O43597')"
"('Q96B26', 'Q9UK45')"
"('P62277', 'P62753')"
"('P04183', 'P46013')"
"('P01106', 'O94805')"
"('Q9UGJ1', 'Q9Y5J5')"
"('Q15428', 'Q96I25')"
"('Q92542', 'Q96BI3')"
"('Q15365', 'Q9NZW4')"
"('Q8TBB1', 'P38159')"
"('Q9NWK9', 'O95445')"
"('Q6DKK2', 'Q7Z699')"
"('P62993', 'P26196')"
"('P18754', 'P48729')"
"('P98175', 'Q04741')"
"('P54646', 'Q9BUM1')"
"('P25054', 'P30304')"
"('Q9UIF7', 'P27694')"
"('O60518', 'P22392')"
"('Q16531', 'O75530')"
"('Q92628', 'Q8N357')"
"('P46783', 'P40337')"
"('P11021', 'Q15653')"
"('P02766', 'Q99570')"
"('P13500', 'P80075')"
"('O43716', 'Q9H0R6')"
"('P63104', 'Q9H9J4')"
"('Q00526', 'Q14186')"
"('P63211', 'O14827')"
"('O75821', 'P20042')"
"('Q12955', 'Q14573')"
"('P51970', 'O75251')"
"('A0JLT2', 'P24863')"
"('P60709', 'P08133')"
"('Q13007', 'P40189')"
"('Q9H1C4', 'Q9HD45')"
"('Q12834', 'P78396')"
"('P61981', 'P27348')"
"('P05549', 'P10415')"
"('P52298', 'P52597')"
"('O95786', 'O14543')"
"('O60318', 'P84022')"
"('Q9H3D4', 'Q96KQ4')"
"('Q9BX70', 'Q8IWV7')"
"('Q15714', 'P57678')"
"('Q02878', 'P05387')"
"('Q99704', 'Q06124')"
"('Q9UMX0', 'A6ZKI3')"
"('Q9NPI1', 'O00231')"
"('P05107', 'P27986')"
"('Q92540', 'Q92900')"
"('P67870', 'O75083')"
"('Q16548', 'O43521')"
"('Q9BV38', 'Q13573')"
"('P49336', 'P18146')"
"('Q15303', 'Q14451')"
"('P01106', 'P09429')"
"('P62993', 'O95886')"
"('Q99759', 'Q05516')"
"('P08069', 'Q00722')"
"('Q13976', 'P78347')"
"('P35626', 'Q9GZK3')"
"('P21127', 'Q13153')"
"('Q12906', 'P04406')"
"('P30281', 'P24941')"
"('Q96AB3', 'Q15119')"
"('P0C1Z6', 'Q9Y5K5')"
"('Q969F2', 'P62979')"
"('P62888', 'P61927')"
"('P30085', 'Q9UKE5')"
"('P61328', 'P11362')"
"('P50406', 'P84996')"
"('P62906', 'P49207')"
"('P48039', 'P61026')"
"('Q9UNZ2', 'Q13190')"
"('P02511', 'P07315')"
"('P55854', 'P08670')"
"('Q06187', 'Q96MX0')"
"('Q9UI26', 'Q9BRC7')"
"('Q09472', 'O75030')"
"('P16581', 'Q92896')"
"('Q86X95', 'O75446')"
"('Q14197', 'Q7Z7F7')"
"('O14933', 'P43490')"
"('P42224', 'O43707')"
"('P46092', 'O60674')"
"('O76096', 'P07858')"
"('P78317', 'Q9HBE1')"
"('P61328', 'P22607')"
"('Q9NVU0', 'Q9NW08')"
"('O15169', 'P20823')"
"('P09038', 'P16234')"
"('Q9Y483', 'Q5JY77')"
"('P39023', 'Q15853')"
"('P12235', 'P10275')"
"('Q13535', 'Q13573')"
"('P40337', 'P61088')"
"('P29317', 'Q00722')"
"('P05387', 'P83731')"
"('Q9UKF6', 'P06748')"
"('Q9UPT5', 'Q8IY31')"
"('P14784', 'Q8WYR1')"
"('Q86TM6', 'Q9Y385')"
"('P10145', 'P10914')"
"('Q03113', 'P47712')"
"('Q13467', 'O14641')"
"('P16220', 'P51816')"
"('P11021', 'O95819')"
"('Q15788', 'Q9ULH1')"
"('P40425', 'P78537')"
"('Q13368', 'Q9NYY3')"
"('P52435', 'P30876')"
"('Q02790', 'P62942')"
"('Q13573', 'O00471')"
"('Q9H6Z4', 'P62826')"
"('P12004', 'Q07864')"
"('O95182', 'P03891')"
"('P54257', 'Q9UN88')"
"('P16104', 'Q15843')"
"('P51617', 'O43353')"
"('Q14643', 'Q9NSB8')"
"('P62140', 'Q8N726')"
"('P13500', 'Q9NPB9')"
"('P04406', 'O43353')"
"('P63208', 'Q8NFZ0')"
"('Q5JSL3', 'Q8IXI1')"
"('P52597', 'P67809')"
"('Q9HAT8', 'Q8NDX5')"
"('Q9BVA1', 'Q71U36')"
"('Q9HBZ2', 'Q93009')"
"('O15534', 'P49674')"
"('O14965', 'P35222')"
"('P01106', 'Q9BWT6')"
"('P42338', 'P31751')"
"('O75159', 'Q9UHF4')"
"('Q99459', 'P25205')"
"('P27635', 'P18077')"
"('Q14209', 'P04183')"
"('P47914', 'P62906')"
"('Q99873', 'Q9Y4K3')"
"('O75815', 'Q8NC51')"
"('P32121', 'Q8NGB8')"
"('P40189', 'P21860')"
"('Q969Q6', 'Q9UPR3')"
"('Q13064', 'Q9Y2X8')"
"('P49863', 'P61978')"
"('P22392', 'P63173')"
"('P27797', 'P78545')"
"('Q15287', 'Q86VM9')"
"('Q6UWE0', 'P61077')"
"('Q7Z2E3', 'Q9UID6')"
"('Q9Y572', 'Q9HAV0')"
"('O15264', 'P98177')"
"('Q9H3D4', 'O14896')"
"('P61586', 'Q9NQU5')"
"('Q13480', 'Q16827')"
"('P63000', 'Q8TEJ3')"
"('O00487', 'O00233')"
"('P41279', 'P04350')"
"('Q99961', 'P07949')"
"('Q96M61', 'Q15025')"
"('P20823', 'P41182')"
"('P19338', 'Q99558')"
"('Q9Y371', 'Q13444')"
"('Q9UBD9', 'P15260')"
"('P04004', 'P26012')"
"('Q9UKJ5', 'P32242')"
"('P27487', 'P08575')"
"('Q03181', 'P33316')"
"('O14508', 'Q01344')"
"('P13489', 'P07998')"
"('P27361', 'O15119')"
"('O60383', 'Q9Y3C0')"
"('P28062', 'P35609')"
"('Q9UHV7', 'Q9Y4A5')"
"('P41159', 'P48551')"
"('Q13084', 'Q14197')"
"('Q96A72', 'Q9BZI7')"
"('Q96F46', 'O43734')"
"('Q15287', 'P21127')"
"('P63010', 'Q16695')"
"('P32121', 'Q6IF42')"
"('P18146', 'Q9BW85')"
"('Q96RT1', 'P25054')"
"('P02545', 'Q9NRM7')"
"('Q96HA1', 'P54253')"
"('P62140', 'Q7Z3S7')"
"('P12643', 'Q13873')"
"('Q9H5J0', 'P12757')"
"('P51817', 'P18146')"
"('Q05516', 'Q96ST3')"
"('P23396', 'P25963')"
"('P15692', 'P07996')"
"('P62263', 'P23396')"
"('P20774', 'P46108')"
"('P05556', 'Q14192')"
"('P29353', 'O15357')"
"('Q9UL45', 'Q6QNY0')"
"('Q96EB6', 'O60934')"
"('Q9UL18', 'P43243')"
"('P42574', 'Q9NR09')"
"('P15927', 'Q8NBJ4')"
"('P41220', 'P21964')"
"('P49407', 'P46734')"
"('O75581', 'Q9ULW2')"
"('P20023', 'Q06330')"
"('P58546', 'P11171')"
"('Q9BVJ6', 'Q9C0J8')"
"('P31997', 'P13688')"
"('P42336', 'Q8IUC6')"
"('O14493', 'C9JDP6')"
"('Q99525', 'P84243')"
"('P01106', 'Q9NRC1')"
"('P13987', 'P62993')"
"('P78396', 'P00505')"
"('P62308', 'P62306')"
"('Q14161', 'O15013')"
"('P84077', 'Q96JA3')"
"('Q86UW9', 'Q9BQY4')"
"('Q14194', 'O95994')"
"('P04183', 'Q8IZ69')"
"('Q00005', 'Q14532')"
"('Q92621', 'Q9NRG9')"
"('P61981', 'P40818')"
"('P61978', 'Q9P2K5')"
"('Q13568', 'Q14790')"
"('Q13761', 'Q9NQB0')"
"('Q9Y230', 'Q13573')"
"('P98175', 'Q9BWF3')"
"('442918', 'P43351')"
"('P10827', 'Q96HR3')"
"('Q05195', 'P31749')"
"('Q06124', 'O00459')"
"('Q8NGR2', 'P38405')"
"('Q9Y371', 'Q8NEB9')"
"('Q9Y3E1', 'Q9HCE7')"
"('P78527', 'P27694')"
"('P31943', 'Q14194')"
"('Q86Y13', 'Q9NQZ3')"
"('P29353', 'Q9H840')"
"('P36954', 'O94762')"
"('P51970', 'P03901')"
"('Q9H492', 'Q9Y4P1')"
"('P15884', 'Q02363')"
"('P04632', 'Q9H1Y0')"
"('P27695', 'Q01105')"
"('O60216', 'O43521')"
"('Q9UI10', 'P05198')"
"('P78423', 'P49682')"
"('P68371', 'P56182')"
"('P31946', 'P30304')"
"('Q92905', 'P35354')"
"('Q99598', 'Q96HT8')"
"('P01100', 'P24385')"
"('Q96PM9', 'P62837')"
"('P30050', 'Q9HCK5')"
"('Q9Y6N6', 'P26006')"
"('P98175', 'Q15428')"
"('P51148', 'P20339')"
"('P42338', 'P49841')"
"('O76050', 'P61088')"
"('P62837', 'P26442')"
"('P63096', 'Q9NQ66')"
"('P04844', 'Q9HC24')"
"('Q9P2M7', 'Q92974')"
"('O96017', 'Q00987')"
"('P63000', 'Q9Y6R4')"
"('Q15834', 'Q9HB75')"
"('Q13480', 'P49023')"
"('Q13315', 'Q92610')"
"('Q8IZ69', 'Q92985')"
"('P16152', 'P22392')"
"('P60660', 'O15111')"
"('P31994', 'P02743')"
"('P30968', 'P63096')"
"('Q92878', 'Q14676')"
"('Q15056', 'Q14240')"
"('Q96RL1', 'P16104')"
"('P15291', 'P31946')"
"('B1A4H9', 'Q5VWK5')"
"('Q06323', 'Q16401')"
"('P62937', 'P62993')"
"('P32242', 'Q9UKJ5')"
"('Q14997', 'P01106')"
"('P78552', 'P31785')"
"('P35232', 'Q9HCU9')"
"('Q92769', 'Q05516')"
"('Q9UNX3', 'P05386')"
"('Q13813', 'Q05397')"
"('P10451', 'P16070')"
"('P12755', 'Q9HAZ2')"
"('P27361', 'Q12772')"
"('Q9UPN9', 'Q9BWG4')"
"('P35626', 'O95047')"
"('Q9UHI6', 'Q9NX70')"
"('Q08211', 'P55795')"
"('Q9Y2T4', 'Q13188')"
"('P01889', 'Q9H9A6')"
"('Q15653', 'P68400')"
"('Q9UGN5', 'Q8N357')"
"('Q96IP4', 'Q14145')"
"('P55196', 'Q9UI47')"
"('P08670', 'P10144')"
"('P35626', 'Q8NGR9')"
"('Q9UJX2', 'P40937')"
"('P62306', 'Q8WXD5')"
"('P56715', 'Q9GZT8')"
"('Q8N5G2', 'O15198')"
"('P19876', 'P41597')"
"('P17482', 'Q99750')"
"('Q5RL73', 'Q99547')"
"('Q13064', 'P51965')"
"('406938', 'Q9Y4K3')"
"('P09471', 'Q86XP0')"
"('Q9NXU5', 'P04406')"
"('P51681', 'Q03405')"
"('Q16401', 'O00487')"
"('P20309', 'P50148')"
"('Q16795', 'O00483')"
"('P04629', 'O00459')"
"('P08069', 'P46108')"
"('O95639', 'Q05048')"
"('Q15836', 'P18615')"
"('P04899', 'Q92806')"
"('406967', 'P38936')"
"('P54257', 'Q08752')"
"('Q9Y272', 'P22694')"
"('Q05066', 'P84022')"
"('P51668', 'P55055')"
"('O95715', 'P32302')"
"('Q13393', 'O43688')"
"('P63104', 'P06748')"
"('P62820', 'P16220')"
"('P17812', 'O75815')"
"('P18084', 'Q63HR2')"
"('Q9BSI4', 'Q96AP0')"
"('Q92922', 'Q15788')"
"('Q9GZT5', 'Q13467')"
"('P00813', 'P04150')"
"('Q8N2W9', 'P12268')"
"('P46777', 'Q02878')"
"('Q8IUQ4', 'P61088')"
"('Q96KM6', 'O76003')"
"('O15479', 'P62750')"
"('O75822', 'P47813')"
"('Q9HBZ2', 'P41182')"
"('Q14590', 'O60925')"
"('P51532', 'Q14164')"
"('P31152', 'P50549')"
"('Q5W186', 'Q02556')"
"('Q08050', 'P18887')"
"('P48047', 'Q14164')"
"('P20073', 'P11802')"
"('O15534', 'Q13315')"
"('Q6PEY2', 'P68371')"
"('O75955', 'O43561')"
"('P58876', 'P0C0S8')"
"('Q08050', 'P30304')"
"('Q9UNE7', 'P11142')"
"('P04278', 'P04733')"
"('Q96B97', 'Q15628')"
"('Q9NS23', 'Q9Y6H6')"
"('Q9UJX2', 'Q68CP9')"
"('O75695', 'Q13432')"
"('P78560', 'P42575')"
"('P21246', 'Q9UM73')"
"('P23610', 'Q13424')"
"('P62993', 'P05783')"
"('O60262', 'Q8WYR1')"
"('P01241', 'P11586')"
"('Q9H816', 'P34932')"
"('Q9Y343', 'Q99963')"
"('O95644', 'Q02078')"
"('Q06547', 'O60763')"
"('Q8IZL2', 'P46531')"
"('P01563', 'Q969J5')"
"('Q9BUY5', 'Q8NHQ1')"
"('Q9Y4D1', 'P08100')"
"('Q92769', 'Q99879')"
"('Q9NRI5', 'Q96G01')"
"('Q9BVA1', 'Q13233')"
"('Q6WCQ1', 'P63104')"
"('Q14103', 'P84103')"
"('P23508', 'O43815')"
"('O00567', 'P01106')"
"('Q13191', 'Q99062')"
"('P67775', 'P06400')"
"('Q13952', 'P53350')"
"('O95500', 'Q96B33')"
"('Q03001', 'P16144')"
"('P20936', 'P04632')"
"('P04626', 'O00443')"
"('O15530', 'O95248')"
"('Q9HAU5', 'Q9ULX3')"
"('Q9Y678', 'Q9Y4K3')"
"('Q13131', 'P54646')"
"('P63092', 'P62873')"
"('O95257', 'Q5UIP0')"
"('Q9UNX3', 'P62750')"
"('P43250', 'P41597')"
"('Q9NR31', 'Q9Y4K3')"
"('P61964', 'O75528')"
"('Q14164', 'O60641')"
"('P11586', 'P23508')"
"('P61353', 'P05386')"
"('Q92905', 'P62256')"
"('O43683', 'O43684')"
"('P31431', 'O43294')"
"('O60739', 'P10599')"
"('P13385', 'P46379')"
"('Q8TB52', 'Q9HCE7')"
"('406937', 'O43474')"
"('A8MVU1', 'P67870')"
"('Q7Z2G1', 'P04908')"
"('P17568', 'O95167')"
"('Q14160', 'Q15700')"
"('P78371', 'P52735')"
"('Q05513', 'Q96IF1')"
"('P49368', 'P60510')"
"('Q01081', 'P84103')"
"('Q09472', 'P22736')"
"('Q92796', 'Q7Z7M8')"
"('Q8TBE0', 'O14641')"
"('P22612', 'P36507')"
"('P22670', 'P08651')"
"('P52272', 'P52756')"
"('P04626', 'P23458')"
"('Q8IW19', 'P13010')"
"('P56199', 'P26012')"
"('P51170', 'P46934')"
"('Q9Y4K3', 'P34931')"
"('O43752', 'O14662')"
"('Q14160', 'P25054')"
"('P19525', 'P06493')"
"('Q8IX04', 'Q6UWE0')"
"('Q92985', 'P52630')"
"('Q5SRE5', 'Q96HA1')"
"('P14314', 'Q14164')"
"('Q6ZU52', 'Q9P209')"
"('Q13347', 'P05198')"
"('Q9H8T0', 'Q29RF7')"
"('Q9BVP2', 'O75940')"
"('P78362', 'P26368')"
"('P23458', 'Q06187')"
"('P06241', 'Q92918')"
"('Q15287', 'O95400')"
"('P50570', 'P49418')"
"('P35462', 'P63096')"
"('O94921', 'Q04917')"
"('P55795', 'Q15287')"
