negatives
"('A0MZ66', 'O75936')"
"('Q9H2G2', 'P55157')"
"('Q14997', 'Q9UKV5')"
"('O95967', 'Q14005')"
"('P28702', 'P27816')"
"('P46783', 'P11441')"
"('Q13330', 'P62979')"
"('Q86SQ0', 'P12830')"
"('P16410', 'Q14258')"
"('Q09472', 'Q14765')"
"('Q13867', 'P09972')"
"('Q08999', 'Q14209')"
"('Q8NI27', 'Q99640')"
"('P10321', 'Q8N1L9')"
"('O14979', 'O00571')"
"('P10588', 'Q15788')"
"('P39656', 'Q9H1C4')"
"('Q96EF6', 'Q9BT78')"
"('Q9HC44', 'P60228')"
"('Q12840', 'Q8TDR0')"
"('Q5T3F8', 'Q5VTU8')"
"('Q5VWX1', 'Q96EG3')"
"('O75558', 'O95363')"
"('O60812', 'Q8WXA9')"
"('Q9BU61', 'O00217')"
"('Q15022', 'P62877')"
"('Q16666', 'Q6PK04')"
"('Q14194', 'P42858')"
"('Q8WVM0', 'Q14197')"
"('P61619', 'P41143')"
"('Q15118', 'Q9BYG4')"
"('Q8N1G0', 'Q8N5Z5')"
"('Q9UBS0', 'Q15633')"
"('Q6P531', 'Q92520')"
"('P29597', 'P57078')"
"('P37840', 'O43255')"
"('Q13367', 'Q92838')"
"('P49286', 'Q9H792')"
"('Q5W0Q7', 'P24928')"
"('Q9Y383', 'O95232')"
"('Q9UKT7', 'Q9NRD5')"
"('Q12800', 'Q5C9Z4')"
"('P62937', 'Q9UM47')"
"('Q6T4R5', 'Q8IZP0')"
"('Q9UPQ9', 'Q9UL18')"
"('Q04726', 'Q92597')"
"('O15160', 'Q9BTD3')"
"('Q00994', 'Q8TAU3')"
"('P11441', 'P55795')"
"('P00488', 'P05160')"
"('Q96PM5', 'P39023')"
"('O94888', 'Q9Y5Y2')"
"('P01106', 'P24666')"
"('P42566', 'P35527')"
"('P56537', 'Q9UBQ5')"
"('Q7Z6G8', 'P05067')"
"('Q9Y3E7', 'Q9BY43')"
"('Q13263', 'O14965')"
"('P17707', 'Q9BSG5')"
"('P62273', 'P51808')"
"('P11487', 'P36888')"
"('P25024', 'Q14847')"
"('P14618', 'Q01813')"
"('Q96EB6', 'Q9ULJ6')"
"('Q15717', 'Q9NYV4')"
"('O95433', 'Q9BYB0')"
"('Q01201', 'Q7KZF4')"
"('Q9Y276', 'O75436')"
"('P13693', 'Q99426')"
"('Q9NRA1', 'P07333')"
