#tail	head	num_paths
P05556	P31749	24
P31749	P10275	1
P05556	P15336	9
P15336	P18847	1
P31749	P38398	1
P15336	Q99966	1
P05556	P55072	1
P55072	Q92905	1
P31749	Q92793	1
P31749	P02545	1
P02545	P49711	1
P31749	P35222	1
P05556	P21333	2
P21333	P98082	1
P05556	P37173	2
P37173	Q9UER7	3
P05556	P46109	1
P46109	Q9NPI6	1
P31749	P17844	1
P05556	Q14192	1
Q14192	Q16254	1
P05556	P21926	1
P21926	P18146	1
P18146	Q15329	2
P31749	Q09472	1
P31749	P03372	1
P15336	P14921	1
P05556	P60033	1
P60033	Q01844	1
P05556	P31946	3
P31946	P01100	1
P15336	P53539	2
P31749	P55316	1
P05556	P27986	1
P27986	O75593	2
P31749	Q12778	1
P31749	O43524	1
P31749	P98177	1
P05556	O00716	3
O00716	Q13547	1
P05556	P17612	3
P17612	P41235	1
P05556	P19320	1
P19320	P31269	2
P05556	P05162	1
P05162	P05067	1
P05067	Q9H160	4
P15336	Q8IU81	2
P05556	P30101	1
P30101	P05412	1
P15336	P17275	2
P05556	Q15717	8
Q15717	P17535	2
Q15717	Q13118	3
P05556	P16070	1
P16070	Q9UJU2	1
P05556	Q02078	2
Q02078	Q06413	1
P31946	P01106	1
P05556	Q15027	1
Q15027	Q15788	1
P15336	P23511	1
P05556	P07948	1
P07948	P25208	1
Q15717	Q13952	2
P05556	Q92569	2
Q92569	Q8TAK6	1
P31749	O75925	1
P31749	O75928	1
P15336	P29590	1
Q92569	P06400	1
P05556	P29317	1
P29317	P28749	3
Q15717	Q08999	2
P05556	P17931	1
P17931	Q01196	1
P31749	Q13950	1
P05556	P12931	1
P12931	Q13761	2
P31749	P12755	1
P31749	O60437	1
O60437	P12757	1
P31749	Q15796	1
P31749	P84022	1
P31749	Q13485	1
Q15717	O43541	2
P31749	O15105	1
P05556	P27824	1
P27824	Q9HAU4	2
P31749	Q04206	1
Q04206	Q8TAD8	1
P05556	Q9NVD7	1
Q9NVD7	Q13573	1
P17612	P48436	1
P31749	P08047	1
P21333	P15884	2
O00716	Q14186	1
O00716	Q14188	1
Q15717	Q15583	2
P31749	P04637	1
P05556	Q96S59	1
Q96S59	O15350	2
