recall,precision
0.7083333333333334,0.06938775510204082
0.6805555555555556,0.0708092485549133
0.6944444444444444,0.07092198581560284
0.6666666666666666,0.07373271889400922
0.6527777777777778,0.07580645161290323
0.6388888888888888,0.07809847198641766
0.625,0.0782608695652174
0.6111111111111112,0.09109730848861283
0.5972222222222222,0.09598214285714286
0.4444444444444444,0.09937888198757763
0.5833333333333334,0.10047846889952153
0.4583333333333333,0.10122699386503067
0.4722222222222222,0.10303030303030303
0.4861111111111111,0.10510510510510511
0.5,0.10619469026548672
0.5138888888888888,0.1072463768115942
0.5555555555555556,0.10840108401084012
0.5416666666666666,0.10893854748603352
0.5694444444444444,0.10962566844919786
0.5277777777777778,0.10982658959537572
0.4305555555555556,0.11071428571428571
0.4166666666666667,0.11764705882352941
0.3611111111111111,0.13829787234042554
0.375,0.13989637305699482
0.3888888888888889,0.14432989690721648
0.4027777777777778,0.14871794871794872
0.3055555555555556,0.21153846153846154
0.3194444444444444,0.21904761904761905
0.20833333333333334,0.22058823529411764
0.2222222222222222,0.2222222222222222
0.3333333333333333,0.22641509433962265
0.3472222222222222,0.22727272727272727
0.19444444444444445,0.22950819672131148
0.2361111111111111,0.2328767123287671
0.2916666666666667,0.23333333333333334
0.2638888888888889,0.24050632911392406
0.25,0.24324324324324326
0.16666666666666666,0.24489795918367346
0.2777777777777778,0.25
0.18055555555555555,0.26
0.1388888888888889,0.2702702702702703
0.1527777777777778,0.275
0.125,0.5625
0.09722222222222222,0.5833333333333334
0.08333333333333333,0.6
0.027777777777777776,1.0
0.041666666666666664,1.0
0.05555555555555555,1.0
