negatives
"('Q9BW27', 'P49790')"
"('Q9BY77', 'Q9BRK4')"
"('Q8IYB3', 'P26368')"
"('P18084', 'P12931')"
"('O95299', 'Q9NY97')"
"('P32942', 'P15311')"
"('Q9UBN7', 'O43592')"
"('Q96IW7', 'Q9BRI3')"
"('P05067', 'Q9Y5K3')"
"('Q99436', 'Q9Y468')"
"('P12980', 'P38398')"
"('P62913', 'P62854')"
"('Q5FBB7', 'P62807')"
"('Q9H1J1', 'Q15287')"
"('Q9Y680', 'P14210')"
"('P52565', 'Q5JSZ5')"
"('Q15120', 'Q15118')"
"('Q9BTE7', 'Q9P2P5')"
"('P61803', 'O75530')"
"('Q99871', 'Q8WZA1')"
"('P16220', 'Q9UPW6')"
"('P12277', 'Q7Z7A1')"
"('Q99698', 'P51398')"
"('P04792', 'P78344')"
"('P24863', 'Q9H3D4')"
"('P62136', 'Q92843')"
"('Q9BWV1', 'Q5T3J3')"
"('P62701', 'Q9UL18')"
"('Q15573', 'Q15572')"
"('P04637', 'Q02878')"
"('Q96T88', 'O43463')"
"('P68400', 'Q9H492')"
"('P61956', 'P03372')"
"('O43765', 'O95967')"
"('Q15796', 'Q14192')"
"('Q86YD7', 'Q13643')"
"('O95817', 'Q9Y4P8')"
"('P46776', 'Q13155')"
"('P04150', 'P09429')"
"('Q9UQE7', 'Q00987')"
"('Q13007', 'P15260')"
"('Q9H9B1', 'Q9H582')"
"('P34925', 'Q9H461')"
"('Q7Z401', 'Q9ULJ3')"
"('P05141', 'Q6ZVZ8')"
"('P49821', 'P07550')"
"('P05109', 'P35240')"
"('Q8IXQ8', 'P05067')"
"('P52732', 'Q99459')"
"('P0DMV8', 'P13866')"
"('P43405', 'P40259')"
"('Q9Y478', 'P31944')"
"('Q8N6F8', 'Q9BXF9')"
"('Q9P2N6', 'Q01167')"
"('O43504', 'Q9Y2Q5')"
"('Q86V81', 'Q03518')"
"('P35637', 'P00492')"
"('P12931', 'Q13322')"
"('O00410', 'Q9BSI4')"
"('P62877', 'Q86XK2')"
"('Q9NPY3', 'P01042')"
"('Q9NQG6', 'Q6RW13')"
"('Q96F86', 'Q9H257')"
"('P57740', 'P55318')"
"('Q15393', 'P13473')"
"('Q13576', 'Q8NBJ4')"
"('Q9P2M7', 'Q9UHB6')"
"('O15160', 'P51784')"
"('O75604', 'Q9BXL7')"
"('P04156', 'Q9P013')"
"('P16402', 'Q9H3D4')"
"('P05067', 'Q15797')"
"('Q8IWI9', 'O00716')"
"('P54725', 'P29372')"
"('Q96GD3', 'P61457')"
"('Q9Y3C6', 'Q96CW5')"
"('P62877', 'P68363')"
"('P05387', 'Q13619')"
"('P31350', 'Q7LG56')"
"('Q658P3', 'Q8N6K0')"
"('O14776', 'Q15459')"
"('Q9C019', 'P29353')"
"('O43187', 'O75643')"
"('Q8TBB1', 'P33764')"
"('Q12959', 'Q6ZTQ3')"
"('P35226', 'Q13838')"
"('Q9HBE4', 'P38484')"
"('P51965', 'P61088')"
"('Q7L0Q8', 'Q15006')"
"('P68431', 'Q9UIG0')"
"('Q15293', 'P08574')"
"('Q9UGL9', 'P60410')"
"('Q15276', 'Q96LI6')"
"('Q8N137', 'Q15286')"
"('P53779', 'Q12778')"
"('P11277', 'Q9Y4Y9')"
"('P06493', 'P30304')"
"('P23219', 'P35354')"
"('O95166', 'P62829')"
"('O00267', 'Q13526')"
"('O75351', 'Q7LBR1')"
"('P14866', 'O00273')"
"('Q6K0P9', 'Q5JW98')"
"('O75379', 'O14662')"
"('Q96GX5', 'Q9HCM4')"
"('P11274', 'P32927')"
"('O00487', 'P23508')"
"('O14958', 'Q12789')"
"('O14867', 'Q9HBE1')"
"('Q8WUK0', 'P99999')"
"('P32248', 'P07766')"
"('Q9H7E9', 'Q9Y2X7')"
"('P49716', 'P16220')"
"('P49716', 'O00264')"
"('O95835', 'Q96QZ7')"
"('P61221', 'P61604')"
"('O43189', 'Q9NZV7')"
"('P31350', 'Q15233')"
"('Q15942', 'P21281')"
