negatives
"('Q6UXX5', 'Q3LI64')"
"('P05412', 'Q69YQ0')"
"('P57740', 'Q6ZQN5')"
"('P24941', 'P81605')"
"('P21802', 'P22607')"
"('Q9C0F1', 'O43242')"
"('Q13064', 'Q9BQ89')"
"('Q9UPR3', 'Q66LE6')"
"('Q99570', 'O43542')"
"('Q9UBN7', 'Q9NVI7')"
"('P17028', 'P25787')"
"('Q96B77', 'Q8WVE6')"
"('P35626', 'Q8NGL0')"
"('P30876', 'P61218')"
"('P08865', 'P17987')"
"('Q9UL03', 'Q92956')"
"('Q04864', 'P61024')"
"('Q86WK6', 'Q9Y2A9')"
"('Q01844', 'O14908')"
"('Q13485', 'Q9Y2H8')"
"('P12931', 'O60716')"
"('Q9NX20', 'Q9BZE1')"
"('Q96FJ2', 'Q8WVS4')"
"('Q49A26', 'P13796')"
"('P60409', 'Q96IX9')"
"('P63208', 'P24385')"
"('Q9GZV7', 'Q15323')"
"('Q04726', 'P28799')"
"('P0DMV9', 'Q15910')"
"('Q8TCJ0', 'O14730')"
"('Q13618', 'Q13098')"
"('Q3ZCQ8', 'Q15022')"
"('P24928', 'Q9H0D6')"
"('Q9Y3D0', 'O95163')"
"('Q9UPT8', 'P34896')"
"('O00483', 'Q13085')"
"('Q5S007', 'P62979')"
"('P06241', 'P12830')"
"('Q96EB6', 'P67936')"
"('P68133', 'P05976')"
"('P42574', 'Q16236')"
"('O95292', 'P36941')"
"('Q9H9J4', 'Q7L190')"
"('P05067', 'Q9Y4L5')"
"('Q9NZN5', 'Q9Y2M5')"
"('Q86X55', 'P17676')"
"('Q9Y4A5', 'Q15545')"
"('O75534', 'Q9H4L4')"
"('Q96CS3', 'Q9GZP9')"
"('P06753', 'O60260')"
"('Q9NXR5', 'Q15717')"
"('P19623', 'P19320')"
"('P25963', 'Q09472')"
"('P49368', 'O43542')"
"('Q96RQ3', 'Q13043')"
"('Q15022', 'P22087')"
"('Q9H5H4', 'Q9Y3S2')"
"('Q96DV4', 'Q9P015')"
"('O95299', 'Q9P0L0')"
"('Q96GX1', 'O75915')"
"('P41218', 'Q9H6R4')"
"('O75792', 'O60869')"
"('Q9Y597', 'Q6IQ23')"
"('P25963', 'Q96EY1')"
"('Q96S53', 'Q8TC76')"
"('Q9UJA5', 'P61289')"
"('P15927', 'P61026')"
"('P49674', 'Q13595')"
"('Q14151', 'Q9H492')"
"('Q96KP4', 'P11413')"
"('P49901', 'Q6L8H1')"
"('O15111', 'Q9Y618')"
"('O60658', 'Q04206')"
"('Q8NGU2', 'Q9P2W3')"
"('P00568', 'Q7LBC6')"
"('P07602', 'P43307')"
"('P04424', 'P19367')"
"('Q13618', 'P35244')"
"('Q01082', 'P04792')"
"('Q96S44', 'Q9NS73')"
"('P49207', 'P62263')"
"('P34897', 'Q9UBN7')"
"('P01236', 'P01589')"
"('Q9NRD1', 'Q13332')"
"('O00214', 'P11117')"
"('Q15796', 'P51814')"
"('O14641', 'P46940')"
"('P25054', 'Q04695')"
"('Q15648', 'Q9Y2X9')"
"('Q53HL2', 'P63279')"
"('P02751', 'P61247')"
"('Q13049', 'P54253')"
"('Q12933', 'Q96JS3')"
"('Q99623', 'P49821')"
"('O95450', 'Q16635')"
"('P62987', 'Q09472')"
"('P11308', 'Q92769')"
"('P35626', 'Q96R69')"
"('O43638', 'Q9Y5Q9')"
"('Q96TA2', 'Q13501')"
"('Q9UHA4', 'Q5VU43')"
"('Q7Z4Q2', 'Q8WVE6')"
"('Q8TCE9', 'P08670')"
"('P58005', 'Q6P2D0')"
"('P32248', 'P49407')"
"('P00533', 'P62269')"
"('Q9UNH7', 'Q9UNH6')"
"('Q9BW85', 'Q9NWT6')"
"('Q9BRG1', 'Q9NPF4')"
"('Q9HD26', 'P22794')"
"('Q14980', 'O95235')"
"('P57078', 'Q8NB90')"
"('P78386', 'P18146')"
"('Q92686', 'P53370')"
"('O75360', 'P98179')"
"('P18206', 'P41236')"
"('P07954', 'P06454')"
"('P16435', 'P10635')"
"('Q8IZT6', 'Q13131')"
"('Q9NZN4', 'P50990')"
"('Q9HB71', 'P02751')"
"('P15927', 'O60671')"
"('P11172', 'O43852')"
"('Q8IZD2', 'Q14258')"
"('Q99996', 'Q5SW79')"
"('Q86U70', 'P25791')"
"('Q6UVJ0', 'Q7Z4H7')"
"('Q13418', 'P35221')"
"('Q15154', 'Q8IYA6')"
"('Q96IX9', 'Q9H0H5')"
"('P49736', 'P12956')"
"('Q8IWI9', 'Q8N488')"
"('P11171', 'Q15631')"
"('P05412', 'Q92831')"
"('Q6PEY2', 'P51149')"
"('P62805', 'Q99496')"
"('O94832', 'Q6WCQ1')"
"('Q9Y5B8', 'Q6TDU7')"
"('Q12931', 'P14618')"
"('P04406', 'P32121')"
"('P22301', 'Q13568')"
"('O15105', 'Q9NQB0')"
"('Q96AP0', 'Q9BTW9')"
"('P05161', 'O43175')"
"('P13010', 'O60245')"
"('Q99638', 'P04150')"
"('P18124', 'P62854')"
"('P09661', 'P28066')"
"('Q9UBD0', 'Q9GZU8')"
"('Q969G3', 'Q13547')"
"('P62140', 'O75901')"
"('P42229', 'Q9UMF0')"
"('Q99638', 'Q8NHY5')"
"('Q9Y2Q3', 'Q6NUS6')"
"('P04181', 'P23508')"
"('Q02878', 'Q9UKV8')"
"('P27635', 'Q13347')"
"('Q6P5R6', 'Q0VG06')"
"('Q9UBS4', 'Q6PGQ7')"
"('P46777', 'Q9H0A0')"
"('O95433', 'P17844')"
"('Q96CX6', 'Q9C0B0')"
"('Q5TCX8', 'Q9NWT6')"
"('Q8TES7', 'P50570')"
"('O14920', 'Q70UQ0')"
"('Q8IX12', 'Q9Y6K9')"
"('Q9UHD9', 'P46937')"
"('P14625', 'P07550')"
"('O14862', 'Q14151')"
"('Q9NPI6', 'Q6ZW49')"
"('O95373', 'P24941')"
"('Q9NVU7', 'Q9NW13')"
"('O96013', 'P63104')"
"('P36954', 'Q93034')"
"('Q8N5M1', 'P06576')"
"('P13798', 'Q53GS9')"
"('P08238', 'Q96PN8')"
"('P40692', 'P42574')"
"('Q14151', 'Q9BUJ2')"
"('O43390', 'Q9BWT3')"
"('P67775', 'P11233')"
"('O00423', 'Q13885')"
"('Q9HD26', 'Q99497')"
"('P19838', 'Q13309')"
"('O14964', 'Q6IA69')"
"('Q12904', 'P23508')"
"('Q969U6', 'P60411')"
"('Q0D2H9', 'Q3SY00')"
"('P04049', 'P62879')"
"('Q8WZ79', 'Q24JP5')"
"('Q9UBS5', 'P50150')"
"('Q96BN8', 'Q9BYM8')"
"('O60814', 'Q05655')"
"('Q99689', 'P07237')"
"('Q96N95', 'P17040')"
"('O00159', 'Q96EY1')"
"('Q9UN88', 'P60520')"
"('P68032', 'P62736')"
"('Q99757', 'P08133')"
"('Q9BTT4', 'Q13503')"
"('P42345', 'Q15208')"
"('Q13393', 'O75787')"
"('O43303', 'P0DP25')"
"('P23497', 'P60981')"
"('Q8NDZ4', 'Q5XPI4')"
"('P10721', 'P42680')"
"('A8K0Z3', 'Q99496')"
"('Q9Y3M2', 'Q5TCX8')"
"('P30511', 'P20036')"
"('P11055', 'O94806')"
"('P20073', 'P09525')"
"('P60709', 'Q9BX66')"
"('P21580', 'P22415')"
"('Q9UPT5', 'Q96EV8')"
"('P12755', 'Q09666')"
"('Q7L1V2', 'Q9UJ41')"
"('Q13155', 'Q9Y2F5')"
"('P17096', 'P19338')"
"('P61619', 'Q9BZI7')"
"('Q8NF50', 'O00716')"
"('Q13561', 'Q96MT8')"
"('Q5VSG8', 'P22304')"
"('Q99578', 'P55196')"
"('P52701', 'Q06609')"
"('P48444', 'P61923')"
"('Q86X76', 'Q13011')"
"('P25098', 'Q9Y2X7')"
"('Q96LA8', 'Q9Y483')"
"('O95156', 'Q6V0I7')"
"('Q13490', 'P14923')"
"('P49754', 'Q9H270')"
"('Q7Z406', 'Q9BPX7')"
"('P78424', 'Q8NA54')"
"('O14904', 'Q9UP38')"
"('Q96C19', 'Q15293')"
"('Q9BQ15', 'P68104')"
"('P50222', 'P01137')"
"('P08243', 'Q92890')"
"('Q53HC9', 'Q86Y13')"
"('P12830', 'Q8IVL1')"
"('Q9H2H9', 'Q9Y679')"
"('P32121', 'P62753')"
"('P17612', 'Q8NGV5')"
"('Q13131', 'Q09472')"
"('Q04724', 'P15884')"
"('Q8TD43', 'Q9H6D8')"
"('P10636', 'Q14203')"
"('Q9NRC8', 'Q9P2K5')"
"('P30307', 'Q13009')"
"('Q9UKM9', 'P68431')"
"('O43586', 'P06729')"
"('P04637', 'Q96DN5')"
"('Q9NYL2', 'Q14194')"
"('Q92541', 'P55084')"
"('O75044', 'Q7Z401')"
"('Q9Y5N6', 'P23246')"
"('Q00872', 'Q14324')"
"('Q16853', 'Q9BZD6')"
"('Q9GZS3', 'Q66LE6')"
"('Q9UJX2', 'A0JLT2')"
"('P50454', 'P35270')"
"('Q9UKJ1', 'Q06124')"
"('Q9BZ95', 'Q13185')"
"('O76071', 'P22087')"
"('P26715', 'O95183')"
"('P08670', 'P54725')"
"('Q14164', 'P47756')"
"('P01112', 'P55196')"
"('Q9UHD9', 'P17612')"
"('Q3MII6', 'Q9H0R8')"
"('P14678', 'P60033')"
"('P04629', 'Q86UK7')"
"('P63244', 'Q9Y561')"
"('P51149', 'P14672')"
"('Q8IWA0', 'O75147')"
"('P67775', 'P54105')"
"('P08865', 'P60842')"
"('O43852', 'Q9UI26')"
"('Q9Y2X7', 'P51955')"
"('Q9UBU9', 'Q9BZE1')"
"('Q9Y4K3', 'Q9BVN2')"
"('P17931', 'P30050')"
"('Q9NRD1', 'P63104')"
"('P49458', 'O14965')"
"('P63173', 'P46778')"
"('Q99697', 'Q15649')"
"('P46087', 'P46782')"
"('O14802', 'O60264')"
"('P35251', 'Q04206')"
"('Q9C0F1', 'Q9Y297')"
"('Q9Y371', 'Q9UKP3')"
"('P83916', 'O60934')"
"('P01588', 'Q9UHF4')"
"('Q01844', 'Q9NQA5')"
"('P45974', 'Q96Q11')"
"('Q8N988', 'P46108')"
"('P49407', 'Q8NHC5')"
"('Q13118', 'Q96KM6')"
"('Q9Y605', 'Q6ZUJ4')"
"('Q00839', 'Q9BVP2')"
"('Q96S53', 'O15075')"
"('Q13501', 'Q9UGP4')"
"('P62333', 'P61619')"
"('P42773', 'P30279')"
"('Q96I59', 'Q5BKU9')"
"('Q96NE9', 'Q99081')"
"('Q9P2P5', 'Q9BY12')"
"('O60907', 'O60479')"
"('P46527', 'Q13526')"
"('Q92598', 'Q01105')"
"('P50502', 'P00734')"
"('P07948', 'Q96QH2')"
"('Q6ZW49', 'Q71F23')"
"('Q8TBB1', 'Q9UI14')"
"('Q8TCS8', 'Q9Y4K3')"
"('Q05DH4', 'Q9H8T0')"
"('Q9Y4E8', 'Q7Z5K2')"
"('Q8N9M1', 'Q8NI27')"
"('Q8WVJ2', 'Q8N9S9')"
"('P10828', 'P27986')"
"('P02746', 'P50579')"
"('Q9H1I8', 'P09467')"
"('Q8IVT5', 'Q9Y4C2')"
"('P51531', 'Q92945')"
"('Q99638', 'P06746')"
"('Q96A33', 'Q9HC24')"
"('P51970', 'O75251')"
"('Q6UXN9', 'P48643')"
"('P55072', 'P53350')"
"('Q9UIW2', 'Q15262')"
"('Q9H6A9', 'Q9UHB6')"
"('Q13277', 'Q9NY12')"
"('Q9P0W2', 'O95863')"
"('P31040', 'Q86VP6')"
"('P05067', 'P30044')"
"('Q8IZU0', 'Q5JUK9')"
"('P21917', 'P62879')"
"('Q9NX76', 'Q8IZU0')"
"('Q9UJ41', 'Q9BZD4')"
"('Q5VZ89', 'P30307')"
"('P49286', 'Q9UH73')"
"('Q15058', 'Q9Y2K1')"
"('Q5VZV1', 'P34931')"
"('Q9NRD5', 'P80188')"
"('Q05952', 'P18146')"
"('Q15915', 'Q496A3')"
"('P24941', 'Q12959')"
"('P25054', 'Q9C075')"
"('Q8TAD8', 'P30414')"
"('Q10570', 'P48634')"
"('O75937', 'Q7Z6Z7')"
"('P30153', 'P08574')"
"('Q92598', 'Q16851')"
"('O75643', 'P61018')"
"('Q15843', 'P19338')"
"('Q9UKX7', 'P63172')"
"('Q96NG3', 'Q8NHQ1')"
"('P35244', 'Q13472')"
"('P62424', 'Q99558')"
"('Q6P4F2', 'Q969G2')"
"('Q09028', 'Q15022')"
"('Q15022', 'P19544')"
"('Q9H0R8', 'P31946')"
"('O14530', 'Q13885')"
"('P47985', 'P40925')"
"('Q14451', 'P62879')"
"('P17252', 'Q92837')"
"('P38398', 'Q9ULJ6')"
"('Q15717', 'O95302')"
"('Q9NPQ8', 'P82979')"
"('P63096', 'P63218')"
"('Q13422', 'Q13895')"
"('O60506', 'Q8ND56')"
"('Q8N9I5', 'Q96T60')"
"('P13501', 'O95429')"
"('Q15717', 'Q9NZI7')"
"('Q5T5Y3', 'Q14203')"
"('P61586', 'Q92737')"
"('A9QM74', 'P16403')"
"('O43524', 'A8MYZ6')"
"('Q13118', 'Q8N1F1')"
"('P12931', 'P01889')"
"('Q8NFW5', 'Q9Y5P1')"
"('Q9H788', 'Q9UBU9')"
"('O60260', 'Q99447')"
"('Q6ICB0', 'Q9UMX0')"
"('P49137', 'Q14134')"
"('O95793', 'P14618')"
"('P15151', 'P04004')"
"('P84085', 'P07195')"
"('Q9Y3E0', 'Q9UI09')"
"('Q9NRQ2', 'P62979')"
"('Q9UGI0', 'Q9BZE0')"
"('Q69YN4', 'Q99598')"
"('Q9H6Y5', 'Q9P289')"
"('Q8N2U0', 'Q9BQB6')"
"('Q00653', 'O43242')"
"('O15145', 'P62993')"
"('Q96Q05', 'P04629')"
"('P58012', 'P12956')"
"('Q04864', 'P61086')"
"('Q9UHV9', 'P16949')"
"('Q13368', 'Q6P995')"
"('Q9H2G2', 'Q9H5I1')"
"('Q96KQ7', 'P25786')"
"('Q8WWI5', 'O00193')"
"('Q07065', 'P49736')"
"('P27694', 'Q9BX63')"
"('Q05193', 'Q16854')"
"('O43623', 'P25788')"
"('Q01105', 'P14635')"
"('P09874', 'P35240')"
"('Q9BVC4', 'P78395')"
"('Q14790', 'Q9BZ95')"
"('P22415', 'Q9UKV0')"
"('O43765', 'P07711')"
"('P26599', 'P24752')"
"('Q92529', 'Q9H7B4')"
"('Q9NPJ6', 'P36542')"
"('Q10567', 'Q6PGP7')"
"('Q9BUJ2', 'P60520')"
"('P49023', 'P78318')"
"('O60739', 'Q15369')"
"('Q8IUC2', 'P60329')"
"('Q9NR55', 'P05412')"
"('Q9UI14', 'P20340')"
"('O00571', 'Q09161')"
"('Q5JTH9', 'P46777')"
"('Q04917', 'Q8WUI4')"
"('Q13371', 'Q14103')"
"('P78334', 'Q96AE7')"
"('Q99952', 'Q9Y297')"
"('P04629', 'P12956')"
"('Q9NQ39', 'Q8NHW5')"
"('P30153', 'Q00325')"
"('O43683', 'O95425')"
"('Q9Y2U8', 'Q6NUS6')"
"('Q8WYQ3', 'Q16718')"
"('Q6P2H3', 'Q49A88')"
"('Q92621', 'P57740')"
"('Q9UGM1', 'O15498')"
"('Q9BSJ2', 'P46019')"
"('P19320', 'P62888')"
"('P82279', 'Q15714')"
"('Q15102', 'Q05516')"
"('P54750', 'P05067')"
"('Q96SB4', 'Q8NE71')"
"('Q9UJA5', 'A0MZ66')"
"('P35244', 'P51572')"
"('Q8WVV9', 'P54253')"
"('Q8N5M4', 'Q8ND90')"
"('P35453', 'P55318')"
"('P08069', 'P04626')"
"('Q96F63', 'Q15696')"
"('Q92841', 'Q13616')"
"('Q68CZ1', 'Q01130')"
"('Q9NX40', 'P84996')"
"('P61960', 'Q96K21')"
"('P22626', 'O95793')"
"('Q13588', 'P00519')"
"('P38919', 'P61313')"
"('P55036', 'Q16401')"
"('O43318', 'P04792')"
"('P21860', 'P82663')"
"('Q9UI30', 'Q6XQN6')"
"('Q15797', 'P55316')"
"('P53396', 'P78396')"
"('Q99750', 'O43299')"
"('Q5TGU0', 'P26715')"
"('O95622', 'P17612')"
"('P57088', 'Q15008')"
"('O95757', 'Q15853')"
"('P41227', 'P43629')"
"('P19320', 'P62318')"
"('Q13617', 'Q8NE71')"
"('Q86UP2', 'Q15006')"
"('Q92841', 'P03372')"
"('Q8N960', 'Q92997')"
"('P60410', 'Q9BQ89')"
"('Q9UHD0', 'P09619')"
"('O75376', 'P17676')"
"('Q9BWH6', 'O76071')"
"('Q99962', 'P16234')"
"('P20674', 'P23246')"
"('Q9UJX2', 'O60504')"
"('Q86YD7', 'P14373')"
"('O15143', 'Q504Q3')"
"('Q6ZU80', 'Q9P270')"
"('Q9Y5B9', 'P0C0S5')"
"('Q96SB3', 'P62140')"
"('Q9UJ41', 'Q9HCH0')"
"('O00584', 'Q9UK22')"
"('A6NEM1', 'O14964')"
"('O15116', 'O96028')"
"('Q8NDV7', 'P09497')"
"('Q9ULM6', 'P19838')"
"('Q9UHB6', 'Q9BPX5')"
"('Q70CQ2', 'Q01860')"
"('Q9Y3C1', 'P41218')"
"('P63151', 'P46937')"
"('Q92565', 'P0C7T8')"
"('O43683', 'O00203')"
"('P19447', 'Q8NBB4')"
"('Q8IYD1', 'Q13310')"
"('P45984', 'P46108')"
"('P11940', 'P18621')"
"('O60259', 'P60410')"
"('Q5SW24', 'P05129')"
"('Q05D60', 'Q9Y448')"
"('Q07889', 'O00459')"
"('Q6IQ23', 'Q92485')"
"('P00533', 'P27824')"
"('P12980', 'O60641')"
"('P22392', 'Q7L2H7')"
"('P61077', 'Q9Y3I1')"
"('P27348', 'O43399')"
"('O14777', 'O95678')"
"('Q07890', 'P59998')"
"('Q8N7C3', 'Q7Z3Y8')"
"('P11142', 'P11229')"
"('Q96BY2', 'Q9UM11')"
"('Q9UNQ2', 'O60832')"
"('O00625', 'P55263')"
"('P01889', 'P49720')"
"('Q93009', 'Q9Y4K3')"
"('Q96CT7', 'Q15006')"
"('Q9NRA8', 'Q6ZU80')"
"('Q9H6T3', 'Q15435')"
"('O95544', 'Q9BQK8')"
"('O00159', 'P62736')"
"('Q99575', 'Q14203')"
"('Q6P4R8', 'Q9H981')"
"('Q86YW9', 'Q9Y2X0')"
"('Q5U5Q3', 'Q9UL18')"
"('O15116', 'Q9H270')"
"('P14555', 'P45974')"
"('Q66GS9', 'Q68CZ6')"
"('O43829', 'Q2NKX9')"
"('Q96FH0', 'Q96GS4')"
"('P61019', 'P84077')"
"('Q8IWL3', 'Q9UM00')"
"('Q15554', 'Q96SU4')"
"('P25098', 'Q8NGK6')"
"('P35613', 'O94874')"
"('P00533', 'Q96KP1')"
"('Q9H4G0', 'P25789')"
"('Q92824', 'P00797')"
"('Q9UNX3', 'P04637')"
"('O94875', 'Q8N3V7')"
"('P16455', 'P07900')"
"('Q9H0W5', 'Q9UPN4')"
"('P35250', 'O75943')"
"('Q15276', 'Q96KM6')"
"('Q6ZRS2', 'P62807')"
"('Q92686', 'P43220')"
"('A2RU48', 'Q9H668')"
"('O60431', 'P62873')"
"('P15172', 'P00540')"
"('Q17RB8', 'O95678')"
"('Q9UNN5', 'Q8WVZ9')"
"('P41235', 'O43174')"
"('P15927', 'Q8TDB6')"
"('P51677', 'P08631')"
"('Q70EL3', 'P51648')"
"('P34931', 'O95429')"
"('O95751', 'O75348')"
"('Q8TEX9', 'P57078')"
"('P29353', 'Q96P48')"
"('Q9Y5V3', 'P35219')"
"('Q13416', 'P12956')"
"('P35908', 'Q9BXB1')"
"('P07195', 'P15336')"
"('Q96FW1', 'P46109')"
"('Q969V5', 'P51965')"
"('Q15369', 'Q96NS5')"
"('Q12815', 'Q15323')"
"('Q9UBU9', 'Q8IX03')"
"('A6NDS4', 'P62993')"
"('A6NHL2', 'Q8IYT4')"
"('Q14008', 'Q16666')"
"('Q9UK73', 'Q96GG9')"
"('Q6ZW76', 'Q8TDX7')"
"('Q9NP87', 'Q13426')"
"('P52564', 'Q16512')"
"('P28065', 'Q9P0P0')"
"('P54257', 'Q9HC52')"
"('Q14525', 'P78386')"
"('Q15788', 'Q15643')"
"('Q14191', 'P39748')"
"('P43220', 'P61803')"
"('Q8NA61', 'Q9UJX2')"
"('Q53EZ4', 'P04637')"
"('Q9Y6A4', 'Q9BW61')"
"('Q9UQL6', 'P62424')"
"('Q6P158', 'Q92905')"
"('O95996', 'Q8N752')"
"('O94868', 'Q5JR59')"
"('P54646', 'P06213')"
"('Q9HAY2', 'Q8N6I1')"
"('Q8NHV4', 'Q9BQE3')"
"('O60524', 'P27635')"
"('Q00613', 'Q9Y3F4')"
"('Q8IYE1', 'Q5T9S5')"
"('P51679', 'P08754')"
"('Q14166', 'P49459')"
"('P29401', 'P07195')"
"('P05181', 'Q9UKV5')"
"('P60709', 'O95793')"
"('P04843', 'P01889')"
"('Q8TAU3', 'Q8WW24')"
"('O60260', 'P28066')"
"('P01889', 'P31040')"
"('P31942', 'Q53F19')"
"('P35998', 'Q6P2H3')"
"('P17612', 'A6NM03')"
"('Q00994', 'Q13155')"
"('O15126', 'Q969Z0')"
"('P49023', 'P21399')"
"('Q15545', 'Q8IYM9')"
"('Q13618', 'Q01081')"
"('P49840', 'Q9NW08')"
"('P30260', 'Q08050')"
"('P63104', 'P19634')"
"('P17931', 'P25391')"
"('Q9NPL8', 'Q9BQ95')"
"('O75530', 'Q8IY81')"
"('Q9Y6C9', 'P54709')"
"('Q96NA2', 'Q9H4B7')"
"('P51659', 'P35240')"
"('P08574', 'P45880')"
"('Q13619', 'P08238')"
"('Q06787', 'Q13137')"
"('Q13123', 'P55081')"
"('Q9ULT6', 'Q2MKA7')"
"('Q9H4E7', 'Q9NYA3')"
"('P06730', 'Q14103')"
"('P35659', 'Q09472')"
"('Q9UPQ3', 'Q8IVT5')"
"('P20648', 'Q86YB8')"
"('Q6DD88', 'O00264')"
"('Q969T4', 'O43597')"
"('Q8WVB6', 'P18858')"
"('P61513', 'P62750')"
"('P53667', 'P60981')"
"('P15531', 'P17174')"
"('Q9GZZ9', 'P49736')"
"('Q9BRT8', 'P51571')"
"('O95229', 'Q1A5X7')"
"('P50222', 'Q2M2E3')"
"('P30040', 'P30480')"
"('O75691', 'Q12952')"
"('Q13496', 'Q13619')"
"('Q9UBI6', 'Q8TCU6')"
"('P38398', 'Q16531')"
"('P04637', 'O75164')"
"('O43752', 'Q9P1Q0')"
"('Q86Y13', 'Q9NNX1')"
"('P14618', 'Q9UBI6')"
"('Q9NRR5', 'A9UHW6')"
"('O43913', 'P00533')"
"('Q96LR5', 'Q9Y4X5')"
"('P11142', 'Q9NZN9')"
"('Q8NGR2', 'O60262')"
"('Q9Y2B5', 'Q8ND90')"
"('Q92905', 'Q3SY84')"
"('P78560', 'Q01113')"
"('Q7L2J0', 'P05388')"
"('P26371', 'P24592')"
"('Q99496', 'P56182')"
"('O00165', 'Q9NPI6')"
"('P01106', 'Q8NCB2')"
"('Q9UKF7', 'Q96DZ9')"
"('Q96KQ7', 'P62993')"
"('P50402', 'P15498')"
"('P60896', 'Q13200')"
"('Q92905', 'P62318')"
"('P49321', 'O43541')"
"('P0DPB6', 'P62993')"
"('O00141', 'Q8N668')"
"('Q9H2W6', 'P05412')"
"('Q8WYR1', 'P48736')"
"('P00533', 'Q9UKD2')"
"('Q01844', 'Q15155')"
"('Q96PU5', 'Q96BR1')"
"('Q9H6Z9', 'Q0D2I5')"
"('O75643', 'Q15022')"
"('Q9Y265', 'Q99759')"
"('Q5T5U3', 'P63172')"
"('P30307', 'Q92903')"
"('Q9BT49', 'Q12933')"
"('Q9NRD1', 'Q8IUL8')"
"('P49959', 'Q15554')"
"('Q00536', 'Q6ZW31')"
"('P68104', 'Q9NPD3')"
"('P22607', 'P43235')"
"('P50750', 'P49459')"
"('P54278', 'O00443')"
"('O60925', 'Q12766')"
"('P50454', 'Q96KR1')"
"('P29074', 'P53778')"
"('Q9Y446', 'P31947')"
"('P04626', 'Q96DR8')"
"('P46776', 'P15880')"
"('P48643', 'P55072')"
"('Q14088', 'Q9NQC3')"
"('P67775', 'P27361')"
"('Q15366', 'Q7Z434')"
"('Q99836', 'Q9Y6K9')"
"('Q9GZX6', 'P42701')"
"('Q9P2E3', 'Q9NRR4')"
"('P22415', 'Q12789')"
"('Q16543', 'P31751')"
"('P35590', 'P60410')"
"('Q96EP5', 'P84085')"
"('Q96KB5', 'Q5JY77')"
"('P35998', 'Q13200')"
"('Q99608', 'Q96EV8')"
"('O95166', 'Q96RU3')"
"('O14974', 'Q9NQG5')"
"('Q0P6H9', 'Q15034')"
"('P02545', 'P13984')"
"('O95793', 'P26640')"
"('Q9NR12', 'Q15628')"
"('Q6PGQ7', 'Q13616')"
"('Q15717', 'Q9HAU0')"
"('Q99832', 'Q9BPW8')"
"('P04183', 'Q9UNN5')"
"('P99999', 'Q8WUK0')"
"('O14979', 'Q13492')"
"('Q6ZVZ8', 'P84090')"
"('Q13424', 'P50052')"
"('Q96CW5', 'Q9UGJ1')"
"('P04908', 'Q9BY41')"
"('P51114', 'Q9BQE3')"
"('P60602', 'Q07817')"
"('O95758', 'P31948')"
"('Q70EK8', 'P51610')"
"('Q9NUP9', 'Q96DR7')"
"('P52655', 'Q14137')"
"('Q5T9S5', 'Q15154')"
"('Q9P035', 'P16615')"
"('P25398', 'P83731')"
"('Q9H2J4', 'Q15717')"
"('Q9UER7', 'P23760')"
"('P68431', 'P12956')"
"('P62987', 'Q9UMX0')"
"('P17676', 'Q15306')"
"('O00488', 'O15067')"
"('Q15811', 'O75940')"
"('Q96GG9', 'Q5TAX3')"
"('P49247', 'P12955')"
"('P49189', 'P30480')"
"('P00519', 'Q09472')"
"('Q969P0', 'Q00839')"
"('Q9UI95', 'Q9Y5M8')"
"('Q96A08', 'P33991')"
"('Q8N6C5', 'P36896')"
"('Q7KZ85', 'P42167')"
"('Q05086', 'Q8IZT6')"
"('O95503', 'Q13112')"
"('Q5S007', 'P18440')"
"('Q6IQ23', 'P61421')"
"('P20851', 'Q8N1B4')"
"('Q92905', 'O95273')"
"('Q9P2D0', 'O76094')"
"('Q14790', 'Q86TL0')"
"('Q14677', 'P04629')"
"('Q9BYD2', 'Q9BYD6')"
"('Q9NQA5', 'P55789')"
"('Q15797', 'Q9UJW3')"
"('P36406', 'Q05516')"
"('Q9UMR5', 'O43852')"
"('O43731', 'Q9Y279')"
"('P22087', 'Q7L2J0')"
"('Q5S007', 'Q9NWM3')"
"('P19320', 'P42166')"
"('Q9H8Y5', 'P05067')"
"('Q8NEY8', 'P35226')"
"('P0C7T5', 'O95864')"
"('Q13813', 'Q9NUU7')"
"('P63096', 'P14598')"
"('Q9Y6E7', 'O76031')"
"('O94805', 'P67870')"
"('Q9Y3M2', 'Q8IYY4')"
"('Q9C0A6', 'Q86WV1')"
"('Q06547', 'P51610')"
"('P63244', 'P02751')"
"('Q01082', 'P15927')"
"('Q13007', 'Q01113')"
"('Q5JU00', 'Q03164')"
"('Q8NHG8', 'Q5H9R7')"
"('P49368', 'P35226')"
"('Q9UJ41', 'Q567U6')"
"('O60296', 'O14764')"
"('Q86YD1', 'P63244')"
"('P49023', 'P02751')"
"('P14136', 'Q96HL8')"
"('Q9UJZ1', 'Q9NX40')"
"('Q9Y4X0', 'P49841')"
"('P50613', 'Q16543')"
"('P62314', 'Q9H840')"
"('P39880', 'Q06330')"
"('P47914', 'P55010')"
"('Q99459', 'P52272')"
"('P25490', 'Q03252')"
"('Q15046', 'Q9Y570')"
"('O43281', 'Q05209')"
"('P82673', 'Q8IXZ2')"
"('Q14011', 'P78330')"
"('P33993', 'P55201')"
"('P23771', 'Q9UQL6')"
"('Q9UH77', 'Q15014')"
"('Q15436', 'P23497')"
"('Q9H081', 'Q03188')"
"('Q00653', 'Q15653')"
"('Q7Z6Z7', 'Q4G0J3')"
"('P08238', 'Q9UL58')"
"('Q92782', 'Q12824')"
