negatives
"('P27635', 'Q96G21')"
"('Q13501', 'Q5VZM2')"
"('Q9UJ55', 'Q96QK1')"
"('P49419', 'P13667')"
"('P04629', 'P61978')"
"('O14543', 'P10912')"
"('O14775', 'Q92905')"
"('Q9UP65', 'P15336')"
"('P24941', 'P00491')"
"('Q9Y383', 'Q15910')"
"('Q969D9', 'O75626')"
"('Q8IYE0', 'P05783')"
"('Q15233', 'Q99816')"
"('Q9NYV4', 'O75400')"
"('P55072', 'Q8WV99')"
"('P11142', 'Q00987')"
"('Q9Y3E0', 'P28331')"
"('P46937', 'Q9NUP9')"
"('Q8N122', 'P37231')"
"('P55345', 'Q9UPS6')"
"('P00533', 'Q99714')"
"('P04216', 'P09234')"
"('O76071', 'O94832')"
"('Q8IY31', 'A1L4K1')"
"('O60488', 'Q92994')"
"('Q02750', 'P01106')"
"('Q6UXD5', 'O00214')"
"('Q9H0K1', 'Q00005')"
"('Q92753', 'O14503')"
"('P41236', 'Q15435')"
"('P14625', 'P39656')"
"('O75665', 'Q96R06')"
"('P01023', 'P50613')"
"('Q9H668', 'Q9UBD5')"
"('O94886', 'O00214')"
"('Q07869', 'Q3L8U1')"
"('Q5T752', 'P05187')"
"('A0JLT2', 'O00571')"
"('O95863', 'Q9Y297')"
"('Q9NPJ6', 'Q15057')"
"('Q14160', 'Q15654')"
"('P50222', 'Q96GN5')"
"('O15534', 'P22694')"
"('P28370', 'Q05925')"
"('P08133', 'P13797')"
"('P13612', 'P38159')"
"('P26885', 'P61970')"
"('Q13127', 'Q99496')"
"('P04156', 'O43781')"
"('O00401', 'O15145')"
"('P28340', 'Q15554')"
"('Q14197', 'Q16540')"
"('Q13526', 'P61604')"
"('P42025', 'P04183')"
"('P41091', 'P12268')"
"('P22304', 'Q8NCR0')"
"('Q13547', 'Q9NYJ8')"
"('Q16401', 'Q9BRP4')"
"('Q13099', 'Q8TDR0')"
"('P35626', 'Q9H207')"
"('Q9NQ50', 'Q96DV4')"
"('Q9Y2J2', 'O15047')"
"('O75665', 'Q9C0D2')"
"('Q9GZR7', 'Q969E8')"
"('Q13418', 'P04350')"
"('Q96C86', 'P52306')"
"('O15534', 'Q2TAC2')"
"('Q8WUI4', 'Q71UI9')"
"('O60879', 'Q8NDF8')"
"('Q99972', 'P35749')"
"('Q8WU58', 'Q9BYD5')"
"('Q6P087', 'P09651')"
"('Q9BY32', 'Q04760')"
"('P07237', 'Q15424')"
"('Q9Y277', 'P21912')"
"('P05107', 'Q92569')"
"('Q9ULM3', 'Q9UJX2')"
"('O43638', 'Q9HBU1')"
"('O75821', 'Q14152')"
"('Q7Z6Z7', 'P17980')"
"('P61218', 'Q92609')"
"('O94776', 'Q9NRC8')"
"('Q9Y2W2', 'Q15642')"
"('Q92930', 'Q71U36')"
"('Q8WWC4', 'O75208')"
"('Q9Y3I1', 'P54687')"
"('Q9UPT9', 'O75478')"
"('Q9Y277', 'O43819')"
"('Q969D9', 'P16234')"
"('Q8N0Z3', 'O95684')"
"('Q92484', 'O60477')"
"('P49917', 'Q9UQ80')"
"('P25788', 'Q969U7')"
"('Q9UJY5', 'Q9Y3C5')"
"('P01344', 'P24592')"
"('Q16342', 'P51610')"
"('P53041', 'P50991')"
"('Q8N8S7', 'Q8IZP0')"
"('Q9BWW4', 'P48742')"
"('P28070', 'Q9Y5A7')"
"('O14980', 'Q96JC9')"
"('Q96P11', 'O00767')"
"('Q9P2P5', 'P56270')"
"('Q13011', 'P16871')"
"('Q96A37', 'Q9H2K2')"
"('Q13370', 'Q9BXS4')"
"('Q9HAF1', 'Q6IE81')"
"('P00533', 'P09382')"
"('Q9BZF9', 'Q15276')"
"('O75147', 'P09012')"
"('P17676', 'Q9C0J9')"
"('Q9NR30', 'P82933')"
"('Q00403', 'P35998')"
"('Q8NFW8', 'P05067')"
"('Q8NF99', 'O14709')"
"('Q9UNI6', 'Q9UI14')"
"('Q96JB6', 'P54725')"
"('O75530', 'O60832')"
"('Q9NVR5', 'Q92777')"
"('Q13547', 'P10827')"
"('Q8IWL3', 'Q13425')"
"('O43683', 'Q13541')"
"('P36873', 'Q13873')"
"('Q9UNX4', 'P27694')"
"('Q8NF50', 'Q9H4E5')"
"('Q9H1J5', 'O75581')"
"('O94888', 'Q96Q07')"
"('Q9P286', 'Q8N5M1')"
"('P61224', 'Q8WWW0')"
"('Q13620', 'P04908')"
"('P05783', 'Q8IUC4')"
"('Q4G1C9', 'P62136')"
"('Q9Y3F4', 'P04629')"
"('Q9NRC8', 'P49454')"
"('Q6A163', 'Q96IX9')"
"('P61224', 'P02751')"
"('O14980', 'P51617')"
"('P61619', 'Q8N5M9')"
"('Q96LL9', 'Q5RKV6')"
"('Q6PI77', 'Q9C086')"
"('P35228', 'Q15293')"
"('P06865', 'P16104')"
"('Q13561', 'Q96H55')"
"('P09661', 'P00533')"
"('Q99959', 'Q5JR59')"
"('P61626', 'Q9UHP3')"
"('O95231', 'P27918')"
"('Q9H4B6', 'P31947')"
"('P23381', 'P78347')"
"('Q9BPZ7', 'Q16539')"
"('O76038', 'P49792')"
"('P12931', 'Q86X10')"
"('P05067', 'Q96C74')"
"('P68400', 'P49418')"
"('Q9NVA2', 'Q9UH03')"
"('P01892', 'P46379')"
"('Q06330', 'Q9UIS9')"
"('P01568', 'P00533')"
"('Q7Z6Z7', 'P36915')"
"('Q8IXH7', 'P35606')"
"('Q9NRX4', 'Q6ZNW5')"
"('Q9NYF3', 'Q9BPZ7')"
"('Q9UBU7', 'Q13415')"
"('P56706', 'O75197')"
"('Q86T82', 'Q96CB8')"
"('P24941', 'P53567')"
"('P08069', 'Q9H201')"
"('P62244', 'P05141')"
"('Q96HU1', 'O95600')"
"('P42566', 'P57737')"
"('O75531', 'Q92785')"
"('Q5TA79', 'Q9BQ66')"
"('Q9Y4A5', 'O60477')"
"('Q13387', 'Q9BXJ4')"
"('P63167', 'O60412')"
"('P05113', 'P16871')"
"('P61978', 'O00267')"
"('Q07955', 'Q92616')"
"('P50914', 'P62269')"
"('Q9NRX1', 'P08865')"
"('P06576', 'P56134')"
"('P01563', 'Q01344')"
"('Q6UXX9', 'P60372')"
"('Q92608', 'Q9BYP8')"
"('Q92905', 'Q9P2K6')"
"('Q8NE01', 'P61978')"
"('P07384', 'Q13813')"
"('Q8NC51', 'P46783')"
"('Q01860', 'O14617')"
"('O43432', 'Q13144')"
"('Q86SE9', 'Q9NYY3')"
"('P01009', 'P17538')"
"('Q8WU17', 'O75477')"
"('Q9NZC7', 'P24928')"
"('Q8NBS9', 'P60370')"
"('P27695', 'Q6L8Q7')"
"('Q6P1K8', 'Q8TF09')"
"('Q13315', 'Q8WX93')"
"('Q8N8R7', 'Q63ZY3')"
"('Q9ULH1', 'P12830')"
"('P62701', 'Q8TDN6')"
"('P13591', 'Q9UHK0')"
"('P16298', 'P19484')"
"('P30153', 'Q9Y243')"
"('Q8WZ42', 'Q4VCS5')"
